rep,id,b02,b12,b03,b13,h1,h2,alpha12,alpha13,alpha22,alpha23,hcov1,hcov2,score4C
1,1,5.36762024348376,0.0116384267869642,2.76084178822589,0.00025914489058252,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
2,1,4.81487774642525,0.0533752792066615,5.08747283994569,0.00215362936029541,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
3,1,5.09157489903381,0.0429203327944412,0.78270287956966,0.114315222089954,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
4,1,4.1873785769498,0.0338194779726292,4.90590343374098,0.0572152669828581,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
5,1,4.51447882517486,0.169376590360321,6.86394862358377,0.0296568410094086,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
6,1,5.28319960902342,-0.184880818163365,2.70844133635024,0.0712157634271439,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
7,1,5.24263840184149,0.0783310952109172,5.11989407222804,-0.0212125274072932,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
8,1,4.57355400434214,0.174277609605458,5.59654940886107,0.0459277349560723,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
9,1,5.45219558974505,-0.199306572033563,5.20766219851312,0.0482157720556067,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
10,1,5.23063067977168,-0.00925306902902724,8.30734399607892,0.125541019724215,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
11,1,4.72286613994267,-0.0705953924178208,5.79255169928024,0.0519329766149184,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
12,1,4.9987215909141,-0.199306572033563,5.88381345324075,-0.0109809359349178,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
13,1,4.66031924612201,0.0252143980539367,4.69712428200495,0.0211150385679821,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
14,1,5.65564901810779,-0.0792157754125046,6.74923707052638,0.0899513605724497,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
15,1,4.78296523610258,0.0374493003211783,7.98027743331932,0.0392413139197793,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
16,1,4.71795692220473,0.00622371504668486,4.70535948189813,0.00156828834085017,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
17,1,5.65564901810779,-0.0792157754125046,7.39001879977327,0.0899513605724497,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
18,1,4.4121086894056,0.0374493003211783,7.24109032586484,0.0943581063404246,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
19,1,5.17474976549447,-0.0224886549178534,4.61338249103911,0.057339023591487,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
20,1,4.46201990725698,0.186935493827159,3.73263280838354,0.222398001826321,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
21,1,3.68600358441885,0.212769084954406,5.76520338549013,0.0289154846671852,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
22,1,4.87224302184092,0.135543857159733,6.25352933935355,-0.042612298124848,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
23,1,4.1410672179155,0.0938153728905107,1.96212039606775,0.257327570571249,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
24,1,4.74774376718859,0.0407691367813614,4.36887467914214,0.110083210933703,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
25,1,4.49894616458817,0.178418396393829,4.21718420577666,0.0351888268768251,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
26,1,4.75861934661431,-2.69346145198995e-05,6.41427493750173,0.0130737286153299,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
27,1,5.26126455081826,0.00555091858601797,5.91735186939824,0.0847209549454734,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
28,1,5.14580132471647,-0.00117722650350387,8.02607721212036,-0.0366871837210378,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
29,1,5.2657030377722,0.0201603416641776,7.73710350035807,0.0448102326848,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
30,1,5.29225154438064,-0.0544149657504377,6.35630089069299,0.0971861343049549,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
31,1,5.14580132471647,-0.0433527538883974,3.70688668435545,-0.0366871837210378,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
32,1,4.70763893265596,0.120848071018441,4.76397376465316,0.0439493769637139,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
33,1,5.05275723618037,-0.195219842988848,5.00072204624224,0.0938004723507804,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
34,1,4.87155640958842,0.0958938116887638,6.10123511166903,0.0385728249423669,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
35,1,4.70763893265596,0.120848071018441,4.76397376465316,0.0439493769637139,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
36,1,5.54425255290351,0.0102845374261358,8.09627105744246,0.0678889659474096,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
37,1,4.30102561198675,0.0498522257136589,2.87715256406891,0.0296237740533415,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
38,1,4.70763893265596,0.0905859639044096,6.05956564367899,0.141622259804392,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
39,1,5.32790801997185,-0.0783537714268558,3.27167456377731,0.124208155123543,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
40,1,5.01146000950284,0.0454648508121951,6.37796991511512,0.0153954447470439,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
41,1,3.9103630287718,0.210619420161638,5.25092424977444,0.0964206626713767,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
42,1,4.1585007872595,0.184119511875196,5.2161895104987,0.0368418695065806,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
43,1,4.76605275817853,0.127147112832407,7.25690140432858,0.0094807728027757,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
44,1,4.65920127590498,0.168213175492418,5.65570807973514,0.110973794501768,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
45,1,5.34585320435191,-0.110665302256816,5.06160344749964,0.0539140929616416,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
46,1,4.75202895699619,0.119666799291315,5.18574521584338,-0.0321060705932799,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
47,1,4.12938400746196,0.161455544327068,6.13875474189199,-0.0458612658286552,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
48,1,4.94994627821371,0.0528711781341921,2.04956008081241,0.0265394226427054,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
49,1,4.29301084891712,0.119666799291315,5.18574521584338,0.130593631634508,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
50,1,4.08625419477479,0.0566595354801226,5.61197890273532,0.0362250997923311,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
51,1,4.40681052424942,0.170535367495277,5.35242636378416,0.0761938290208035,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
52,1,4.40253493895985,0.0632671091681498,5.87789374867431,-0.037799037069755,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
53,1,4.97193023239454,0.175432398689693,2.86950110846674,0.0381289428308685,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
54,1,4.40681052424942,0.143726231547495,6.07528393519156,0.12883368688248,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
55,1,4.99386714099793,-0.145609986123731,4.98185762416211,-0.0295739880594194,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
56,1,4.5602129400276,0.0752235537760402,3.19111735560656,0.0267312194125947,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
57,1,5.24036203640152,0.0606054065706717,5.34652744716075,-0.145663449019647,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
58,1,5.12655128911521,-0.140972070260347,7.77833700665269,0.0769948160824274,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
59,1,4.35968591934724,0.0572266702811321,7.31733838424877,0.142604631488016,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
60,1,5.19993720204157,-0.0404861704614484,5.31092190125388,-0.071282740358886,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
61,1,5.45890574500416,-0.123062902654796,6.5084527783442,-0.012160203203584,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
62,1,4.7872010198909,0.135459659711292,6.97349773177308,0.01003297886836,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
63,1,6.04256711522168,-0.112569498227587,3.96012079120053,-0.0094986549532879,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
64,1,4.56800751457867,-0.117565548815033,4.15574626057284,-0.0201625215972613,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
65,1,4.00846136052844,0.107338175080744,6.6568661042736,0.0175798846993714,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
66,1,5.01797823227404,0.0870726451241416,6.4271321546849,0.0546863308371265,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
67,1,4.73529829401989,-0.0207697882024493,5.88742098687659,0.0209672406234433,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
68,1,4.85227121738747,0.0116559785552409,4.399080592581,0.000143619569666586,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
69,1,5.00458808264278,-0.0571649479965929,2.49194155024382,0.0851572872653042,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
70,1,5.21918297712011,-0.0243112087305165,8.10562909748609,0.0223764738916109,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
71,1,5.10564451447664,-0.0257966109076568,5.30116455188225,-0.0423541223736158,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
72,1,4.68535900950636,-0.0576551251723875,3.26300644834403,0.0763256533783929,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,11
