rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23,eta_hcov1,eta_hcov2,score4C
1,1,1.12310024348376,0.167843126786964,-2.83463821177411,-0.0473939151094175,0,0,0,0,0,0,0,0,11
2,1,0.570357746425246,0.209579979206661,-0.508007160054306,-0.0454994306397046,0,0,0,0,0,0,0,0,11
3,1,0.847054899033805,0.199125032794441,-4.81277712043034,0.0666621620899537,0,0,0,0,0,0,0,0,11
4,1,-0.0571414230501959,0.190024177972629,-0.689576566259016,0.00956220698285806,0,0,0,0,0,0,0,0,11
5,1,0.26995882517486,0.325581290360321,1.26846862358377,-0.0179962189905914,0,0,0,0,0,0,0,0,11
6,1,1.03867960902342,-0.028676118163365,-2.88703866364976,0.0235627034271439,0,0,0,0,0,0,0,0,11
7,1,0.998118401841491,0.234535795210917,-0.475585927771964,-0.0688655874072932,0,0,0,0,0,0,0,0,11
8,1,0.329034004342143,0.330482309605458,0.00106940886107227,-0.00172532504392767,0,0,0,0,0,0,0,0,11
9,1,1.20767558974505,-0.0431018720335631,-0.387817801486882,0.000562712055606721,0,0,0,0,0,0,0,0,11
10,1,0.986110679771681,0.146951630970973,2.71186399607892,0.0778879597242148,0,0,0,0,0,0,0,0,11
11,1,0.47834613994267,0.0856093075821792,0.197071699280242,0.0042799166149184,0,0,0,0,0,0,0,0,11
12,1,0.754201590914094,-0.0431018720335631,0.288333453240747,-0.0586339959349178,0,0,0,0,0,0,0,0,11
13,1,0.415799246122008,0.181419098053937,-0.89835571799505,-0.0265380214320178,0,0,0,0,0,0,0,0,11
14,1,1.41112901810779,0.0769889245874954,1.15375707052638,0.0422983005724498,0,0,0,0,0,0,0,0,11
15,1,0.538445236102577,0.193654000321178,2.38479743331932,-0.00841174608022069,0,0,0,0,0,0,0,0,11
16,1,0.473436922204726,0.162428415046685,-0.890120518101864,-0.0460847716591498,0,0,0,0,0,0,0,0,11
