rep,id,b02,b12,b03,b13,h1,h2,alpha12,alpha13,alpha22,alpha23,hcov1,hcov2,eta_b02,eta_b12,eta_b03,eta_b13,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23,eta_hcov1,eta_hcov2
1,1,5.30140773243711,-0.134508574680507,5.27570800190254,-0.0723316896270023,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,3.68906074027255,-1.75452978044372,1.05689178846356,0.0216961123268744,-0.319768073992698,-0.11998475198702,0,0,0,0,0,0,0,0
2,1,4.15512059858898,0.0124747470796948,4.01528608605921,0.0797763270449823,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,3.68906074027255,-1.75452978044372,-0.0893953453845722,0.168679434087077,-1.58018998983602,0.0321232646849641,0,0,0,0,0,0,0,0
3,1,4.74203348451372,-0.0494594060481044,3.97850363413995,0.0173125054555723,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,3.68906074027255,-1.75452978044372,0.497517540540176,0.106745280959277,-1.61697244175528,-0.0303405569044459,0,0,0,0,0,0,0,0
1,2,3.52862678631256,0.00770345794293589,6.35890687589503,0.0186693235982404,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.67684579103298,-0.797513536565327,-0.715889157660992,0.163908144950318,0.763430799999796,-0.0289837387617778,0,0,0,0,0,0,0,0
2,2,3.82925970848517,-0.166901434340735,3.99248757882989,0.109453599118274,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.67684579103298,-0.797513536565327,-0.415256235488378,-0.0106967473333535,-1.60298849706535,0.061800536758256,0,0,0,0,0,0,0,0
3,2,3.38946598573189,0.124288927372612,5.61989732116985,0.121472733992455,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.67684579103298,-0.797513536565327,-0.855049958241657,0.280493614379994,0.0244212452746124,0.0738196716324372,0,0,0,0,0,0,0,0
1,3,2.22552373449083,-0.578584634839471,5.54671943499201,0.157376303514169,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.01221494923957,-0.957016243878392,-2.01899220948272,-0.422379947832089,-0.0487566409032292,0.10972324115415,0,0,0,0,0,0,0,0
2,3,3.05600026050554,-0.416972325987166,3.89953383432089,0.0840472122389666,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.01221494923957,-0.957016243878392,-1.18851568346801,-0.260767638979784,-1.69594224157434,0.0363941498789484,0,0,0,0,0,0,0,0
3,3,3.14158781737437,-0.490535800135272,5.9005593968093,0.0987356260678414,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.01221494923957,-0.957016243878392,-1.10292812659917,-0.33433111312789,0.30508332091406,0.0510825637078232,0,0,0,0,0,0,0,0
1,4,2.84238219440888,-0.268130847056202,4.95856757265502,0.09008850849829,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.68295326565276,-1.27602165850452,-1.40213374956466,-0.11192616004882,-0.63690850324022,0.0424354461382718,0,0,0,0,0,0,0,0
2,4,3.43738996883279,-0.412128936035368,4.58467182602783,0.0553033065283989,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.68295326565276,-1.27602165850452,-0.80712597514076,-0.255924249027987,-1.01080424986741,0.00765024416838068,0,0,0,0,0,0,0,0
3,4,2.54369203504309,-0.153520359109542,4.42016139004075,-0.0386959972024771,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.68295326565276,-1.27602165850452,-1.70082390893045,0.00268432789783954,-1.17531468585448,-0.0863490595624953,0,0,0,0,0,0,0,0
1,5,3.40982492226661,-0.0201811709055246,7.00689246768141,0.181473352846167,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.00610747461979,-0.478508121939196,-0.83469102170694,0.136023516101857,1.41141639178618,0.133820290486149,0,0,0,0,0,0,0,0
2,5,3.64441119471829,-0.0138310333183397,6.05079473544258,0.197259139229008,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.00610747461979,-0.478508121939196,-0.60010474925526,0.142373653689042,0.455318659547349,0.14960607686899,0,0,0,0,0,0,0,0
3,5,3.13566426030158,0.00788987746484379,6.25107844571054,0.193460082645442,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.00610747461979,-0.478508121939196,-1.10885168367197,0.164094564472226,0.655602369815301,0.145807020285424,0,0,0,0,0,0,0,0
1,6,5.15582156405117,-0.011627365058652,4.46789128066806,-0.0434294646692549,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,0.67073831641319,-0.319005414626131,0.911305620077618,0.14457732194873,-1.12758479522718,-0.0910825270292731,0,0,0,0,0,0,0,0
2,6,4.83481492582222,-0.500014993225248,5.78771745655308,0.0258959596820221,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,0.67073831641319,-0.319005414626131,0.590298981848674,-0.343810306217866,0.192241380657846,-0.0217571026779961,0,0,0,0,0,0,0,0
3,6,4.6872819130079,-0.233091829784206,4.99870777457898,0.0579233641032766,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,0.67073831641319,-0.319005414626131,0.442765969034351,-0.0768871427768243,-0.596768301316253,0.0102703017432584,0,0,0,0,0,0,0,0
1,7,4.95460195452226,-0.143712435012808,6.89381949379136,0.0589344763974887,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,4.02442989847914,-1.91403248775678,0.710086010548707,0.0124922519945735,1.29834341789613,0.0112814140374705,0,0,0,0,0,0,0,0
2,7,5.21816410057268,-0.0756998589827768,7.15192431707086,0.110406267116823,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,4.02442989847914,-1.91403248775678,0.973648156599129,0.0805048280246049,1.55644824117563,0.0627532047568051,0,0,0,0,0,0,0,0
3,7,4.89091584681294,-0.0555978385441817,6.27838927370891,0.0442765042668558,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,4.02442989847914,-1.91403248775678,0.646399902839393,0.1006068484632,0.682913197813679,-0.0033765580931624,0,0,0,0,0,0,0,0
1,8,4.12438088885333,-0.0726913961354514,7.23220237672914,0.205435824426679,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.34758410744617,-1.11651895119146,-0.120135055120221,0.0835132908719303,1.6367263008339,0.15778276206666,0,0,0,0,0,0,0,0
2,8,4.26572236439235,-0.0279860990386527,8.73178581533957,0.118221368174832,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.34758410744617,-1.11651895119146,0.0212064204188041,0.128218587968729,3.13630973944433,0.0705683058148136,0,0,0,0,0,0,0,0
3,8,3.77725389218316,-0.0315411367322086,9.55705148471347,0.114624985939179,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.34758410744617,-1.11651895119146,-0.467262051790389,0.124663550275173,3.96157540881824,0.0669719235791607,0,0,0,0,0,0,0,0
1,9,6.45202369266469,-0.0344768087556734,7.49435694624302,0.0696447000384738,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.01221494923957,-0.957016243878392,2.20750774869115,0.121727878251708,1.89888087034779,0.0219916376784557,0,0,0,0,0,0,0,0
2,9,5.96484933795887,0.0495224105239905,6.70015180784142,-0.0949707784122033,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.01221494923957,-0.957016243878392,1.72033339398533,0.205727097531372,1.10467573194619,-0.142623840772222,0,0,0,0,0,0,0,0
3,9,6.22280884607631,-0.011916430423075,5.13626839448574,0.0471915689938176,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.01221494923957,-0.957016243878392,1.97829290210276,0.144288256584307,-0.459207681409501,-0.000461493366200542,0,0,0,0,0,0,0,0
1,10,4.93340992283849,-0.0885213595494755,7.46562118638901,0.0754820634227284,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.67684579103298,-0.797513536565327,0.688893978864938,0.0676833274579063,1.87014511049377,0.0278290010627102,0,0,0,0,0,0,0,0
2,10,5.28430389451072,-0.34847161570526,5.8412063217349,-0.036092743980018,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.67684579103298,-0.797513536565327,1.03978795053717,-0.192266928697878,0.245730245839666,-0.0837458063400362,0,0,0,0,0,0,0,0
3,10,3.95554719332629,-0.415650099616798,6.02908130129565,0.0382488219401948,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.67684579103298,-0.797513536565327,-0.288968750647257,-0.259445412609416,0.43360522540041,-0.00940424041982337,0,0,0,0,0,0,0,0
1,11,2.64234075712994,-0.210620303019119,5.29771453774177,0.15323634480841,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.68295326565276,-1.27602165850452,-1.60217518684361,-0.0544156160117377,-0.297761538153464,0.105583282448392,0,0,0,0,0,0,0,0
2,11,3.57366354547463,-0.245440239113806,4.90807764175238,0.173960513271486,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.68295326565276,-1.27602165850452,-0.670852398498917,-0.0892355521064239,-0.687398434142854,0.126307450911468,0,0,0,0,0,0,0,0
3,11,3.31789301571866,-0.259086641417781,5.19948494720967,0.0740741339606818,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,2.68295326565276,-1.27602165850452,-0.926622928254891,-0.1028819544104,-0.395991128685561,0.0264210716006636,0,0,0,0,0,0,0,0
1,12,5.89680389397279,-0.14010636185652,5.09265800136627,0.146288583296737,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.34147663282638,-0.638010829252261,1.65228794999924,0.0160983251508621,-0.502818074528965,0.0986355209367193,0,0,0,0,0,0,0,0
2,12,6.41914751839674,-0.328858442524623,4.28794642776595,0.244331084754367,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.34147663282638,-0.638010829252261,2.17463157442319,-0.172653755517242,-1.30752964812928,0.196678022394349,0,0,0,0,0,0,0,0
3,12,4.78714480306447,-0.0810176347023071,6.01727020863678,0.129099318866853,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.34147663282638,-0.638010829252261,0.542628859090923,0.0751870523050747,0.421794132741542,0.0814462565068353,0,0,0,0,0,0,0,0
1,13,1.37386078908475,-0.430094179749148,4.17660100623829,0.125358317980294,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,5.03053737309892,-2.39254060969598,-2.8706551548888,-0.273889492741767,-1.41887506965694,0.0777052556202754,0,0,0,0,0,0,0,0
2,13,2.01360406026229,-0.241337501048343,2.69363992785995,0.0285065700619938,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,5.03053737309892,-2.39254060969598,-2.23091188371125,-0.0851328140409616,-2.90183614803529,-0.0191464922980243,0,0,0,0,0,0,0,0
3,13,0.9459100197167,-0.0769378798876413,2.92567065176903,0.0911957210784755,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,5.03053737309892,-2.39254060969598,-3.29860592425685,0.0792668071197404,-2.66980542412621,0.0435426587184573,0,0,0,0,0,0,0,0
1,14,5.02899723154619,-0.424775966093041,5.14619192488601,0.0551527856496918,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.34147663282638,-0.638010829252261,0.78448128757264,-0.268571279085659,-0.449284151009224,0.00749972328967365,0,0,0,0,0,0,0,0
2,14,4.47516604741965,-0.380343403461853,4.85778966070614,0.1025814883905,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.34147663282638,-0.638010829252261,0.230650103446105,-0.224138716454471,-0.737686415189095,0.0549284260304823,0,0,0,0,0,0,0,0
3,14,4.44898048787063,-0.315329542810711,5.48457679216994,0.0778898779182549,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,1.34147663282638,-0.638010829252261,0.204464543897078,-0.159124855803329,-0.1108992837253,0.0302368155582367,0,0,0,0,0,0,0,0
1,15,5.68736572323987,-0.0936220851869705,7.47831234536355,0.0541245885274302,0.00042609134766917,0.103486542644181,0.497885120057587,0.470088127678761,-0.266855267699426,-0.505168751052664,3.01832242385936,-1.43552436581759,1.44284977926632,0.0625826018204113,1.88283626946832,0.00647152616741204,0,0,0,0,0,0,0,0
