rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23,eta_hcov1,eta_hcov2,score4C
1,1,1.05689178846356,0.0216961123268744,-0.319768073992698,-0.11998475198702,0,0,0,0,0,0,0,0,11
2,1,-0.0893953453845722,0.168679434087077,-1.58018998983602,0.0321232646849641,0,0,0,0,0,0,0,0,11
3,1,0.497517540540176,0.106745280959277,-1.61697244175528,-0.0303405569044459,0,0,0,0,0,0,0,0,11
1,2,-0.715889157660992,0.163908144950318,0.763430799999796,-0.0289837387617778,0,0,0,0,0,0,0,0,5
2,2,-0.415256235488378,-0.0106967473333535,-1.60298849706535,0.061800536758256,0,0,0,0,0,0,0,0,5
3,2,-0.855049958241657,0.280493614379994,0.0244212452746124,0.0738196716324372,0,0,0,0,0,0,0,0,5
1,3,-2.01899220948272,-0.422379947832089,-0.0487566409032292,0.10972324115415,0,0,0,0,0,0,0,0,6
2,3,-1.18851568346801,-0.260767638979784,-1.69594224157434,0.0363941498789484,0,0,0,0,0,0,0,0,6
3,3,-1.10292812659917,-0.33433111312789,0.30508332091406,0.0510825637078232,0,0,0,0,0,0,0,0,6
1,4,-1.40213374956466,-0.11192616004882,-0.63690850324022,0.0424354461382718,0,0,0,0,0,0,0,0,8
2,4,-0.80712597514076,-0.255924249027987,-1.01080424986741,0.00765024416838068,0,0,0,0,0,0,0,0,8
3,4,-1.70082390893045,0.00268432789783954,-1.17531468585448,-0.0863490595624953,0,0,0,0,0,0,0,0,8
1,5,-0.83469102170694,0.136023516101857,1.41141639178618,0.133820290486149,0,0,0,0,0,0,0,0,3
2,5,-0.60010474925526,0.142373653689042,0.455318659547349,0.14960607686899,0,0,0,0,0,0,0,0,3
3,5,-1.10885168367197,0.164094564472226,0.655602369815301,0.145807020285424,0,0,0,0,0,0,0,0,3
1,6,0.911305620077618,0.14457732194873,-1.12758479522718,-0.0910825270292731,0,0,0,0,0,0,0,0,2
2,6,0.590298981848674,-0.343810306217866,0.192241380657846,-0.0217571026779961,0,0,0,0,0,0,0,0,2
3,6,0.442765969034351,-0.0768871427768243,-0.596768301316253,0.0102703017432584,0,0,0,0,0,0,0,0,2
1,7,0.710086010548707,0.0124922519945735,1.29834341789613,0.0112814140374705,0,0,0,0,0,0,0,0,12
2,7,0.973648156599129,0.0805048280246049,1.55644824117563,0.0627532047568051,0,0,0,0,0,0,0,0,12
3,7,0.646399902839393,0.1006068484632,0.682913197813679,-0.0033765580931624,0,0,0,0,0,0,0,0,12
1,8,-0.120135055120221,0.0835132908719303,1.6367263008339,0.15778276206666,0,0,0,0,0,0,0,0,7
2,8,0.0212064204188041,0.128218587968729,3.13630973944433,0.0705683058148136,0,0,0,0,0,0,0,0,7
3,8,-0.467262051790389,0.124663550275173,3.96157540881824,0.0669719235791607,0,0,0,0,0,0,0,0,7
1,9,2.20750774869115,0.121727878251708,1.89888087034779,0.0219916376784557,0,0,0,0,0,0,0,0,6
2,9,1.72033339398533,0.205727097531372,1.10467573194619,-0.142623840772222,0,0,0,0,0,0,0,0,6
3,9,1.97829290210276,0.144288256584307,-0.459207681409501,-0.000461493366200542,0,0,0,0,0,0,0,0,6
1,10,0.688893978864938,0.0676833274579063,1.87014511049377,0.0278290010627102,0,0,0,0,0,0,0,0,5
2,10,1.03978795053717,-0.192266928697878,0.245730245839666,-0.0837458063400362,0,0,0,0,0,0,0,0,5
3,10,-0.288968750647257,-0.259445412609416,0.43360522540041,-0.00940424041982337,0,0,0,0,0,0,0,0,5
1,11,-1.60217518684361,-0.0544156160117377,-0.297761538153464,0.105583282448392,0,0,0,0,0,0,0,0,8
2,11,-0.670852398498917,-0.0892355521064239,-0.687398434142854,0.126307450911468,0,0,0,0,0,0,0,0,8
3,11,-0.926622928254891,-0.1028819544104,-0.395991128685561,0.0264210716006636,0,0,0,0,0,0,0,0,8
1,12,1.65228794999924,0.0160983251508621,-0.502818074528965,0.0986355209367193,0,0,0,0,0,0,0,0,4
2,12,2.17463157442319,-0.172653755517242,-1.30752964812928,0.196678022394349,0,0,0,0,0,0,0,0,4
3,12,0.542628859090923,0.0751870523050747,0.421794132741542,0.0814462565068353,0,0,0,0,0,0,0,0,4
1,13,-2.8706551548888,-0.273889492741767,-1.41887506965694,0.0777052556202754,0,0,0,0,0,0,0,0,15
2,13,-2.23091188371125,-0.0851328140409616,-2.90183614803529,-0.0191464922980243,0,0,0,0,0,0,0,0,15
3,13,-3.29860592425685,0.0792668071197404,-2.66980542412621,0.0435426587184573,0,0,0,0,0,0,0,0,15
1,14,0.78448128757264,-0.268571279085659,-0.449284151009224,0.00749972328967365,0,0,0,0,0,0,0,0,4
2,14,0.230650103446105,-0.224138716454471,-0.737686415189095,0.0549284260304823,0,0,0,0,0,0,0,0,4
3,14,0.204464543897078,-0.159124855803329,-0.1108992837253,0.0302368155582367,0,0,0,0,0,0,0,0,4
1,15,1.44284977926632,0.0625826018204113,1.88283626946832,0.00647152616741204,0,0,0,0,0,0,0,0,9
2,15,1.67247696795564,0.191433732354171,-3.3858561619525,0.121507168679821,0,0,0,0,0,0,0,0,9
3,15,1.09468326805494,-0.110867239499708,0.982924728453347,-0.0417049008004382,0,0,0,0,0,0,0,0,9
1,16,0.549500093214878,0.0447645010593574,1.70052157710163,-0.106512433028241,0,0,0,0,0,0,0,0,9
2,16,1.00602270852276,0.126279392088764,0.956766094369693,0.0326513369103176,0,0,0,0,0,0,0,0,9
3,16,0.689688344302934,0.129979075910406,1.20335416894972,-0.0490857101919143,0,0,0,0,0,0,0,0,9
1,17,0.0608874702014539,-0.0956307196235684,0.761678499745069,-0.0435451951318771,0,0,0,0,0,0,0,0,5
2,17,-0.776044118119562,0.0141184527803529,0.374119940459342,-0.0894161342332923,0,0,0,0,0,0,0,0,5
3,17,-0.423250181027859,-0.142607373137825,1.12417849804477,-0.0401044543814874,0,0,0,0,0,0,0,0,5
1,18,-0.657389980828642,-0.0930474313900629,1.35814541636071,0.00511392947254057,0,0,0,0,0,0,0,0,2
2,18,-0.0051448763893811,-0.120187946699028,2.32180808412145,-0.0566504220635474,0,0,0,0,0,0,0,0,2
3,18,0.445366119962745,-0.162855397601799,1.53087267492305,0.0137833793790063,0,0,0,0,0,0,0,0,2
1,19,0.506498008208868,-0.194751194157728,0.29660954654523,0.00821159443484341,0,0,0,0,0,0,0,0,1
2,19,-0.0651860795084671,0.0268096548963468,1.33824970293069,0.0818512388607598,0,0,0,0,0,0,0,0,1
3,19,0.0357614267013933,-0.044273434611413,-0.609094208434341,-0.0180390514965231,0,0,0,0,0,0,0,0,1
1,20,-0.598638441265241,0.0673766409868922,-2.16242589826325,-0.0610400516965533,0,0,0,0,0,0,0,0,6
2,20,-1.53495258832701,0.0936621174092981,-2.52348569399057,-0.115935821433302,0,0,0,0,0,0,0,0,6
3,20,-0.518366644972298,-0.131341595839905,0.990585514288552,0.0580333473255815,0,0,0,0,0,0,0,0,6
1,21,-0.502627574113779,0.152788493002931,-1.03860229547417,0.0537965255775676,0,0,0,0,0,0,0,0,8
2,21,-0.145913269027382,-0.1489908195088,-1.23602154142394,0.0335686990384574,0,0,0,0,0,0,0,0,8
3,21,0.0608601077475432,-0.193471876144964,-1.26606557284227,-0.0323971932396323,0,0,0,0,0,0,0,0,8
1,22,-0.915075801454886,-0.0013580328985075,-0.752184780657659,-0.000887703562843518,0,0,0,0,0,0,0,0,5
2,22,-0.604175674419507,-0.119699241948529,-1.62342790574412,0.0868242572280716,0,0,0,0,0,0,0,0,5
3,22,-0.718463988115495,-0.209923226244234,0.558889648640894,0.000900203058040207,0,0,0,0,0,0,0,0,5
1,23,0.380068621866152,-0.260824847552065,-0.389963711681261,-0.0231728099087816,0,0,0,0,0,0,0,0,11
2,23,0.472797092734019,-0.247840860163039,-0.88890927361103,-0.0225271317927429,0,0,0,0,0,0,0,0,11
3,23,-0.0776721626578114,-0.223195664177369,-1.75547394938366,0.102422016263032,0,0,0,0,0,0,0,0,11
1,24,0.279705935528817,0.104445013494519,1.1494538393621,0.0757282593143375,0,0,0,0,0,0,0,0,13
2,24,0.067990804769396,0.217265186477341,1.12770785342217,-0.0133381210092649,0,0,0,0,0,0,0,0,13
3,24,-0.393396923018221,0.220750308088942,1.74484459379686,-0.0927898791707351,0,0,0,0,0,0,0,0,13
1,25,-0.0436883258488114,-0.188713722899098,-1.91009925146246,-0.100004437477099,0,0,0,0,0,0,0,0,1
2,25,0.425498755927812,-0.125402106106332,-3.02087247603547,-0.0975087318631949,0,0,0,0,0,0,0,0,1
3,25,0.171835112524771,-0.0494308646051535,-1.34203733681983,-0.124401193064813,0,0,0,0,0,0,0,0,1
1,26,-1.01811908333905,0.148289548428066,1.08287347719033,-0.00901536402402462,0,0,0,0,0,0,0,0,7
2,26,-0.0595965437406312,0.0784245804984787,0.419428529981939,0.151140308146791,0,0,0,0,0,0,0,0,7
3,26,-1.0930100376327,0.159210523114467,1.53622192417615,0.0459742688542037,0,0,0,0,0,0,0,0,7
1,27,-0.191679446157164,-0.046941466214777,1.60518415608617,-0.134480529731021,0,0,0,0,0,0,0,0,5
2,27,0.804015936714673,-0.057960917134916,-0.81680607961379,0.0146462836826883,0,0,0,0,0,0,0,0,5
3,27,0.739901070831423,-0.0474800825349944,-0.656084535565863,0.0157849503077753,0,0,0,0,0,0,0,0,5
1,28,-0.398565066508923,-0.126776180664896,0.770508214008887,-0.0247639782439992,0,0,0,0,0,0,0,0,6
2,28,0.215814945325405,-0.0684477125626728,0.621278827205692,-0.00107783863160983,0,0,0,0,0,0,0,0,6
3,28,1.03844059550119,0.0623588793532264,0.461953345046235,0.0392462897471932,0,0,0,0,0,0,0,0,6
1,29,-0.651244299225916,-0.113826908903608,-0.146535323950166,-0.108320965800998,0,0,0,0,0,0,0,0,6
2,29,-1.08886599989013,-0.0602791105521109,0.387499571048032,-0.0983202572982411,0,0,0,0,0,0,0,0,6
3,29,-1.32351268146595,-0.0917514027615757,2.2467755992925,0.0154486932178162,0,0,0,0,0,0,0,0,6
1,30,0.885534852133523,0.248793626219804,0.0918538488861085,-0.103535348660703,0,0,0,0,0,0,0,0,12
2,30,0.485774902170786,0.0153877498994025,2.32725141662665,0.00722379342847681,0,0,0,0,0,0,0,0,12
3,30,0.530586434303097,0.0243258240464242,1.60626583544466,0.0369167079980458,0,0,0,0,0,0,0,0,12
1,31,-0.472184906961142,-0.249205945426152,-0.859229710697918,-0.0737615599309,0,0,0,0,0,0,0,0,2
2,31,-1.01289433772798,-0.00942825832773841,-0.642822766122444,-0.0632917105883516,0,0,0,0,0,0,0,0,2
3,31,-0.709236891943926,0.20998668094283,-1.10800009346281,0.035969274643481,0,0,0,0,0,0,0,0,2
1,32,-1.39719572565847,0.357181597602273,1.65256467404301,-0.0185192034168433,0,0,0,0,0,0,0,0,12
2,32,-0.792248246185572,-0.0371574277435664,3.39248729307229,-0.0923063666489565,0,0,0,0,0,0,0,0,12
3,32,-1.24349713156991,0.0938907908484356,-0.220062614973838,0.00890589348329636,0,0,0,0,0,0,0,0,12
1,33,-0.539941568720621,0.00803449494238104,2.76312627209086,0.0118392139771275,0,0,0,0,0,0,0,0,8
2,33,0.564972978209188,-0.0561769778625179,2.56054954768098,0.00284134379024608,0,0,0,0,0,0,0,0,8
3,33,-0.201528421213347,-0.016027255405923,1.31691001268585,0.0129537772423507,0,0,0,0,0,0,0,0,8
1,34,1.83703389992102,0.0356280856603363,1.80897776964443,0.0556095122026723,0,0,0,0,0,0,0,0,5
2,34,1.33707439536692,0.479665379537568,-2.49388774224443,0.00669041370980174,0,0,0,0,0,0,0,0,5
3,34,1.99271695138998,-0.0634690653913492,-0.462052299646245,0.00230959463967764,0,0,0,0,0,0,0,0,5
1,35,0.744462304973885,0.205372652843564,-0.102967761428583,0.0150166811492872,0,0,0,0,0,0,0,0,5
2,35,0.907255464565489,0.194229876753762,0.43563718581382,0.0507320089350847,0,0,0,0,0,0,0,0,5
3,35,1.38613113899345,0.157669459789604,-0.425730880609396,-0.00949122429530962,0,0,0,0,0,0,0,0,5
1,36,0.188326169662772,0.461325199078419,0.201448030408698,-0.0597147777703236,0,0,0,0,0,0,0,0,4
2,36,0.323126376138566,0.441548996556953,-0.468806874987179,0.00377798258767129,0,0,0,0,0,0,0,0,4
3,36,1.18560637887563,0.386455723410304,0.447008467392407,-0.0899132531811421,0,0,0,0,0,0,0,0,4
1,37,-0.691931237276326,0.189767183263991,-0.144556126069091,-0.039571411858351,0,0,0,0,0,0,0,0,4
