rep,id,eta_b03,eta_b13,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha13,eta_alpha16,eta_alpha23,eta_alpha26,eta_hcov1,eta_hcov2,score4C
1,1,0.188562870989482,0.0872239311571312,1.08976229512565,0.0282108381475658,0,0,0,0,0,0,0,0,11
2,1,0.993115694949785,-0.0253509774508538,-2.3293254653627,-0.111609766036814,0,0,0,0,0,0,0,0,11
3,1,0.217230241239873,0.122939818819229,1.68121822032121,-0.241265014154305,0,0,0,0,0,0,0,0,11
1,2,-0.864118769360203,0.134897081603301,-0.116576352387938,0.103604310682577,0,0,0,0,0,0,0,0,5
2,2,-1.25261094384288,0.218321861588536,-3.35144557578994,-0.0132248793772888,0,0,0,0,0,0,0,0,5
3,2,-0.364700819595724,-0.224156397029284,2.30912787744589,-0.0795626107530899,0,0,0,0,0,0,0,0,5
1,3,-1.47359713239133,-0.37043201073112,4.88948920063692,-0.25860941739667,0,0,0,0,0,0,0,0,6
2,3,-1.05262877805831,-0.191385777398843,-1.20599696390772,-0.173703916058795,0,0,0,0,0,0,0,0,6
3,3,-0.651488339177654,-0.31297714588568,-0.877920152689484,-0.0437898095750955,0,0,0,0,0,0,0,0,6
1,4,-1.40436537909947,-0.0644244023055141,-3.06367673242912,-0.220849795013537,0,0,0,0,0,0,0,0,8
2,4,-1.36479348429552,-0.16249216229182,-5.79987051608221,-0.141933305695506,0,0,0,0,0,0,0,0,8
3,4,-1.0388883416676,-0.177250682429031,-4.32106054079442,0.170325194251717,0,0,0,0,0,0,0,0,8
1,5,-1.67489947882464,0.188653877204388,3.87588542454795,-0.444733018397771,0,0,0,0,0,0,0,0,3
2,5,-1.18714993977393,0.163328746895649,3.85228826655367,-0.359999301580728,0,0,0,0,0,0,0,0,3
3,5,-0.921642189558672,0.154579020320125,4.19819769022095,-0.267475277391733,0,0,0,0,0,0,0,0,3
1,6,0.851696068443616,0.304496884329059,-4.26435476486705,0.0939262870209396,0,0,0,0,0,0,0,0,2
2,6,1.01403972019512,0.0508099388266521,-2.64199965360758,-0.140182200169512,0,0,0,0,0,0,0,0,2
3,6,0.430488763606476,0.158967274152196,0.178289904616392,0.0479498490490928,0,0,0,0,0,0,0,0,2
1,7,0.24946594018699,0.108714428328237,2.07517543710996,-0.0727618393904947,0,0,0,0,0,0,0,0,12
2,7,0.773401036387019,0.152920849222258,0.731206947713517,-0.149841856047544,0,0,0,0,0,0,0,0,12
3,7,0.677477745491155,0.102880862021219,1.94171482875512,0.220701064365095,0,0,0,0,0,0,0,0,12
1,8,0.208564209248864,0.0688473076630091,3.01601337007054,0.0849931375315603,0,0,0,0,0,0,0,0,7
2,8,-0.0530419629336212,0.115539325081716,1.405550468673,0.0516253593414273,0,0,0,0,0,0,0,0,7
3,8,-0.941465950437683,0.222748958904528,2.91183951067234,0.137912961791856,0,0,0,0,0,0,0,0,7
1,9,1.85154963556532,0.0858114076617331,5.40977371168144,-0.232459217007625,0,0,0,0,0,0,0,0,6
2,9,2.30249494218698,0.0717720164752524,3.90489936658386,0.233811879264997,0,0,0,0,0,0,0,0,6
3,9,2.07059510805066,0.0731557878890619,1.62725598520187,0.11567799943815,0,0,0,0,0,0,0,0,6
1,10,0.33472748125401,0.0142194052445438,-1.82732564456424,0.284035388908244,0,0,0,0,0,0,0,0,5
2,10,0.583954702210026,-0.236238383529595,-0.794603024052265,-0.119824154804078,0,0,0,0,0,0,0,0,5
3,10,-0.265411799417696,0.0154015537563952,-1.12528402772648,-0.277282474421065,0,0,0,0,0,0,0,0,5
1,11,-1.13083894616092,-0.0912224280949046,-0.290640193072491,-0.0219811834715841,0,0,0,0,0,0,0,0,8
2,11,-1.08385461000061,-0.0888130170992273,-1.21707442585775,0.126400805400893,0,0,0,0,0,0,0,0,8
3,11,-1.31640367476237,-0.0625749520754562,-1.21076170633147,0.105736741481592,0,0,0,0,0,0,0,0,8
1,12,1.57020721030603,-0.0475898008922525,-0.938018266941185,-0.394443455414676,0,0,0,0,0,0,0,0,4
2,12,1.55243387285831,-0.00389329958052734,1.79111287267166,0.0517937515454084,0,0,0,0,0,0,0,0,4
3,12,1.86652699235122,0.0719265763456412,-0.861076118642529,-0.107512191601891,0,0,0,0,0,0,0,0,4
1,13,-2.5008568779295,-0.268113162865953,-2.25643586475293,0.131473608315905,0,0,0,0,0,0,0,0,15
2,13,-2.19880948898699,-0.129420741451283,0.330165210912995,-0.211162624320809,0,0,0,0,0,0,0,0,15
3,13,-2.93383081065397,-0.0606405688313842,0.614975167166321,-0.119650886549371,0,0,0,0,0,0,0,0,15
1,14,-0.12232241322238,-0.18082013813838,0.202505786122089,-0.141450230746727,0,0,0,0,0,0,0,0,4
2,14,0.187730139777455,-0.161839902884824,1.37143002748765,-0.271387155848215,0,0,0,0,0,0,0,0,4
3,14,0.658078491605816,-0.242311299744379,-2.43475711955836,-0.0575621754880155,0,0,0,0,0,0,0,0,4
1,15,1.49277303430045,0.173225449747888,5.19977444435324,-0.0661096010166408,0,0,0,0,0,0,0,0,9
2,15,2.07823980220647,-0.0480838900236507,4.14125401233514,0.2024583074165,0,0,0,0,0,0,0,0,9
3,15,1.61100333343286,0.181644545573719,1.96141760648571,0.0645766385921759,0,0,0,0,0,0,0,0,9
1,16,0.56143536484532,0.240025865762921,0.756760937657077,-0.151361321746889,0,0,0,0,0,0,0,0,9
2,16,0.576689334205158,0.23618529013868,-0.35989714628893,-0.0106939000005837,0,0,0,0,0,0,0,0,9
3,16,1.46218156992212,0.0643514592583952,-3.39895296040606,-0.0515251651823158,0,0,0,0,0,0,0,0,9
1,17,-1.38580357767071,0.244019457882731,-1.89596974105284,-0.0403828802868899,0,0,0,0,0,0,0,0,5
2,17,-1.30711527417376,0.0277780374734533,-1.46315741261645,0.0974815574502524,0,0,0,0,0,0,0,0,5
3,17,-0.899199017480342,-0.0112319089337485,-1.40794719033089,0.0320448702820541,0,0,0,0,0,0,0,0,5
1,18,0.470508893621759,-0.153540248633128,3.455785618061,-0.168729291771099,0,0,0,0,0,0,0,0,2
2,18,-0.691014306927229,-0.0999584004892224,4.39753068967703,0.00204816349107232,0,0,0,0,0,0,0,0,2
3,18,0.102585115164096,-0.139044329658309,-0.868983949396537,0.209098961101392,0,0,0,0,0,0,0,0,2
1,19,0.927999949560206,-0.196438107383943,-0.63317778585423,-0.0793061403744395,0,0,0,0,0,0,0,0,1
2,19,0.828022853860905,-0.150730168207017,-2.6159282576005,-0.219688971596962,0,0,0,0,0,0,0,0,1
3,19,0.556333857779363,-0.000967378813490904,-1.82586003760582,-0.134348771909725,0,0,0,0,0,0,0,0,1
1,20,0.0032791769017626,-0.199490639943106,1.98710042510852,-0.227324434901401,0,0,0,0,0,0,0,0,6
2,20,-0.572337314726658,-0.0980046528676846,-1.08086234694461,0.117465205408692,0,0,0,0,0,0,0,0,6
3,20,-0.715179968579073,0.00352651998136735,0.55713381737722,0.253580092024127,0,0,0,0,0,0,0,0,6
1,21,-0.368209584713324,-0.0279567511975638,1.16828101029409,0.112480184302274,0,0,0,0,0,0,0,0,8
2,21,-0.51629687006661,0.0132866762395066,2.12544364448692,0.071092911426033,0,0,0,0,0,0,0,0,8
3,21,0.685074985169316,-0.206599925344299,-0.00766831250327016,-0.138513643892402,0,0,0,0,0,0,0,0,8
1,22,-0.284287263466089,0.00343078941745975,1.01777195395599,0.199852319087869,0,0,0,0,0,0,0,0,5
2,22,-1.15815210468354,0.0519716103483376,4.12749877462549,-0.0270498274893178,0,0,0,0,0,0,0,0,5
3,22,-1.11992952731933,0.0156635533567448,-0.618256858314354,-0.0744580681776637,0,0,0,0,0,0,0,0,5
1,23,0.0468506880584112,-0.244381260117444,-4.07087883526616,0.140117999040996,0,0,0,0,0,0,0,0,11
2,23,-0.044897079925744,-0.234644706697713,-6.18813887868528,0.299138945497092,0,0,0,0,0,0,0,0,11
3,23,-0.255162788412169,-0.224186810571089,-2.55532496301041,0.0595062894445252,0,0,0,0,0,0,0,0,11
1,24,0.553498851206597,-0.179439561728951,2.23913350924796,0.268906250344679,0,0,0,0,0,0,0,0,13
2,24,0.813429084527073,-0.0901925126216529,2.89769408911499,-0.0539784501205031,0,0,0,0,0,0,0,0,13
3,24,-0.0518032113972602,-0.0430897780192979,4.60339715825269,-0.0244874022006667,0,0,0,0,0,0,0,0,13
1,25,-0.264035903001006,0.0431234148486649,2.63363681865906,-0.0415361036357766,0,0,0,0,0,0,0,0,1
2,25,-0.216438307139398,-0.126726815903136,-1.60046929032909,-0.0909547048071725,0,0,0,0,0,0,0,0,1
3,25,0.324730409607381,-0.0442530650364797,0.0773586159976247,-0.248762024144653,0,0,0,0,0,0,0,0,1
1,26,0.46740181841032,0.0607008954643138,1.07937474684613,0.309018532213594,0,0,0,0,0,0,0,0,7
2,26,-0.425101856523963,0.110047927582895,1.3849834780909,0.143695054197732,0,0,0,0,0,0,0,0,7
3,26,-0.526229373733554,0.122001021268381,1.08823945113214,0.204641533012868,0,0,0,0,0,0,0,0,7
1,27,0.10379337139678,-0.0186830470170614,1.12463280590774,0.10089365208434,0,0,0,0,0,0,0,0,5
