rep,id,b02,b12,b03,b13,b05,b15,b06,b16,h1,h2,alpha12,alpha13,alpha15,alpha16,alpha22,alpha23,alpha25,alpha26,hcov1,hcov2,eta_b02,eta_b12,eta_b03,eta_b13,eta_b05,eta_b15,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha15,eta_alpha16,eta_alpha22,eta_alpha23,eta_alpha25,eta_alpha26,eta_hcov1,eta_hcov2
1,1,5.58579654928393,-0.0861832437075167,5.19018805867617,-0.0884976031640735,4.62871643036833,0.00462835582529703,99.5030086354617,0.00686580365408326,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,4.81722675645973e-15,-1.57610583188295,-0.493391782023068,-0.0371409119075241,0.947604464338449,0.0692179133030169,0.209571352993559,-0.00641246589004133,5.18000944946502,0.0215175055004095,0,0,0,0,0,0,0,0,0,0,0,0
2,1,7.23718585441645,-0.116210715873131,5.13719660652747,-0.108873088903434,4.29405360455401,-0.00907936904236802,91.7211054442055,0.253276263847816,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,4.81722675645973e-15,-1.57610583188295,1.15799752310946,-0.0671683840731385,0.894613012189756,0.048842427563656,-0.125091472820762,-0.0201201907577064,-2.60189374179112,0.267927965694142,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6.3584223642023,-0.163891403879829,5.71522639478701,-0.179615704254442,4.55468604958283,-0.0126852175231943,92.8295251199553,0.106014665742987,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,4.81722675645973e-15,-1.57610583188295,0.279234032895307,-0.114849072079836,1.4726428004493,-0.0219001877873516,0.135540972208054,-0.0237260392385326,-1.49347406604132,0.120666367589313,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5.42903196159878,0.0868698505552951,4.23118579852187,-0.278179126435836,4.26621232732417,0.0359935364908906,95.4285735935573,-0.138061398367096,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,2.18964852566352e-15,-0.716411741764978,-0.650156369708212,0.135912182355288,-0.0113977958158511,-0.120463609968745,-0.152932750050601,0.0249527147755523,1.10557440756068,-0.123409696520769,0,0,0,0,0,0,0,0,0,0,0,0
2,2,6.18909472305054,0.0127952279023662,3.13642331904433,-0.0353298285386749,4.38314341102423,-0.0150832167248256,92.7201757063721,0.10232238602344,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,2.18964852566352e-15,-0.716411741764978,0.109906391743545,0.0618375597023588,-1.10616027529339,0.122385687928415,-0.0360016663505407,-0.026124038440164,-1.6028234796245,0.116974087869766,0,0,0,0,0,0,0,0,0,0,0,0
3,2,6.90168079341177,0.0313592972872335,2.95563816052331,-0.118485762023366,4.69711376286035,-0.0331610268206006,94.941321976208,0.0789454247236285,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,2.18964852566352e-15,-0.716411741764978,0.822492462104776,0.0804016290872261,-1.28694543381441,0.0392297544437243,0.277968685485577,-0.044201848535939,0.618322790211309,0.0935971265699547,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5.21577658685614,-0.130321276517682,3.26205694835175,-0.53168498361223,4.36994702220619,0.0161888096959618,93.911901991971,-0.0510696690575783,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,2.62757823079622e-15,-0.859694090117973,-0.863411744450859,-0.0812789447176895,-0.980526645985972,-0.37396946714514,-0.0491980551685787,0.00514798798062343,-0.411097194025686,-0.0364179672112521,0,0,0,0,0,0,0,0,0,0,0,0
2,3,6.03494759768267,0.0745595538385872,3.01459649857167,-0.35009875641679,4.18884331160576,0.0176506855730639,93.6905693359842,-0.0268723976386733,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,2.62757823079622e-15,-0.859694090117973,-0.0442407336243287,0.12360188563858,-1.22798709576605,-0.192383239949699,-0.230301765769011,0.00660986385772553,-0.632429850012414,-0.0122206957923471,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4.58294898693238,0.0293364257551634,2.47410684142047,-0.163116320172908,4.77089423767957,0.00201089296877164,96.5812327003481,0.013517829814393,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,2.62757823079622e-15,-0.859694090117973,-1.49623934437461,0.0783787575551561,-1.76847675291725,-0.00540080370581786,0.351749160304796,-0.00902992874656672,2.25823351435147,0.0281695316607192,0,0,0,0,0,0,0,0,0,0,0,0
1,4,5.78847855734928,0.0729404271423272,3.18568211681749,-0.406556798939596,4.13154865308665,-0.00968497514842133,91.7210190073937,-0.107861340811321,0.000284037132614665,0.0972950064920823,1.31141332383526,0.78898297611688,-8.96983612052639e-17,-0.925648100260289,-0.696551594866926,-0.475522104236571,-3.36722416654232,0.348884768920929,3.50343764106162e-15,-1.14625878682396,-0.290709773957714,0.12198275894232,-1.05690147752023,-0.248841282472506,-0.287596424288125,-0.0207257968637597,-2.60198017860297,-0.0932096389649945,0,0,0,0,0,0,0,0,0,0,0,0
