id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_h1_SAEM,eta_h2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM,eta_hcov1_SAEM,eta_hcov2_SAEM,score4C
1,0.56732,-0.0580799,0.633987,0.0742979,0.0969272,-0.010677,0.68585,0.0287381,0,0,0,0,0,0,0,0,0,0,0,0,11
2,0.102522,-0.00874674,-0.701529,0.0638954,-0.19151,-0.00202823,1.06702,0.00891875,0,0,0,0,0,0,0,0,0,0,0,0,5
3,-0.0546068,-0.00317997,-1.17301,-0.345724,0.0272257,-0.00149385,1.17123,0.0135176,0,0,0,0,0,0,0,0,0,0,0,0,6
4,-0.419727,-0.0348651,-1.40332,-0.0812229,0.00805467,-0.00448336,-1.61475,0.00601763,0,0,0,0,0,0,0,0,0,0,0,0,8
5,3.22295,-0.12268,-0.968865,0.165159,0.426873,0.0240327,1.03903,-0.177859,0,0,0,0,0,0,0,0,0,0,0,0,3
6,-0.680841,-0.0164481,1.07306,0.0226633,-0.142649,-0.00261006,0.796659,0.0119925,0,0,0,0,0,0,0,0,0,0,0,0,2
7,1.2294,0.0769847,0.838112,0.089184,-0.122914,-0.000187927,-0.902146,-0.0302584,0,0,0,0,0,0,0,0,0,0,0,0,12
8,-0.400089,0.117309,-0.172174,0.123387,-0.0331711,0.0023326,-2.17252,-0.0555705,0,0,0,0,0,0,0,0,0,0,0,0,7
9,0.84691,0.0771072,1.84156,0.139005,0.0872729,0.00250959,-0.757419,-0.0368702,0,0,0,0,0,0,0,0,0,0,0,0,6
10,-0.501089,-0.019192,0.160638,0.00788818,-0.182044,-0.00200469,0.839575,0.0129501,0,0,0,0,0,0,0,0,0,0,0,0,5
11,3.10451,-0.125892,-0.976406,-0.0833675,0.296438,0.0226557,-0.820181,-0.0115377,0,0,0,0,0,0,0,0,0,0,0,0,8
12,-0.250658,-0.027561,1.42048,-0.020567,-0.0436361,-0.00188774,0.715817,0.0141481,0,0,0,0,0,0,0,0,0,0,0,0,4
13,-0.499304,-0.0121259,-2.78657,-0.097832,-0.0209126,-0.00245897,1.1641,0.0141969,0,0,0,0,0,0,0,0,0,0,0,0,15
14,0.0388504,0.0393728,0.277452,-0.209813,0.244387,0.0169676,-0.0565362,0.0211978,0,0,0,0,0,0,0,0,0,0,0,0,4
15,1.17579,0.0284802,1.28821,0.0538658,0.080734,0.00359708,-2.92976,-0.0101409,0,0,0,0,0,0,0,0,0,0,0,0,9
16,-0.288444,-0.0418848,0.803345,0.13591,-0.0183494,-0.00342602,0.927802,0.0180237,0,0,0,0,0,0,0,0,0,0,0,0,9
17,-0.27562,-0.0162732,-0.837417,-0.0977897,-0.0489316,-0.00152377,0.588474,0.00581175,0,0,0,0,0,0,0,0,0,0,0,0,5
18,0.292859,-0.0145913,-0.167283,-0.120195,0.391209,0.013636,-0.369596,-0.00510638,0,0,0,0,0,0,0,0,0,0,0,0,2
19,-0.692256,-0.0440563,0.44105,-0.0597931,0.157037,-0.00243471,0.498753,0.0118142,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1.07613,-0.0191109,-0.816622,-0.055591,-0.174727,-0.00455246,0.966269,0.00700909,0,0,0,0,0,0,0,0,0,0,0,0,6
21,0.242779,-0.0332968,-0.145058,0.00062604,-0.171198,-0.00357216,0.963802,0.010022,0,0,0,0,0,0,0,0,0,0,0,0,8
22,0.307932,-0.0604516,-1.14565,0.0339633,0.13036,-0.00269287,0.743792,0.0107436,0,0,0,0,0,0,0,0,0,0,0,0,5
23,0.0574824,0.000873632,-0.171045,-0.215679,0.203269,0.00601505,-2.87499,-0.00127582,0,0,0,0,0,0,0,0,0,0,0,0,11
24,1.05364,0.022319,0.610812,0.152247,0.0420443,0.0045357,-2.17624,-0.0136731,0,0,0,0,0,0,0,0,0,0,0,0,13
25,-0.0298816,-0.00790746,0.256296,-0.0868508,-0.0698747,-0.00150591,0.200075,0.00432588,0,0,0,0,0,0,0,0,0,0,0,0,1
26,-0.111269,0.119826,-0.485116,0.136213,0.226349,0.019877,-1.21239,-0.0650395,0,0,0,0,0,0,0,0,0,0,0,0,7
27,-0.66053,-0.0239635,0.607644,-0.0612047,0.155565,-0.000128445,-1.02141,-0.00552289,0,0,0,0,0,0,0,0,0,0,0,0,5
