rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b05,eta_b15,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha15,eta_alpha16,eta_alpha22,eta_alpha23,eta_alpha25,eta_alpha26,eta_hcov1,eta_hcov2,score4C
1,1,-0.493391782023068,-0.0371409119075241,0.947604464338449,0.0692179133030169,0.209571352993559,-0.00641246589004133,5.18000944946502,0.0215175055004095,0,0,0,0,0,0,0,0,0,0,0,0,11
2,1,1.15799752310946,-0.0671683840731385,0.894613012189756,0.048842427563656,-0.125091472820762,-0.0201201907577064,-2.60189374179112,0.267927965694142,0,0,0,0,0,0,0,0,0,0,0,0,11
3,1,0.279234032895307,-0.114849072079836,1.4726428004493,-0.0219001877873516,0.135540972208054,-0.0237260392385326,-1.49347406604132,0.120666367589313,0,0,0,0,0,0,0,0,0,0,0,0,11
1,2,-0.650156369708212,0.135912182355288,-0.0113977958158511,-0.120463609968745,-0.152932750050601,0.0249527147755523,1.10557440756068,-0.123409696520769,0,0,0,0,0,0,0,0,0,0,0,0,5
2,2,0.109906391743545,0.0618375597023588,-1.10616027529339,0.122385687928415,-0.0360016663505407,-0.026124038440164,-1.6028234796245,0.116974087869766,0,0,0,0,0,0,0,0,0,0,0,0,5
3,2,0.822492462104776,0.0804016290872261,-1.28694543381441,0.0392297544437243,0.277968685485577,-0.044201848535939,0.618322790211309,0.0935971265699547,0,0,0,0,0,0,0,0,0,0,0,0,5
1,3,-0.863411744450859,-0.0812789447176895,-0.980526645985972,-0.37396946714514,-0.0491980551685787,0.00514798798062343,-0.411097194025686,-0.0364179672112521,0,0,0,0,0,0,0,0,0,0,0,0,6
2,3,-0.0442407336243287,0.12360188563858,-1.22798709576605,-0.192383239949699,-0.230301765769011,0.00660986385772553,-0.632429850012414,-0.0122206957923471,0,0,0,0,0,0,0,0,0,0,0,0,6
3,3,-1.49623934437461,0.0783787575551561,-1.76847675291725,-0.00540080370581786,0.351749160304796,-0.00902992874656672,2.25823351435147,0.0281695316607192,0,0,0,0,0,0,0,0,0,0,0,0,6
1,4,-0.290709773957714,0.12198275894232,-1.05690147752023,-0.248841282472506,-0.287596424288125,-0.0207257968637597,-2.60198017860297,-0.0932096389649945,0,0,0,0,0,0,0,0,0,0,0,0,8
2,4,0.533710179180011,-0.0811627588960823,-0.333164661209211,-0.113292386815809,-0.126975294857994,-0.00551971929312031,-1.74944127280283,0.00168435588926911,0,0,0,0,0,0,0,0,0,0,0,0,8
3,4,-0.868780960734203,-0.073179120867374,-1.38246825880061,-0.102484583876153,0.0550851308857441,0.0286494668371627,-0.662842021891379,0.0957752541260563,0,0,0,0,0,0,0,0,0,0,0,0,8
1,5,3.09472597127547,-0.11092187414551,-0.289541279783802,0.128674839391436,-0.112270190801147,0.0342507316176248,1.56478566352749,-0.179942345600821,0,0,0,0,0,0,0,0,0,0,0,0,3
2,5,2.93004903759299,-0.108918963017268,-0.829475325077981,0.13996582036043,0.243497192755389,0.0468320252565514,0.5015209071979,-0.243398231048371,0,0,0,0,0,0,0,0,0,0,0,0,3
3,5,3.69123633909528,-0.13322198681521,-1.09623050160628,0.164125927426919,0.36996846379769,0.0345199546559716,-0.388409814176185,-0.102164148057502,0,0,0,0,0,0,0,0,0,0,0,0,3
1,6,-1.73666246074389,-0.0162485060008292,1.37903827500293,0.0219343516747845,-0.330557455388725,-0.0103408748057711,-5.9460977046508,0.0760618348196836,0,0,0,0,0,0,0,0,0,0,0,0,2
2,6,0.493181688733692,-0.0299385198876004,1.52111849385166,-0.0538775726107151,-0.384708513461792,0.0162469500393977,2.94574504986571,0.106342495802757,0,0,0,0,0,0,0,0,0,0,0,0,2
3,6,0.219529501046707,-0.0135340535495855,0.85956391294335,-0.209132559413817,-0.0723679306426073,-0.000730380930591801,0.152606148909769,0.00781084462887021,0,0,0,0,0,0,0,0,0,0,0,0,2
1,7,1.76261372459238,0.0662771075659938,1.1488505778092,-0.03929814343331,-0.381632156569645,0.0248176588399992,-1.08678188538299,-0.139984373081323,0,0,0,0,0,0,0,0,0,0,0,0,12
2,7,1.09252478190845,-0.0146718589679649,0.0511797019069844,0.19676581325046,-0.413473361251738,0.0195513806507442,-1.56446337825518,-0.0758411845901338,0,0,0,0,0,0,0,0,0,0,0,0,12
3,7,-0.290272960834836,-0.0305289615964311,1.52283939594012,0.0515743989987077,-0.769293016128498,-0.0199910718810808,-2.09431601904363,-0.238583463362767,0,0,0,0,0,0,0,0,0,0,0,0,12
1,8,-0.222101465794425,0.116870595055639,-0.0363640648149728,0.153163315671815,-0.033581785019515,0.0116585783250363,-1.44456712695471,0.0223262368518455,0,0,0,0,0,0,0,0,0,0,0,0,7
2,8,-1.45372859484075,0.0418583552524202,-0.242969166898935,0.146728647398528,0.00562496830842818,-0.00502254857915634,-2.24131411749038,-0.100313374635225,0,0,0,0,0,0,0,0,0,0,0,0,7
3,8,-0.00081504409442168,0.0625331000523946,-0.753249243900643,0.158311895635785,-0.130756139014222,-0.00656394201128466,-3.89000347295098,0.0302415586623292,0,0,0,0,0,0,0,0,0,0,0,0,7
1,9,0.28067858458203,0.0379207369243638,2.02045769593447,0.120032218803124,0.132781542169856,0.00947641018268673,-0.5040935824738,-0.0328771788886128,0,0,0,0,0,0,0,0,0,0,0,0,6
2,9,2.45932290948014,0.02202197064221,1.13865790288166,0.274078661963521,-0.0434805487248289,-0.0167241266018513,-0.437987966320634,-0.0589413983894741,0,0,0,0,0,0,0,0,0,0,0,0,6
3,9,1.61497392687623,0.0782261698931275,1.18860148167474,0.283881624588851,0.00880447813006313,-0.0157620549109484,-1.49131695104298,0.0942447747446924,0,0,0,0,0,0,0,0,0,0,0,0,6
1,10,0.293256792792583,-0.139722184366896,0.207519537686395,0.365307692842047,0.122213254399539,-0.0404011485039157,5.22394902458386,0.102083291119594,0,0,0,0,0,0,0,0,0,0,0,0,5
2,10,0.106817376360519,-0.0186247766463775,-0.321996010054309,0.325444355680892,-0.14049619036632,0.0153133537353183,1.53788452269146,-0.0480395637981371,0,0,0,0,0,0,0,0,0,0,0,0,5
3,10,-0.985478631800457,-0.00867759724642592,0.936600567155764,0.0824648675569256,-0.0590613503576476,-0.00818135781098374,-0.063839345098387,-0.0954380583789649,0,0,0,0,0,0,0,0,0,0,0,0,5
1,11,3.5248038636611,-0.118804082107947,-0.859903562641338,-0.0853125050128348,0.437258072478307,0.0223358330442465,-1.50440915945748,0.0734674143195638,0,0,0,0,0,0,0,0,0,0,0,0,8
2,11,3.64768816061916,-0.162453179441965,-1.20047991192633,-0.0801807781902568,0.519127570811219,0.0294711313379542,0.0458989429832286,-0.105877614540078,0,0,0,0,0,0,0,0,0,0,0,0,8
3,11,3.3450409253662,-0.203427430754432,-0.753460126612098,-0.0925243861059218,0.197741486923079,0.0447905120390025,-0.780484247785438,-0.0200920241999774,0,0,0,0,0,0,0,0,0,0,0,0,8
1,12,0.315653521719334,-0.0619077962236583,1.12638634814191,0.256284906190621,-0.089716176868059,0.00182055733877356,1.35251380504361,-0.0249705623391312,0,0,0,0,0,0,0,0,0,0,0,0,4
2,12,0.0692424908540756,-0.038927909786038,0.875778270513911,0.0664358834199733,-0.45194638578799,0.0297505489319872,-1.53533858677126,0.0432122478881767,0,0,0,0,0,0,0,0,0,0,0,0,4
3,12,-0.127177691113615,0.017241532173132,1.38734869631349,-0.0772789569999798,-0.0763340224947058,-0.0461311623528268,-0.18438755893321,0.139193330443614,0,0,0,0,0,0,0,0,0,0,0,0,4
1,13,-0.380627035576549,-0.131501736768624,-2.20787635166207,-0.276912611390912,0.0285390117140656,0.018563728804975,0.564254354590162,-0.0201716716390801,0,0,0,0,0,0,0,0,0,0,0,0,15
2,13,-0.672768120695143,-0.0361171691399644,-2.956945615119,-0.176885205252397,-0.146730046783478,-0.0162961447832202,1.54361909172727,-0.118882713808686,0,0,0,0,0,0,0,0,0,0,0,0,15
3,13,-0.295221523001913,-0.113011937101683,-3.69367515121382,-0.192327382427537,0.132069944584242,-0.0182899962355358,0.0531467648248167,0.0253005747473423,0,0,0,0,0,0,0,0,0,0,0,0,15
1,14,0.0822389325362565,0.172777127427781,0.102520077485764,-0.211403233348108,0.342732109820852,0.0170677407550817,2.28036234175617,-0.0332903559104403,0,0,0,0,0,0,0,0,0,0,0,0,4
2,14,-0.317972349791912,0.0968812240402317,-0.624502200339303,-0.146039616634792,0.336413879078457,0.00804285504294619,0.231342794905913,0.0827471493188146,0,0,0,0,0,0,0,0,0,0,0,0,4
3,14,-0.0570956092897505,-0.0405893345003204,-0.356869127873762,-0.187471797481016,0.0686015456560023,0.0278374449494801,0.230358577212186,-0.0210827680120727,0,0,0,0,0,0,0,0,0,0,0,0,4
