rep,id,b01,b11,b02,b12,b03,b13,b04,b14,b05,b15,b06,b16,h1,h2,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,hcov1,hcov2,eta_b01,eta_b11,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha16,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha26,eta_hcov1,eta_hcov2
1,1,89.4556423512925,0.483789045526985,6.60574880070038,-0.0757026384950785,4.56787764647926,0.00523966208336979,7.39229693428138,-0.160967671849931,4.82817478033567,-0.00240333560003601,95.652192174407,-0.391840381160062,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-6.39862126917796e-14,-0.855978238669936,0.258645720294467,0.0907351427217344,0.532334476904192,-0.0173051099175494,0.328414494105272,0.151888035183891,2.97483089390873,-0.118736119383327,0.359328272722083,-0.0148709723317237,1.64403531325313,-0.329976754138592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,112.127636871106,0.0136052265254808,6.5906549630022,-0.0860518807887745,4.15499475559085,-0.0386293427152832,5.33404087561502,-0.0262916654674586,4.90254400855864,0.0462162787100237,95.1670083325987,-0.111535324600573,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-6.39862126917796e-14,-0.855978238669936,22.9306402401078,-0.37944867627977,0.517240639206005,-0.0276543522112454,-0.0844683967831408,0.108019030385238,0.916574835242368,0.0159398869991449,0.433697500945052,0.033748641978336,1.15885147144485,-0.0496716975791028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,109.792022782116,-0.245194044918853,6.24157133300551,-0.0349148165576822,4.74762006598307,-0.0568358307745496,3.94289473201883,-0.0409592372894086,4.94666486302393,-0.00598234541834803,93.7286064608886,-0.0962638235065656,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-6.39862126917796e-14,-0.855978238669936,20.5950261511178,-0.638247947724104,0.168157009209321,0.0234827120198469,0.508156913609085,0.0898125423259715,-0.47457130835382,0.00127231517719487,0.477818355410335,-0.0184499821500357,-0.279550400265279,-0.0344001964850955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,67.3086133021152,-0.26690416630936,5.2849410882353,0.0317691836731618,3.76004755540008,0.165877519709793,5.09482521728107,-0.186285632351225,4.52091732822703,0.0494270290986507,89.7722252179159,-0.140571583832395,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-2.90846421326271e-14,-0.389081017577244,-21.8883833288828,-0.659958069114611,-0.788473235560893,0.0901667122506909,-0.47941559697391,0.312525892810314,0.677359176908414,-0.144054079884621,0.052070820613439,0.036959392366963,-4.23593164323798,-0.0787079568109244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,83.7893534698749,1.95476609727769,7.23406551532292,-0.00973853298039275,3.71492688626825,-0.143877634018582,5.94621327242097,0.0243070169180015,4.29395738881547,0.0401480630276269,95.7188378261775,-0.0440689496324618,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-2.90846421326271e-14,-0.389081017577244,-5.40764316112305,1.56171219447244,1.16065119152673,0.0486589955971364,-0.524536266105738,0.00277073908193931,1.52874723204832,0.066538569384605,-0.174889118798123,0.0276804262959393,1.71068096502367,0.0177946773890084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,82.1239763529954,2.68175895118789,6.0603770594224,-0.0916231096748587,3.65368159419843,-0.17870841878364,3.29236351133831,-0.079386640720952,4.94808776121379,0.0415998104665241,90.3574671451229,0.026809882482908,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-2.90846421326271e-14,-0.389081017577244,-7.07302027800263,2.28870504838264,-0.0130372643737893,-0.0332255810973295,-0.585781558175562,-0.032060045683119,-1.12510252903434,-0.0371550882543485,0.479241253600201,0.0291321737348364,-3.65068971603091,0.0886735095043782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,103.253528313126,1.98551905721402,5.70003205619194,-0.112227969567137,2.9098735801756,-0.506365855046504,5.69340137295283,-0.202986852664902,4.47882886470447,0.0214799145410789,93.6378040003152,-0.296904073501717,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-3.49015705591525e-14,-0.466897221092692,14.0565316821278,1.59246515440877,-0.373382267604251,-0.053830440989608,-1.32958957219839,-0.359717481945983,1.27593533258018,-0.160755300198299,0.00998235709087947,0.00901227780939123,-0.370352860838636,-0.235040446480247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,82.5626839546537,0.17859944787854,5.07713461023687,-0.0449698638118067,2.81964191607751,-0.439031608136922,5.56527167165646,-0.120270904786252,4.69284993636947,0.0383738476048369,97.5343631283982,-0.0463072752945655,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-3.49015705591525e-14,-0.466897221092692,-6.63431267634431,-0.214454454926711,-0.996279713559318,0.0134276647657224,-1.41982123629648,-0.292383235036401,1.14780563128381,-0.0780393523196481,0.224003428755879,0.0259062108731492,3.52620626724439,0.0155563517269047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,70.1574106085376,0.582593213652979,5.58217264471892,-0.0819416617467673,2.68415864338867,-0.500764868432233,4.37515530816681,-0.092579126534509,4.49872680663162,0.0196477498109985,95.1302914419682,0.0338211941368852,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-3.49015705591525e-14,-0.466897221092692,-19.0395860224604,0.189539310847728,-0.491241679077275,-0.0235441331692382,-1.55530450898532,-0.354116495331712,-0.0423107322058378,-0.0503475740679055,0.0298802990180276,0.00718011307931079,1.12213458081433,0.0956848211583554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,123.928482875599,1.45755807602576,5.91724481610333,-0.177661171333877,2.81100050953753,-0.385428027981578,2.77014913825283,0.0879716416117688,4.89331259207783,-0.0100578949408465,88.8324638276971,-0.0909639829443471,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-4.65354274122033e-14,-0.62252962812359,34.7314862446006,1.06450417322051,-0.15616950769286,-0.119263642756348,-1.42846264283645,-0.238779654881057,-1.64731690211983,0.130203194078372,0.424466084464241,-0.0225255316725342,-5.1756930334568,-0.0291003559228769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
