rep,id,b0,b1,h1,h2,alpha1,alpha2,hcov1,hcov2,score4C
1,1,29.729565331715,0.740708439233187,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.48730060009828,-1.17821497198808,11
2,1,30.2115478702829,0.721674349504127,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.48730060009828,-1.17821497198808,11
3,1,30.1325973793558,0.611892318232832,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.48730060009828,-1.17821497198808,11
4,1,31.4776639863998,0.61873891578831,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.48730060009828,-1.17821497198808,11
5,1,30.9406345599569,0.695866686419723,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.48730060009828,-1.17821497198808,11
6,1,31.4936798335,0.543541661955053,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.48730060009828,-1.17821497198808,11
7,1,30.631200758402,0.77409335943124,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.48730060009828,-1.17821497198808,11
8,1,29.6539348883859,0.67408361229667,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.48730060009828,-1.17821497198808,11
9,1,28.6769918231753,0.590815848533504,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.48730060009828,-1.17821497198808,11
10,1,31.6309903052443,0.684244436804683,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,2.48730060009828,-1.17821497198808,11
1,2,31.4160751665045,0.670147050769496,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.13059118186286,-0.53555225999458,5
2,2,30.5816631569104,0.770702981978845,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.13059118186286,-0.53555225999458,5
3,2,29.2782791345741,0.709523297681571,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.13059118186286,-0.53555225999458,5
4,2,31.3850860618059,0.675583546146531,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.13059118186286,-0.53555225999458,5
5,2,30.4508002809348,0.739083056950013,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.13059118186286,-0.53555225999458,5
6,2,29.6673399836016,0.715808484526068,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.13059118186286,-0.53555225999458,5
7,2,29.4368073261913,0.617906793899654,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.13059118186286,-0.53555225999458,5
8,2,29.4375909899715,0.687831813086534,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.13059118186286,-0.53555225999458,5
9,2,29.7483282730375,0.64431835102144,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.13059118186286,-0.53555225999458,5
10,2,28.913921142465,0.727958297512077,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.13059118186286,-0.53555225999458,5
1,3,29.6820956398174,0.720586278518242,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
2,3,28.7461521502278,0.670966112961911,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
3,3,30.5319682866471,0.675293837635235,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
4,3,29.9746087981651,0.670648173698754,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
5,3,28.6119067126244,0.59963145999309,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
6,3,29.2769804078948,0.733607573930596,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
7,3,30.5975794208908,0.582092129583119,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
8,3,31.4709255845184,0.69177223927439,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
9,3,28.4820398220015,0.630933602227786,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
10,3,30.7162544611278,0.668181635964296,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.35670941823543,-0.642662711993496,6
1,4,32.272046303031,0.563774571501038,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.80894589098057,-0.856883615991328,8
2,4,30.8209953582935,0.64935020861019,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.80894589098057,-0.856883615991328,8
3,4,30.064691274194,0.748741874012199,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.80894589098057,-0.856883615991328,8
4,4,31.2155015530295,0.602189494664216,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.80894589098057,-0.856883615991328,8
5,4,29.7686801462471,0.568220163887966,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.80894589098057,-0.856883615991328,8
6,4,29.9170871206799,0.666242687663758,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.80894589098057,-0.856883615991328,8
7,4,31.1159778778486,0.62395800747763,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.80894589098057,-0.856883615991328,8
8,4,29.5696823617364,0.749178172119721,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.80894589098057,-0.856883615991328,8
9,4,31.4091530391958,0.637867087544296,7.54565615879675e-16,3.23098155977015e-11,-0.116793339401627,-0.0903087493124911,1.80894589098057,-0.856883615991328,8
