rep,id,eta_b0,eta_b1,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
1,1,-0.495742581720265,-0.108760735569802,0,0,0,0,0,0,11
2,1,-1.9878421120331,-0.34078363524494,0,0,0,0,0,0,11
3,1,-0.283376217118995,0.0604972756702191,0,0,0,0,0,0,11
4,1,-0.349855604127992,-0.00308837108084256,0,0,0,0,0,0,11
5,1,-0.178149228792556,-0.215945117346812,0,0,0,0,0,0,11
6,1,2.9851143388203,0.0179148210225455,0,0,0,0,0,0,11
7,1,0.423129546918371,0.10101355447093,0,0,0,0,0,0,11
8,1,0.133600053281068,-0.00351979689390569,0,0,0,0,0,0,11
9,1,0.870824256962749,-0.0387873614908642,0,0,0,0,0,0,11
10,1,0.224517445435197,-0.0109572308650135,0,0,0,0,0,0,11
1,2,1.13674223914897,-0.0994143755452463,0,0,0,0,0,0,5
2,2,-1.49432008708465,0.20790784657601,0,0,0,0,0,0,5
3,2,1.31014589448463,0.099329441299268,0,0,0,0,0,0,5
4,2,1.11187603665982,0.211788741275946,0,0,0,0,0,0,5
5,2,3.22691752751328,-0.220588974563607,0,0,0,0,0,0,5
6,2,-0.183966148175084,-0.331547553282031,0,0,0,0,0,0,5
7,2,-2.6821469798419,-0.197317663828678,0,0,0,0,0,0,5
8,2,0.215988319414866,0.265553086530703,0,0,0,0,0,0,5
9,2,-0.94783093082528,-0.237691544904779,0,0,0,0,0,0,5
10,2,-0.677351124562712,-0.26269816874377,0,0,0,0,0,0,5
1,3,-0.00983637807700788,-0.0230156485832137,0,0,0,0,0,0,6
2,3,3.95075440838933,-0.36220241804607,0,0,0,0,0,0,6
3,3,2.12817293012551,-0.128240535913833,0,0,0,0,0,0,6
4,3,4.0651840305702,-0.116130525212317,0,0,0,0,0,0,6
5,3,2.9891840431406,0.0861224975667166,0,0,0,0,0,0,6
6,3,2.0608672986418,-0.310236060625512,0,0,0,0,0,0,6
7,3,1.48264561878348,-0.165720380880218,0,0,0,0,0,0,6
8,3,1.42478951423888,0.121860378472152,0,0,0,0,0,0,6
9,3,0.268918572029445,-0.176820584221341,0,0,0,0,0,0,6
10,3,2.97453570188549,-0.276302317268855,0,0,0,0,0,0,6
1,4,0.525460644006959,0.0371136645362667,0,0,0,0,0,0,8
