parameter,value,se_sa,rse_sa,pvalue_sa
b0_pop,-4.71098398373924,0.773805306866475,16.4255558825374,
b1_pop,-0.0231023841508178,0.017112586039896,74.0728139926211,
h1_pop,0.00111695103834956,0.000456274810152348,40.8500278424518,
h2_pop,0.0951388969687656,0.0380271308794634,39.970119573646,
alpha1_pop,0.199617652334805,0.0413943895904623,20.7368382035845,
alpha2_pop,-0.515949569343011,0.295851756065003,57.3412158172218,
hcov1_pop,0,,,
beta_hcov1_score4C,0.230540792593615,0.0449015366983332,19.4766124438044,2.83101092346527e-07
hcov2_pop,0,,,
beta_hcov2_score4C,-0.143605758010067,0.0297841173852108,20.7401971884184,1.4244348371939e-06
omega_b0,2.02913518822339,0.915525778771047,45.119013463693,
omega_b1,0.102188725412374,0.0370987224037482,36.3041247985424,
e_b,0.81590856182479,0.287749303974871,35.2673470335102,
