b0_pop,1,-0.12951,-0.0030182,-0.0096364,0.026704,0.064889,0.0010785,0.0017921,0.078675,0.015028,-0.039396
b1_pop,-0.12951,1,0.028038,0.0094738,-0.1543,-0.0091492,-0.0083374,0.014452,-0.064213,-0.0019927,0.04839
h1_pop,-0.0030182,0.028038,1,-0.0038724,-0.090852,0.024219,-0.93021,0.00019772,-0.002748,-0.0070751,0.0017415
h2_pop,-0.0096364,0.0094738,-0.0038724,1,0.043368,-0.1856,0.00040684,-0.83757,-0.0031057,-0.0010926,0.0010236
alpha1_pop,0.026704,-0.1543,-0.090852,0.043368,1,-0.26127,0.016526,0.0023334,0.025156,0.045517,-0.0070568
alpha2_pop,0.064889,-0.0091492,0.024219,-0.1856,-0.26127,1,-0.0029724,0.039787,0.027268,0.015387,-0.014141
beta_hcov1_score4C,0.0010785,-0.0083374,-0.93021,0.00040684,0.016526,-0.0029724,1,-0.00011791,0.00064829,0.0031041,-0.00086478
beta_hcov2_score4C,0.0017921,0.014452,0.00019772,-0.83757,0.0023334,0.039787,-0.00011791,1,-0.00011498,-0.0010777,0.0015883
omega_b0,0.078675,-0.064213,-0.002748,-0.0031057,0.025156,0.027268,0.00064829,-0.00011498,1,0.0026781,-0.14032
omega_b1,0.015028,-0.0019927,-0.0070751,-0.0010926,0.045517,0.015387,0.0031041,-0.0010777,0.0026781,1,-0.099505
e_b,-0.039396,0.04839,0.0017415,0.0010236,-0.0070568,-0.014141,-0.00086478,0.0015883,-0.14032,-0.099505,1
