parameter,value,se_sa,rse_sa,pvalue_sa
b0_pop,1.11168982579884,0.0322479064887747,2.90080072160434,
b1_pop,-2.398492021571,0.268580632069007,11.1978955799523,
b2_pop,-2.09514462368714,0.277306604721805,13.2356784150675,
a_pop,0.390815867054517,0.563219827094807,144.113858871611,
h1_pop,0.00108708003410963,0.00042641099498638,39.2253543075722,
h2_pop,0.107601413229043,0.013358700823023,12.4149864041166,
alpha1_pop,4.52676711671353e-18,0.250149075001697,5.52599832401599e+18,
alpha2_pop,9.43354093001683e-11,4.43293675771459e-06,4699122.83266755,
hcov1_pop,0,,,
beta_hcov1_score4C,0.231767643892045,0.0432964363934,18.6809667071418,8.64877485184934e-08
hcov2_pop,0,,,
beta_hcov2_score4C,-0.126380780925496,0.0192002119941936,15.1923511261673,4.63351579327309e-11
omega_b0,0.216634788677831,0.0217306368250773,10.0310005413739,
omega_b1,0.135949251982308,0.0951495818439984,69.9890440415082,
omega_b2,0.422220909655864,0.259389163526541,61.4344665540035,
omega_a,2.1466439970008,0.617055910484054,28.7451441108156,
e_b,0.968767909729223,0.0278600001308955,2.87581781467994,
