rep,id,eta_b0,eta_b1,eta_b2,eta_a,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
1,1,-0.901025840136781,0.104647826300214,0.559115968006777,-0.402540577224769,0,0,0,0,0,0,11
2,1,2.49133318242851,0.0734872272856747,1.02363616715363,-0.126749604459909,0,0,0,0,0,0,11
3,1,3.28713623253326,0.0508221871752574,1.5911983907146,0.00590918910911453,0,0,0,0,0,0,11
4,1,-0.482284252798141,0.110533981727762,-1.10696588906635,-0.09007880813687,0,0,0,0,0,0,11
5,1,4.962214470436,-0.00626966846878125,-1.02693527150771,0.0790437273312699,0,0,0,0,0,0,11
6,1,0.406950745858989,-0.00402388530602749,-0.136174157581052,0.178643934929415,0,0,0,0,0,0,11
7,1,3.17751310648467,0.0225116427959646,0.863550609791921,0.0514307597003818,0,0,0,0,0,0,11
8,1,0.156277330761841,0.0223486531717465,0.71798882281239,-0.191305982243674,0,0,0,0,0,0,11
9,1,1.86171784583475,-0.00852343653823281,-0.465344494113047,0.00077552074660292,0,0,0,0,0,0,11
10,1,3.55211029136084,0.138437163133079,-0.00559207441123899,-0.768587785349955,0,0,0,0,0,0,11
1,2,-0.344715636986778,0.123952457860174,0.195778992407799,0.348781528738521,0,0,0,0,0,0,5
2,2,3.15790057708547,0.0854177127119946,-0.754378205436363,0.161876698472442,0,0,0,0,0,0,5
3,2,2.15915885692944,-0.0628692215841385,1.2273576989915,0.0436879160804959,0,0,0,0,0,0,5
4,2,5.41153383845366,0.0392751368669313,-0.732538763184722,0.29822267560164,0,0,0,0,0,0,5
5,2,0.400418163566784,0.00977690850896406,1.45719774792005,0.347734744963376,0,0,0,0,0,0,5
6,2,-2.95391610316308,0.0578423535189867,1.35995636874299,1.01260803142559,0,0,0,0,0,0,5
7,2,2.30848123507977,-0.0482841740532407,-0.400704159314976,-0.211637022365394,0,0,0,0,0,0,5
8,2,1.6359527161495,0.0329552386133273,0.0411224441660174,-0.522347745875076,0,0,0,0,0,0,5
9,2,-3.15708315785353,0.0677743619098614,2.48640920186685,0.732076862838807,0,0,0,0,0,0,5
10,2,3.65541344964813,-0.018375896483101,0.535038864234342,-0.21223078060594,0,0,0,0,0,0,5
1,3,3.94965605170299,-0.0170684620169168,0.308400647782816,0.279279132147976,0,0,0,0,0,0,6
2,3,3.91967568060641,0.154686728798,-1.55505227445271,-0.314626106375514,0,0,0,0,0,0,6
3,3,2.97681979972605,-0.0706606142233492,-1.56885957361496,-0.212120189088505,0,0,0,0,0,0,6
4,3,-2.74797115549115,0.138097334687078,-0.441071138280345,0.40269885996251,0,0,0,0,0,0,6
5,3,3.66292055617815,0.0175770037478509,1.36906175909298,0.355564385344797,0,0,0,0,0,0,6
6,3,6.75294065555751,0.113894326807692,-1.45532748603534,-0.244642887864443,0,0,0,0,0,0,6
7,3,5.07852152662239,0.0914488743464308,1.29894932925502,0.356493942270888,0,0,0,0,0,0,6
8,3,0.601352505325912,0.074689832825367,-0.26665434151372,-0.173498674410366,0,0,0,0,0,0,6
9,3,0.989268947654476,0.0434704944806316,-0.0478628103882279,0.951076137859866,0,0,0,0,0,0,6
10,3,-0.774088194305642,0.0279433433967069,-0.620869784948314,0.231902562607553,0,0,0,0,0,0,6
1,4,-1.48415698339439,0.0318679426915212,1.28879826710156,0.693826900119644,0,0,0,0,0,0,8
2,4,4.27909843171721,-0.00453293885177237,-0.943802122007171,-0.121149057099338,0,0,0,0,0,0,8
3,4,2.80283481754846,0.0685068753639256,0.745026056451012,0.0727078018706824,0,0,0,0,0,0,8
4,4,4.25213050569056,0.0104211873926872,-0.219584722207195,-0.738000545650724,0,0,0,0,0,0,8
5,4,-1.87648804507308,0.0813211999948069,-0.728995378525087,0.274656786478642,0,0,0,0,0,0,8
6,4,1.39617431822815,0.0809040200389343,-0.563787451486416,0.00228727586388144,0,0,0,0,0,0,8
7,4,-0.329954895855164,0.0146948240744524,-0.58484028922842,-0.508635241097818,0,0,0,0,0,0,8
8,4,5.98964076273668,-0.0285859845904443,0.478351866604532,0.0494160253938405,0,0,0,0,0,0,8
9,4,0.569759764001999,0.188640478180141,2.21583449282371,0.251128926227222,0,0,0,0,0,0,8
10,4,2.93565436395598,0.00506672669826962,-1.62264460109837,-0.193570469354846,0,0,0,0,0,0,8
1,5,5.7873574048182,-0.0321022486459609,1.49120090658787,-0.477339872660896,0,0,0,0,0,0,3
2,5,-0.762206305616664,-0.019794522369209,-0.738915635130699,0.758827760648052,0,0,0,0,0,0,3
3,5,4.66065218311772,-0.0266749478680253,1.41795369039321,-0.0187948315067967,0,0,0,0,0,0,3
4,5,-0.582346532111514,-0.0660027295952569,0.223933699492084,1.13169405156291,0,0,0,0,0,0,3
5,5,1.25373789896843,-0.0153842980199622,-0.471862085132892,0.346423473646889,0,0,0,0,0,0,3
6,5,1.60957080210635,-0.0303931044523339,-2.60451046344614,0.372640774666986,0,0,0,0,0,0,3
7,5,1.15642587196835,-0.122289387156261,-1.01673196737125,0.857989814197245,0,0,0,0,0,0,3
8,5,2.04869695337616,-0.012177829130785,1.74384589857829,0.0796069147105178,0,0,0,0,0,0,3
9,5,3.70995547207306,-0.0594587121027631,-2.42794613821677,0.366753048098875,0,0,0,0,0,0,3
10,5,1.35226026994242,-0.0294432212638967,0.394589812209595,0.167421300109107,0,0,0,0,0,0,3
1,6,-2.29311138710527,-0.0633860743727607,-1.08861333328304,-0.934780267590077,0,0,0,0,0,0,2
2,6,0.531320399921371,0.0318579197449194,-1.76991522465565,-0.76557132394509,0,0,0,0,0,0,2
3,6,4.83851001150318,0.131993759975407,0.156815774760281,-0.138891676106582,0,0,0,0,0,0,2
4,6,1.76055498821054,0.0618432724114634,-0.343960996335183,-0.0632868312769068,0,0,0,0,0,0,2
5,6,-0.936753377233616,0.0333588918084152,-0.00451837287374879,0.32875105092338,0,0,0,0,0,0,2
6,6,-2.04440022364392,-0.0169393454247277,1.85301691384996,0.781791439780326,0,0,0,0,0,0,2
7,6,1.54491925572689,0.108684684713937,-1.65079512216316,0.137897064081243,0,0,0,0,0,0,2
8,6,3.94261042775653,0.0882558839954988,0.216243523377335,-0.413317107604413,0,0,0,0,0,0,2
9,6,3.68648331495478,0.00312735390147432,0.506812668683664,0.226135952304345,0,0,0,0,0,0,2
10,6,-0.711309237134605,0.00922545695539787,1.44097843616794,0.236252642913873,0,0,0,0,0,0,2
1,7,-2.6697115269775,-0.0155377541476833,0.743673390409639,-0.0728512920441697,0,0,0,0,0,0,12
2,7,-0.377466361725135,-0.0486645718853251,1.99630843856433,-0.514413713767948,0,0,0,0,0,0,12
3,7,-4.49835860231319,-0.0555429124763103,-0.274505803781161,-0.437745808973507,0,0,0,0,0,0,12
4,7,-5.12593287268195,-0.0397632009085543,-0.676782268239801,-0.0349460235873156,0,0,0,0,0,0,12
5,7,-1.80735590300776,-0.0173208959252372,-0.167622484481855,0.514915912340433,0,0,0,0,0,0,12
6,7,-3.68509655191534,-0.0362764005108699,-0.435136288747702,-1.00802122668807,0,0,0,0,0,0,12
7,7,-5.23570279327383,0.045094654350543,-0.570311718646647,-0.0191134752256017,0,0,0,0,0,0,12
8,7,-0.853573654212813,-0.178221645179808,1.21293458077638,0.49921743280783,0,0,0,0,0,0,12
9,7,-3.46067818961479,-0.04581697813123,-1.16754597017805,-0.179147220621966,0,0,0,0,0,0,12
10,7,-5.47808841340734,0.0488327716057502,1.33893015339824,-0.120024049699492,0,0,0,0,0,0,12
1,8,-3.53805631078587,-0.0949868336647121,-0.472860208633615,-0.605305311938533,0,0,0,0,0,0,7
2,8,-0.979795965722438,-0.166543837652377,-1.10200788910833,-1.24099306875476,0,0,0,0,0,0,7
3,8,-4.69307638849492,-0.0172827478675952,0.0665681753046181,0.0995527979616557,0,0,0,0,0,0,7
4,8,-4.32424919238406,-0.0222740705524815,2.32554953745087,0.420924991634014,0,0,0,0,0,0,7
5,8,-1.77254699532477,-0.028806805435489,0.473459022400571,-1.00531885154628,0,0,0,0,0,0,7
6,8,-0.689409590257144,-0.0472702768816642,0.811771752171158,-0.615637431659109,0,0,0,0,0,0,7
7,8,-3.05980704297893,-0.0172983255403558,-1.48154586176979,-0.0477740786621188,0,0,0,0,0,0,7
8,8,-6.3942374420898,0.0562227127918285,1.61833748230607,-0.553912697886021,0,0,0,0,0,0,7
9,8,-1.67840917244693,-0.0761819192580505,1.58958383447775,-0.81051371453793,0,0,0,0,0,0,7
10,8,-5.04912186794394,-0.0812432647770988,0.79467456144967,-0.261891449915787,0,0,0,0,0,0,7
1,9,0.0600211134802731,-0.0650521178094849,0.812245196707459,0.342925726035986,0,0,0,0,0,0,6
2,9,-2.62202259569699,-0.130797346315675,0.823968587385319,-0.0929676130489527,0,0,0,0,0,0,6
3,9,-5.25449969957965,-0.0403763831517324,-0.771745500742791,0.0996822266473041,0,0,0,0,0,0,6
4,9,-4.86271064556645,-0.0748307059659157,0.507308614215155,0.0555976529383679,0,0,0,0,0,0,6
5,9,-6.49848979557148,-0.0915952727902276,-0.290891777974151,0.5322999862713,0,0,0,0,0,0,6
6,9,-0.624889058572863,0.0199121768739514,-0.521535877885858,-0.564219237013229,0,0,0,0,0,0,6
7,9,1.67368171269148,-0.0924865197090962,0.24697145511997,-0.385336646661422,0,0,0,0,0,0,6
8,9,-2.01959346760052,-0.0296843989974711,-0.355733507500237,-0.27730086473411,0,0,0,0,0,0,6
9,9,-5.77333420225333,-0.100034160718479,-0.767651119190729,0.503186979587041,0,0,0,0,0,0,6
10,9,-2.48561973776232,-0.0198317917662569,0.476352691085529,-0.293304313447746,0,0,0,0,0,0,6
1,10,-1.99081699113632,0.0404741622575186,-0.0659050547074784,0.331015772089986,0,0,0,0,0,0,5
2,10,-1.87720065743036,0.0513982314259168,0.340378968788367,0.60724498987487,0,0,0,0,0,0,5
3,10,-2.84422706804527,-0.00665481654521723,0.633809185778721,0.739096260735637,0,0,0,0,0,0,5
4,10,3.69237112220334,0.0477101406691538,0.449021960899563,0.196565754527063,0,0,0,0,0,0,5
5,10,-3.17767488984718,0.0173660288438796,1.0386663681316,0.496043515123984,0,0,0,0,0,0,5
6,10,3.53441639367894,0.00467107556561122,-2.13155165982179,-0.0393832351745527,0,0,0,0,0,0,5
7,10,-1.49082612640023,0.158654998154415,-0.859957413875469,-0.0077474582377377,0,0,0,0,0,0,5
8,10,-0.618200990070574,0.0459916524580274,-0.108994851465149,0.0741618037093086,0,0,0,0,0,0,5
9,10,3.64035472437947,-0.0481725523101259,1.69867078544274,1.01415953534735,0,0,0,0,0,0,5
10,10,0.729367568378336,0.0859005323696645,1.33022292385573,0.572285037267508,0,0,0,0,0,0,5
1,11,-1.27539988486505,0.0101840232571773,-0.72432371129243,-0.521772348005491,0,0,0,0,0,0,8
2,11,1.78736752679047,-0.0589019365030116,-1.77345009619832,-0.303664253149119,0,0,0,0,0,0,8
3,11,0.501657318087924,-0.016893268138894,0.164805721985221,-0.226757338011185,0,0,0,0,0,0,8
4,11,-1.96364526010498,0.0191983368490535,1.00990826415167,-0.057536736826552,0,0,0,0,0,0,8
5,11,1.00322978521144,-0.0394527719623458,0.863080701737574,-0.771503428848209,0,0,0,0,0,0,8
6,11,0.377309199547774,0.0191763308639347,-1.52521017876451,-0.700651256364807,0,0,0,0,0,0,8
7,11,-1.34526091454823,0.0138577989455054,1.34094759142807,-0.193529257246954,0,0,0,0,0,0,8
8,11,2.23750429309133,-0.02323724119017,2.2278130680648,-0.256819438183952,0,0,0,0,0,0,8
9,11,-1.37642335457993,-0.00451729034306413,-1.21109307212838,0.463480878242623,0,0,0,0,0,0,8
10,11,-0.128852489317916,0.0285669338024956,1.27103463546869,-1.16093020363417,0,0,0,0,0,0,8
1,12,4.55911539246171,0.0764192384773129,-0.746234512064568,0.0129315911885513,0,0,0,0,0,0,4
