b0_pop,1,0.034791,0.22989,-0.42168,0.055005,0.018563,0.054673,0.058524,-0.055271,-0.038457,0.42235,0.19134,-0.2521,0.21714,0.026793
b1_pop,0.034791,1,-0.18515,-0.26977,-0.08236,-0.022053,-0.089588,-0.089272,0.086,0.062636,0.031277,-0.3981,0.069693,0.1947,0.061828
b2_pop,0.22989,-0.18515,1,-0.20691,0.22377,0.066899,0.22756,0.23172,-0.22503,-0.15075,0.18465,0.3257,-0.5251,0.20115,-0.21271
a_pop,-0.42168,-0.26977,-0.20691,1,-0.098907,-0.031506,-0.099441,-0.10522,0.099745,0.069156,-0.28094,-0.1534,0.18581,-0.78134,-0.011738
h1_pop,0.055005,-0.08236,0.22377,-0.098907,1,0.29055,0.95734,0.95502,-0.99684,-0.64803,-0.016656,0.28919,-0.052276,0.16339,-0.11856
h2_pop,0.018563,-0.022053,0.066899,-0.031506,0.29055,1,0.29958,0.26493,-0.29166,-0.8041,-0.0022402,0.10269,-0.019548,0.049177,-0.037359
alpha1_pop,0.054673,-0.089588,0.22756,-0.099441,0.95734,0.29958,1,0.94767,-0.96191,-0.65554,-0.017573,0.28965,-0.052613,0.16544,-0.12027
alpha2_pop,0.058524,-0.089272,0.23172,-0.10522,0.95502,0.26493,0.94767,1,-0.95862,-0.63544,-0.015779,0.29474,-0.054682,0.1706,-0.12095
beta_hcov1_score4C,-0.055271,0.086,-0.22503,0.099745,-0.99684,-0.29166,-0.96191,-0.95862,1,0.65068,0.016657,-0.28885,0.052418,-0.16449,0.11889
beta_hcov2_score4C,-0.038457,0.062636,-0.15075,0.069156,-0.64803,-0.8041,-0.65554,-0.63544,0.65068,1,0.010042,-0.19431,0.035744,-0.11162,0.080519
omega_b0,0.42235,0.031277,0.18465,-0.28094,-0.016656,-0.0022402,-0.017573,-0.015779,0.016657,0.010042,1,0.12496,-0.28182,0.071108,-0.037436
omega_b1,0.19134,-0.3981,0.3257,-0.1534,0.28919,0.10269,0.28965,0.29474,-0.28885,-0.19431,0.12496,1,-0.22956,0.11867,-0.092113
omega_b2,-0.2521,0.069693,-0.5251,0.18581,-0.052276,-0.019548,-0.052613,-0.054682,0.052418,0.035744,-0.28182,-0.22956,1,-0.055373,-0.13592
omega_a,0.21714,0.1947,0.20115,-0.78134,0.16339,0.049177,0.16544,0.1706,-0.16449,-0.11162,0.071108,0.11867,-0.055373,1,-0.07918
e_b,0.026793,0.061828,-0.21271,-0.011738,-0.11856,-0.037359,-0.12027,-0.12095,0.11889,0.080519,-0.037436,-0.092113,-0.13592,-0.07918,1
