id,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha13_SAEM,alpha23_SAEM
1,4.81312,-0.182253,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
2,4.26199,-0.0111803,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
3,4.37287,-0.166748,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
4,4.11356,-0.187137,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
5,4.02762,-0.426418,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
6,4.64048,-0.202757,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
7,5.09512,-0.0691579,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
8,4.46704,-0.199919,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
9,5.7694,-0.125063,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
10,4.80462,-0.219407,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
11,3.85,-0.298621,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
12,5.30155,-0.177376,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
13,2.96465,-0.272056,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
14,3.51789,-0.281831,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
15,4.25116,-0.159969,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
16,4.92425,-0.20956,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
17,5.46172,-0.119542,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
18,3.22266,-0.217399,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
19,3.85464,-0.193834,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
20,4.04507,-0.158819,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
21,4.56981,-0.0964354,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
22,4.15998,-0.16093,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
23,4.14518,-0.0713235,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
24,5.38061,-0.086449,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
25,3.92268,-0.189113,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
26,4.95471,-0.371854,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
27,4.76094,-0.20794,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
28,5.42037,-0.156139,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
29,3.82556,-0.275491,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
30,3.55336,-0.185702,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
31,4.81802,-0.159234,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
32,4.3598,-0.184056,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
33,3.81801,-0.102387,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
34,4.87262,-0.118803,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
35,4.49937,-0.298332,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
36,4.97186,-0.221033,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
37,3.6925,-0.351615,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
38,2.71424,-0.186609,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
39,3.31285,-0.098397,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
40,4.55101,-0.213568,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
41,4.00261,-0.2707,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
42,3.99596,-0.127122,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
43,4.26705,-0.0638871,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
44,5.68838,-0.19854,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
45,4.14601,-0.0588114,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
46,4.56281,0.0124259,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
47,3.46258,0.177444,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
48,5.06432,0.00426158,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
49,3.13725,-0.183313,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
50,5.04422,-0.115701,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
51,4.91813,-0.054771,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
52,4.51392,-0.132462,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
53,4.26383,-0.183162,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
54,4.8967,-0.259862,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
55,4.68956,-0.0549068,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
56,3.31533,-0.246177,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
57,3.91386,-0.166942,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
58,3.76879,-0.251558,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
59,4.71589,-0.236006,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
60,3.3148,-0.352726,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
61,4.55593,-0.0187617,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
62,4.85744,-0.378637,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
63,3.91232,-0.247091,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
64,4.02957,-0.0564577,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
65,3.96869,-0.0594396,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
66,4.27837,-0.098191,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
67,4.02512,-0.288329,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
68,3.79729,-0.140092,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
69,4.32746,-0.170798,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
70,4.67713,-0.193204,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
71,4.20305,-0.23073,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
72,4.49741,-0.0909676,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
73,4.27219,-0.182983,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
74,4.09666,-0.180345,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
75,4.1179,-0.180111,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
76,5.43056,0.0411941,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
77,3.23512,-0.00899757,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
78,4.0386,-0.234959,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
79,3.31291,-0.1797,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
80,2.70334,-0.100656,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
81,3.92243,-0.0483691,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
82,4.20067,-0.0868369,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
83,5.7967,-0.13911,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
84,4.62434,-0.121624,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
85,3.73434,-0.0714689,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
86,4.93765,-0.308432,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
87,2.98915,-0.19073,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
88,4.31211,-0.306669,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
89,5.18219,-0.196829,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
90,4.3351,-0.0818989,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
91,2.80187,-0.190463,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
92,4.89415,0.0972369,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
93,4.83344,-0.0622042,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
94,4.39503,-0.232755,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
95,4.09884,-0.15431,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
96,4.06489,-0.293723,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
97,3.31143,-0.340696,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
98,4.47441,-0.0294223,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
99,4.70169,-0.247784,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
100,4.73635,-0.347105,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
101,5.39433,-0.323707,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
102,3.80971,-0.206515,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
103,4.5612,-0.264603,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
104,4.52268,-0.139363,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
105,4.73983,-0.188346,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
106,4.68912,-0.0760817,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
107,2.57906,-0.397668,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
108,4.91427,-0.103655,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
109,2.9568,-0.285523,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
110,4.17663,-0.188171,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
111,5.79681,-0.248025,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
112,4.28639,-0.218376,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
113,3.86685,-0.0853069,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
114,4.20282,-0.0977868,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
115,3.63542,-0.336089,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
116,2.69408,-0.18738,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
117,4.7412,-0.153275,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
118,5.99439,-0.109853,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
119,3.08081,-0.186396,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
120,4.21731,-0.252639,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
121,4.83303,-0.130684,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
122,4.15645,-0.000824449,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
123,3.55545,-0.233473,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
124,2.50198,-0.218103,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
125,3.13442,-0.236352,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
126,3.08578,-0.183314,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
127,4.80069,-0.245236,0.0495855,0.0731271,0.761728,0.127259,0.853083,-0.214112
