rep,id,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha13,eta_alpha23
1,1,-0.894246320311439,0.0370059779793309,0,0,0,0,0,0
2,1,-0.562287016987964,-0.385741461098516,0,0,0,0,0,0
3,1,1.08677553916269,0.12491422100294,0,0,0,0,0,0
1,2,-0.822056952959798,0.228341084893645,0,0,0,0,0,0
2,2,-0.413243323198584,-0.0898962150212097,0,0,0,0,0,0
3,2,-0.080467702864075,-0.0253298543794172,0,0,0,0,0,0
1,3,1.87287560878092,0.2744813096742,0,0,0,0,0,0
2,3,2.2141894304229,0.226085491104186,0,0,0,0,0,0
3,3,2.19210459568582,0.210201577074523,0,0,0,0,0,0
1,4,-1.73898432479298,0.247472644672947,0,0,0,0,0,0
2,4,-1.939815358259,0.243634125722422,0,0,0,0,0,0
3,4,-2.27676509247636,0.253593948295215,0,0,0,0,0,0
1,5,-2.09355978203544,-0.126421872892042,0,0,0,0,0,0
2,5,-2.05313736470679,0.206223029275759,0,0,0,0,0,0
3,5,-1.61795418844403,-0.0628869938593268,0,0,0,0,0,0
1,6,-0.621041792457689,-0.113616383184763,0,0,0,0,0,0
2,6,-0.920887069779247,-0.0846585736320296,0,0,0,0,0,0
3,6,-0.600272092462305,-0.10135413755955,0,0,0,0,0,0
1,7,-0.00959833972518176,-0.0257442919320814,0,0,0,0,0,0
2,7,0.0286858402322965,0.0150084908159143,0,0,0,0,0,0
3,7,0.355076077921483,0.153983703909613,0,0,0,0,0,0
1,8,-0.534476576465586,-0.018353128349692,0,0,0,0,0,0
2,8,-0.166761814835105,-0.0109602956671415,0,0,0,0,0,0
3,8,-0.15310386795607,-0.0182650761158303,0,0,0,0,0,0
1,9,0.621103776685494,-0.00487800371783939,0,0,0,0,0,0
2,9,0.166435404483004,0.1912438551392,0,0,0,0,0,0
3,9,-0.514840873977462,0.182852586839962,0,0,0,0,0,0
1,10,-2.45951304920532,-0.266756767347029,0,0,0,0,0,0
2,10,-2.5054575349105,-0.344526260364855,0,0,0,0,0,0
3,10,-1.33606932707636,-0.393886686335579,0,0,0,0,0,0
1,11,-1.69849817103639,-0.0194623126908387,0,0,0,0,0,0
2,11,-0.131940075218679,-0.123493833270044,0,0,0,0,0,0
3,11,-1.38851228989016,-0.0495696775681624,0,0,0,0,0,0
1,12,-1.23687239247295,0.131799726742377,0,0,0,0,0,0
2,12,-1.70868343485314,0.144067622175992,0,0,0,0,0,0
3,12,-1.21543945577135,0.118239274590293,0,0,0,0,0,0
1,13,0.898702524556034,-0.108448228687239,0,0,0,0,0,0
2,13,1.26707199422462,-0.133624696004214,0,0,0,0,0,0
3,13,0.718298115083527,-0.0807533862832878,0,0,0,0,0,0
1,14,0.364284616401283,0.284591565959188,0,0,0,0,0,0
2,14,-0.117868968047056,0.329264608902668,0,0,0,0,0,0
3,14,0.601538416803966,0.209283444163721,0,0,0,0,0,0
1,15,1.39896731022243,-0.0901399279292211,0,0,0,0,0,0
2,15,1.0796372506653,0.0151989048552993,0,0,0,0,0,0
3,15,1.34709748554986,-0.0534674949293031,0,0,0,0,0,0
1,16,-1.40878395064264,0.0337310046242004,0,0,0,0,0,0
2,16,-1.01753880819451,-0.00373590959770637,0,0,0,0,0,0
3,16,-1.51796271379225,-0.000749734816313075,0,0,0,0,0,0
1,17,-0.770975150213256,-0.190975881531779,0,0,0,0,0,0
2,17,-2.37124819372533,0.0168473706124573,0,0,0,0,0,0
3,17,-1.91320326352372,0.167914456001576,0,0,0,0,0,0
1,18,-0.611234708308037,-0.033800247645553,0,0,0,0,0,0
2,18,-0.25912116005835,-0.050929336822687,0,0,0,0,0,0
3,18,-1.40848244885021,0.0369411553845627,0,0,0,0,0,0
1,19,-1.75586667582169,-0.219662550747565,0,0,0,0,0,0
