rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
1,1,-0.0207260175708139,-0.00103730436675763,0.233095688614563,0.0772160726059921,0,0,0,0,0,0,0,0
2,1,-0.0120038298981484,0.00266136078399773,0.955149976417134,-0.0988868106945329,0,0,0,0,0,0,0,0
3,1,-0.00281933824485758,-0.00820332943555232,0.435190450305901,0.0736334795593541,0,0,0,0,0,0,0,0
1,2,-0.00614638198701734,0.0062329987356791,0.305346746425575,0.0345151057042671,0,0,0,0,0,0,0,0
2,2,0.0776031953127818,-0.00343155999682411,0.37564739442256,0.106450861329692,0,0,0,0,0,0,0,0
3,2,-0.0104925922395527,-0.00156328668213099,0.460448477933812,0.0932816696521611,0,0,0,0,0,0,0,0
1,3,0.0301075849440382,-0.00109798595584668,0.0896797415921604,0.19470008802256,0,0,0,0,0,0,0,0
2,3,0.0307185865904174,-0.00839780541299026,0.338827555862828,-0.0543459761995466,0,0,0,0,0,0,0,0
3,3,0.0137412531735244,0.00227988229482085,0.611689354573726,-0.166685921976996,0,0,0,0,0,0,0,0
1,4,-0.00366310273066528,0.00790593427750915,0.306149986912686,-0.0607191434505241,0,0,0,0,0,0,0,0
2,4,-0.0329516940570063,0.00268720790014314,0.386603009941882,0.0632071760526952,0,0,0,0,0,0,0,0
3,4,0.0473896042456596,-0.00582439251541448,0.221264461540566,0.0297758659137286,0,0,0,0,0,0,0,0
1,5,0.0577317449048422,-0.00284964802832729,-0.259347562334203,-0.28848165197073,0,0,0,0,0,0,0,0
2,5,-0.00243064949365834,0.00223005372119107,0.0200714939372295,-0.283537062608793,0,0,0,0,0,0,0,0
3,5,0.0129928996302766,0.00130937455342278,-0.204618222379803,-0.23004482493654,0,0,0,0,0,0,0,0
1,6,-0.0587022264781183,0.0024703599880864,-0.396998016474336,0.0781525838996572,0,0,0,0,0,0,0,0
2,6,-0.0527920541797222,-0.00262900807220303,-0.0920808030581473,0.119195879910828,0,0,0,0,0,0,0,0
3,6,-0.0668172631126511,-0.00788599950050679,0.257992507463817,0.0557300796173643,0,0,0,0,0,0,0,0
1,7,0.0437996133124798,0.00103274759346402,1.00419359577474,0.102349039035693,0,0,0,0,0,0,0,0
2,7,0.0726435957267784,-0.00256540949796317,1.01061869061195,0.0935502534350163,0,0,0,0,0,0,0,0
3,7,0.0203699877437948,0.00454329105659039,1.21731879032536,0.0656334812126284,0,0,0,0,0,0,0,0
1,8,0.0857817019197995,0.000372036689464759,0.991657995365584,-0.086519609726102,0,0,0,0,0,0,0,0
2,8,0.105215900924188,-0.0070783205514295,0.322615924414952,-0.155352111219923,0,0,0,0,0,0,0,0
3,8,0.0401158736099534,0.00103076247114869,0.13762576652007,0.0948516064370595,0,0,0,0,0,0,0,0
1,9,0.0309601916944757,0.00870059201850599,1.68523160025762,0.0436371053549123,0,0,0,0,0,0,0,0
2,9,-0.0324653346718335,0.00126872493599471,1.84419161741842,-0.0102728685645577,0,0,0,0,0,0,0,0
3,9,-0.0539043451111061,0.00139581833764368,1.045988110164,0.217193740012149,0,0,0,0,0,0,0,0
1,10,0.00560101078910957,0.00450862138034493,0.0437826261682464,0.00114667895737552,0,0,0,0,0,0,0,0
2,10,0.0160977474648707,-0.0109159743571628,1.22442036690291,-0.265462215046053,0,0,0,0,0,0,0,0
3,10,-0.0141064710169898,0.00199267887855411,0.457087990939733,-0.103636382363631,0,0,0,0,0,0,0,0
1,11,0.0105072161006792,-0.00227692972405121,0.107864560698189,-0.156503658057881,0,0,0,0,0,0,0,0
2,11,-0.00298248120019551,0.000491456703574147,-0.171740428114608,-0.142882753034234,0,0,0,0,0,0,0,0
3,11,-0.019421934103879,-0.000400902505278525,-0.645016457198172,-0.0913717605494684,0,0,0,0,0,0,0,0
1,12,-0.00788334327764506,-0.00507930831426194,0.940049931652313,0.154078746023752,0,0,0,0,0,0,0,0
2,12,-0.0168465107517619,0.00599912188599636,1.10860608035615,0.122784242048369,0,0,0,0,0,0,0,0
3,12,-0.0418819503791958,0.00322127581554488,1.84518026787325,-0.00952444878914596,0,0,0,0,0,0,0,0
1,13,-0.022594543521758,0.00336024348171759,-0.859634675056716,-0.103689068517992,0,0,0,0,0,0,0,0
2,13,-0.0272046448921683,0.00301859446986413,-0.827462342346431,-0.121282472290737,0,0,0,0,0,0,0,0
3,13,0.00276473741353023,0.00282887104587856,-0.861055179031776,-0.121559426861769,0,0,0,0,0,0,0,0
1,14,0.0300908358136356,-0.00384534397777619,-0.549861179291101,-0.123575774953906,0,0,0,0,0,0,0,0
2,14,0.00800997615721588,-0.00236217915923473,-1.10173403408341,-0.0925763453397881,0,0,0,0,0,0,0,0
3,14,0.0541289681755739,-0.0044480927430818,-0.566270197766778,-0.102450490582749,0,0,0,0,0,0,0,0
1,15,-0.0114383948325907,-0.000593267588501935,-0.0586744271010282,-0.0673632730802548,0,0,0,0,0,0,0,0
2,15,0.0239440899537833,0.00115683493567896,-0.641592856990846,-0.184253001686511,0,0,0,0,0,0,0,0
3,15,-0.018816056208415,0.00582965696042024,0.202992925282207,-0.0812808738977536,0,0,0,0,0,0,0,0
1,16,0.0170564351543909,0.00398730401586405,0.305684091161302,0.01438289328794,0,0,0,0,0,0,0,0
2,16,-0.0292400779153903,-0.00092709683284608,-0.507179095290607,0.286355429173116,0,0,0,0,0,0,0,0
3,16,-0.00781982655026958,-0.00205067426023198,-0.204389425091004,0.0302509527029613,0,0,0,0,0,0,0,0
1,17,0.00928428253706048,-0.00150415252717138,1.63832419764582,-0.0228572806725728,0,0,0,0,0,0,0,0
2,17,0.0258767280590604,-0.00148519099336707,0.821156714491732,0.201006417914001,0,0,0,0,0,0,0,0
3,17,0.0370490817449314,-0.0041508080684638,1.44016126605819,0.0360854623421931,0,0,0,0,0,0,0,0
1,18,0.0801581524002808,0.00323144354896625,-0.884847405401876,-0.194976793622262,0,0,0,0,0,0,0,0
2,18,0.0680536862941032,-0.000537751624012839,-0.0558651790764104,-0.0903098685875899,0,0,0,0,0,0,0,0
3,18,0.0858723127374539,0.00207966262459963,-1.01454965532779,0.11431192665578,0,0,0,0,0,0,0,0
1,19,0.0577343402740356,-0.00012773143492172,-0.167635118157623,-0.0483060227911577,0,0,0,0,0,0,0,0
2,19,-0.00587481865125827,-0.00205797888042841,0.276371733471378,-0.0011609522369628,0,0,0,0,0,0,0,0
