rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha13,eta_alpha21,eta_alpha23
1,1,2.29971108628271,-0.0775391194384685,-0.0994310520332817,-0.633185506049524,-0.658706524136875,-0.0584416580064198,0,0,0,0,0,0,0,0
2,1,0.000126479206358887,0.0090158877919238,-0.0331851121669881,-0.409575153832266,0.153454882745108,0.0223546550538262,0,0,0,0,0,0,0,0
3,1,-2.99231641638069,0.0802241647228098,-0.0470287737686991,1.76711508591933,-0.104592562437492,0.10342254656146,0,0,0,0,0,0,0,0
1,2,-1.55444904329759,0.0693183693329996,-0.116095573828265,-0.148719192825865,-0.484044776675718,0.215056014064764,0,0,0,0,0,0,0,0
2,2,0.453089426061152,-0.0711707380888821,-0.148066329656868,-0.659771070546087,-1.71814759533321,0.231833817620082,0,0,0,0,0,0,0,0
3,2,1.55909827294642,0.0104286183054893,-0.0194151111561385,-0.707793141494628,-0.620368961424061,-0.0591493734545766,0,0,0,0,0,0,0,0
1,3,0.0193703772720708,-0.0840165150796255,-0.0577815983118206,0.505437766307622,0.000254916077766509,-0.224209358909256,0,0,0,0,0,0,0,0
2,3,-0.89129067808751,0.0441850656376659,0.0435738838779608,0.426595424062242,0.520427451266362,-0.0890961637294627,0,0,0,0,0,0,0,0
3,3,0.175264829882092,-0.0213751479930853,0.159605498047076,2.67835638219211,0.585417746721904,0.0140584450687338,0,0,0,0,0,0,0,0
1,4,0.703130545293774,0.0546458323150652,0.104662044633448,-0.467223070647569,0.140764713510719,0.0156980353414191,0,0,0,0,0,0,0,0
2,4,-0.163718612690517,0.011774036219209,-0.075877229307034,-0.113837467428708,-1.0492864646827,-0.0811274010572463,0,0,0,0,0,0,0,0
3,4,0.154080017747658,-0.23055573366484,0.011591994819363,0.0742137672702194,-0.18666529338082,-0.0757675870973861,0,0,0,0,0,0,0,0
1,5,0.422794645776501,0.122520449400861,-0.00682076572701379,-2.11621648322813,1.22110300281742,-0.173679099616493,0,0,0,0,0,0,0,0
2,5,1.39596089059134,-0.0256312844599324,-0.0701057006177272,-0.510356971576302,0.119274358546896,-0.01440263523145,0,0,0,0,0,0,0,0
3,5,0.480819186050815,0.00896436080957963,-0.122979924124502,-0.124968257444568,-0.102333390979803,-0.0319289076004037,0,0,0,0,0,0,0,0
1,6,0.136416493384619,-0.0782915748094192,0.0131896755339236,0.783656023300502,1.26319228128838,0.137282234378466,0,0,0,0,0,0,0,0
2,6,-1.90033676709692,0.0378979374884261,0.0230876032254554,-1.60959795790725,1.11871858132001,0.067368513820131,0,0,0,0,0,0,0,0
3,6,-2.06333730152037,-0.197919722117711,-0.149515499905195,-0.100453095624916,1.18975083543098,0.0387568485877632,0,0,0,0,0,0,0,0
