id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,b07_SAEM,b17_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha17_SAEM,alpha22_SAEM,alpha23_SAEM,alpha27_SAEM
1,7.39802,0.00286363,4.38657,-0.0353705,301.129,-6.05287,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
2,7.39368,0.00377762,4.82647,-0.016429,257.925,-5.77812,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
3,7.46681,0.0043357,2.9316,-0.137757,125.421,-6.26258,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
4,7.42994,0.0039531,5.40926,-0.174469,343.969,-5.67123,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
5,7.40768,0.00625329,4.74439,-0.148549,411.442,-7.06526,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
6,7.37282,0.00370908,4.68044,-0.192664,205.499,-8.39407,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
7,7.41212,0.00150011,3.00791,-0.131078,418.602,-1.69039,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
8,7.39689,0.0101629,4.26524,-0.189764,546.43,-7.389,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
9,7.3923,8.30056e-05,4.06402,0.169234,489.468,-3.51832,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
10,7.36985,0.00768375,4.4967,-0.216033,504.835,-2.49708,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
11,7.40794,0.0071015,3.54042,-0.11866,351.263,-6.58397,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
12,7.42225,0.00851628,4.17162,-0.295784,335.666,-6.3079,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
13,7.31818,-0.00214436,4.16375,-0.117316,219.526,-15.8247,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
14,7.40166,-0.000750659,4.36444,-0.292515,285.862,-10.3754,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
15,7.38168,0.00708982,4.185,-0.249263,399.428,-4.90702,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
16,7.35348,-0.000546217,3.49801,-0.313174,411.759,-3.9542,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
17,7.43351,0.00382008,4.7149,-0.203369,213.744,-3.72059,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
18,7.43814,0.00475861,3.64594,-0.119551,260.402,-6.02189,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
19,7.40536,0.00527348,3.47659,-0.341245,280.26,-5.16584,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
20,7.38657,0.00270145,3.47739,-0.258731,294.391,-5.01701,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
21,7.38347,0.00301308,4.24482,-0.190557,324.888,-4.94962,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
22,7.39332,0.00241171,3.56181,-0.0480714,455.156,-5.09281,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
23,7.37272,-0.00122919,3.30768,0.259017,242.688,-1.50044,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
24,7.36529,0.00343214,3.93298,-0.233518,352.611,-6.42068,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
25,7.39329,0.0114484,3.10994,-0.266833,363.443,-6.93683,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
26,7.41693,0.00603823,3.29428,-0.184769,374.316,-3.79953,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
27,7.39354,0.00493526,4.54783,0.06147,-6.41753,-3.74704,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
28,7.35576,0.00331121,3.97915,-0.127873,413.931,-5.37789,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
29,7.39522,0.00332274,3.60405,-0.29435,397.647,-3.58894,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
30,7.35999,0.00366311,4.27449,-0.198781,333.905,-7.15717,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
31,7.45541,0.00440469,3.79911,-0.162115,331.893,-5.79577,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
32,7.47376,0.00435273,3.78517,-0.0312117,290.276,-8.38665,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
33,7.36137,0.0103674,4.84504,-0.236204,164.848,-9.1618,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
34,7.42893,-0.000859758,4.96852,0.206852,387.497,-4.7555,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
35,7.4159,0.00542413,5.08279,-0.109364,329.044,-7.20647,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
36,7.4392,0.0151127,4.72883,-0.0334322,238.195,1.23572,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
37,7.36224,-0.00387699,4.56444,0.0520361,271.037,-7.43513,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
38,7.4144,0.00509559,4.15727,-0.271951,494.09,-5.26495,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
39,7.39023,0.00286237,3.93141,-0.323411,252.786,-3.96417,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
40,7.40855,0.00588474,4.48855,-0.103149,440.056,-6.70044,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
41,7.4314,0.00643859,3.83878,-0.227831,384.525,-6.41654,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
42,7.37943,0.00300166,4.32245,-0.111459,305.752,-7.54067,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
43,7.4074,0.000268204,4.34981,-0.0138208,381.812,-5.48969,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
44,7.38437,0.00366832,4.20899,-0.183441,173.765,-7.18323,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
45,7.43309,-0.000623072,4.00156,0.125144,455.238,0.60579,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
46,7.39079,0.00405591,5.52614,-0.17285,204.332,-5.17478,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
47,7.37652,0.00401501,3.94092,-0.150899,420.442,-5.78684,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
48,7.38485,0.000257657,5.43717,-0.147481,576.933,-2.89795,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
49,7.38574,0.0041029,4.61308,-0.201118,296.069,-6.78209,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
50,7.41713,0.00781897,4.1858,-0.106778,424.428,-4.08372,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
51,7.45589,0.00657421,4.41902,-0.239265,360.783,-1.23417,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
52,7.36729,0.00601569,2.97874,0.195689,336.637,-8.58372,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
53,7.43379,0.00407077,3.40275,-0.149359,440.778,-6.12712,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
54,7.39083,0.00435014,3.77363,-0.212107,261.817,-5.32398,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
55,7.39965,0.00327653,4.86357,-0.060838,443.793,-4.94313,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
56,7.3668,0.00563539,3.86075,-0.0836639,416.647,-12.0057,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
57,7.35271,0.00421107,3.32726,-0.21624,170.582,-1.16614,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
58,7.44884,0.00542295,3.59357,-0.0925563,262.42,-7.99512,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
59,7.44476,0.00334243,5.07152,-0.24067,349.272,-1.98808,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
60,7.34111,0.00200708,4.39472,-0.0873977,381.337,-3.18139,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
61,7.40338,0.00428649,3.21731,-0.142713,392.901,-5.99166,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
62,7.41165,0.00872821,4.06757,-0.0547781,309.507,-8.63958,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
63,7.38344,0.00359292,4.30399,-0.156535,254.311,-5.08997,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
64,7.39206,0.00814749,3.39275,-0.0542721,264.321,-0.230715,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
65,7.43172,0.00547432,4.47242,-0.218672,292.354,-6.05938,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
66,7.32152,-0.000879144,2.70985,-0.0435715,255.629,-3.81387,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
67,7.35325,0.00350445,5.2395,-0.0907997,488.497,-5.34403,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
68,7.40838,0.00180806,4.53395,-0.0912396,327.359,-4.90971,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
69,7.38589,0.00438607,3.31135,-0.207299,230.512,-6.04288,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
70,7.41719,0.00305995,4.88257,-0.0734236,476.747,-5.44336,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
71,7.4403,0.00446949,3.49851,-0.217024,254.69,-6.5096,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
72,7.39036,0.00281155,4.64836,-0.134769,388.565,-6.13963,0.0441554,0.142317,0.766733,0.161119,-12.9645,0.644525,0.00161015,4.74082,-0.310399,-0.000907341
