id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha17_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha27_SAEM
1,0.000570738,-0.00110151,0.252655,0.0981843,-33.6881,-0.207094,0,0,0,0,0,0,0,0,0,0
2,-0.00377574,-0.000187524,0.692559,0.117126,-76.8926,0.067657,0,0,0,0,0,0,0,0,0,0
3,0.0693571,0.000370561,-1.20232,-0.00420178,-209.396,-0.41681,0,0,0,0,0,0,0,0,0,0
4,0.0324878,-1.20405e-05,1.27534,-0.0409138,9.15191,0.174542,0,0,0,0,0,0,0,0,0,0
5,0.0102303,0.00228815,0.610478,-0.0149937,76.6252,-1.21949,0,0,0,0,0,0,0,0,0,0
6,-0.0246291,-0.000256064,0.546523,-0.0591096,-129.318,-2.5483,0,0,0,0,0,0,0,0,0,0
7,0.0146639,-0.00246503,-1.126,0.00247653,83.7847,4.15539,0,0,0,0,0,0,0,0,0,0
8,-0.000565166,0.00619771,0.131321,-0.0562092,211.613,-1.54323,0,0,0,0,0,0,0,0,0,0
9,-0.00515066,-0.00388214,-0.0698921,0.302789,154.651,2.32746,0,0,0,0,0,0,0,0,0,0
10,-0.0276061,0.00371861,0.362788,-0.0824782,170.018,3.34869,0,0,0,0,0,0,0,0,0,0
11,0.0104834,0.00313636,-0.593495,0.0148945,16.4462,-0.738193,0,0,0,0,0,0,0,0,0,0
12,0.0247947,0.00455114,0.0377062,-0.162229,0.849066,-0.46213,0,0,0,0,0,0,0,0,0,0
13,-0.0792716,-0.0061095,0.0298375,0.016239,-115.291,-9.97896,0,0,0,0,0,0,0,0,0,0
14,0.00420407,-0.0047158,0.230528,-0.15896,-48.9553,-4.52961,0,0,0,0,0,0,0,0,0,0
15,-0.0157745,0.00312468,0.0510822,-0.115708,64.6104,0.938751,0,0,0,0,0,0,0,0,0,0
16,-0.0439685,-0.00451136,-0.635907,-0.179619,76.9423,1.89158,0,0,0,0,0,0,0,0,0,0
17,0.0360536,-0.000145062,0.580984,-0.0698138,-121.073,2.12519,0,0,0,0,0,0,0,0,0,0
18,0.040687,0.000793465,-0.48798,0.0140037,-74.4155,-0.176116,0,0,0,0,0,0,0,0,0,0
19,0.0079052,0.00130834,-0.657329,-0.20769,-54.5573,0.679939,0,0,0,0,0,0,0,0,0,0
20,-0.0108792,-0.00126369,-0.656525,-0.125176,-40.4259,0.828764,0,0,0,0,0,0,0,0,0,0
21,-0.0139882,-0.000952062,0.110908,-0.0570026,-9.92873,0.896154,0,0,0,0,0,0,0,0,0,0
22,-0.00413157,-0.00155343,-0.572102,0.0854834,120.339,0.752961,0,0,0,0,0,0,0,0,0,0
23,-0.0247299,-0.00519434,-0.826235,0.392572,-92.1295,4.34534,0,0,0,0,0,0,0,0,0,0
24,-0.0321653,-0.000532997,-0.200932,-0.0999633,17.7937,-0.57491,0,0,0,0,0,0,0,0,0,0
25,-0.00415896,0.00748322,-1.02397,-0.133278,28.6262,-1.09106,0,0,0,0,0,0,0,0,0,0
26,0.0194726,0.00207309,-0.839632,-0.0512142,39.4991,2.04624,0,0,0,0,0,0,0,0,0,0
27,-0.00391145,0.000970123,0.413913,0.195025,-341.235,2.09873,0,0,0,0,0,0,0,0,0,0
28,-0.0416935,-0.000653935,-0.15476,0.00568169,79.1134,0.467882,0,0,0,0,0,0,0,0,0,0
29,-0.00222842,-0.000642402,-0.529865,-0.160796,62.8299,2.25683,0,0,0,0,0,0,0,0,0,0
30,-0.0374656,-0.000302028,0.140576,-0.0652261,-0.911928,-1.3114,0,0,0,0,0,0,0,0,0,0
31,0.0579555,0.000439545,-0.334808,-0.0285598,-2.92396,0.0500018,0,0,0,0,0,0,0,0,0,0
32,0.0763076,0.00038759,-0.348742,0.102343,-44.541,-2.54087,0,0,0,0,0,0,0,0,0,0
33,-0.0360787,0.00640223,0.711126,-0.102649,-169.969,-3.31602,0,0,0,0,0,0,0,0,0,0
34,0.0314811,-0.0048249,0.834609,0.340406,52.6803,1.09027,0,0,0,0,0,0,0,0,0,0
35,0.0184484,0.00145899,0.948872,0.0241911,-5.77292,-1.3607,0,0,0,0,0,0,0,0,0,0
36,0.0417427,0.0111476,0.594919,0.100123,-96.6222,7.08149,0,0,0,0,0,0,0,0,0,0
37,-0.0352173,-0.00784213,0.430521,0.185591,-63.7802,-1.58935,0,0,0,0,0,0,0,0,0,0
38,0.0169437,0.00113045,0.0233523,-0.138396,159.273,0.580828,0,0,0,0,0,0,0,0,0,0
39,-0.00721957,-0.00110277,-0.202501,-0.189856,-82.0314,1.88161,0,0,0,0,0,0,0,0,0,0
40,0.011098,0.0019196,0.354633,0.0304063,105.239,-0.854665,0,0,0,0,0,0,0,0,0,0
41,0.0339492,0.00247345,-0.295135,-0.094276,49.7075,-0.57077,0,0,0,0,0,0,0,0,0,0
