rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha27
1,1,0.00484439686776028,-0.00101293251467341,-0.308319441449744,0.0994088826061328,42.3690560276042,-6.47516550748182,0,0,0,0,0,0,0,0,0,0
2,1,-0.00915479856766499,0.00020862955586987,-0.199215170992932,0.10069657001255,51.1867452604238,-7.43560283232312,0,0,0,0,0,0,0,0,0,0
3,1,-0.011629885510219,-0.000486810198114542,-0.171557444376083,0.109499809509119,76.149107617613,-8.03184177025556,0,0,0,0,0,0,0,0,0,0
1,2,-0.000999672963351017,0.00239156609903585,-1.04120472071084,0.196892374339531,-82.7869676899256,-12.4528306224728,0,0,0,0,0,0,0,0,0,0
2,2,-0.0160896091109821,0.00295431572987036,-1.31875697875575,-0.0788445025466139,-74.9910485780435,-0.460641537528989,0,0,0,0,0,0,0,0,0,0
3,2,0.00270524257983951,-0.0014291794136334,0.0891325829314509,0.0102901700303603,-12.5576304072148,-3.97681444141739,0,0,0,0,0,0,0,0,0,0
1,3,-0.0380054424837892,-0.00221660681934962,0.251236764499486,-0.0507933324282731,2.12032605761129,-3.08069697957511,0,0,0,0,0,0,0,0,0,0
2,3,-0.0103402320134878,-0.00269391144701902,0.549639616685262,-0.155801947853213,-36.7797582897397,0.934621251089189,0,0,0,0,0,0,0,0,0,0
3,3,-0.0385962465532215,0.00306042888157229,-0.0313424220364977,-0.0643939625379514,-77.3727213661191,6.53016955890449,0,0,0,0,0,0,0,0,0,0
1,4,0.0447988298222537,-0.00196371585039515,0.441856162471962,0.039955875668115,-28.1875403244637,-3.23435201669818,0,0,0,0,0,0,0,0,0,0
2,4,-0.0328831665114935,0.00524563688924543,-0.0887433323624389,0.145625146514349,-57.9818160747926,9.30092419465034,0,0,0,0,0,0,0,0,0,0
3,4,0.0469190354800437,-0.00262478558026705,0.686869759421845,-0.0821012228788846,20.7953480651001,-6.81767010141951,0,0,0,0,0,0,0,0,0,0
1,5,-0.00852836406480062,-0.000907450111302756,0.554356912164552,0.0882259222308397,61.1122020730836,-2.88187654299724,0,0,0,0,0,0,0,0,0,0
2,5,-0.012360785503402,-0.00484455615874426,0.930222349584331,0.291920166851771,-16.3351808731498,2.64358006969224,0,0,0,0,0,0,0,0,0,0
3,5,-0.0124094368925487,-0.0021319366716978,0.612974824547233,0.280099062351857,37.3679720600881,-0.301410560068899,0,0,0,0,0,0,0,0,0,0
1,6,0.00388841340285495,-0.00972719075832348,1.12295182515091,-0.0391167178243858,-30.2281490658204,-3.82305576411616,0,0,0,0,0,0,0,0,0,0
2,6,-0.0157990887587092,0.00404154248121119,1.74281994930967,0.000609493586672727,171.627963578667,-2.83897857119416,0,0,0,0,0,0,0,0,0,0
3,6,0.00906732874617067,-6.81835393061335e-05,2.35630114654534,0.0718082252263829,22.9995868746238,-4.94344371439413,0,0,0,0,0,0,0,0,0,0
1,7,-0.0553542336969626,0.00609439555238162,-0.625732934942024,0.210006777638372,67.9723725976695,0.513246962095725,0,0,0,0,0,0,0,0,0,0
2,7,0.00388898866955589,0.00100816545854683,0.0269755359348771,0.174356747763858,-15.5953453152325,4.27634392023391,0,0,0,0,0,0,0,0,0,0
3,7,-0.000662883646683987,0.00272975365881154,-0.498515245747782,0.192343874420107,5.94056470239042,2.34125862300246,0,0,0,0,0,0,0,0,0,0
1,8,0.0232508518943906,-0.0010436975091753,-0.701120822277527,-0.250129690758363,48.6613715741869,-2.10423138987349,0,0,0,0,0,0,0,0,0,0
2,8,0.00161266435990104,0.0056492223564873,-0.13741607664708,-0.272641164109149,162.056852558916,1.56782910389642,0,0,0,0,0,0,0,0,0,0
3,8,0.033576312401288,0.00452600627669941,-0.052776813020496,-0.222460658328515,137.580878317506,1.56203488823159,0,0,0,0,0,0,0,0,0,0
1,9,-0.0156709474295749,0.00161468382835538,-0.185737094132246,-0.0620372344862408,96.7841541809527,-0.0175778454676205,0,0,0,0,0,0,0,0,0,0
2,9,0.0150441881462084,-0.00180358490000832,0.257308615015079,-0.0811863737101017,-26.2391903860924,-6.91653498811358,0,0,0,0,0,0,0,0,0,0
3,9,0.0192774624811998,0.00294180745790312,0.420527703281123,-0.0535869975200293,-9.79717502985795,-4.29576603222408,0,0,0,0,0,0,0,0,0,0
1,10,-0.0300047123922837,0.00403349040348307,0.476874339301331,-0.0383833834003277,-32.0522577424233,-2.36983361905644,0,0,0,0,0,0,0,0,0,0
2,10,0.0348500468055599,-1.40729018157726e-06,0.350564380287536,0.0349200897247419,-38.1818789665146,-1.11835982134417,0,0,0,0,0,0,0,0,0,0
3,10,-0.0512418268459411,-0.00103804142130634,0.434820500117661,-0.0420440506418581,99.2903512220149,-2.50984197121302,0,0,0,0,0,0,0,0,0,0
1,11,0.0582463571094216,0.00144157815305116,0.0477348838332672,-0.0111954338845568,61.3538746318075,-0.597905412597242,0,0,0,0,0,0,0,0,0,0
