id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM
1,0.746324,-0.0142565,0.0050215,0.0969446,0.049133,0.00012509,0.480512,-0.0389307,0,0,0,0,0,0,0,0,0,0
2,1.13059,0.0286588,-0.0327233,-0.183044,-0.0362521,0.00706603,1.0298,0.0444785,0,0,0,0,0,0,0,0,0,0
3,-2.70265,-0.0147401,-0.0113535,-0.526319,0.00172447,-0.00273621,0.140912,0.0529252,0,0,0,0,0,0,0,0,0,0
4,-3.02314,0.0129334,-0.017949,-0.575568,-0.0106799,-0.00536464,-0.130943,0.358541,0,0,0,0,0,0,0,0,0,0
5,1.89842,0.0284673,-0.0221833,-0.175233,-0.019424,-0.00426958,-0.355548,0.221837,0,0,0,0,0,0,0,0,0,0
6,0.239501,0.0783862,-0.0288729,0.105343,-0.0762416,-0.00203262,0.231001,0.0944993,0,0,0,0,0,0,0,0,0,0
7,-0.561998,-0.0155177,0.00499703,0.101058,0.0632113,-3.99693e-05,0.620907,-0.0208933,0,0,0,0,0,0,0,0,0,0
8,0.323208,0.0113369,-0.0428658,-0.0586008,0.0420741,0.00496682,0.737472,0.136897,0,0,0,0,0,0,0,0,0,0
9,0.119231,0.0213866,-0.0135351,0.0604927,-0.0426805,-0.00113192,0.91214,0.0680898,0,0,0,0,0,0,0,0,0,0
10,-1.11666,-0.0356606,-0.00869714,-0.585944,-0.0415081,-0.00725906,-0.852527,-0.0672888,0,0,0,0,0,0,0,0,0,0
11,-0.266239,-0.00952128,0.0152635,0.00220915,0.0129297,4.34075e-05,0.205645,-0.0334822,0,0,0,0,0,0,0,0,0,0
12,-1.16672,0.00371085,-0.0441679,-0.157248,0.0222827,-0.000210444,-0.73163,-0.348495,0,0,0,0,0,0,0,0,0,0
13,1.09738,-0.00184069,-0.0102046,-0.188726,-0.0184769,-0.000919183,0.245717,-0.0668097,0,0,0,0,0,0,0,0,0,0
14,-0.270733,0.0564918,-0.0270303,0.0268168,-0.0058067,-0.00236973,-0.375376,0.0344677,0,0,0,0,0,0,0,0,0,0
15,-0.423249,-0.0810577,0.10204,0.735592,0.0353289,0.00379481,1.25998,0.000336327,0,0,0,0,0,0,0,0,0,0
16,-0.203736,-0.049977,0.0207387,-0.324809,0.00658518,-0.000109339,0.357804,-0.0586107,0,0,0,0,0,0,0,0,0,0
17,1.56352,-0.0518437,0.0746619,0.133674,-0.0572272,-0.0020336,0.842063,-0.0273655,0,0,0,0,0,0,0,0,0,0
18,-2.93254,-0.040796,-0.00461811,-0.598358,-0.00362536,-0.00185541,-0.939726,0.0409079,0,0,0,0,0,0,0,0,0,0
19,0.417511,-0.0363014,0.0389811,-0.12395,0.00838287,0.00288976,-0.131958,0.0883668,0,0,0,0,0,0,0,0,0,0
20,0.308805,-0.0336359,0.0310634,-0.10151,0.0341745,-0.000966537,-0.730259,-0.0906757,0,0,0,0,0,0,0,0,0,0
21,0.466886,-0.0368624,0.0142368,-0.162049,0.0197707,0.00282423,-0.295201,-0.00837369,0,0,0,0,0,0,0,0,0,0
