rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha21,eta_alpha22,eta_alpha23
1,1,0.50406302459866,-0.0596993857607515,0.00182036135916797,-0.405378530545333,-0.0819910109061714,0.00737836907796298,0.314198355989285,-0.169891918692282,0,0,0,0,0,0,0,0,0,0
2,1,-0.495570375392939,-0.14693613903421,-0.046835393752484,-0.0358703207650743,-0.0620652668249706,-0.00164972893187567,-0.771135627937175,0.0903276265200489,0,0,0,0,0,0,0,0,0,0
3,1,-0.554232439038629,-0.0905827609002652,0.0911158826295511,-1.75755782820891,-0.0252414525302038,0.0013343124723794,0.420779593181948,0.00853841427952923,0,0,0,0,0,0,0,0,0,0
1,2,3.83681894612615,0.102032164289723,-0.019993495489088,-0.663523417055938,0.0430635912533246,-0.000740910939665584,-0.0567362936367113,-0.17333793351541,0,0,0,0,0,0,0,0,0,0
2,2,4.79924882175196,0.011092652929272,-0.0401167669586665,0.103759756679928,-0.0105250351129218,-0.00175842607394826,0.50656728309512,-0.338145675183248,0,0,0,0,0,0,0,0,0,0
3,2,3.07072094319866,0.0262338031441963,-0.026006543655173,-0.28775693467099,0.0263344956220797,-0.000273189158512723,-0.428811532196371,-0.0717218579203261,0,0,0,0,0,0,0,0,0,0
1,3,4.22023663675223,-0.183885598609484,-0.00408935098387725,-0.188248468169565,0.0167488518845094,0.00145768640504054,-0.362543124428475,-0.0440017872031313,0,0,0,0,0,0,0,0,0,0
2,3,3.62508439261798,-0.0642272140778198,-0.0855878656874189,-1.2962630059243,0.0308395755551087,-0.00267884368021793,-0.540226957905898,-0.00512323905898615,0,0,0,0,0,0,0,0,0,0
3,3,1.75829047049574,0.0542623414907847,-0.00666998478630174,-0.122574143123307,0.0478862383323992,-0.0133009452234194,0.477486374943395,-0.0645627147129623,0,0,0,0,0,0,0,0,0,0
1,4,0.624320555497389,-0.0891438867324738,0.016602560070846,-1.08911488556956,-0.10269728216669,0.00159224111753233,0.900172038972407,0.0881937490454548,0,0,0,0,0,0,0,0,0,0
2,4,0.51004795966997,-0.202518082253029,0.00916538631661706,-0.344050958377097,-0.0822707274505907,9.16706975191764e-05,0.688242106309001,0.0961833670311386,0,0,0,0,0,0,0,0,0,0
3,4,0.22864878592276,-0.0163119575517593,0.0311655843536379,-0.401330186990467,-0.0756591432763276,0.000244411412572503,0.56024250683379,0.0857114995667912,0,0,0,0,0,0,0,0,0,0
1,5,3.51292122805204,0.0488672602717972,0.10000736441412,-1.66672931949139,0.0312578853964798,0.0095492856402857,-1.13565950616637,-0.109405737500516,0,0,0,0,0,0,0,0,0,0
2,5,2.83417129671152,0.067987746673482,0.0499982490706326,0.392460045105699,0.0457844154055715,0.00967716960412803,-0.616914648254981,-0.143192107968791,0,0,0,0,0,0,0,0,0,0
3,5,2.02673515118441,0.195031991150535,0.00920561869862796,-1.67453174402909,0.0213043667312514,0.0104387367523215,-0.709891176108823,-0.138990825527041,0,0,0,0,0,0,0,0,0,0
1,6,0.297339648375946,0.0694319398834173,0.0375771695709724,0.19538201790705,-0.0415308429313601,0.0064030268221936,-0.0926728444806795,0.0406000366190505,0,0,0,0,0,0,0,0,0,0
2,6,-0.382419623805914,0.0438292684428535,0.00892560906121082,-1.04832631227455,0.0497308321630809,0.00582301009636704,-0.128244243792945,-0.0402465718476873,0,0,0,0,0,0,0,0,0,0
3,6,1.95927534968384,0.0578669286448953,-0.0243770391424612,1.12357086653801,0.014869242748702,0.0128504905061976,-1.3670021543794,0.277901186560571,0,0,0,0,0,0,0,0,0,0
1,7,-0.773204538248677,-0.095898293634234,-0.0288000467797516,0.301770039875753,-0.00812697312988764,-0.00167556611239384,0.417561288428012,0.16565502366732,0,0,0,0,0,0,0,0,0,0
2,7,-0.90134198802137,-0.0268368669379322,0.0437964044134196,0.868510498933179,-0.00425438979539106,-0.00156788720934909,1.04852838979745,0.0762081844229584,0,0,0,0,0,0,0,0,0,0
3,7,-0.626299938128839,-0.141597123881684,0.0436436668747362,0.017098575019902,-0.0178341535417648,-0.00256704593648072,1.05496631087858,0.109722281170011,0,0,0,0,0,0,0,0,0,0
