rep,id,b02,b12,b03,b13,b04,b14,b07,b17,p1,g1,p2,g2,alpha12,alpha13,alpha14,alpha17,alpha22,alpha23,alpha24,alpha27,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha27
1,1,7.37404732374948,0.00335364691463403,4.41903931403886,-0.0822573632434867,4.40603695985685,-0.0218093608011306,383.175711970945,-12.1754641420875,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,-0.0269981912107147,0.00123154997019921,0.137279087327874,0.0791196749146406,-0.702418823822037,-0.0348976250206466,39.6302711962131,-7.03121989664731,0,0,0,0,0,0,0,0,0,0,0,0
2,1,7.40519942175427,0.00211660648732738,4.01196316721561,-0.0624355831327295,3.70986394846902,-0.000975754332759846,359.298181168175,-10.9542740420752,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,0.00415390679406968,-5.49045710743299e-06,-0.269797059495379,0.0989414550253978,-1.39859183520987,-0.0140640185522758,15.7527403934433,-5.81002979663503,0,0,0,0,0,0,0,0,0,0,0,0
3,1,7.3681070011732,0.00447809358264747,3.4841412469157,-0.012288334072184,3.31076757904814,0.0243566129582729,383.908827115614,-11.0347885280579,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,-0.0329385137869957,0.00235599663821265,-0.797618979795291,0.149088704085943,-1.79768820463075,0.0112683487387569,40.3633863408817,-5.89054428261777,0,0,0,0,0,0,0,0,0,0,0,0
1,2,7.41065272341752,0.00630729229500427,2.57700620890175,-0.0818220266088465,5.92304712463926,0.0382492357599186,205.233571993281,-3.73014593735388,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,0.00960720845732688,0.00418519535056945,-1.70475401780924,0.0795550115492809,0.814591340960375,0.0251609715404026,-138.311868781451,1.41409830808628,0,0,0,0,0,0,0,0,0,0,0,0
2,2,7.39510358027694,0.00944710241444307,3.21048144222236,-0.257604035578295,6.14715398811881,0.0338199575318986,229.402434885268,-7.10180190515277,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,-0.00594193468325965,0.00732500547000826,-1.07127878448863,-0.0962269974201676,1.03869820443993,0.0207316933123826,-114.143005889464,-1.95755765971261,0,0,0,0,0,0,0,0,0,0,0,0
3,2,7.42185285509639,0.00260510452628615,3.75486315939008,-0.139781661568857,5.94057299149897,-0.0401517566877097,371.811631419216,-1.08692382996908,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,0.0208073401361961,0.000483007581851333,-0.526897067320911,0.02159537658927,0.832117207820088,-0.0532400209072257,28.266190644484,4.05732041547109,0,0,0,0,0,0,0,0,0,0,0,0
1,3,7.38546402403722,-0.000860219786320114,4.35041210163846,-0.148096809031783,2.11635813724524,-0.113030760061702,325.198176760462,-5.75341042834729,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,-0.0155814909229761,-0.00298231673075493,0.0686518749274683,0.0132802291263439,-2.99209764643364,-0.126119024281218,-18.34726401427,-0.60916618290713,0,0,0,0,0,0,0,0,0,0,0,0
2,3,7.35256711813524,0.00487343759443702,4.10243889534395,-0.192751613385078,2.23318495624162,-0.0458500654888955,270.183296226176,0.817202063684393,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,-0.0484783968249536,0.0027513406500022,-0.179321331367033,-0.0313745752269511,-2.87527082743726,-0.0589383297084115,-73.3621445485562,5.96144630912456,0,0,0,0,0,0,0,0,0,0,0,0
3,3,7.3384233152447,0.00393760982029403,4.28241406227712,-0.268291190672935,1.75430912126731,-0.0800976947199602,296.447439621842,-4.22645667206675,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,-0.0626221997155021,0.00181551287585921,0.000653835566134298,-0.106914152514808,-3.35414666241157,-0.0931859589394762,-47.0980011528895,0.91778757337341,0,0,0,0,0,0,0,0,0,0,0,0
1,4,7.38032559088492,-0.00247544036750091,3.74396045700829,-0.178456517741473,3.55315587552287,0.0191176935465895,351.608607808373,-6.03020275782128,0.0895359134215852,0.0897259663567384,0.697156170390236,0.121116951025504,-9.30706279619358,0.484262702141927,-4.02363369442388e-09,-4.97446471175867e-05,6.50224738099374e-08,-0.198275123419418,7.14443477450531e-06,-3.17591334856575e-07,-0.0207199240752827,-0.00459753731193573,-0.537799769702692,-0.0170794795833453,-1.55529990815602,0.00602942932707349,8.06316703364098,-0.885958512381114,0,0,0,0,0,0,0,0,0,0,0,0
