id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha17_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha27_SAEM
1,0.000243612,-0.000401685,-0.27273,0.10436,-1.30675,-0.0158478,42.2347,-6.38812,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00118929,0.000397465,-1.01925,0.0254442,0.440507,0.00569512,-83.9147,-0.450064,0,0,0,0,0,0,0,0,0,0,0,0
3,-0.0301128,-0.00179765,-0.0392128,-0.0453749,-2.85156,-0.0674982,-49.4538,2.64865,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0117051,0.0006977,0.309877,-0.0399829,-0.743806,-0.00673984,6.0812,-0.345177,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00827194,-0.000158396,0.679836,0.148642,-1.02054,0.00382513,-12.7961,0.486103,0,0,0,0,0,0,0,0,0,0,0,0
6,-0.00723891,-0.000387423,1.58545,0.0133833,-0.115668,-0.00492246,-7.52758,0.117897,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0104444,0.00134583,-0.812091,0.236383,-2.95737,-0.0163596,54.9864,0.46666,0,0,0,0,0,0,0,0,0,0,0,0
8,0.019913,0.000727401,-0.422564,-0.111701,-2.07556,-0.010429,110.786,0.669286,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0190402,0.000191842,0.558028,-0.0236854,-0.699464,0.00116384,6.05449,0.295517,0,0,0,0,0,0,0,0,0,0,0,0
10,-0.0217357,-0.000412947,0.400266,0.0120374,-1.75505,-0.0201253,-24.8,0.318988,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0182944,-5.26515e-05,-0.527819,0.0623886,-0.379915,0.00383965,10.0648,0.274911,0,0,0,0,0,0,0,0,0,0,0,0
12,0.000360392,-0.0026975,-0.434978,-0.0434687,2.55367,0.000727615,73.4934,-2.84793,0,0,0,0,0,0,0,0,0,0,0,0
13,-0.00545639,0.00144471,0.20197,0.0696601,0.5991,0.0124824,4.44553,-4.3665,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0533955,-0.000312578,0.826959,0.0640233,0.67383,-0.0198523,45.8704,1.72775,0,0,0,0,0,0,0,0,0,0,0,0
15,0.0482802,0.000308826,0.945754,-0.0097463,-1.00341,-0.00418131,51.7226,-0.654513,0,0,0,0,0,0,0,0,0,0,0,0
16,-0.00622052,0.000281401,1.17636,-0.0304445,-1.74056,0.00832445,192.978,-0.613373,0,0,0,0,0,0,0,0,0,0,0,0
17,0.00339043,7.07428e-05,-0.950248,-0.0153295,-3.87272,-0.00125329,14.945,0.184378,0,0,0,0,0,0,0,0,0,0,0,0
18,-0.0147608,-0.00663318,0.174178,-0.136533,-1.00335,-0.0612799,-67.0945,-3.85485,0,0,0,0,0,0,0,0,0,0,0,0
19,0.0319208,-0.00305456,-0.521613,-0.0329794,0.160695,-0.0804464,32.9353,-8.64578,0,0,0,0,0,0,0,0,0,0,0,0
20,-0.0115831,-0.00578713,0.471795,0.125494,1.08887,0.063566,-48.2966,-1.23035,0,0,0,0,0,0,0,0,0,0,0,0
21,-0.0299492,-0.00208332,0.118839,-0.213697,-1.19465,-0.0352867,-24.4805,-4.44716,0,0,0,0,0,0,0,0,0,0,0,0
22,-0.0564236,-0.00269973,-0.319153,-0.0665445,-1.08322,0.00199283,107.4,0.485598,0,0,0,0,0,0,0,0,0,0,0,0
23,-0.0317128,-0.000248055,-0.566352,0.0562485,0.426181,0.00843689,136.411,1.9996,0,0,0,0,0,0,0,0,0,0,0,0
24,-0.0230133,-0.000269625,-0.0552155,-0.0159562,0.710302,-0.0385559,63.8232,4.41611,0,0,0,0,0,0,0,0,0,0,0,0
25,-0.00173548,0.00169596,-1.21043,0.121423,0.134362,0.041006,17.6694,5.08562,0,0,0,0,0,0,0,0,0,0,0,0
26,-0.0329519,0.00952669,0.0166437,0.0295491,1.55885,0.104011,150.319,-7.79109,0,0,0,0,0,0,0,0,0,0,0,0
27,0.0678636,-0.00013957,0.140158,0.0510944,1.68384,0.0904159,-125.352,-2.42248,0,0,0,0,0,0,0,0,0,0,0,0
28,-0.0380035,0.0026244,0.457094,0.0185798,0.470389,0.132369,183.831,-5.38691,0,0,0,0,0,0,0,0,0,0,0,0
29,0.0574199,0.0042463,0.247639,0.0333493,-1.54415,0.0676454,-44.6049,3.04167,0,0,0,0,0,0,0,0,0,0,0,0
30,-0.0596083,-0.00540664,-0.655014,-0.136997,0.564998,-0.0322933,-0.177935,-2.67596,0,0,0,0,0,0,0,0,0,0,0,0
31,0.0264537,-0.000967275,-0.452312,0.0466727,-0.11198,-0.0439809,-19.8947,-6.51253,0,0,0,0,0,0,0,0,0,0,0,0
32,-0.0243118,-0.00136854,0.835947,-0.0930554,-2.19072,-0.0353674,-268.375,4.22649,0,0,0,0,0,0,0,0,0,0,0,0
33,-0.0288483,0.00677196,-0.313511,-0.0753406,2.19465,0.118438,-21.6998,4.51901,0,0,0,0,0,0,0,0,0,0,0,0
34,0.0112024,0.00936123,0.227273,0.028453,-0.633497,0.17285,-70.7558,-2.70176,0,0,0,0,0,0,0,0,0,0,0,0
35,-0.00484141,0.0011257,-0.105625,-0.0693784,-0.86988,0.0244236,-149.369,0.742382,0,0,0,0,0,0,0,0,0,0,0,0
36,0.0340265,-0.00620691,-0.72901,0.0261833,3.04249,-0.0838379,-57.6935,-4.7003,0,0,0,0,0,0,0,0,0,0,0,0
37,0.03666,0.00154202,0.910676,-0.0317638,-0.994205,-0.00127343,129.434,1.0497,0,0,0,0,0,0,0,0,0,0,0,0
38,0.0397529,-0.00456466,-0.690229,0.0321341,-1.5812,-0.0711504,50.0047,2.11971,0,0,0,0,0,0,0,0,0,0,0,0
39,-0.0204036,-0.000993491,0.344237,0.0773557,0.418466,0.0167961,9.46296,1.27642,0,0,0,0,0,0,0,0,0,0,0,0
40,0.0539255,-0.000305499,0.0319684,-0.025183,2.25682,-0.00165074,-29.2436,0.857835,0,0,0,0,0,0,0,0,0,0,0,0
41,0.016012,0.00165813,-0.0165823,-0.0663301,-2.83872,0.0203533,154.359,0.742292,0,0,0,0,0,0,0,0,0,0,0,0
42,-0.0061288,0.000121976,-0.0476271,0.0790371,0.0658914,-0.00370203,-32.135,-0.0796772,0,0,0,0,0,0,0,0,0,0,0,0
43,0.0172721,-0.000627661,-1.00762,0.0238818,-0.0474959,-0.029378,-62.5083,6.8387,0,0,0,0,0,0,0,0,0,0,0,0
44,0.0316847,-7.30496e-05,1.35995,0.0473451,1.26968,0.0458773,-39.3844,0.318643,0,0,0,0,0,0,0,0,0,0,0,0
45,0.0146825,-0.00080551,-0.551421,0.0848693,2.03368,0.0384843,54.2716,3.39031,0,0,0,0,0,0,0,0,0,0,0,0
46,0.0322867,0.000235161,-0.306976,-0.000449637,0.998679,0.000137966,0.455911,-0.339601,0,0,0,0,0,0,0,0,0,0,0,0
47,0.00529556,-0.000842559,-0.135633,-0.149847,0.352186,0.0487514,-207.505,4.63447,0,0,0,0,0,0,0,0,0,0,0,0
48,-0.0503219,-0.000876261,0.265763,-0.0125012,-0.291393,0.00117056,32.5972,0.0508825,0,0,0,0,0,0,0,0,0,0,0,0
49,0.00810058,-0.00161992,1.04704,-0.0702605,-0.673968,0.000525496,4.0662,3.46489,0,0,0,0,0,0,0,0,0,0,0,0
50,-0.022622,-3.51597e-05,0.956252,0.0472261,0.296328,-0.0104729,-116.486,0.327127,0,0,0,0,0,0,0,0,0,0,0,0
51,0.0235172,-0.000178129,0.0409187,-0.0171057,1.90699,0.00445685,-59.7859,0.202813,0,0,0,0,0,0,0,0,0,0,0,0
52,-0.015303,-0.00216523,0.41507,-0.103289,-1.68334,0.0215219,-65.0903,-0.069097,0,0,0,0,0,0,0,0,0,0,0,0
53,0.0234971,0.000351263,1.37323,0.127311,1.80518,0.0865325,56.208,-2.70925,0,0,0,0,0,0,0,0,0,0,0,0
54,0.0327804,0.00386901,0.885399,0.319154,0.0617241,0.11912,84.9723,3.97426,0,0,0,0,0,0,0,0,0,0,0,0
