rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha27
1,1,0.261049824281834,0.00908088444315328,0.037949748678366,0.728576560949118,-0.048649674313701,0.0016191407944905,0.304043520012089,0.0149059264433299,0.224978778283217,-0.00681852029439765,36.4986258762728,-4.16548280437176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1.88933403011376,-0.132765073417026,0.0634527408212786,0.286898606595871,-0.0716840614405623,0.00474093147345991,0.393902239109165,-0.173602153162327,0.0840229354605411,-0.100032510155401,85.7924579057093,-7.44563967974322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,-1.58832313830874,-0.0115216819309485,-0.0176263149176538,0.750654859473101,-0.0965857659856919,0.00758485585401811,0.647484006856621,-0.00517235154147491,-0.691268200222855,-0.075758025076441,120.361309564906,-0.371958073831149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2.42580375999882,0.0325500615019149,0.0364263089209172,-0.917930065127464,0.0152994031179805,0.00706644701316037,-0.510198784937058,-0.0692255759480742,-2.524848227261,0.0404249756724599,72.4808848979781,0.221747526743514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3.75365859818431,-0.0411686688530597,-0.0217398994115791,0.0309021611891818,0.0559769015438363,-0.00249150021176186,-0.890386236653811,0.150589801407669,-1.78910058068524,-0.00971185985127611,39.8349474958134,-3.15571546419874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2.83795658334746,0.0586744306710931,0.0639572640897164,-0.652826274408879,-0.0138221264449818,0.000455604037831336,-0.30246348016545,-0.0105117299837205,-2.32331100888065,0.0460672080166507,3.12457757679061,4.8863884768826,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3.99151644675202,-0.0715147913823549,-0.0274771164041133,-1.59055263209703,0.0027756040858522,-0.00368647170710952,-0.647101076918833,0.12369176461835,-0.348935688183006,0.0473697910194072,14.2772167512489,6.17349073796837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.6784111059665,0.0557463054122093,0.0103613506557045,1.03060062087265,0.0129451882007592,0.000898640534301262,0.792837804237361,-0.167624707049398,-0.416773636873502,-0.0327289386147204,25.1933212223206,-2.25450106451608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2.06679919699181,0.0730851962165598,0.018759152727624,-0.416564928493918,0.0614585944126427,0.00666226483919712,-0.0523643217503516,-0.00962167876851033,-0.818312481554476,0.0290698032756415,13.5638992019678,-5.220519735906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1.61817166910659,-0.0165507190468038,0.0956352805360519,0.539138199613153,-0.0903014769814945,0.00195485749236598,0.660541426942187,0.0875729758273073,0.83006565502645,-0.0240789272882058,34.9743869094551,6.26468019769529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0.414666945933652,-0.115260329022001,0.0648119431493506,-0.619713528726138,-0.0875445641571089,0.000814556142231977,0.896954174534003,0.0912235324717101,0.75537226261086,-0.0293156024720383,30.5725944972963,4.61554394233776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0.248407203872191,-0.0304735023983044,-0.0450962507865836,-0.871456637971543,-0.0939550523251773,0.00211850640149092,0.340422735956493,0.12553433224535,0.844747073033906,-0.0201815030035807,-35.2525264295263,7.73379295719135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,3.58516046519835,-0.113911459752892,-0.0327491901302733,-0.0206939379164144,-0.00583418473072772,0.0105128504237592,-1.2192909764855,-0.109711682672129,-2.67474336978472,0.0682867465071728,-86.0005834705073,-3.3370534513981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,4.50202077210436,-0.122879508622946,0.0462156224237919,-0.0238792787909499,0.0331961846897828,0.00873365617940943,-1.12262788233618,-0.116115110953367,-2.49482421720894,0.0661103182432577,-92.4489961738055,-2.98855534432212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,2.77416608983317,-0.000211993940360131,-0.0283280925189491,0.048905959947346,0.0505692972836691,0.00999364926213756,-0.732176515995157,-0.119296450576749,-3.12814946218628,0.0629613651743023,-93.4361345622114,-2.83083151732435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,-0.252638971658242,0.0058698157868794,-0.0564018138862877,-1.01227260645794,-0.00620328594552433,0.00365704180640187,-0.995736754270853,-0.11926940497285,-0.599951210152752,0.0231600877082001,-214.088541488036,-10.8059612815665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,0.528092710627747,0.158469671903246,0.00133490495709496,-0.699520609159761,0.0528935655459319,-0.00482938852828809,-0.543891938927784,0.176176569943822,0.509802894743718,-0.109719129780476,-259.749454623634,-5.21631188461204,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,-0.0109778905395324,-0.187074173551446,0.0262417568372876,0.580213090385222,0.0645195580601117,0.00502667637927157,-0.560040034577004,-0.0577136058400131,0.155469767473816,-0.0524587846035507,-208.196812422321,-8.15738754251616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,-0.263561521242712,-0.0727593430433501,-0.0295086188119972,2.42378952263769,-0.0284163609605397,-0.00262072720516362,1.15311889701736,0.0522259775684389,0.685481905805913,-0.138980321114931,-77.1662783713815,4.1585705403264,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,-0.5389580326398,-0.0919164807752612,0.0170706213102519,0.435425093305277,0.000921123562394044,-0.000929920022902619,1.00107065893233,0.085400320615999,-0.475280370048133,-0.0197855755147134,-64.565670673202,3.17927680230248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,0.139564546557541,-0.0709487376406079,0.015322670570572,0.158109278739632,-0.00427789293281577,-0.00125335096563002,1.71521944455274,-0.00214610883074967,0.161191129917844,-0.0821467697677189,-39.5345876358754,-0.74056894412638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,1.02595040571088,-0.0622811774077519,-0.0442903565943775,0.57055408171582,0.00916314004171692,0.00925163356330487,0.344094292587621,0.0545207399379367,-1.75686472580967,0.0526774801468927,147.96149789092,3.03713173099012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,1.7351117968374,-0.0287191947533508,-0.0130554682550862,0.0130815817738716,0.0373883861412034,0.00186068992499392,0.163690023620178,0.0466648434508282,-0.730788532762619,0.00922908963413772,33.4836111429475,10.8016314650633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,2.07946803741107,0.0146481284384174,-0.00742710080706069,-2.10687018390581,0.0328262908404708,0.00208230442839653,0.122524026938348,0.0589298146600155,-0.129911664220986,-0.0442132838272819,58.9104707921956,-3.1427812667552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,1.98141781406842,0.124734342391126,-0.0146146702035414,-0.688911821471029,-0.0717160185556791,0.00185600853957453,0.499819444957327,0.0878935841914669,2.00013161419873,-0.0126882668033653,185.351565295002,1.2347314654483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,0.713510463918915,-0.0377511461581359,0.033838475541337,-1.17673310535423,-5.76635236040346e-05,-0.00725788700419112,0.0521885417740551,-0.203006446458348,2.37027214986129,-0.1348303639421,90.6162450368968,-1.58511836715636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,2.54624005540659,0.107276076651288,-0.0106833526303647,0.461116566014132,-0.0678718549795105,-0.00398389588546124,0.73627998770193,0.0423123387097407,2.04136222596396,-0.0111980163842428,124.718218775916,-3.36347367486126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,-2.71767729833888,0.0495444962113753,-0.0540273940181725,-0.67827540820972,-0.0218782883727284,-0.00499778562498688,0.341009627677179,-0.0739204374316111,2.27747447334108,0.0783477478055379,14.3783165295574,-0.601147795602908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,-3.50227718691513,-0.0139836752268242,-0.0445323431294854,0.967970982325025,0.0207161921215446,0.000663165395887484,0.217563796180908,-0.212948701588991,1.60071444359823,-0.0443347115003601,-43.2411849233565,4.53118845893256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,-2.52570387924299,0.0260685932683429,0.0302105081529639,-0.441977377621114,-0.0254824390222081,-0.0029708988114158,0.974600692201194,-0.126388648121488,1.60199165373651,0.101514538185683,1.3608789130306,-5.38196775409691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,-1.24516461959136,-0.0865580174110402,-0.0147937870794976,0.604932203568734,-0.0047155767787963,-0.00526985661135732,1.31830757287453,0.0238589950915325,0.249676101420156,-0.0255906396093165,16.5505789847186,-4.38290053997312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,-1.35595646712141,-0.0569305150515977,0.00166827091698704,1.1919301590244,0.000146332419604711,-0.00845948916540022,0.858828223003002,-0.0866108030249473,-0.132208321537432,0.0312537890994153,-7.05152730941177,0.618497417635067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,-0.463121291864877,-0.038481047534214,-0.0153435812162903,0.686377867154823,-0.0654864070734211,-0.00178332771781612,1.07681861573636,-0.0367737028708371,0.318371989922338,0.0516972250960077,58.9281666404991,1.92795683278539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,-0.589562567978537,0.0799857499809369,-0.00711820961188941,-0.253150861004704,0.0944460092179842,0.00449992904500192,-0.0440820860877862,-0.00628624732284164,0.264229841378756,-0.0838867274247083,-28.82334922806,1.76246519602126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,-0.573646953425532,0.017925190293655,-0.072244721461562,-1.58335928698792,0.0928435844599749,-0.000146990992683698,0.411343524129323,0.00698403578424273,0.599280510810471,0.113506992532757,-48.9072700559278,-0.15084251358345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,-2.44890145381667,0.151081884884036,-0.0669856316387905,-0.302330123180787,0.0380496287767595,-0.00667547186181252,0.032253136948424,-0.0683356540414358,0.0633947291073174,0.00141477200925044,-85.5218431954617,-2.12032292212009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,2.35935906828784,-0.130318676684166,0.101707155474574,0.734645736469319,0.00791648253584309,-0.00201981930671729,-0.582124220974097,0.160581882437249,0.963203312195946,-0.138176125824968,-307.532684200739,0.8941042161371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,1.14614313887746,-0.0210146486762633,0.067444514001032,1.30514694903511,0.00897042641013979,-0.00113607925461664,-0.294148240292607,0.0579326683538338,0.564083929649335,-0.0810798180998598,-300.450144873798,0.107744415255712,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,1.05664463122659,0.0131946327303068,0.0767024577596975,1.70039205434875,0.0294802774858773,-0.00219188447893937,-0.405579982331732,0.0541749879847494,-0.186674014206378,-0.0239828838929778,-300.39000580681,0.100993864949034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,0.580698186110174,-0.040098438771969,0.0615746253411959,2.1009660526501,0.0182150217429982,-0.00375240455496145,-0.14757215555147,0.00291383994444008,0.580754892253701,-0.0424187172269365,164.78769406601,-9.62152438401835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,2.83879842192921,-0.105103366758577,0.0887569678413843,-1.81728663689903,0.0275018681704804,-0.00353737533020522,-1.20527704147166,-0.0428702132173814,-1.01804452045171,0.0935534178114267,228.917051235276,1.37030572223668,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,-0.170691585843191,-0.0688411856968213,0.0137908047261094,-1.40820836605063,-0.0289370307713552,0.00160444870305523,-0.360285197164949,-0.0788225124021986,0.304089440871005,-0.00826809438464572,170.584402610177,-6.29223680517686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,2.00392338513419,0.0238527504390662,0.0050077904524691,1.74571185629488,-0.032678461806495,-0.000658411024253195,-2.35673891682431,0.323736132871824,-0.669737902314732,0.030606654398214,-98.4070818114732,-2.62554113480677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15,3.77396420237826,-0.0999518382967435,-0.0413683035508123,-1.01457621680646,-0.067483436372699,0.00390526513621928,-1.29083734135496,0.0817977725697499,0.0564054614311704,-0.0670950779454557,-105.865583508569,0.540165024061773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
