rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha16,alpha17,alpha21,alpha22,alpha23,alpha24,alpha26,alpha27,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b06,eta_b16,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha16,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha26,eta_alpha27
1,1,5.16461313103515,-0.160860188732417,-0.157941680060586,7.55810909077324,7.484752685908,0.00400569149832821,4.70673754877342,0.0233941084091533,6.03441271115812,0.0925675778333547,5.34473448967356,-0.15248595507725,524.598992300563,0.0133701007170262,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,0.489662768880589,-0.0584070065952948,-0.0253901063234304,0.541843947777422,0.0817226704276441,0.00119726725616012,0.361638278670066,0.175872310496049,0.970548879477826,0.077972131952966,0.173901506553255,-0.0881361335580015,185.649623198023,4.83038624405915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3.38157719818934,-0.180927244253329,-0.111313009571603,1.31560125095441,7.39763542097741,0.00450912404762936,3.56083529941652,0.163509418641547,7.66858095222226,-0.0472987236718517,5.94932026788429,-0.167250377339511,529.924615211732,3.0549169691518,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,-1.29337316396522,-0.0784740621162066,0.0212385641655522,-1.20648330466605,-0.00539459450294011,0.00170069980546127,-0.784263970686839,0.315987620728443,2.60471712054196,-0.0618941695522404,0.778487284763993,-0.102900555820262,190.975246109191,7.87193311249392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,7.07214047973822,-0.227552171343462,-0.0641724223091256,8.4742891887372,7.44898235787688,0.00565242046099999,4.21516827288373,-0.241073340480945,6.95652652753664,-0.0112910070654576,5.7217610541853,-0.107406213214387,389.515736306097,-1.62431772873068,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,2.39719011758365,-0.125098989206339,0.0683791514280299,0.656259687353027,0.0459523423965269,0.0028439962188319,-0.129930997219627,-0.0885951383940495,1.89266269585634,-0.0258864529458463,0.550928071064999,-0.0430563916951387,50.566367203557,3.19269841461144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4.95983216348017,-0.144749479056298,-0.0943400557655375,9.11338244355333,7.37938824811029,0.0111909991808827,3.34955481187953,-0.231582990083478,5.28567592272874,0.154430241925673,4.58380704044417,-0.0427284849711342,330.284154975597,-9.93964526146098,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,0.284881801325602,-0.0422962969191755,0.038211517971618,0.728966840584283,-0.0236417673700622,0.00838257493871461,-0.995544458223827,-0.0791047879965827,0.221812091048443,0.139834796045284,-0.587025942676134,0.0216213365481142,-8.66521412694357,-5.12262911811886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3.99489329057866,-0.123338791942469,-0.105259892391201,12.5686927729735,7.40101015863052,0.00781188758613178,3.78520741673692,-0.231312736803701,5.22227506186002,0.155117196737075,5.339927180228,-0.0586666942416138,305.253995413704,-9.67053002539283,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,-0.680057071575903,-0.0208856098053468,0.0272916813459542,1.05043193054786,-0.00201985684983352,0.00500346334396369,-0.559891853366434,-0.0788345347168052,0.158411230179724,0.140521750856686,0.169094197107694,0.00568312727763463,-33.6953736888361,-4.85351388205071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,4.22400839292293,-0.232032282631902,-0.122394185421148,7.63146849475138,7.3947599676376,0.00832658695900265,3.45284112048445,-0.213033064487762,5.769324851881,0.137354638532176,5.16137142375656,-0.0824067299188737,348.368649917755,-11.6703564456319,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,-0.450941969231634,-0.12957910049478,0.0101573883160079,0.551503199187214,-0.00827004784275687,0.00551816271683456,-0.892258149618907,-0.0605548624008665,0.705461020200706,0.122759192651788,-0.00946155936374193,-0.0180569083996253,9.41928081521434,-6.85334030228982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4.763010075928,-0.0848818874959566,-0.104760829434129,13.9255627207137,7.44233155117961,0.00801956817943753,4.35375428685034,-0.372992974371757,4.12257843084203,-0.00155592192249241,6.15446723747237,-0.0788196395001886,516.116762744013,-2.47830717595673,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,0.0880597137734345,0.017571294641166,0.0277907443030269,1.15294910495946,0.0393015356992539,0.00521114393726944,0.00865501674698077,-0.220514772284862,-0.941285400838266,-0.0161513678028811,0.983634254352069,-0.0144698179809402,177.167393641473,2.33870896738539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,5.54042396272544,-0.0660011626559285,-0.124104817693602,1.02207878682672,7.41342961462938,0.00871263897048272,3.72508683029181,-0.0357110898636513,5.18380872822033,-0.102346131094568,5.85079587079315,-0.113449154989643,469.9460812461,-0.00542023861383181,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,0.865473600570875,0.0364520194811941,0.00844675604355395,-1.45893851122198,0.0103995991490278,0.00590421472831463,-0.620012439811544,0.116767112223244,0.119944896540038,-0.116941576974956,0.679962887672846,-0.0490993334703941,130.99671214356,4.81159590472829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3.77593726583593,-0.0857889493583839,-0.144468847112795,35.5183566115463,7.42713035949438,0.00658634344385791,3.96340513695477,-0.138069290490948,5.09077439696772,-0.0120344039358465,5.7529595379285,-0.110371031169723,500.086833684287,0.248594155445697,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,-0.899013096318638,0.0166642327787387,-0.0119172733756397,2.08927255962617,0.0241003440140286,0.00377791920168982,-0.381694133148584,0.0144089115959472,0.0269105652874195,-0.0266298498162352,0.582126554808196,-0.0460212096504751,161.137464581746,5.06561029878782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,4.88443088719432,-0.0909928344531718,-0.126927458457866,3.04726097384674,7.32898852050439,0.0076961621309046,4.3792942802409,0.277871449173097,5.67027285530488,-0.0272505249419017,4.8646541860758,-0.163095677880251,380.497324243518,-8.70765132147178,0.0384798459053,0.111747118249397,0.757287635802926,0.124115396213653,0.133432375551892,-15.3728631294303,0.485926570341033,1.46157057412094e-16,1.78350268692588e-10,1.09034583818307e-13,-0.12314698217,2.88199368818808e-07,-0.13304188412582,0.0361807275842752,0.0708592066745801,-0.000292922902237305,0.209480525039758,0.0114603476839508,0.00562411527928919,-0.366533945083766,-0.074041494975968,0.00488773788873651,0.034195010137549,0.430349651259993,0.606409023624585,-0.0418459708222904,-0.3061787970445,-0.0987458563610026,41.5479551409782,-3.89063517812966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
