parameter,value,se_sa,rse_sa
b01_pop,4.60812635153552,0.132199814549067,2.86884092284092
b11_pop,-0.154259477409926,0.0155174910907808,10.0593437442712
b21_pop,-0.169686239156401,0.0155039724751571,9.13684724950909
a1_pop,5.87385967823395,0.894848954541593,15.2344285284432
b02_pop,7.40081731649151,0.00284837525526876,0.0384873066508698
b12_pop,0.00195359017087477,0.000458293827112169,23.4590567635256
b03_pop,4.28253773205525,0.0582430969447843,1.3600136318433
b13_pop,-0.156422808738978,0.0122935148292339,7.85915745174226
b04_pop,5.2073169697645,0.0974673130049277,1.87173766396125
b14_pop,0.0139324958616273,0.00832853507120406,59.7777681322872
b06_pop,5.20003979601643,0.0461590459019063,0.887667166264135
b16_pop,-0.0796152037470473,0.00745225346073766,9.36033962107904
b07_pop,344.251311986006,6.50050952939677,1.88830348732586
b17_pop,-4.89221692489519,0.528478945533537,10.8024430160537
p1_pop,0.0461313996261341,0.0154225249824677,33.4317300308631
g1_pop,0.133461132082327,0.0226030014522455,16.9360180747625
p2_pop,0.711093503455962,0.0288886084247102,4.06256115184707
g2_pop,0.118006673677721,nan,nan
alpha11_pop,0.145355964253082,0.0175021927336216,12.0409181856124
alpha12_pop,-12.2233495134741,3.61302012508034,29.5583474979392
alpha13_pop,0.700678641775851,0.106741709634361,15.2340464330163
alpha14_pop,-4.15017700815471e-09,1.76216403491747e-06,42459.972947057
alpha16_pop,-1.97961622349857e-07,3.95331359479251e-05,19970.1010118306
alpha17_pop,2.38451595613769e-07,nan,nan
alpha21_pop,-0.0776643480492999,0.0153774496701346,19.7998825154281
alpha22_pop,1.20350834881018e-06,0.000904281901833504,75137.1523701933
alpha23_pop,-0.206673297620456,0.0318844790319871,15.4274787304847
alpha24_pop,0.0419568039484516,0.0315061361363216,75.0918401102006
alpha26_pop,-1.45339776040354e-07,0.00010410452240327,71628.376786796
alpha27_pop,0.00135169894810126,0.000616398832224452,45.6017838210434
omega_b01,1.87178582081243,0.102857842377252,5.49517157537864
omega_b11,0.122181790516749,0.0114176729435055,9.34482372145332
omega_b21,0.072841617491464,0.0114943644287116,15.7799412266739
omega_a1,0.840847909537506,0.157950150992457,18.7846278977294
omega_b02,0.0375203002588948,0.00241607044879823,6.43936864078124
omega_b12,0.00474919428293165,0.000347804210218548,7.32343613459946
omega_b03,0.872750278595878,0.0467679881021189,5.35869071017215
omega_b13,0.155037135687184,0.00924671486353643,5.96419356082105
omega_b04,1.59296826755474,0.0718835090725846,4.51255122507419
omega_b14,0.0842787417023028,0.00680174204912453,8.07053108736516
omega_b06,0.683244578095159,0.0367843574486803,5.38377597539562
omega_b16,0.0836877958892829,0.00587642584544128,7.02184324846559
omega_b07,100.267334146913,4.97849715938484,4.96522342170812
omega_b17,4.93209002044833,0.432221332433523,8.76345181538748
b_1,0.300253857056939,0.00663752965905846,2.21063926509352
a_2,0.0505319901522098,0.0008249577302774,1.63254549799544
a_3,0.684473806891117,0.0134672568482625,1.96753428877445
a_4,0.694068351508959,0.0170875786258193,2.4619446469025
b_6,0.101455749736956,0.00271966713966784,2.68064367639991
b_7,0.192920086911588,0.00476047600721759,2.4675896032533
