rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b05,b15,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,alpha17,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,alpha27,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b06,eta_b16,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha16,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha26,eta_alpha27
1,1,6.01494301485873,-0.28604453273284,-0.130763848380824,2.38013385692643,7.36978234273804,0.00246637553655551,4.37331815301053,0.0432284674675192,2.72091311277463,-0.00273595910747415,6.39917808472097,-0.00696235224746873,5.48080168196245,0.0116324644120797,273.79210887116,-10.7028716164873,0.0430889394098125,0.104052746041025,0.781223355921726,0.129956370475511,0.112464175764785,-15.2153397345888,0.579191586451788,-2.83197022885615e-06,-0.000461892744169569,-4.35542515802279e-17,-0.00165814784678972,-0.0714107417709235,4.39427555931095,-0.248340878470736,-0.0751773112634417,-1.29446230886293e-10,-1.37576765225473e-05,4.24342012913105e-08,1.16471488686363,-0.13324202440988,0.018984440165202,-0.611286434993388,-0.0322388095845865,-0.000212482816079306,0.196517190024415,0.185878505761535,-2.46209568691059,-0.0223886355333549,-0.494704482436248,0.0319545984724452,0.257688534585498,0.0762786899082954,-65.3498245276373,-5.54921783942237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,8.87379431759722,-0.133948101561506,-0.0925973501919332,5.9162500669581,7.44500876275236,0.0131407806054233,4.00277416625487,-0.175955537720701,4.29930009772459,-0.046224185686624,7.00652581070984,-0.0554811851339626,4.80249538915347,-0.113859944620754,314.237721223351,-7.46928215595899,0.0430889394098125,0.104052746041025,0.781223355921726,0.129956370475511,0.112464175764785,-15.2153397345888,0.579191586451788,-2.83197022885615e-06,-0.000461892744169569,-4.35542515802279e-17,-0.00165814784678972,-0.0714107417709235,4.39427555931095,-0.248340878470736,-0.0751773112634417,-1.29446230886293e-10,-1.37576765225473e-05,4.24342012913105e-08,4.02356618960212,0.0188544067614529,0.0571509383540925,0.299259650054691,0.0429876104297398,0.0104619222527885,-0.174026796731239,-0.033305499426685,-0.883708701960622,-0.0658768621125047,0.112643243552625,-0.0165642344140486,-0.420617758223478,-0.0492137191245383,-24.9042121754459,-2.31562837889408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6.00876782524095,-0.127981630302663,-0.0994513342378719,28.3438520443071,7.42886028840024,-0.00631651291125387,4.34531165911131,-0.385729704959427,4.39728946375832,-0.0328641573895238,6.85257886157348,-0.143729011706477,5.71673096748504,0.0197616393894632,398.929359565848,5.10181549711054,0.0430889394098125,0.104052746041025,0.781223355921726,0.129956370475511,0.112464175764785,-15.2153397345888,0.579191586451788,-2.83197022885615e-06,-0.000461892744169569,-4.35542515802279e-17,-0.00165814784678972,-0.0714107417709235,4.39427555931095,-0.248340878470736,-0.0751773112634417,-1.29446230886293e-10,-1.37576765225473e-05,4.24342012913105e-08,1.15853969724586,0.0248208780202958,0.0502969543081538,1.8659669840478,0.0268391360776175,-0.00899537126388868,0.168510696125193,-0.243079666665411,-0.785719335926893,-0.0525168338154045,-0.0413037055837346,-0.104812060986563,0.493617820108089,0.084407864885679,59.7874261670511,10.2554692741755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5.88483697155764,-0.229454757656391,-0.18415485125765,5.07788871490037,7.37867942946988,0.00231017906718584,3.72426975552042,-0.0226751297428372,7.21144662826043,0.0804943748456623,6.77660580135377,-0.0583017686672806,4.72996084598059,0.0687441537010177,332.76466000055,-10.8873735575113,0.0430889394098125,0.104052746041025,0.781223355921726,0.129956370475511,0.112464175764785,-15.2153397345888,0.579191586451788,-2.83197022885615e-06,-0.000461892744169569,-4.35542515802279e-17,-0.00165814784678972,-0.0714107417709235,4.39427555931095,-0.248340878470736,-0.0751773112634417,-1.29446230886293e-10,-1.37576765225473e-05,4.24342012913105e-08,1.03460884356255,-0.0766522493334321,-0.0344065627116246,0.146452404397372,-0.0233417228527477,-0.00036867928544897,-0.452531207465695,0.119974908551179,2.02843782857521,0.0608416984197816,-0.117276765803452,-0.0193848179473666,-0.493152301396363,0.133390379197233,-6.37727339824738,-5.73371978044643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4.35101728268208,-0.305017278619729,-0.0956366209988916,1.02777963475748,7.35525190110398,0.00567602332202777,3.11035120850361,-0.111910292439159,7.24272996820154,0.0492337214586416,6.95282701779086,0.0136152684017598,4.83946616411306,0.0641573555820659,271.993114441419,-1.27811492418564,0.0430889394098125,0.104052746041025,0.781223355921726,0.129956370475511,0.112464175764785,-15.2153397345888,0.579191586451788,-2.83197022885615e-06,-0.000461892744169569,-4.35542515802279e-17,-0.00165814784678972,-0.0714107417709235,4.39427555931095,-0.248340878470736,-0.0751773112634417,-1.29446230886293e-10,-1.37576765225473e-05,4.24342012913105e-08,-0.499210845313014,-0.152214770296769,0.0541116675471342,-1.45104238252374,-0.0467692512186408,0.00299716496939296,-1.0664497544825,0.0307397458548576,2.05972116851632,0.0295810450327609,0.0589444506336445,0.0525322191216737,-0.38364698326389,0.128803581078282,-67.1488189573784,3.87553885287927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,5.01292400709344,-0.16991854555189,-0.200892507878601,2.52827436048006,7.37857557869043,0.00220184421883876,4.69345260370749,-0.306417885155023,7.42171933839371,0.00624932610142233,7.1892216796945,-0.149236494732288,4.92887663165414,-0.0850192599218101,332.32898014599,-0.476096682050754,0.0430889394098125,0.104052746041025,0.781223355921726,0.129956370475511,0.112464175764785,-15.2153397345888,0.579191586451788,-2.83197022885615e-06,-0.000461892744169569,-4.35542515802279e-17,-0.00165814784678972,-0.0714107417709235,4.39427555931095,-0.248340878470736,-0.0751773112634417,-1.29446230886293e-10,-1.37576765225473e-05,4.24342012913105e-08,0.162695879098342,-0.0171160372289309,-0.0511442193325752,-0.550906164434579,-0.0234455736321948,-0.000477014133796052,0.516651640721373,-0.163767846861007,2.23871053870849,-0.0134033503244584,0.295339112537283,-0.110319544012374,-0.294236515722804,-0.0203730344255943,-6.81295325280701,4.67755709501415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,6.80223153175292,-0.381755804631222,-0.235956369410954,1.75993011367513,7.40525265900208,0.00547778973878829,4.00374461155395,-0.166879053339029,4.90073400937844,-0.0869062383522107,7.61068325322279,-0.107158416723138,5.22721458032471,-0.214371330331333,342.723980350501,0.288348558160109,0.0430889394098125,0.104052746041025,0.781223355921726,0.129956370475511,0.112464175764785,-15.2153397345888,0.579191586451788,-2.83197022885615e-06,-0.000461892744169569,-4.35542515802279e-17,-0.00165814784678972,-0.0714107417709235,4.39427555931095,-0.248340878470736,-0.0751773112634417,-1.29446230886293e-10,-1.37576765225473e-05,4.24342012913105e-08,1.95200340375782,-0.228953296308263,-0.0862080808649278,-0.913169063378749,0.00323150667945082,0.00279893138615348,-0.17305635143216,-0.024229015045013,-0.282274790306776,-0.106558914778091,0.716800686065573,-0.0682414660032239,0.00410143294776333,-0.149725104835117,3.58204695170389,5.44200233522502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,5.64998696084804,-0.120588868241911,-0.0589642807546383,4.86704766629405,7.43684684782855,0.0121446781122733,2.83561080833778,-0.0734752141280453,7.29585078246849,-0.068574095919949,6.87736316991628,-0.182451560354902,5.42961697195026,-0.088650705654044,341.757970653758,-1.15313222052419,0.0430889394098125,0.104052746041025,0.781223355921726,0.129956370475511,0.112464175764785,-15.2153397345888,0.579191586451788,-2.83197022885615e-06,-0.000461892744169569,-4.35542515802279e-17,-0.00165814784678972,-0.0714107417709235,4.39427555931095,-0.248340878470736,-0.0751773112634417,-1.29446230886293e-10,-1.37576765225473e-05,4.24342012913105e-08,0.799758832852949,0.0322136400810487,0.0907840077913874,0.104044361075247,0.034825695505921,0.00946581975963847,-1.34119015464833,0.0691748241659708,2.11284198278328,-0.0882267723458297,-0.0165193972409421,-0.143534609634988,0.206503824573308,-0.0240044801578283,2.61603725496133,4.00052155654072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,6.52016118040012,-0.161396150700953,-0.0559099330780349,5.71593402376844,7.37706578352462,0.00628309588541646,4.70148848073131,-0.239418120639632,6.60912260563472,0.0789310607856445,6.67915366680129,-0.177206689439774,5.23383011962176,0.0606698387812054,419.311251002259,-7.34010456764167,0.0430889394098125,0.104052746041025,0.781223355921726,0.129956370475511,0.112464175764785,-15.2153397345888,0.579191586451788,-2.83197022885615e-06,-0.000461892744169569,-4.35542515802279e-17,-0.00165814784678972,-0.0714107417709235,4.39427555931095,-0.248340878470736,-0.0751773112634417,-1.29446230886293e-10,-1.37576765225473e-05,4.24342012913105e-08,1.66993305240502,-0.0085936423779932,0.0938383554679909,0.264814554121908,-0.024955368798004,0.00360423753278165,0.524687517745199,-0.0967680823456156,1.4261138059495,0.0592783843597638,-0.214728900355929,-0.13828973871986,0.0107169722448148,0.125316064277421,80.1693176034617,-2.18645079057676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,9.30393931914677,-0.293693518633955,-0.194186798763085,6.69065680109706,7.39485945156664,0.00880052367082724,4.2187845730866,-0.408562972016946,6.18886970382915,0.221370915362114,6.83917066538105,-0.20211748164671,5.68793080019196,-0.120671475202644,364.82701920484,-3.37499195599187,0.0430889394098125,0.104052746041025,0.781223355921726,0.129956370475511,0.112464175764785,-15.2153397345888,0.579191586451788,-2.83197022885615e-06,-0.000461892744169569,-4.35542515802279e-17,-0.00165814784678972,-0.0714107417709235,4.39427555931095,-0.248340878470736,-0.0751773112634417,-1.29446230886293e-10,-1.37576765225473e-05,4.24342012913105e-08,4.45371119115168,-0.140891010310996,-0.044438510217059,0.422268882366492,-0.00716170075598743,0.00612166531819243,0.0419836101004822,-0.26591293372293,1.00586090414394,0.201718238936233,-0.0547119017761695,-0.163200530926796,0.464817652815014,-0.056025249706428,25.685085806043,1.77866182107304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
