"parameter" "value" "se_sa" "rse_sa"
"b01_pop" 4.64292793363979 0.133465722685209 2.87460250498825
"b11_pop" -0.123568019153191 0.0135802750783796 10.9901212072872
"b21_pop" -0.135525577174791 0.0126427929061886 9.32871356812806
"a1_pop" 5.27547564903171 0.642765633518362 12.1840318538166
"b03_pop" 4.19320698496209 0.057722202173157 1.37656458124208
"b13_pop" -0.155790912168826 0.0122024951369462 7.832610366722
"p1_pop" 0.0383745358707791 0.0169593483604331 44.1942761667303
"g1_pop" 0.112243291215341 0.0290005749867842 25.8372457478515
"p2_pop" 0.781098548625993 0.0294777551629488 3.77388425760133
"g2_pop" 0.10972272578451 0.0121826092675352 11.1030866034637
"alpha11_pop" 0.197530196270857 0.0386464471841146 19.5648300430592
"alpha13_pop" 0.661712981682813 0.147816902943303 22.3385224463011
"alpha21_pop" -0.125938000344395 0.0249817527988758 19.8365487228316
"alpha23_pop" -0.164707511633306 0.0332474306861344 20.1857403808967
"omega_b01" 1.94660971998158 0.103341319272387 5.30878471486134
"omega_b11" 0.10276371405959 0.010560414257996 10.2764038402429
"omega_b21" 0.0467875019707101 0.0106114587072349 22.6801138344122
"omega_a1" 0.740267490580139 0.10102151329555 13.646622954681
"omega_b03" 0.879509751586743 0.0454702572296286 5.16995486947072
"omega_b13" 0.161492842567098 0.00932437223516147 5.77386098785606
"b_1" 0.308290020572488 0.00612194422674977 1.98577437420175
"a_3" 0.669964886381073 0.01231186524859 1.83768813841791
