rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha21,eta_alpha22,eta_alpha23
1,1,-0.872432762830909,-0.121020160705833,-0.0421709913427533,-0.0218967095853668,0.0426582780224036,0.0077977689146408,-0.495161786964866,0.0591242933684498,0,0,0,0,0,0,0,0,0,0
2,1,-0.215329386848347,-0.14417502669568,0.0279266864806602,-0.166376630269528,0.0256804152493864,0.00322315647274468,0.143817830590949,-0.0760743016032219,0,0,0,0,0,0,0,0,0,0
3,1,-0.917118873767203,-0.00776778128606079,0.0831228717094529,-1.1363906674313,0.0279548647372989,0.00453236171134089,-0.540459548957437,-0.0448111178706331,0,0,0,0,0,0,0,0,0,0
1,2,-0.531752858983859,0.0512624960347051,0.00502310629252564,-1.37636379991436,0.00961991582500321,0.0020793983870448,-0.571668704001993,0.12148944516977,0,0,0,0,0,0,0,0,0,0
2,2,-1.14246845729559,0.127616970661041,-0.0462025329208681,-0.843277345846918,0.00904834840936175,-0.00550851445143777,0.545685104463106,-0.0691248659069381,0,0,0,0,0,0,0,0,0,0
3,2,-0.74538314350036,-0.0451095389624111,-0.146583818356548,0.651805000519729,0.0173623444949111,-0.00585192610804897,-0.362943601200002,0.186262076978695,0,0,0,0,0,0,0,0,0,0
1,3,0.327929061122818,0.0698544759215031,-0.0377275093472339,-0.471117766509893,-0.0269690402756009,0.00221903246936695,-1.33740267140756,-0.0615604941931809,0,0,0,0,0,0,0,0,0,0
2,3,1.16383470096573,-0.207379519886589,-0.0406695086032143,-1.55650592018253,-0.0315448360412454,0.00247891141556392,-1.60863535266537,-0.039600277354053,0,0,0,0,0,0,0,0,0,0
3,3,0.52049426513569,0.00514416859073621,-0.0457942287249622,-0.00431178472813554,0.0271626136395469,0.000856681512805853,-1.28033534163698,-0.0658447085867166,0,0,0,0,0,0,0,0,0,0
1,4,-1.0341500240122,-0.190827336418267,0.108638484965328,-0.433759736721737,-0.01498098539225,-0.0013124916438514,1.18894887231007,0.046425600295354,0,0,0,0,0,0,0,0,0,0
2,4,-2.13420507327935,0.0263667886398418,0.0533523243375874,0.482330777518977,-0.0465808662654883,0.00043244653078917,1.67666446279535,0.0287586840143717,0,0,0,0,0,0,0,0,0,0
3,4,-1.99372071562538,-0.0453272450170437,-0.00755170077380832,0.498796507306807,-0.081365281877547,0.00199699688931267,1.37283392652216,0.0461251152260829,0,0,0,0,0,0,0,0,0,0
1,5,0.331588603068629,0.0116023376259397,0.0553795927496136,0.135589955953606,-0.0480882076056597,0.00430990647134406,-0.247847185196648,0.0586744841383713,0,0,0,0,0,0,0,0,0,0
2,5,-1.44044095247117,0.0815783223905189,0.00167859599958128,0.0275116294309581,-0.0397370496114551,-0.00785203924081482,-0.18635269436743,0.090662385145538,0,0,0,0,0,0,0,0,0,0
3,5,-0.705513708696582,-0.095058497173052,0.0572534237463222,-0.868454070140875,-0.0716888991604474,0.00126133929157753,-0.235150970251007,0.228398563257274,0,0,0,0,0,0,0,0,0,0
1,6,4.06961170413932,0.155210316792459,-0.019791383474576,-0.0309622363942452,-0.00695638671971999,-0.00194545312891316,-0.275576653904475,0.143937752705647,0,0,0,0,0,0,0,0,0,0
