rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
1,1,-0.0564132505921906,0.00114350053008839,-0.635100286052057,-0.208065477648537,0,0,0,0,0,0,0,0
2,1,-0.0931698311511484,-0.000328979521844205,-1.09273527087825,-0.274758999341697,0,0,0,0,0,0,0,0
3,1,-0.101199019917877,0.000223271631617496,-0.659956074657204,0.0447562452516356,0,0,0,0,0,0,0,0
1,2,-0.0541457148052462,-0.00365101962957714,1.44884361959344,0.0391290146484083,0,0,0,0,0,0,0,0
2,2,-0.0166611473464275,-0.00830723947742316,0.600910611888081,0.165566765173896,0,0,0,0,0,0,0,0
3,2,-0.0855106047389471,-0.0075217093819177,1.18048448222787,-0.0393213351639086,0,0,0,0,0,0,0,0
1,3,0.012126782774267,-0.004464916390247,1.33441504794775,-0.113658039460264,0,0,0,0,0,0,0,0
2,3,-0.0194004351137593,-0.000908354363659679,0.536249073135257,-0.0663298342697711,0,0,0,0,0,0,0,0
3,3,-0.0106314804179508,0.00580187010709562,0.448219084515558,0.319252925135573,0,0,0,0,0,0,0,0
1,4,0.061836181171687,-0.00431898288675817,-0.220320240925713,-0.245953206523124,0,0,0,0,0,0,0,0
2,4,0.0299899583839167,0.00160582883664288,0.654586421559235,-0.263904499593557,0,0,0,0,0,0,0,0
3,4,-0.00460091321833911,0.000128019921311554,0.196603127904527,-0.258205696709101,0,0,0,0,0,0,0,0
1,5,0.00667569866701179,0.000622755361212544,0.742659069325597,0.201668565357155,0,0,0,0,0,0,0,0
2,5,0.0440543277091718,0.00124911336333113,0.777005816222103,0.179914169977333,0,0,0,0,0,0,0,0
3,5,0.057645478438813,-0.00432875045178562,1.45277484645083,0.0556512695770887,0,0,0,0,0,0,0,0
1,6,-0.0469575125617228,-0.00396383767196597,0.445170133310558,0.00817553167223961,0,0,0,0,0,0,0,0
2,6,-0.0515895008043064,-0.00228307030197249,0.987698924544967,-0.0176075388339986,0,0,0,0,0,0,0,0
3,6,-0.0438610877433394,-0.00143188536422461,1.66770648352533,-0.0310210622628799,0,0,0,0,0,0,0,0
1,7,0.0238445654598705,0.00468015086833793,0.390070615785524,0.0982319136053599,0,0,0,0,0,0,0,0
2,7,0.0893362303467473,-0.00173238170217407,-0.382742669049619,-0.0213404025710783,0,0,0,0,0,0,0,0
3,7,0.077606099594508,0.00711320295324465,0.164464086494881,0.297804643339969,0,0,0,0,0,0,0,0
1,8,0.00173165076057646,0.0141064150857812,-0.533895477488001,0.19432807922544,0,0,0,0,0,0,0,0
2,8,0.0730716354410985,0.00530718957316412,0.593923051850358,0.0163451777323672,0,0,0,0,0,0,0,0
3,8,0.0510642611541172,0.00877910759335582,-0.458592189244952,0.0800620439080533,0,0,0,0,0,0,0,0
1,9,0.0427859406604769,0.00402158739583553,-1.20460831714415,0.306922031397016,0,0,0,0,0,0,0,0
2,9,0.0329765253740861,0.00555684159242423,-0.231654036059231,0.147328807006912,0,0,0,0,0,0,0,0
3,9,0.0354620093175599,0.00573202608236681,-0.372393285618489,0.26717545446859,0,0,0,0,0,0,0,0
1,10,0.0412914648629723,0.0101681753417136,1.11094039718215,-0.0910303751659727,0,0,0,0,0,0,0,0
2,10,0.073832903368765,-0.00282826456405584,0.85919150110112,-0.145111188583388,0,0,0,0,0,0,0,0
3,10,0.0353773880596311,-0.00985040449184234,0.932745958258968,-0.0203984129244471,0,0,0,0,0,0,0,0
1,11,-0.0434375891335153,0.00466619255853208,-0.910850673844724,-0.0831099106288225,0,0,0,0,0,0,0,0
2,11,-0.0635038459090174,0.00634642872268247,-0.546923301794232,0.093913215034397,0,0,0,0,0,0,0,0
3,11,-0.0458585230862187,0.000194409198707926,-0.615805334214116,-0.108548943417453,0,0,0,0,0,0,0,0
1,12,-0.0488974607988304,-0.00966472462448397,0.128401232012362,-0.233572318607206,0,0,0,0,0,0,0,0
2,12,-0.0133413017826944,-0.0126398671381682,0.287753614760612,-0.246394127764856,0,0,0,0,0,0,0,0
3,12,-0.013450295202575,-0.0118602234260325,0.00764580126051584,-0.224347442820469,0,0,0,0,0,0,0,0
1,13,-0.00419255120300743,0.000308457158877932,0.452813814065014,0.0401847627258558,0,0,0,0,0,0,0,0
2,13,0.000582285935283089,0.00604489654011424,0.65837481431893,-0.0243190729804306,0,0,0,0,0,0,0,0
