rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha13,eta_alpha21,eta_alpha23
1,1,1.93166641212546,0.250294779465794,0.0268283952900994,0.187039918724895,0.121589572850485,-0.0336213338996358,0,0,0,0,0,0,0,0
2,1,2.1358923024512,0.265389246322474,-0.0861900715761938,-0.048431770347011,1.08244730266635,-0.110917836599228,0,0,0,0,0,0,0,0
3,1,0.495023322374363,0.213185735652277,0.0121960412653913,0.801635632985626,0.795077871265567,-0.105034202559182,0,0,0,0,0,0,0,0
1,2,-1.12765234057873,-0.156954329896114,-0.091693807238494,-0.522931063833191,-0.0560825954658704,-0.167950481096937,0,0,0,0,0,0,0,0
2,2,-2.89727070071814,0.114350363092361,0.111715294240832,0.667119803900843,-0.0275587696796542,0.130028469417421,0,0,0,0,0,0,0,0
3,2,0.331741671369024,-0.0938448197200178,0.0188005351465218,1.429552055751,-1.01417162283355,-0.0564660858603757,0,0,0,0,0,0,0,0
1,3,-0.281662868332953,-0.264251551425835,0.0349878837191647,0.58681155272389,-0.316306548744751,0.0338830002879188,0,0,0,0,0,0,0,0
2,3,-0.712586546595477,-0.19416632881996,0.0180058599625072,0.730919105428007,0.0609463390463008,-0.0525381809736065,0,0,0,0,0,0,0,0
3,3,-1.01381927958821,-0.241057796667888,-0.00220627879844629,0.648638510282023,0.241331486592355,-0.0649942827062471,0,0,0,0,0,0,0,0
1,4,-0.0080751927199243,-0.214313656536472,-0.0305288092621377,0.4581933726023,0.255873629007835,-0.120614096822409,0,0,0,0,0,0,0,0
2,4,0.00798672141180123,0.0261165559757558,-0.0375144978815954,0.0245571162352367,-0.347578517132475,-0.324627218590776,0,0,0,0,0,0,0,0
3,4,-0.144273360420818,0.00487897430500378,0.0783890355003912,-2.55477567540157,-0.62263476149882,0.0123231722765289,0,0,0,0,0,0,0,0
1,5,-0.538842596475201,0.0640462115787982,-0.0319207448908894,0.207644186557021,-0.287793239645567,-0.169844949854608,0,0,0,0,0,0,0,0
2,5,-0.563562614189889,0.0661447906309537,-0.0144596469667628,-0.00944812020026164,-0.305629367952915,-0.150171757667163,0,0,0,0,0,0,0,0
3,5,-0.278714870967521,0.0319503976247891,-0.0037877838640398,0.961512789947111,-0.330970896122949,-0.172569161279667,0,0,0,0,0,0,0,0
