rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b06,eta_b16,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha16,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha26,eta_alpha27
1,1,1.00752045374368,-0.122881483895513,-0.0689516518790955,0.787357982145178,-0.00970669813449909,0.0133654454495063,0.54799720634534,-0.210541968335716,-0.232716445872086,0.00754559387322045,-5.37990632236529,3.60800896428321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.2147065877658,0.0696110784290634,-0.00700949972843126,0.604552288135412,-0.0390680273659632,0.0159106956757225,0.23253852092674,-0.0418310873924357,-0.26376120283631,0.0101105125152049,-88.0672313867055,-5.4713447263113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.693721967905119,-0.0114881493364095,-0.0342968311484539,1.26429052768136,0.0150375324041221,0.00518408299224478,1.00564539677307,0.0256853404982509,-0.107247282016862,-0.0536758471518802,-6.95741458984935,-1.8029983949346,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1.39894711224011,-0.121473637251179,-0.0676652070058152,-0.0252671928340171,0.0557469596132032,0.0033134886307527,1.73130852218139,-0.0657919959124099,0.00750463937404877,-0.184293672169551,-104.728474010292,-4.06317012880707,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,-0.322031779574855,0.0805005380121729,0.0595043840270197,0.526718123120153,-0.00172346741142348,0.0054000187514037,0.490753846329369,0.130880224587048,-0.670810802335469,0.092863520439096,23.028061850682,-2.84105262391881,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,-0.881888794853506,-0.0211402509399835,-0.0730239762894148,-0.61430508212043,0.0526454603331183,0.00653336380137603,1.39281351672263,-0.0878078216509093,-0.184677309177974,0.0759030384521065,-23.2455931291113,-6.24994210250114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1.88507411860478,0.0374721754416128,-0.0418440632581601,-0.298406169268133,0.0128780145966605,0.00928296021275886,0.917933827867536,0.0948757132841818,-1.7008925999155,0.013790150354663,-3.60193079339768,2.23808874806384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0.702300378008579,-0.0811051428655838,-0.260615739992156,0.433391018176388,0.0225321090676767,0.00830938531636391,0.498434456952766,0.114142172483849,-1.32005493178931,-0.000232829386652193,90.0691161561448,0.111212248153388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3.84595428933805,0.0297112223700363,0.0413641205113078,-0.787386166657332,0.0360182944794225,0.00807956050418352,1.30668518090316,0.0519386055599441,-1.41457488595543,0.00700901536669622,19.9635327961493,2.19992775605407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-0.35930066660487,-0.0287987965035397,-0.0450804250419683,0.555794187046198,-0.0103051036824837,0.00739898479790074,-1.77856359523095,0.186356091972811,-1.753477817858,-0.0122624977797382,-32.4626927930499,-3.01730144889124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0.277866465961782,-0.136001621573615,-0.122118897641795,-0.716317524868748,-0.0262127619295871,0.00313443911831844,-0.934287548388219,0.173484187977446,-1.74591277402409,-0.0504099867788233,-9.50762784472448,0.623753442612907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0.749078259180272,-0.0444517664881797,0.0350523052812856,0.310544939482767,-0.00437235014428783,1.55818889027615e-05,-1.43803091541234,0.145296892167833,-1.31120839068619,-0.0649943240377937,-41.5109204264251,1.28784786930798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,-1.71108722690976,-0.0331092337996173,-0.00754764996899701,1.16552975160998,-0.0226740671079533,0.00238677815814329,0.101950186360726,0.112243601234867,0.396617904158923,0.144857173311982,-17.2137379865662,-4.79966459029554,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,-0.512752363033929,-0.0459532525691781,-0.0441877303714042,-1.91758988264213,0.014480814435486,-0.00290724562694587,-0.399714228177546,-0.0220031985234151,-0.206996277248133,0.16417737711052,35.7995913976299,1.60383445098053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,-0.505012093116656,-0.176890994536713,0.13104769119436,-0.658729624637066,0.00951622387389861,-0.00481732342865531,-1.28584321123042,0.0400191282561826,0.20308160908665,0.159589644442906,59.4325275399497,-3.49510642294435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,-3.01180075288978,0.0892693597737911,0.0658331080280659,-0.187856703669782,0.0120366020366811,0.0103299154480302,0.686120450137666,-0.01649982467713,-1.01185677197661,-0.162207332039625,-108.535532198823,-2.18729437479637,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,-2.42427383988996,0.0427972920312494,0.037466364939414,-0.659005541171428,0.0896609036879736,-0.00098837584308863,0.00732484585431425,-0.0134442656472861,-0.860066691202741,-0.194743273037372,-69.8935076168183,3.17573025564504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,-3.01920838787252,0.0852407839598405,-0.0100308023907744,-0.723405545417645,0.0572502596967457,0.00452917648196228,1.24185973194886,-0.157428557353595,-1.34579299448255,-0.131016671356151,-87.667295993386,0.331952712702594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,-0.109688199184798,-0.0298491203623604,-0.0118558444285573,0.255474461261191,-0.0482957468517986,-0.00266976624906264,0.0844837834022005,0.125988594997915,-1.36604926452196,-0.0932160943153196,98.8502299370661,-0.166278751201471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,-0.330876657613141,0.0531032642215652,-0.0313020054600086,-1.73750234888261,-0.0268670915494225,-0.00434027092565622,0.0812009340459232,0.102096114148246,-1.14143683083638,0.0659040350297668,162.208074031109,-2.07792053318743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,-1.00455800160984,0.0742901139273538,0.0447673862069668,-0.168612645571506,0.00108308226560805,0.0123363852110039,-0.178155737077935,-0.00223161665300328,-1.12485912222579,0.021691507309817,114.391132257685,1.57708124624931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,-0.451524951041189,0.173750906358467,0.0502161037680482,0.744434887944591,-0.0269840400958028,-0.00403153157649454,0.0516674894887723,0.128670139790528,0.824911125257588,-0.0687873120446883,4.74307154279467,-3.07477514451372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,1.14331169579654,0.194079878531925,-0.0718266211693808,0.235097530842406,-0.00115660531256445,-0.00380591571234244,-1.54476548153967,0.233953714938073,0.677010085130361,-0.0841566180837709,-43.3346645429694,1.70028850823074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,-1.01993529637299,0.177241973911358,0.0351303649552279,0.804379997210689,-0.0159766495149869,-0.00296062588480869,-1.26561960501119,0.194336524200775,0.812582562464303,-0.0926046994107298,32.9433793848137,-2.19149359726907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,-0.277235339552546,0.157046768457047,-0.104150999182804,-0.737140441521323,-0.098291598556842,-0.0080015651162318,0.00347046543055196,0.0882816495946512,0.288777888380336,0.0303727330744114,-54.6015448913695,2.0238608888416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,-2.41501847948015,-0.0283594775413258,-0.0612147341350123,0.987178749168928,-0.0704297052113141,0.000849380910295402,-0.386094540432691,-0.0253507975681516,0.620221186506735,-0.00978206789623273,-18.6781305999987,7.56748473277952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,-1.11204607283394,-0.0111223325504174,-0.0121595501024718,-0.893442048751151,-0.0278686791906146,-0.00851028618533307,0.336900144534606,0.0724597241501438,0.725545638539052,-0.0489871088505909,-13.2693760336139,-3.74482664690079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,1.80779081764899,0.190869294044864,-0.0586965683627599,0.300266975384483,-0.0245101178725182,-4.5647843569762e-05,0.947231162586833,-0.059678757822808,-0.662252622119757,-0.0601450405808343,-20.3616894887037,0.209600362764604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,2.5999645929731,0.207910097542823,0.0991530980932214,-0.303806603616691,-0.0536350229019744,0.0013304189765997,1.00228757731873,-0.0601467177514002,-0.191200495883577,-0.0737963098537251,-42.4745738807909,0.673394516510367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,1.13936407625352,0.188158764275586,-0.0794464480424914,0.323959594448156,-0.0987360627584639,0.00391660708032786,0.620279888201501,-0.0666920613735049,-0.0595595003172029,-0.0800803059476393,5.97382249402727,-0.263698283142328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,1.9902006906386,0.101156940307977,-0.0337310883746091,0.0974273039691747,0.0142540063081587,0.00163929567216053,-0.486693218654581,-0.119135026185777,-0.533267514845669,0.185777180260768,-117.113742395231,-6.98050846991313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,4.32154140278756,0.00756968641842187,-0.122237356592142,0.51384655160455,-0.0080434767009665,0.000818643754027701,-0.414632679418201,-0.137375173393909,-0.175106166900109,0.1945936779685,-126.170074941436,-6.36995074507456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1.53333279681337,0.0281569104598895,-0.195600435831173,1.10719360431984,0.00432350489696365,0.00128667129623107,-0.559409349848456,-0.101243817161464,0.548614150153587,0.127933342842459,-125.206369334396,-6.4487829094832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,0.601411254580423,-0.0672434277598827,0.0350143574418967,-0.229904835292354,0.054802719061402,0.00213667796069993,0.13435124264788,0.203735804551195,0.764672639348652,0.0793328186959476,33.948684428458,-1.35159689581647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12,-1.46582594834867,-0.0360132421829862,-0.1139991587675,0.784481294377185,0.0287658980888867,0.00688706261076829,0.00939554236234841,0.217911861405944,0.13321624443673,0.0351890505621016,-12.0027959957002,-6.37498881765995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,-0.606038922497129,-0.0237428901505809,0.0398847119451063,-0.177533472340065,-0.0161818371261147,0.0173352380563323,1.1891043491519,-0.0231608957066236,0.70035501569639,0.0315876326773,-60.5952105187955,1.59412124690536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,1.86259736378304,0.0854051891000393,0.00760099248410134,-1.44465760911998,-0.0379311396835345,-0.00958553642615576,0.356061228000597,0.125587604967436,-1.17772893983908,-0.0671546105526891,-35.3357767637248,-0.387343132076231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13,1.01013075562553,-0.0280469604705415,-0.0174721317493949,-0.857380623337852,-0.00571624366253243,0.00387419922304332,0.204591203946741,-0.0241529323273653,-1.50150583634044,0.0699886960022781,70.1236046059311,-4.37778475475897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,1.02145104241007,-0.0277561394752786,0.11547794504174,0.384227125538772,-0.0201699738588692,0.00205120452865872,-0.0301379732993245,-0.250092964516265,-0.758690487226497,0.0785303012871998,-52.0873957217403,-4.46207495730829,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,2.73029927001554,-0.0813794559261757,0.0490425137743873,-2.2451563934626,0.0132224783702481,-0.000479703172452282,0.632866436833407,-0.0612963737967936,0.374202798531973,-0.017704026886905,19.1932322780149,-0.32724309555928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,1.03610186638681,-0.0802148928295578,-0.102103538567615,-0.0217140755187166,0.00651591329796375,-0.00952082879195542,1.42045944655371,0.0510170099608079,0.456598349525904,0.129132279671684,63.0983281615797,0.623447376634617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,-0.570879207951117,0.0229346913600133,-0.0326594394907292,0.268788403551529,-0.0973425554568053,-0.00324618179638205,0.480393284066483,0.383034212526191,0.389996123131026,0.0639863707080811,-41.9347397008585,-7.38344304202894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,0.711014005337315,-0.0229749562703571,-0.0983378304397751,-1.49216447759597,0.11314863216334,0.00346698867580357,-1.25107003198026,-0.16088179851352,-0.257219504496616,0.0617889711746914,38.70980493143,6.44372885037798,0,0,0,0,0,0,0,0,0,0,0,0,0,0
