id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM
1,1.99672,0.138188,-0.0260657,1.28248,-0.0142679,-0.000218361,0.0517297,0.0781203,0,0,0,0,0,0,0,0,0,0
2,-1.3778,0.0313932,-0.00709462,-0.254956,0.0182415,-0.00661513,0.693977,0.0357629,0,0,0,0,0,0,0,0,0,0
3,-4.0621,-0.112558,0.027668,0.111579,-0.011735,5.78657e-05,-0.257873,0.0915869,0,0,0,0,0,0,0,0,0,0
4,-1.63213,-0.0780063,0.0269056,0.313079,-0.0116125,0.00033353,1.12219,0.0449296,0,0,0,0,0,0,0,0,0,0
5,-0.363896,-0.00231889,0.00188991,-0.167853,-0.046829,-0.00100711,-0.0274464,0.00952523,0,0,0,0,0,0,0,0,0,0
6,2.15654,-0.0182899,0.00158845,-0.0382618,0.047979,0.000374866,-0.0640144,-0.0161145,0,0,0,0,0,0,0,0,0,0
7,3.26971,0.0204317,-0.0217353,-0.125889,0.0287252,0.00160736,0.527177,-0.125201,0,0,0,0,0,0,0,0,0,0
8,-3.12598,0.0287513,-0.0387327,0.725665,0.00910642,-0.00123469,-0.643649,0.0844162,0,0,0,0,0,0,0,0,0,0
9,1.36156,0.0172713,-0.00486899,0.0692558,-0.0218868,-0.00113588,0.393639,0.0489762,0,0,0,0,0,0,0,0,0,0
10,-0.0474171,0.00869569,-0.0112472,-0.283815,0.00967382,0.000639857,-1.04906,0.00128527,0,0,0,0,0,0,0,0,0,0
11,-0.099575,-0.0476126,0.017411,-0.0543039,0.000886846,0.000308694,-0.919609,-0.0481239,0,0,0,0,0,0,0,0,0,0
12,-0.0121513,0.171648,-0.00243486,0.413543,-0.0207912,-0.00357726,0.875921,0.1736,0,0,0,0,0,0,0,0,0,0
13,3.6664,0.106764,-0.0295775,1.30017,0.0132932,0.00243824,0.579562,-0.0844879,0,0,0,0,0,0,0,0,0,0
14,3.19046,-0.0652446,0.0167193,0.386199,-0.00895752,-0.000563108,-0.0711631,-0.0463154,0,0,0,0,0,0,0,0,0,0
15,-1.14618,-0.0174409,-0.0010153,-0.324902,0.0061001,0.00037442,0.257244,0.0514663,0,0,0,0,0,0,0,0,0,0
16,1.69551,-0.0173847,0.00154978,-0.353869,0.0630508,-0.00143071,-0.555752,-0.217033,0,0,0,0,0,0,0,0,0,0
17,2.71589,-0.026593,-0.000959743,-0.384657,-0.0177479,-0.00531545,-0.559458,0.0438185,0,0,0,0,0,0,0,0,0,0
18,0.395971,-0.00149464,-0.0094497,-0.31679,-0.0307737,0.00243113,0.668426,-0.0642631,0,0,0,0,0,0,0,0,0,0
19,-0.183031,-0.0484956,0.0126119,-0.154861,0.0295882,0.00318339,0.263407,-0.0234018,0,0,0,0,0,0,0,0,0,0
20,-1.12063,0.0111196,-0.00844938,-0.379488,0.0370551,0.000551268,0.814377,0.00926348,0,0,0,0,0,0,0,0,0,0
21,-0.00257735,-0.0590617,0.0207101,0.00727684,0.0698999,0.0014483,-0.659383,-0.0155098,0,0,0,0,0,0,0,0,0,0
22,-3.75295,0.185577,0.000688419,0.320027,-0.0153814,4.08798e-05,0.243385,-0.0497396,0,0,0,0,0,0,0,0,0,0
23,-1.19668,-0.0729471,0.00529433,0.0167539,0.0344574,0.00601972,0.377179,0.0185239,0,0,0,0,0,0,0,0,0,0
24,1.51926,-0.0273926,0.00850965,-0.328847,-0.0256843,0.00202361,-0.561682,-0.0310266,0,0,0,0,0,0,0,0,0,0
25,1.54506,0.00735159,-0.0157531,-0.103042,0.0178609,0.00202401,0.49625,0.0403247,0,0,0,0,0,0,0,0,0,0
26,-0.827193,0.192876,-0.00605491,1.22789,0.0330413,0.00103581,-1.31745,-0.0316052,0,0,0,0,0,0,0,0,0,0
27,0.284566,0.277528,-0.0065659,-0.132597,0.0113628,0.00250092,-0.701352,-0.159337,0,0,0,0,0,0,0,0,0,0
28,0.851713,0.119529,-0.00768331,0.218373,0.00234172,-0.00299182,0.35935,0.0245431,0,0,0,0,0,0,0,0,0,0
29,-0.180658,-0.0257143,0.00589319,0.0543984,-0.0251815,0.000715792,0.112457,-0.0203023,0,0,0,0,0,0,0,0,0,0
30,0.56143,0.181043,-0.00599167,0.992269,-0.0234506,0.00370063,0.654907,-0.0764229,0,0,0,0,0,0,0,0,0,0
31,1.10171,0.0413465,-0.00503578,-0.153093,-0.0376381,-0.000443623,0.123536,0.0849781,0,0,0,0,0,0,0,0,0,0
32,-2.42869,-0.0259499,-0.010336,-0.422063,0.0537233,0.00120488,0.884898,-0.0779913,0,0,0,0,0,0,0,0,0,0
33,-1.83137,0.0302495,-0.0183786,-0.170449,-0.0396603,-0.00230517,-0.0271792,-0.332932,0,0,0,0,0,0,0,0,0,0
34,-1.0875,-0.0521335,0.045984,-0.0404787,-0.0309822,-0.0023348,-0.435259,-0.0128556,0,0,0,0,0,0,0,0,0,0
35,-4.21212,-0.0588673,0.0357603,0.277499,0.0149045,0.00103209,0.520633,0.112121,0,0,0,0,0,0,0,0,0,0
36,0.0967846,-0.0382456,0.008995,-0.317618,-0.0709525,-0.00323026,0.37878,-0.136035,0,0,0,0,0,0,0,0,0,0
37,-0.252002,-0.0339864,-0.000701313,-0.451598,0.00583707,0.0046807,0.683633,-0.157953,0,0,0,0,0,0,0,0,0,0
38,-2.10843,-0.01144,-0.00603715,-0.293014,0.0342241,0.000492788,1.17885,0.154346,0,0,0,0,0,0,0,0,0,0
39,-0.760818,0.0340572,-0.0162882,0.035066,-0.00587206,-0.000164895,0.435354,0.00241491,0,0,0,0,0,0,0,0,0,0
40,1.94439,-0.00610455,-0.00563585,-0.322781,-0.00191806,1.81628e-05,-1.88145,-0.193703,0,0,0,0,0,0,0,0,0,0
41,0.992718,0.0110009,0.00163756,-0.219592,-0.0445841,4.5765e-05,0.985699,0.106405,0,0,0,0,0,0,0,0,0,0
42,-0.140411,-0.0160362,-0.00432612,-0.330462,-0.0340967,-0.00502605,-0.616468,0.0662457,0,0,0,0,0,0,0,0,0,0
43,0.248883,-0.0345198,0.00662534,-0.254161,-0.00411249,-0.00520996,0.307826,0.0038875,0,0,0,0,0,0,0,0,0,0
44,-2.54455,-0.00526671,0.00417478,-0.371635,-0.0124218,0.00053322,-0.19892,0.0696025,0,0,0,0,0,0,0,0,0,0
45,-3.04725,-0.0315171,0.00584042,-0.286246,-0.0160967,0.00050505,-0.561244,-0.00312656,0,0,0,0,0,0,0,0,0,0
46,0.476917,-0.0854624,0.024466,0.201122,-0.0473757,-0.00128945,-0.407754,-0.00774525,0,0,0,0,0,0,0,0,0,0
47,-1.54892,-0.0428243,0.00285546,-0.441931,-0.0120834,-0.00136725,1.47644,0.0724429,0,0,0,0,0,0,0,0,0,0
48,3.27244,0.0356624,-0.0205341,-0.100813,0.0349532,0.00107778,0.176916,-0.0655495,0,0,0,0,0,0,0,0,0,0
49,-1.7678,-0.0692881,0.00891786,-0.463706,-0.0226118,0.00181862,-0.968766,0.249918,0,0,0,0,0,0,0,0,0,0
50,-4.81071,-0.0485857,0.0118145,-0.430438,0.00744369,0.000602971,0.397291,0.0170444,0,0,0,0,0,0,0,0,0,0
51,-0.661937,-0.302001,-0.0370695,1.12933,-0.0201919,-3.97589e-05,-1.83046,-0.16203,0,0,0,0,0,0,0,0,0,0
52,-0.0905023,-0.0634192,0.0230702,-0.233155,-0.0067451,0.000215289,1.11205,-0.00349587,0,0,0,0,0,0,0,0,0,0
53,0.699356,0.188563,-0.00142291,1.09639,0.0295965,-0.000426818,1.04868,0.12544,0,0,0,0,0,0,0,0,0,0
54,-1.65121,0.0292836,-0.0118742,-0.357791,-0.0098076,0.00309995,0.119721,-0.0425321,0,0,0,0,0,0,0,0,0,0
55,-0.658888,0.0240023,-0.00669145,0.0247617,0.00105085,-0.000444138,2.25525,0.0439196,0,0,0,0,0,0,0,0,0,0
56,2.32244,0.0196559,0.000820357,-0.0763557,-0.0346621,-0.00255471,0.731255,0.0273948,0,0,0,0,0,0,0,0,0,0
57,1.31038,-0.017838,-0.00925722,-0.144875,-0.0358654,-0.0053486,0.558439,0.169233,0,0,0,0,0,0,0,0,0,0
58,1.11632,-0.0768498,0.0251345,0.463565,0.0339766,0.00161203,0.381259,0.0301923,0,0,0,0,0,0,0,0,0,0
59,0.786452,-0.0884306,0.0211491,0.602566,0.0387598,0.00176305,0.132223,-0.0342323,0,0,0,0,0,0,0,0,0,0
60,0.113175,-0.0980289,0.0396304,0.344062,0.0334936,0.000483712,0.055045,-0.030684,0,0,0,0,0,0,0,0,0,0
61,1.54239,0.0365155,-0.00763779,0.160009,0.0393144,-0.00116003,0.765106,0.0549319,0,0,0,0,0,0,0,0,0,0
62,-2.63328,-0.01294,0.000647607,-0.0599327,0.0145423,0.000637366,0.0540189,-0.0168214,0,0,0,0,0,0,0,0,0,0
63,-0.588802,-0.032099,0.0122308,-0.440598,-0.00675406,0.00112143,1.26426,0.0558633,0,0,0,0,0,0,0,0,0,0
64,-0.905984,-0.0061416,0.00744924,-0.428906,-0.0372625,-0.00209011,0.871982,-0.0107205,0,0,0,0,0,0,0,0,0,0
65,3.76945,0.103112,-0.0162742,0.698683,-0.00878207,-0.00177905,-0.700947,0.0706511,0,0,0,0,0,0,0,0,0,0
66,1.18908,-0.0274968,0.0034276,0.0350334,-0.032106,0.000575981,0.0592639,-0.0221277,0,0,0,0,0,0,0,0,0,0
67,-0.154879,0.00311564,-0.00682052,-0.237561,0.00940638,0.00111587,0.34518,-0.0400148,0,0,0,0,0,0,0,0,0,0
68,0.359363,-0.0260427,0.00608838,-0.34504,0.0434624,0.00177288,-0.143302,-0.18142,0,0,0,0,0,0,0,0,0,0
69,1.39667,0.0808428,-0.00748823,0.0231691,0.0132028,-0.00435148,1.47298,0.0240925,0,0,0,0,0,0,0,0,0,0
70,1.67909,0.0301172,-0.0217236,-0.151183,0.0224134,-0.00407225,0.341083,-0.0108748,0,0,0,0,0,0,0,0,0,0
71,-1.83287,0.0131278,-0.0108825,-0.231398,-0.0106411,0.000847595,0.210697,-0.121289,0,0,0,0,0,0,0,0,0,0
72,-3.18263,-0.150761,0.0218485,0.939831,-0.0245601,0.000205065,-0.78673,-0.072625,0,0,0,0,0,0,0,0,0,0
73,0.385493,-0.0350843,0.00437318,-0.218809,0.00997028,0.00225111,0.2045,-0.044462,0,0,0,0,0,0,0,0,0,0
74,-1.35244,-0.0267286,0.00400819,-0.00192364,0.00712259,0.000708977,-1.17241,0.00126315,0,0,0,0,0,0,0,0,0,0
75,0.101428,-0.0494098,0.00857605,-0.186352,0.0297355,0.000502489,0.621196,0.0516718,0,0,0,0,0,0,0,0,0,0
76,-2.8678,-0.0422425,0.0227175,-0.19183,0.0129169,0.00103717,0.973097,-0.0175516,0,0,0,0,0,0,0,0,0,0
77,-2.93395,-0.175251,0.0316849,1.34527,-0.0290287,0.00138886,-1.96185,-0.340671,0,0,0,0,0,0,0,0,0,0
78,0.775039,0.0152661,-0.0134808,-0.300215,-0.0367332,0.00429932,0.685822,-0.113846,0,0,0,0,0,0,0,0,0,0
79,-0.898567,-0.0110829,-0.0181458,-0.236198,-0.0169061,0.00304618,-0.363071,-0.0809898,0,0,0,0,0,0,0,0,0,0
80,-1.84779,0.0109402,-0.00441917,-0.253084,0.0202499,0.00134688,0.706007,0.0263882,0,0,0,0,0,0,0,0,0,0
81,1.98927,0.054515,-0.0171152,-0.0671106,-0.0142471,0.0027542,-0.883106,-0.126799,0,0,0,0,0,0,0,0,0,0
82,-1.51726,-0.0235304,-0.00142689,-0.00266942,-0.0025029,0.000146036,-1.39052,-0.00479089,0,0,0,0,0,0,0,0,0,0
83,-0.238118,-0.0284728,0.0054875,0.0156406,0.0283806,0.00039516,0.973953,-0.0183275,0,0,0,0,0,0,0,0,0,0
84,1.41864,0.0735478,-0.0133115,-0.0844823,-0.0544763,-0.00761272,-1.34994,-0.00629879,0,0,0,0,0,0,0,0,0,0
85,0.765349,0.166698,-0.00864587,1.20497,-0.037341,0.00192485,-0.75616,-0.150329,0,0,0,0,0,0,0,0,0,0
86,0.216107,-0.0308036,-0.00257761,-0.310794,0.011707,-9.83212e-05,-1.00287,-0.145267,0,0,0,0,0,0,0,0,0,0
87,-0.637354,0.014363,-0.00133343,-0.224103,-0.0577995,-0.00285946,-0.479419,-0.0683227,0,0,0,0,0,0,0,0,0,0
88,3.77632,-0.0359614,0.0161277,-0.110748,0.0168472,0.00530958,-0.866812,-0.15692,0,0,0,0,0,0,0,0,0,0
89,-2.13596,-0.00968509,-0.00190632,0.0562875,0.0125365,-0.000163033,-0.918891,-0.0199457,0,0,0,0,0,0,0,0,0,0
90,-0.302717,-0.0744815,0.0279266,0.0400438,-0.0230641,-0.00682641,1.459,0.193202,0,0,0,0,0,0,0,0,0,0
91,-1.0003,0.152473,-0.0159862,0.492778,-0.0457662,0.000164211,-0.896319,-0.0622304,0,0,0,0,0,0,0,0,0,0
92,-1.20451,-0.0940073,0.0419124,1.57995,0.0161504,0.00198907,0.208207,0.200431,0,0,0,0,0,0,0,0,0,0
93,1.17673,-0.0388128,0.00329052,-0.391824,-0.0234309,0.00191643,1.22976,0.29795,0,0,0,0,0,0,0,0,0,0
94,0.588345,-0.0509639,0.010684,-0.127316,-0.017119,-0.0026837,-1.13558,0.092188,0,0,0,0,0,0,0,0,0,0
95,0.0341361,0.0236885,-0.00688484,-0.148197,0.00144351,0.001419,-2.41818,-0.115035,0,0,0,0,0,0,0,0,0,0
96,-2.0454,-0.04065,0.0153805,-0.260908,0.0308247,0.00261393,0.306356,-0.0902411,0,0,0,0,0,0,0,0,0,0
97,1.92459,-0.0301655,0.00290853,-0.296254,-0.00448518,-0.00538561,-0.701472,0.0787937,0,0,0,0,0,0,0,0,0,0
98,1.11924,0.0150073,-0.00867668,-0.238092,-0.00237567,0.00557556,0.234754,0.0499632,0,0,0,0,0,0,0,0,0,0
99,-2.71528,-0.0337009,0.00905988,-0.250782,-0.0045026,-0.00109037,1.13524,0.0753821,0,0,0,0,0,0,0,0,0,0
100,-3.34752,-0.00937672,-0.0755112,0.896545,-0.0342709,-0.000762988,2.36588,-0.0206728,0,0,0,0,0,0,0,0,0,0
