rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha27
1,1,-1.59883114968013,-0.028881540864271,-0.0738903057262291,0.110844677009533,0.0102532260197084,-0.00273493183957126,0.769352228656917,0.000806664990619793,-10.8148181419388,18.386882284415,0,0,0,0,0,0,0,0,0,0,0,0
2,1,-0.982982368372185,-0.103774627285816,-0.049325074460493,-0.633462197927795,0.0233342990301058,-0.00392518580889262,0.468311566324755,0.0100881271537324,29.9567596683287,5.41599955601141,0,0,0,0,0,0,0,0,0,0,0,0
3,1,-2.90083477917291,0.174333112647526,0.12285586809845,0.182682401321717,0.0657979281636782,-0.00588434242863008,0.533398586658949,-0.0024512077750497,64.8986167475418,6.09027080476357,0,0,0,0,0,0,0,0,0,0,0,0
1,2,-1.07425244594734,0.05868377092059,0.0833600531493503,-0.0139988774787854,-0.0235938536685172,0.00110666622892094,-1.11636691562122,-0.103057638675977,-34.3150606214447,-3.32452364720964,0,0,0,0,0,0,0,0,0,0,0,0
2,2,-2.25408703002118,0.165684846862567,0.0911069328315855,-0.740481272203887,-0.00501313675651183,0.00129657699219249,-1.19853436013716,-0.0680863706980362,-40.1133827221324,-3.63266860564874,0,0,0,0,0,0,0,0,0,0,0,0
3,2,-1.58743114078568,-0.00925376978805378,0.0703129041550401,-0.44641663157889,-0.0352183600461604,-0.00150334063744889,-1.20449835248096,-0.161687438499411,-4.57107700381897,6.21160350760659,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3.05067874649536,0.0167137083134783,0.0732945170770334,0.608202891626166,-0.021758097731273,0.00030698324284428,1.21997522913245,0.0932268207581482,-33.8413178347452,-3.77818063241826,0,0,0,0,0,0,0,0,0,0,0,0
2,3,1.81459783322414,0.0772338877907002,0.0925099923437437,-0.495880829511132,-0.00966527344479839,-0.00268135348305171,1.00040399560168,0.0811389985141689,-124.986102180295,3.19420481635096,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0.779470961486834,0.0709532215370965,-0.0626719411349003,-0.535065964642188,-0.0300450542707829,-0.00171784355050734,1.17259658741634,0.0643143425402584,-67.0971310054525,-3.130028518512,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-0.986086846371966,0.0378408295960263,-0.0234813442988942,1.03463140183225,-0.00195443344210666,-0.00451894777334456,-0.702338369557981,0.115749400113741,115.304511745193,-0.262461329191407,0,0,0,0,0,0,0,0,0,0,0,0
2,4,-0.589360276059559,-0.157910149031599,-0.00548973264031402,-1.24471947484788,-0.0393200631224602,-0.00396481955602004,-0.520306490337086,-0.0341323282055172,131.838655539797,2.41451851708788,0,0,0,0,0,0,0,0,0,0,0,0
3,4,-1.63778849310243,-0.0198672719251654,-0.000201342537227645,-0.911366049499987,-0.0316481911846376,-0.000467389096678148,-0.420531126212751,0.00194928855297355,131.372758565477,-6.12734785417095,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0.0729756824022081,-0.196681296022552,-0.0282144135227518,1.5851746411262,-0.0133959473001823,0.0108441803483644,-0.815286936556227,-0.20811518339844,44.075572000185,0.62576952040571,0,0,0,0,0,0,0,0,0,0,0,0
2,5,-2.22069554375151,0.0618466854873835,-0.00285769032772454,-0.1000301713876,-0.00469345138250699,-0.00137656097522285,-0.862816566783883,0.183519750647899,23.2621215253979,-2.06625438221348,0,0,0,0,0,0,0,0,0,0,0,0
3,5,-1.21506888337206,-0.0930435421520965,-0.0111306767000509,1.23661985550743,-0.0171306171272541,0.00904885246086991,-0.26394721566401,-0.181265223964236,10.7073872457205,8.89966336664312,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2.84855839851771,0.0727699777003555,0.0498140407549847,0.310527177399532,-0.0198929405436452,0.00603042910639744,-0.409776097786965,-0.0317371305211753,-181.636218185234,-8.32921061431873,0,0,0,0,0,0,0,0,0,0,0,0
2,6,4.48211947655096,-0.0249831445992746,-0.0686787901649542,0.917932401618981,-0.0270062316550055,0.00408316064854356,-0.997375079512887,0.0392334304715837,-180.324940379699,-9.01752227605135,0,0,0,0,0,0,0,0,0,0,0,0
3,6,1.73424192993319,0.0883141433872654,-0.0516744515444851,0.644529948748692,0.000651839473587934,0.00141087298062845,-1.17671987088727,0.0732432437351116,-178.041546805613,-8.74501525628048,0,0,0,0,0,0,0,0,0,0,0,0
1,7,3.63679904892292,-0.0340664450625361,0.0715237829686419,-0.421384301158679,-0.00658170190182705,-0.000136432271467578,-0.416338044829449,0.141297043678227,-35.8932360655054,2.96912310411145,0,0,0,0,0,0,0,0,0,0,0,0
2,7,1.68235382893841,-0.0210374603086808,0.0300575424110897,-0.437741659021968,0.0290917049786579,-0.00337433324897433,-0.0389963762558336,-0.141998903758698,-80.3120090779796,2.81581805373333,0,0,0,0,0,0,0,0,0,0,0,0
3,7,2.78932605695762,0.0605583921222782,0.0864833962420486,-0.507659436103758,0.0647094858506492,-0.00656500833258596,0.0346964874004252,-0.0217938779817548,-29.6737898410735,3.00267006794515,0,0,0,0,0,0,0,0,0,0,0,0
1,8,-0.905736744738559,0.0412798024605315,0.0294343579678783,0.157937226798057,0.0245412189528871,-0.0014439702205195,0.552271144413904,-0.066543479032784,149.931309147776,12.5308442429776,0,0,0,0,0,0,0,0,0,0,0,0
2,8,-1.1924350989904,-0.0855154968676236,0.0607071352913434,-0.0787142257693472,0.0404640182166238,0.0022938154882306,0.886816530730493,-0.0533711334881649,206.479326290066,1.18716900773419,0,0,0,0,0,0,0,0,0,0,0,0
3,8,1.56094585672238,-0.0279433596634127,-0.0010496336473558,0.0948316524929969,0.0466629072036273,-0.00535098233639583,-0.672905323648372,0.0470704165760529,48.2995622441005,3.75197214708437,0,0,0,0,0,0,0,0,0,0,0,0
1,9,0.119561838702263,0.214882947639464,-0.171575660682562,1.17021793808397,0.0267456376678243,0.00249005634077911,-1.0012194765091,-0.0476463564847728,-70.3701456384276,-1.83179424885192,0,0,0,0,0,0,0,0,0,0,0,0
2,9,1.82515323333283,0.32660544335113,-0.103878747153347,0.0666984329390388,0.0350782622644736,-0.00188254815409578,-0.326889360273104,-0.208384103660871,78.0743402767183,-3.23102918244416,0,0,0,0,0,0,0,0,0,0,0,0
3,9,0.657443978470592,0.240872534516739,-0.00438200779090575,0.885658553537313,0.0562156457389209,0.00171732921749571,-1.34450171848376,-0.110376426430231,7.12676688928639,1.31558395779511,0,0,0,0,0,0,0,0,0,0,0,0
1,10,2.45850136683363,0.159378422459873,0.0298456877386624,0.778257946322209,-0.00967774503734464,-0.00319981171903715,0.156752799769724,-0.108745117911097,197.586321994771,2.4403457528068,0,0,0,0,0,0,0,0,0,0,0,0
2,10,1.51729043317625,0.142014320762947,0.0523207844442651,1.18607334028913,0.0173482928161608,-0.00392818417630556,-0.00785810862254888,-0.126232201830014,166.758532347691,5.33612422734081,0,0,0,0,0,0,0,0,0,0,0,0
3,10,1.68920430594308,0.14973073596071,0.0444704991387124,0.757355720141743,0.00541424632111731,-0.0034420792609986,0.433599011505691,-0.130762992560896,191.84846344901,7.09369081576624,0,0,0,0,0,0,0,0,0,0,0,0
1,11,-1.33265146546848,0.0181384223873462,0.0777840357213492,0.98045122033279,-0.00619361565059773,0.00665246240194598,-0.816302380648354,-0.0515133052546696,167.169758050865,3.89460346657442,0,0,0,0,0,0,0,0,0,0,0,0
2,11,-0.392499973104426,0.00386894691487688,-0.0838966534704867,0.757574423217786,0.0188899006216801,0.00329226216521351,-1.14583862275832,-0.0613621169764799,100.154398345548,-3.55216433094364,0,0,0,0,0,0,0,0,0,0,0,0
3,11,-0.709848243654445,0.0358087529273709,0.0561410034679009,0.880509984374114,0.0521942859073254,0.0100476199996002,-0.413015012178502,0.0691746948490546,151.106584778258,5.21151546204776,0,0,0,0,0,0,0,0,0,0,0,0
1,12,1.46601260743969,-0.13653566656367,0.0947495171852724,0.103449129355873,-0.0199616307865069,-0.00680044435654307,0.956660449457513,0.0432108240177103,-91.2029273250049,5.77207801854246,0,0,0,0,0,0,0,0,0,0,0,0
2,12,0.618752728625148,-0.0740560266029987,0.07950830686246,0.0377119929352709,-0.0186989432455622,-0.00365987001404685,0.761226668785723,0.0652428697550452,-5.41931090426721,5.69995747753291,0,0,0,0,0,0,0,0,0,0,0,0
3,12,0.111857105969736,-0.00530011847690229,0.124267861337701,-0.840678494772426,-0.0443031069545103,-0.00092267712898569,0.755833666135446,0.0347080700599661,-56.3066144997125,7.12740872315117,0,0,0,0,0,0,0,0,0,0,0,0
1,13,0.0754801023820422,-0.000794386091862082,-0.0638837560166218,0.88715410050474,0.00649262749882595,-0.0106519729330123,0.189221301487295,0.0140727564155501,-110.4949653511,-3.45459521855612,0,0,0,0,0,0,0,0,0,0,0,0
2,13,1.03105286308272,0.0725561516259983,0.0972426001228992,-0.275025752656165,-0.0448016902001349,-0.00375854175444298,-0.973407189169332,-0.227571268361329,-5.89674421113557,2.13365551500694,0,0,0,0,0,0,0,0,0,0,0,0
3,13,0.8466956794025,-0.066891951693164,0.0109986903849781,-0.214678678336314,-0.0246318988436514,-0.0109445547264019,-0.477617818727298,-0.223758690156545,-38.6361922938315,-0.363061020424741,0,0,0,0,0,0,0,0,0,0,0,0
1,14,-1.36077635132061,-0.151654575733377,-0.0374375854445749,-0.0615739427600686,-0.00366077466508496,0.00313176030311071,0.196249108746044,0.0136097858882876,-79.6512292813005,-1.83485236645535,0,0,0,0,0,0,0,0,0,0,0,0
2,14,-0.690382102157424,-0.0991655387039986,0.0628560394830216,0.0291851205689646,-0.018543983925368,-0.0017501882911475,-0.713161315357789,-0.0269616927385206,-56.6716050465237,6.44592926915576,0,0,0,0,0,0,0,0,0,0,0,0
3,14,-2.86839519346388,0.0757979823862275,0.0362418841248272,-0.766210653972914,-0.00985721587326616,0.00913324423737696,-0.00819833212912346,0.220444453897168,88.4682074501885,5.24121688773465,0,0,0,0,0,0,0,0,0,0,0,0
1,15,-0.348389218628391,-0.235393699123174,0.0510817359040438,0.705777934708564,-0.0126169693781799,-0.0063879275712497,-0.869951263034847,-0.139082669752123,-57.8726640928807,-5.05336496567611,0,0,0,0,0,0,0,0,0,0,0,0
2,15,-2.0151747597682,-0.0470757797791888,0.00386074807508591,1.62053655788648,-0.0279140502757631,-0.00643958654087918,-0.422578906403399,-0.000887306952079947,-93.2289105106968,1.37218289324024,0,0,0,0,0,0,0,0,0,0,0,0
3,15,-2.46368512675557,-0.103614790850479,0.0190168029827331,0.71098154530081,-0.0327745795569925,0.000517702836363966,-0.428578459962445,-0.0567355953587136,-130.438788360687,7.17045472365794,0,0,0,0,0,0,0,0,0,0,0,0
1,16,-4.20948573966408,-0.0560600058034963,0.101986518332576,0.183926258148502,0.0512222266586901,-0.00649087057234241,0.71849097711837,-0.0644174755495875,2.87932314552012,2.93818188659123,0,0,0,0,0,0,0,0,0,0,0,0
2,16,-4.34439522926479,-0.055336646446603,0.0961488475393716,0.17132498880097,0.00157444811999596,0.00224037988739812,0.748437830110326,-0.0100471743560893,-12.35839428201,-4.82064656576473,0,0,0,0,0,0,0,0,0,0,0,0
3,16,-4.36952607863178,-0.0540733886853651,0.122369231939776,-0.0910672765885048,0.00153588612794131,-0.00102810033511659,0.945943324881904,-0.126620318421912,-5.76171025354978,7.11418417182487,0,0,0,0,0,0,0,0,0,0,0,0
1,17,0.994822019500625,-0.00301448203349008,-0.0581133383910449,0.12131603099427,-0.0162400054002427,0.00082442460099467,0.511815771564329,-0.190919491937573,168.417847671465,-6.88556927710017,0,0,0,0,0,0,0,0,0,0,0,0
2,17,1.37262810967527,-0.0560101155936892,-0.0545128250068476,-1.13880947604084,0.0130230665493496,0.00437155171861421,-1.22152004518746,-0.26489715378601,111.006804741912,3.50203130809002,0,0,0,0,0,0,0,0,0,0,0,0
3,17,0.693374396639262,-0.163947011447367,0.141826776011733,0.475384855743831,-0.0519533454795145,-0.000702424581589073,-0.323623680967289,-0.0982119025265296,65.2262280419117,-2.77651304578378,0,0,0,0,0,0,0,0,0,0,0,0
1,18,0.356158798685578,0.0107910233169268,0.0368749512877521,-1.0958300511369,-0.115245181028581,-0.010793214962782,0.978392018787231,-0.254035111484303,-49.8552625356745,6.2423338030085,0,0,0,0,0,0,0,0,0,0,0,0
2,18,-0.764001601592549,-0.01362253776803,-0.11390747791475,0.85715820706269,-0.143304539140898,-0.0103343394008817,0.138067589438868,-0.247933920506324,-26.2908170541202,5.37029213305441,0,0,0,0,0,0,0,0,0,0,0,0
3,18,-0.440040206960862,0.00532259119193781,0.0110780935252418,-0.347649745100588,-0.109382734884703,-0.0113516591231161,-0.141067280783564,-0.232883498167055,30.5317335747384,1.93252221653455,0,0,0,0,0,0,0,0,0,0,0,0
1,19,-2.06212699390513,0.18867810733479,0.124236398239999,0.123686372268368,-0.0258882871376267,0.0101922308466065,-0.362336538663782,0.188383250369092,216.926453040875,1.45581913529204,0,0,0,0,0,0,0,0,0,0,0,0
2,19,-1.48253476958495,0.203861884801452,0.059421161550712,-0.424275626815853,0.00873068233708096,0.0102261779260965,-0.615683144688282,0.197730099196373,175.445323927273,9.0162989867198,0,0,0,0,0,0,0,0,0,0,0,0
3,19,-3.35784245135215,0.201550681226901,-0.018473326721833,-0.281304386696872,-0.0230163690558909,0.0100361185582802,-0.142139552239954,0.184263996435507,154.758841054634,5.13456990010323,0,0,0,0,0,0,0,0,0,0,0,0
1,20,2.57055949820953,0.057492623956289,0.0391449722351705,-0.304239515230534,-0.0244451076809629,-0.00191822333829818,0.208941306025431,0.267765268148417,-301.527215810945,-0.15446662419673,0,0,0,0,0,0,0,0,0,0,0,0
2,20,3.55844299765582,-0.0442161711827111,-0.0854001012447287,0.0691876461263534,0.0143005741093827,-0.0051927835943574,0.207072701654109,0.253596453984042,-304.146218104704,0.540284673412051,0,0,0,0,0,0,0,0,0,0,0,0
3,20,3.88057726017692,0.0987234935349176,-0.0445483409102994,-1.03483014274033,-0.0235962732462971,-0.00219015505688454,0.520342981810186,0.281974439714195,-301.115912478211,0.123094925684349,0,0,0,0,0,0,0,0,0,0,0,0
1,21,-0.289690333029031,-0.131796088648151,-0.0413617709674417,-0.306493210709378,0.0139108651581976,-0.00272995467465089,1.18443072338339,0.0102288964852172,-200.389633060713,11.1177830303327,0,0,0,0,0,0,0,0,0,0,0,0
2,21,-0.445653524674318,-0.0355505063692735,-0.088537463685243,-0.717572596758225,0.0236867427359044,-0.00301109083447048,0.993546159731768,0.0161596848325927,-162.896389459037,6.47867256076426,0,0,0,0,0,0,0,0,0,0,0,0
3,21,-0.765060295187677,0.0425257880612685,0.027103045891484,-0.699373905229398,-0.000960138952846634,-0.00219601608342357,1.17100616736037,0.0405390210982199,-158.639169731167,5.63745417985535,0,0,0,0,0,0,0,0,0,0,0,0
1,22,-0.916298393378115,-0.0166102161574634,0.0813181973287128,-1.0067519456461,0.0064143094078819,1.74244434350984e-05,-0.0213190058341173,-0.0731522775538503,160.370029711729,-2.47299479911027,0,0,0,0,0,0,0,0,0,0,0,0
2,22,-0.588173486548492,-0.082721727002297,-0.0678315729141725,-0.166397062847125,0.0329644907398636,-0.000145769335262039,0.0776900042411954,0.180546455644034,160.206962560846,-7.53605700812827,0,0,0,0,0,0,0,0,0,0,0,0
3,22,-1.87939863747777,-0.0240741086310539,-0.1469651395836,-1.47622419803001,0.0375626125477408,0.00275472488296847,0.0440404232995935,0.120913852576491,214.660226906428,5.65797882326987,0,0,0,0,0,0,0,0,0,0,0,0
1,23,-0.0132526080052902,-0.0528141531278808,-0.0338276684976964,-0.201364686770942,0.00475496561230759,0.000129626239647916,0.0506051911793861,0.181813590176276,114.943515802809,5.93410525314924,0,0,0,0,0,0,0,0,0,0,0,0
2,23,-1.34734319273552,0.263361712208857,0.0303413767828455,-0.225707565011191,0.00764964554977166,-0.00180723052001133,0.825382951520397,-0.103570401195156,-31.1447276965649,10.4328423144627,0,0,0,0,0,0,0,0,0,0,0,0
3,23,1.30567912340886,-0.169401131365205,-0.0880401696733282,-0.350101018145232,-0.046105370935372,-0.00490990938799056,0.625821184154163,-0.0627855736952693,135.616015105576,3.80633910274319,0,0,0,0,0,0,0,0,0,0,0,0
1,24,3.36781603850298,0.0931761688077125,-0.0206653977716905,0.405629183738531,0.0436206693088703,-0.00180092834847592,1.19558148734444,-0.168336726189967,-71.8086080261291,1.22124184775072,0,0,0,0,0,0,0,0,0,0,0,0
