rep,id,b01,b11,b21,a1,b03,b13,p1,g1,p2,g2,alpha11,alpha13,alpha21,alpha23,eta_b01,eta_b11,eta_b21,eta_a1,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha13,eta_alpha21,eta_alpha23
1,1,5.82776242948598,-0.359417201376094,-0.233897555461604,0.790617570290124,4.28802162852122,0.00091639894653428,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,1.06957243678718,-0.222824926941874,-0.0777706117074416,-1.4763248185157,0.145959375678316,0.146838753818064,0,0,0,0,0,0,0,0
2,1,5.37873665280255,-0.0368302719288057,-0.13041268347193,4.86930904722562,3.69831842614364,-0.0787046352495271,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,0.620546660103759,0.0997620025054141,0.0257142602822324,0.341568133465077,-0.443743826699262,0.0672177196220029,0,0,0,0,0,0,0,0
3,1,6.08283834543524,-0.0379841049749599,-0.0695108220484368,11.8215077293392,3.80292528207073,-0.0438068582418097,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,1.32464835273645,0.0986081694592599,0.0866161217057258,1.2285366471731,-0.339136970772175,0.10211549662972,0,0,0,0,0,0,0,0
1,2,3.17423522565918,-0.262505635886876,-0.154826317769451,1.78071331608571,4.41350708707948,-0.434138020136209,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,-1.58395476703961,-0.125913361452656,0.00130062598471203,-0.664369890740385,0.271444834236577,-0.288215665264679,0,0,0,0,0,0,0,0
2,2,5.66551495142295,-0.214572865830343,-0.0373956189676736,6.63326057965716,4.01878434064723,-0.410968498193803,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,0.907324958724155,-0.0779805913961228,0.118731324786489,0.650712560967514,-0.123277912195667,-0.265046143322273,0,0,0,0,0,0,0,0
3,2,4.36644325738146,-0.14391259417336,-0.0434546304587756,0.601391737183744,3.78381439053693,-0.249838007797341,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,-0.391746735317331,-0.00732031973914016,0.112672313295387,-1.74989266196794,-0.358247862305975,-0.103915652925811,0,0,0,0,0,0,0,0
1,3,1.51475729086714,-0.220775267432797,-0.153781124240898,0.707952356692927,4.35275528879793,-0.0935583494497727,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,-3.24343270183165,-0.0841829929985768,0.00234581951326487,-1.58676239450307,0.210693035955024,0.0523640054217573,0,0,0,0,0,0,0,0
2,3,1.64714373396822,0.106366524570477,-0.147379011890474,0.769399180806289,4.65460659908227,-0.0692854370489635,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,-3.11104625873058,0.242958799004697,0.00874793186368905,-1.50352926752589,0.512544346239369,0.0766369178225665,0,0,0,0,0,0,0,0
3,3,1.65991336688153,-0.0989712469693782,-0.163458282175058,1.78835539036905,4.39199843961031,-0.0689534346280766,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,-3.09827662581726,0.0376210274648416,-0.00733133842089592,-0.660087492954947,0.249936186767413,0.0769689202434534,0,0,0,0,0,0,0,0
1,4,4.96372769916354,-0.0420768838389597,-0.161537079607409,1.52723652680348,2.67530725004472,-0.209025978165761,0.0383443986306595,0.130234102919196,0.764472859016504,0.105769452190967,0.144499559774395,0.829716202246757,-0.140340471122442,-0.188017098282347,0.205537706464746,0.0945153905952602,-0.00541013585324687,-0.817924003502065,-1.46675500279818,-0.0631036232942311,0,0,0,0,0,0,0,0
