rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b06,b16,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha16,alpha21,alpha22,alpha23,alpha26,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b06,eta_b16,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha16,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha26
1,1,5.71171166637327,-0.0193762521227827,-0.134468673868889,4.12733840929978,7.37876634471455,-0.000604947927807418,3.62492895994645,0.0648855094866981,5.83679024803478,0.0447493909927357,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.509771275215141,0.0814017089031996,-0.0274291173929373,0.0403805386412279,-0.0200757318338036,-0.00339170483670031,-0.661498017063069,0.22112489246924,0.617316105472716,0.117503635164513,0,0,0,0,0,0,0,0,0,0,0,0
2,1,5.37053696690431,-0.095968441763941,-0.107076058465287,4.58698422344428,7.33794149531769,-0.00109590635443674,3.65416204400811,0.0228757334202744,5.8237292368042,0.0630793291626533,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.168596575746178,0.00480951926204137,-3.65019893356355e-05,0.145970568574434,-0.0609005812306656,-0.00388266326332963,-0.632264933001414,0.179115116402816,0.604255094242139,0.135833573334431,0,0,0,0,0,0,0,0,0,0,0,0
3,1,5.60859722598152,-0.224973599478877,-0.0778221672640022,2.47826227674566,7.38883768955438,-0.0029617179167049,3.84886267307586,-0.00371180460293861,6.38029871137288,0.00472897714338202,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.406656834823385,-0.124195638452895,0.0292173892119495,-0.469694587913708,-0.0100043869939705,-0.0057484748255978,-0.437564303933662,0.152527578379603,1.16082456881082,0.0774832213151595,0,0,0,0,0,0,0,0,0,0,0,0
1,2,4.33724684034082,0.0376462500995138,-0.172400245546618,2.98952235246473,7.35116777721706,0.0060023629014575,5.20844156107636,-0.199776022583246,4.36930836456167,0.047834501629816,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-0.864693550817317,0.138424211125496,-0.0653606890706664,-0.282138581326685,-0.047674299331292,0.0032156059925646,0.922014584066839,-0.0435366396007039,-0.850165778000395,0.120588745801594,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5.32808231182262,-0.133468740043954,-0.0794862210512249,3.72451866883878,7.39040786157912,-0.00342913823358512,5.06914673929612,-0.184977388127525,4.52071794772082,-0.00260275347872417,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.126141920664484,-0.0326907790179714,0.0275533354247268,-0.0623145805653569,-0.00843421496923646,-0.00621589514247801,0.782719762286598,-0.0287380051449834,-0.698756194841238,0.0701514906930533,0,0,0,0,0,0,0,0,0,0,0,0
3,2,4.492730573149,-0.205460844556173,-0.0985241094390674,0.54217305685143,7.35305231680898,0.00163925636962394,5.05089896123879,-0.369455155904783,4.07872293950407,-0.0519294026219526,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-0.709209818009134,-0.104682883530191,0.00851544703688431,-1.98942224305046,-0.0457897597393737,-0.00114750053926896,0.764471984229271,-0.213215772922242,-1.140751203058,0.0208248415498249,0,0,0,0,0,0,0,0,0,0,0,0
1,3,4.24478634142359,0.0680429301775695,-0.0742833457558484,1.54875626238427,7.43899497141759,0.0113787766452317,4.1739446195927,-0.0565570083140667,5.28117576140742,-0.0860022801220754,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-0.957154049734539,0.168820891203552,0.0327562107201033,-0.939800010166748,0.0401528948692391,0.00859201973633884,-0.112482357416821,0.0996823746684752,0.0617016188453574,-0.013248035950298,0,0,0,0,0,0,0,0,0,0,0,0
2,3,4.95911556414062,-0.0675794272957249,-0.0943754418141514,10.1678465363634,7.46290734417854,0.00786674494802036,5.03139941631004,-0.110526152685353,4.92158778635212,-0.0702698459267521,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-0.242824827017509,0.0331985337302575,0.0126641146618003,0.941978233340115,0.0640652676301876,0.00507998803912747,0.744972439300517,0.045713230297189,-0.297886356209942,0.00248439824502537,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2.39180917808779,-0.0972809441396065,-0.210786542123315,11.3502883093503,7.43120065447855,0.00866639933561493,4.55064048811847,-0.0496779279520215,5.77596110238736,-0.145874741924974,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-2.81013121307034,0.00349701688637583,-0.103746985647363,1.05199093768106,0.0323585779301965,0.00587964242672204,0.26421351110895,0.10656145503052,0.556486959825301,-0.0731204977531968,0,0,0,0,0,0,0,0,0,0,0,0
1,4,4.94818779295398,-0.00853632780734193,-0.20486293966008,16.6575723155321,7.3440810442741,0.00698342158962313,4.99667134090287,-0.305955667606961,4.87400742347597,0.00132288760643343,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-0.253752598204155,0.0922416332186404,-0.0978233831841288,1.43561269913618,-0.0547610322742482,0.00419666468073023,0.710244363893351,-0.149716284624419,-0.345466719086096,0.0740771317782109,0,0,0,0,0,0,0,0,0,0,0,0
2,4,6.61878653489934,-0.0579009439603608,-0.140671383637459,77.5165489687973,7.40366645783644,-3.34863593186296e-05,4.5576755665429,-0.358321048796535,5.18961618836097,-0.140568402008725,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,1.41684614374121,0.0428770170656216,-0.0336318271615072,2.97323924101659,0.00482438128808393,-0.00282024326821153,0.27124858953338,-0.202081665813993,-0.0298579542010895,-0.0678141578369475,0,0,0,0,0,0,0,0,0,0,0,0
3,4,5.35274559699459,-0.048858555183407,-0.171091485959532,37.8314782504841,7.39727920863626,0.0062882062608558,4.29152482480197,0.0384370053135785,5.51799097956697,-0.133508519614531,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.150805205836463,0.0519194058425753,-0.0640519294835807,2.25588930639574,-0.00156286791209492,0.0035014493519629,0.00509784779244793,0.19467638829612,0.298516837004908,-0.0607542754427534,0,0,0,0,0,0,0,0,0,0,0,0
1,5,4.68816953895662,-0.0527533706045336,-0.031724489449474,2.10459022513919,7.41180286862195,0.00882567418330782,3.9266275499562,-0.464734314944604,5.58179361663615,-0.0287041685577276,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-0.513770852201514,0.0480245904214487,0.0753150670264777,-0.633131426836721,0.0129607920735992,0.00603891727441492,-0.359799427053316,-0.308494931962062,0.362319474074087,0.0440500756140499,0,0,0,0,0,0,0,0,0,0,0,0
2,5,5.99547683626388,-0.210104979387745,-0.107426813078047,2.82790210066759,7.37793027650829,0.00236661873852814,4.28266113568126,-0.124721281344411,5.30305303084942,0.0158931525358488,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.793536445105752,-0.109327018361763,-0.000387256602095112,-0.337717078062089,-0.0209118000400581,-0.000420138170364757,-0.00376584132826085,0.0315181016381305,0.0835788882873532,0.0886473967076263,0,0,0,0,0,0,0,0,0,0,0,0
3,5,4.55953743026904,-0.0801283482471762,-0.0774520547785502,10.937202521868,7.41936951700107,0.0101017637550454,3.97708544946226,-0.0548080990032351,5.16266653636036,-0.104116664098897,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-0.642402960889092,0.0206496127788061,0.0295875016974015,1.01491784568462,0.0205274404527174,0.00731500684615249,-0.309341527547262,0.101431283979307,-0.0568076062017022,-0.0313624199271194,0,0,0,0,0,0,0,0,0,0,0,0
1,6,8.7234109131778,-0.0930602412418732,0.00955308935038329,1.31778003231396,7.46298315300606,-0.00264262187786126,2.78269187711307,-0.138726722398722,5.72312750987738,-0.113631263674106,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,3.52147052201967,0.00771771978410912,0.116592645826335,-1.1013036805345,0.0641410764577044,-0.00542937878675416,-1.50373509989645,0.01751266058382,0.503653367315319,-0.0408770195023287,0,0,0,0,0,0,0,0,0,0,0,0
2,6,5.86865792520016,-0.161749003890695,-0.205070055276575,1.40037403156813,7.44279843155339,-0.000482792654229213,3.07982344739186,-0.149280604396944,5.89858404903947,-0.124766009488621,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.666717534042029,-0.0609710428647131,-0.0980304988006237,-1.0405128412839,0.043956355005041,-0.00326954956312211,-1.20660352961766,0.00695877858559826,0.679109906477406,-0.0520117653168431,0,0,0,0,0,0,0,0,0,0,0,0
3,6,6.11230785843346,-0.188527375823052,-0.138304868052726,5.69168667947694,7.46470661906829,-0.00234786890271907,3.19140212594097,-0.163774980341164,6.03890210173216,-0.130968665779792,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,0.910367467275323,-0.0877494147970699,-0.0312653115767747,0.361754425313895,0.0658645425199342,-0.00513462581161196,-1.09502485106855,-0.00753559735862216,0.819427959170095,-0.0582144216080144,0,0,0,0,0,0,0,0,0,0,0,0
1,7,4.28336683574743,0.144389918999843,-0.149154990544342,3.57482475344084,7.33831015241954,0.00569555286032757,4.44081335749529,-0.101799602966636,5.24482856913545,-0.035728641008445,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-0.918573555410701,0.245167880025825,-0.0421154340683904,-0.103336052700697,-0.0605319241288171,0.00290879595143467,0.154386380485773,0.0544397800159059,0.0253544265733838,0.0370256031633325,0,0,0,0,0,0,0,0,0,0,0,0
2,7,4.17041050920008,0.0616655385543885,-0.213873194137797,11.0644928536576,7.32761687346635,-0.00125917701315644,3.85047887384015,-0.0893998801957468,5.38918087442531,-0.040340080288745,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-1.03152988195805,0.162443499580371,-0.106833637661846,1.02648893144469,-0.0712252030820046,-0.00404593392204934,-0.435948103169368,0.0668395027867951,0.169706731863247,0.0324141638830325,0,0,0,0,0,0,0,0,0,0,0,0
3,7,6.64666723829199,0.079744509033164,-0.109737768504396,6.17310843680324,7.3552407310878,0.00271628215042036,4.54333011401457,-0.188155047438325,4.64516632186071,-0.132248695533962,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,1.44472684713386,0.180522470059146,-0.00269821202844438,0.442950301934275,-0.0436013454605524,-7.04747584725314e-05,0.256903137005054,-0.0319156644557836,-0.574307820701354,-0.0594944513621844,0,0,0,0,0,0,0,0,0,0,0,0
1,8,3.10341414014663,-0.268947487416965,-0.051497834555625,1.33440959937757,7.40168317316485,0.00229846272509219,4.87986645211959,-0.238464323057563,4.96916534925911,-0.203011243635168,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-2.0985262510115,-0.168169526390983,0.0555417219203267,-1.08876326125398,0.00284109661650156,-0.000488294183800705,0.593439475110065,-0.0822249400750207,-0.250308793302957,-0.13025699946339,0,0,0,0,0,0,0,0,0,0,0,0
2,8,2.8775484226897,-0.101573139592675,-0.0821507406385482,2.15703490009335,7.44752655019213,0.000696097946708989,4.85145156288033,-0.246028923614051,5.11081244125919,-0.209900237177195,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-2.32439196846843,-0.000795178566692617,0.0248888158374034,-0.608517660429734,0.0486844736437755,-0.00209065896218391,0.565024585870805,-0.0897895406315093,-0.108661701302875,-0.137145993005417,0,0,0,0,0,0,0,0,0,0,0,0
3,8,2.59275025695244,-0.123852152227006,-0.190408608007595,0.323498333579368,7.43385650872706,0.00199446846470797,4.65914249607828,-0.234279153092756,4.71060877714294,-0.192975804429837,0.0299622779220618,0.0937104440056294,0.776576538186756,0.109640044806237,0.158593690828612,-12.4689116175919,0.680712346317457,0.380266898117321,-0.0660846936413011,5.54239765287733,-0.10193917888802,3.67296541853143e-07,-2.60919013420569,-0.0230741912010239,-0.0833690515316434,-2.50581352390602,0.0350144321787056,-0.000792288444184924,0.372715519068755,-0.078039770110214,-0.508865365419119,-0.12022156025806,0,0,0,0,0,0,0,0,0,0,0,0
