id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha21_SAEM
1,2.69804,4.94701e-05,-0.01389,-0.293092,0,0,0,0,0,0
2,0.551727,-8.44562e-05,0.00133445,-0.0312053,0,0,0,0,0,0
3,2.49317,0.0124967,-0.0323025,-0.136727,0,0,0,0,0,0
4,2.36468,0.046449,-0.0265799,0.153504,0,0,0,0,0,0
5,0.948974,0.0040257,-0.00526572,-0.209739,0,0,0,0,0,0
6,0.24717,0.215713,-0.0046189,1.07927,0,0,0,0,0,0
7,0.884362,-0.0621072,0.0476662,1.27873,0,0,0,0,0,0
8,0.0787473,-0.0235612,0.00527871,-0.0584967,0,0,0,0,0,0
9,-0.439135,0.0513098,-0.0174882,0.0432878,0,0,0,0,0,0
10,-2.87875,-0.0644367,0.0503092,0.196859,0,0,0,0,0,0
11,-0.835802,-0.0215234,0.00715486,-0.410969,0,0,0,0,0,0
12,-1.30433,0.00430726,-0.00210009,-0.326735,0,0,0,0,0,0
13,1.30409,0.100515,-0.0224417,0.579053,0,0,0,0,0,0
14,1.80713,0.104022,-0.0248876,0.59876,0,0,0,0,0,0
15,-0.706109,-0.0852058,0.0150608,0.0975481,0,0,0,0,0,0
16,1.27329,0.161301,0.00765546,-0.117366,0,0,0,0,0,0
17,-4.90543,-0.0870759,0.00389044,0.165349,0,0,0,0,0,0
18,2.41208,-0.0419487,0.0135677,-0.132164,0,0,0,0,0,0
19,0.835601,0.00272274,-0.0147641,-0.292277,0,0,0,0,0,0
20,0.0156525,-0.0154359,0.00442143,-0.214268,0,0,0,0,0,0
21,-1.54694,-0.00860354,0.00715012,-0.260202,0,0,0,0,0,0
22,0.399334,0.0216342,-0.0080346,-0.00737216,0,0,0,0,0,0
23,-0.305068,-0.00610033,0.00525846,-0.279698,0,0,0,0,0,0
24,-3.07618,-0.0665389,0.0271926,0.174714,0,0,0,0,0,0
25,2.38059,0.0150127,-0.0218787,-0.170973,0,0,0,0,0,0
26,-0.584028,-0.0969594,0.0169568,0.274235,0,0,0,0,0,0
27,3.15264,-0.0383201,0.0028592,-0.102825,0,0,0,0,0,0
28,-0.553751,-0.0301701,0.0016002,-0.227715,0,0,0,0,0,0
29,0.896209,-0.0236733,-0.000247123,-0.227264,0,0,0,0,0,0
30,2.48498,0.0134116,-0.0126032,-0.258847,0,0,0,0,0,0
31,1.68519,-0.064315,0.0378779,0.484359,0,0,0,0,0,0
