id,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha13_SAEM,eta_alpha23_SAEM
1,-0.799334,-0.185223,0,0,0,0,0,0
2,0.892518,0.152946,0,0,0,0,0,0
3,-0.439816,-0.0832154,0,0,0,0,0,0
4,-0.0276041,0.0431609,0,0,0,0,0,0
5,-1.28425,-0.0185339,0,0,0,0,0,0
6,-0.124454,0.0223204,0,0,0,0,0,0
7,-0.127286,-0.103749,0,0,0,0,0,0
8,0.139839,-0.232806,0,0,0,0,0,0
9,0.545843,0.232977,0,0,0,0,0,0
10,-0.814997,0.0695188,0,0,0,0,0,0
11,0.0239947,-0.0192014,0,0,0,0,0,0
12,0.595965,-0.182759,0,0,0,0,0,0
13,0.224126,-0.00814219,0,0,0,0,0,0
14,-0.803722,-0.0846306,0,0,0,0,0,0
15,0.233843,0.0181343,0,0,0,0,0,0
16,-0.154698,-0.0496921,0,0,0,0,0,0
17,-0.489713,-0.153519,0,0,0,0,0,0
18,-1.86599,-0.00222295,0,0,0,0,0,0
19,-0.648774,0.0302662,0,0,0,0,0,0
20,-0.254001,-0.071701,0,0,0,0,0,0
21,-1.54811,-0.0956733,0,0,0,0,0,0
22,-0.727472,-0.218752,0,0,0,0,0,0
23,-0.762263,-0.122431,0,0,0,0,0,0
24,0.976273,0.115498,0,0,0,0,0,0
25,0.0372201,0.0145551,0,0,0,0,0,0
26,0.877355,-0.0122416,0,0,0,0,0,0
27,-0.167187,-0.0887193,0,0,0,0,0,0
28,0.0665664,0.0607375,0,0,0,0,0,0
29,-0.887614,-0.0140748,0,0,0,0,0,0
30,-0.910471,-0.131384,0,0,0,0,0,0
31,0.604514,-0.0407726,0,0,0,0,0,0
32,0.970815,0.0119275,0,0,0,0,0,0
33,0.991083,0.0804562,0,0,0,0,0,0
34,1.53704,0.0354683,0,0,0,0,0,0
35,-1.0701,-0.0265125,0,0,0,0,0,0
36,0.894134,0.106958,0,0,0,0,0,0
37,-2.01887,0.13708,0,0,0,0,0,0
38,-0.911763,6.53873e-06,0,0,0,0,0,0
39,-0.250487,0.0467164,0,0,0,0,0,0
40,0.0346847,-0.288812,0,0,0,0,0,0
41,0.298949,-0.0340634,0,0,0,0,0,0
42,0.328804,0.080554,0,0,0,0,0,0
43,-1.21815,0.106515,0,0,0,0,0,0
44,0.491699,0.0940032,0,0,0,0,0,0
45,-0.38773,-0.148828,0,0,0,0,0,0
46,0.313655,0.297523,0,0,0,0,0,0
47,-0.3222,-0.124663,0,0,0,0,0,0
48,0.163926,0.036308,0,0,0,0,0,0
49,0.550094,-0.0161556,0,0,0,0,0,0
50,0.656519,0.063063,0,0,0,0,0,0
51,1.38196,0.073965,0,0,0,0,0,0
52,0.776354,0.0530252,0,0,0,0,0,0
53,0.310082,0.0563151,0,0,0,0,0,0
54,0.28995,0.0788429,0,0,0,0,0,0
55,-0.296802,-0.0326681,0,0,0,0,0,0
56,1.27258,0.0198566,0,0,0,0,0,0
57,0.189083,-0.0212494,0,0,0,0,0,0
58,0.586124,0.195165,0,0,0,0,0,0
59,0.251674,0.0316233,0,0,0,0,0,0
60,-1.547,-0.134216,0,0,0,0,0,0
61,0.101131,-0.157901,0,0,0,0,0,0
62,0.420778,0.069456,0,0,0,0,0,0
63,0.0218204,0.163255,0,0,0,0,0,0
64,-1.43697,-0.0280054,0,0,0,0,0,0
65,-0.0712093,-0.0691243,0,0,0,0,0,0
66,0.0861767,-0.0553761,0,0,0,0,0,0
67,0.697867,-0.213035,0,0,0,0,0,0
68,-0.856067,0.0470863,0,0,0,0,0,0
69,0.39988,-0.0741626,0,0,0,0,0,0
70,-0.801072,-0.0145502,0,0,0,0,0,0
71,-0.634562,0.182764,0,0,0,0,0,0
72,-0.140575,-0.0760306,0,0,0,0,0,0
73,-0.790667,0.0616171,0,0,0,0,0,0
74,-1.09062,-0.0309444,0,0,0,0,0,0
75,-1.10007,0.0256604,0,0,0,0,0,0
76,-0.148686,-0.0960198,0,0,0,0,0,0
77,0.122168,-0.00960153,0,0,0,0,0,0
78,-0.876702,-0.0144149,0,0,0,0,0,0
79,1.40977,-0.196587,0,0,0,0,0,0
80,0.653552,0.252804,0,0,0,0,0,0
81,-0.245862,-0.316026,0,0,0,0,0,0
82,0.92077,0.0672236,0,0,0,0,0,0
83,0.0650191,0.132478,0,0,0,0,0,0
84,-0.797853,-0.0251891,0,0,0,0,0,0
85,0.331047,0.0374211,0,0,0,0,0,0
86,0.327474,-0.1104,0,0,0,0,0,0
87,1.01277,0.20388,0,0,0,0,0,0
88,-1.24707,-0.108411,0,0,0,0,0,0
89,0.520853,0.0694038,0,0,0,0,0,0
90,0.751792,-0.0201963,0,0,0,0,0,0
91,-1.84407,-0.282902,0,0,0,0,0,0
92,0.791663,0.0943688,0,0,0,0,0,0
93,-0.00333001,-0.0596481,0,0,0,0,0,0
94,-0.106028,-0.063458,0,0,0,0,0,0
95,-1.44398,0.0554694,0,0,0,0,0,0
96,0.0720244,-0.0680049,0,0,0,0,0,0
97,0.636335,-0.0201361,0,0,0,0,0,0
98,-0.598855,0.292789,0,0,0,0,0,0
99,-0.237718,0.0581182,0,0,0,0,0,0
100,0.407838,0.207352,0,0,0,0,0,0
101,-0.219228,-0.210228,0,0,0,0,0,0
102,-0.0691599,0.147649,0,0,0,0,0,0
103,0.874069,0.0705486,0,0,0,0,0,0
104,-0.220389,-0.00291315,0,0,0,0,0,0
105,-1.20374,0.103004,0,0,0,0,0,0
106,0.60403,-0.241591,0,0,0,0,0,0
107,1.51161,-0.0984065,0,0,0,0,0,0
108,-0.411946,-0.120885,0,0,0,0,0,0
109,0.756554,-0.00806172,0,0,0,0,0,0
110,-0.485478,-0.0860746,0,0,0,0,0,0
111,-0.560787,-0.0810656,0,0,0,0,0,0
112,0.81313,-0.168858,0,0,0,0,0,0
113,-0.0628306,-0.0421216,0,0,0,0,0,0
114,0.788327,0.0778048,0,0,0,0,0,0
115,0.700575,-0.122498,0,0,0,0,0,0
116,-0.747479,-0.0115848,0,0,0,0,0,0
117,-0.512795,-0.0668607,0,0,0,0,0,0
118,-1.32057,-0.208228,0,0,0,0,0,0
119,0.426699,-0.0413812,0,0,0,0,0,0
120,-0.51955,-0.0961861,0,0,0,0,0,0
121,-0.853121,-0.00949222,0,0,0,0,0,0
122,-0.551565,-0.203097,0,0,0,0,0,0
123,0.378788,-0.000126358,0,0,0,0,0,0
124,0.193668,0.0546514,0,0,0,0,0,0
125,-0.469238,-0.0241118,0,0,0,0,0,0
126,0.803311,0.0611684,0,0,0,0,0,0
127,-1.5235,0.0240613,0,0,0,0,0,0
128,-0.588688,-0.0877779,0,0,0,0,0,0
129,-0.237367,-0.230669,0,0,0,0,0,0
130,-0.0559725,0.0908095,0,0,0,0,0,0
131,-1.46181,-0.123197,0,0,0,0,0,0
132,-0.595427,0.325448,0,0,0,0,0,0
133,1.06353,0.0540495,0,0,0,0,0,0
134,-0.150268,-0.0101824,0,0,0,0,0,0
135,0.615616,-0.0147081,0,0,0,0,0,0
136,0.683584,0.342061,0,0,0,0,0,0
137,0.374564,-0.100142,0,0,0,0,0,0
138,-0.225744,-0.168382,0,0,0,0,0,0
139,-1.67174,0.111568,0,0,0,0,0,0
140,0.751759,0.0294677,0,0,0,0,0,0
141,0.111005,-0.226284,0,0,0,0,0,0
142,-1.07937,-0.0214889,0,0,0,0,0,0
143,-0.348367,0.00680673,0,0,0,0,0,0
144,0.58142,0.154867,0,0,0,0,0,0
145,0.53459,0.189023,0,0,0,0,0,0
146,-0.653073,-0.0978848,0,0,0,0,0,0
147,-0.0585324,-0.0249457,0,0,0,0,0,0
148,-1.47281,-0.125517,0,0,0,0,0,0
149,0.019986,-0.0897248,0,0,0,0,0,0
150,-0.813441,0.0312531,0,0,0,0,0,0
151,0.0425169,0.098013,0,0,0,0,0,0
152,0.928776,-0.0475897,0,0,0,0,0,0
153,-0.33724,-0.0818972,0,0,0,0,0,0
154,-0.552322,-0.0125202,0,0,0,0,0,0
155,-0.250586,-0.00781695,0,0,0,0,0,0
156,0.152301,0.108566,0,0,0,0,0,0
157,-0.0338473,0.0905645,0,0,0,0,0,0
158,0.635051,-0.0682835,0,0,0,0,0,0
159,0.951293,0.0926285,0,0,0,0,0,0
160,0.117887,-0.0177266,0,0,0,0,0,0
161,-0.901519,-0.0115732,0,0,0,0,0,0
162,-0.186137,0.199368,0,0,0,0,0,0
163,-0.632026,0.0809517,0,0,0,0,0,0
164,-0.463451,-0.0508791,0,0,0,0,0,0
165,0.17345,0.0288624,0,0,0,0,0,0
166,-0.096275,0.125333,0,0,0,0,0,0
167,0.385722,-0.0565492,0,0,0,0,0,0
168,-1.86387,-0.000176991,0,0,0,0,0,0
169,0.13321,-0.0370733,0,0,0,0,0,0
170,1.20511,0.299439,0,0,0,0,0,0
171,0.292893,-0.128045,0,0,0,0,0,0
172,-1.40005,0.0711992,0,0,0,0,0,0
173,-0.348949,0.167695,0,0,0,0,0,0
174,-1.4084,-0.00773926,0,0,0,0,0,0
175,0.486781,-0.0523265,0,0,0,0,0,0
176,-2.25305,-0.237,0,0,0,0,0,0
177,-0.0241774,-0.00744131,0,0,0,0,0,0
178,0.276337,0.260835,0,0,0,0,0,0
179,-0.371133,-0.0031114,0,0,0,0,0,0
180,0.161514,-0.158479,0,0,0,0,0,0
181,-0.0911759,-0.0138451,0,0,0,0,0,0
182,0.438885,0.0849946,0,0,0,0,0,0
183,-0.503455,0.0384461,0,0,0,0,0,0
184,0.479634,0.205587,0,0,0,0,0,0
185,-1.56834,0.00249269,0,0,0,0,0,0
186,0.678594,0.399234,0,0,0,0,0,0
187,0.501022,0.0769044,0,0,0,0,0,0
188,0.321967,0.0881111,0,0,0,0,0,0
189,-0.271832,0.105807,0,0,0,0,0,0
190,-0.777249,-0.0156884,0,0,0,0,0,0
191,-0.677799,0.0435543,0,0,0,0,0,0
192,-0.705236,-0.0253261,0,0,0,0,0,0
193,0.179398,0.0547708,0,0,0,0,0,0
194,0.31782,0.0666345,0,0,0,0,0,0
195,-0.538157,0.00270863,0,0,0,0,0,0
196,0.0918292,-0.286486,0,0,0,0,0,0
197,-0.232974,0.311484,0,0,0,0,0,0
198,0.974763,-0.0643934,0,0,0,0,0,0
199,0.484872,-0.411876,0,0,0,0,0,0
200,-0.204265,0.0545977,0,0,0,0,0,0
201,-0.795494,-0.0105633,0,0,0,0,0,0
202,0.956709,0.152957,0,0,0,0,0,0
203,0.174646,-0.0505839,0,0,0,0,0,0
204,0.278814,-0.0535327,0,0,0,0,0,0
205,0.08936,0.231665,0,0,0,0,0,0
206,0.25996,0.0559788,0,0,0,0,0,0
207,0.24246,-0.0186712,0,0,0,0,0,0
208,0.561181,0.207067,0,0,0,0,0,0
209,-0.875033,0.00873628,0,0,0,0,0,0
210,-0.808667,-0.00957433,0,0,0,0,0,0
211,1.21012,-0.138563,0,0,0,0,0,0
212,-0.243502,-0.042947,0,0,0,0,0,0
213,0.192386,0.0601699,0,0,0,0,0,0
