id,b02_SAEM,b12_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha22_SAEM
1,7.391,0.00214611,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
2,7.33338,0.000246926,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
3,7.45794,0.00613661,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
4,7.39164,0.00499343,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
5,7.35306,-0.00276872,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
6,7.38007,-0.000893426,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
7,7.399,0.000420165,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
8,7.43579,0.00650134,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
9,7.37627,0.0018659,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
10,7.40293,0.00294956,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
11,7.44284,0.00457459,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
12,7.35594,0.00142369,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
13,7.4135,0.00610543,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
14,7.3813,0.00322288,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
15,7.39364,0.00231707,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
16,7.41398,0.00656646,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
17,7.42689,0.00118479,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
18,7.4593,0.00274989,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
19,7.42788,0.0056959,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
20,7.36801,0.000574129,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
21,7.4057,0.0050029,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
22,7.35042,-0.000190389,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
23,7.4033,0.00319672,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
24,7.4097,0.00323321,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
25,7.39577,0.00118548,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
26,7.37703,0.00236914,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
27,7.35792,0.000994972,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
28,7.41987,0.00871207,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
29,7.41144,0.0036987,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
30,7.39429,0.00311032,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
31,7.40409,0.00185769,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
32,7.44652,0.00459952,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
33,7.39251,0.00296471,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
34,7.41406,-0.0027213,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
35,7.4039,0.00773528,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
36,7.48195,0.00441578,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
37,7.39244,0.00332626,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
38,7.3925,0.00713115,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
39,7.44079,0.00414738,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
40,7.37733,0.00176048,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
41,7.41047,0.00422542,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
42,7.34585,0.00301835,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
43,7.44384,0.0116946,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
44,7.42014,0.00250422,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
45,7.4178,0.00236622,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
46,7.4141,0.0036544,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
47,7.41918,0.00303448,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
48,7.41773,0.00490984,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
49,7.42565,0.0044694,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
50,7.40165,0.0018709,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
51,7.43016,0.00644496,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
52,7.4135,0.00308196,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
53,7.40114,0.00271703,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
54,7.48128,0.0107479,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
55,7.42294,0.00536805,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
56,7.39754,0.00321235,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
57,7.38107,0.000378069,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
58,7.43128,0.00252904,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
59,7.40667,0.00292784,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
60,7.36031,0.00395358,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
61,7.36774,0.00203585,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
62,7.39089,0.0018093,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
63,7.33654,0.00247424,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
64,7.38303,0.000789928,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
65,7.4034,0.00333306,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
66,7.37081,0.00556405,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
67,7.44305,0.00895267,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
68,7.41761,0.00941342,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
69,7.40176,0.00358359,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
70,7.3815,0.00339714,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
71,7.39263,-0.00171352,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
72,7.40175,0.00148247,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
73,7.37198,0.00521664,0.109603,0.160882,0.728339,0.122689,-10.1453,3.79696
