rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha21,eta_alpha22
1,1,0.726002767792306,0.136906715002369,0.261564248544269,-0.257904280146707,-0.0265688910541684,-0.00354079771908818,0,0,0,0,0,0,0,0
2,1,2.10738575944582,0.0430307814075945,0.232804892778292,0.0418084101203087,-0.005653094294086,-0.00320056565457514,0,0,0,0,0,0,0,0
3,1,2.27008259693605,-0.121216617259758,0.267827356731451,-0.474123026821154,-0.0192175899044944,-0.00371446534500818,0,0,0,0,0,0,0,0
1,2,-1.0824862847559,0.0174181805487685,0.173051654388367,-0.245726251503106,-0.0358089822482466,0.00128242763606373,0,0,0,0,0,0,0,0
2,2,-0.370911676997527,-0.0517024134324543,0.154649892141193,0.0569168588015341,0.00609684463973625,-0.00462429035790527,0,0,0,0,0,0,0,0
3,2,-0.831100117014144,-0.0506910043365405,0.106137636359191,0.113747909082526,0.000407186390222414,-0.00171428680193168,0,0,0,0,0,0,0,0
1,3,-2.3998837323278,-0.178098633232995,-0.00617587374957063,0.330358338893301,-0.106220425461453,0.00579223946867406,0,0,0,0,0,0,0,0
2,3,-2.53294383007452,0.0212070570924072,0.0298711391943962,0.332592805376224,-0.0829139230396621,0.00427798612515777,0,0,0,0,0,0,0,0
3,3,-2.45924051606858,-0.231162177424051,-0.0611264183807445,-0.174107105762331,-0.076309454058511,0.00539706588220487,0,0,0,0,0,0,0,0
1,4,1.52188530497473,0.0414660774593665,0.0507766297181395,-0.283272432681137,-0.00994568501369475,0.00323813861360792,0,0,0,0,0,0,0,0
2,4,2.29882218780402,-0.0699679984866488,0.0279153733253145,0.471315181764979,-0.0296941303756784,-0.00370152168718701,0,0,0,0,0,0,0,0
3,4,1.67192990566337,0.148747238895316,0.109631259969703,-0.555531441031968,-0.0346102628849989,0.000246870484235067,0,0,0,0,0,0,0,0
1,5,1.66083854010236,-0.0666141926378988,0.0791054012275847,-0.0787231709241434,0.0712687515026644,0.00156819965081763,0,0,0,0,0,0,0,0
2,5,0.417369993512696,-0.148064536364804,-0.0128138686863561,0.342139326572296,0.0838914888761906,-0.00178846050231051,0,0,0,0,0,0,0,0
3,5,-0.748566756293863,0.114804671879678,0.157106488991724,-0.097085871406559,0.0650510254189447,0.00684319213960156,0,0,0,0,0,0,0,0
1,6,-0.0598664240033848,-0.00923212091428247,-0.0221417520061176,-0.229106269436182,-0.0353607028146081,0.000828127611048574,0,0,0,0,0,0,0,0
2,6,-0.525510826545834,-0.237271546413847,-0.0656543279530226,0.376974496215942,-0.00609285623176969,-0.000889397685918052,0,0,0,0,0,0,0,0
3,6,-0.923098531604205,0.0624828319361871,-0.0840651026566319,-0.175886263976997,-0.0112185157896025,-0.00123776379435583,0,0,0,0,0,0,0,0
1,7,-1.27589201973737,0.0752723817975235,0.0788839981318411,-0.202415277964949,0.00133303492545256,-0.00207124616200495,0,0,0,0,0,0,0,0
2,7,-0.200617727196374,0.0730073336409699,0.0975098896988484,-0.996285283666857,-0.0115677183099949,-0.00148213142256363,0,0,0,0,0,0,0,0
3,7,-0.31717091167522,-0.210856221503492,0.0123835114809315,-0.139254016669959,0.00172662351766828,-0.00422479713699806,0,0,0,0,0,0,0,0
1,8,2.21311535512285,-0.0490486294417184,0.128816394337003,-0.0938371048895417,0.0568450873270834,-0.0017207809627605,0,0,0,0,0,0,0,0
2,8,0.0189246815657622,-0.105057582620568,0.00634097198125888,-0.480255890119398,0.0532557303740155,-0.00200586774433781,0,0,0,0,0,0,0,0
3,8,0.490804334753453,-0.220662312623576,-0.0506950248970821,-1.13930890179704,0.0805342576841346,-0.00258402168728426,0,0,0,0,0,0,0,0
1,9,1.00376163196017,0.0468127759509173,0.159992675720034,-0.478221742048423,-0.0345764883110995,0.00774300755010288,0,0,0,0,0,0,0,0
2,9,1.4644794653294,-0.0444619038576805,0.107434992033089,-0.932783997251183,-0.0325284677808364,0.00369815035364403,0,0,0,0,0,0,0,0
3,9,-0.375851807815513,0.0497376968782155,-0.0124796766167499,0.158950380729598,-0.0181046160871947,-0.00326016340350707,0,0,0,0,0,0,0,0
1,10,-1.08121334829125,-0.17094930480183,0.0375649378415401,-0.530342515415057,0.0552502476415375,-0.00971039566150077,0,0,0,0,0,0,0,0
2,10,0.494786507092797,-0.179230969540003,0.126396053642307,0.182210876434932,0.0191642374868977,-0.00719658784923181,0,0,0,0,0,0,0,0
3,10,-1.78162267216337,0.0100164229802588,0.0759248177791092,-0.241575549701264,0.00306928834199116,-0.00681461778616113,0,0,0,0,0,0,0,0
1,11,-0.520062839416795,-0.16592533146866,0.149672926480478,-0.94707966496603,-0.0065878859236399,-0.00061535180862274,0,0,0,0,0,0,0,0
2,11,-2.45082026896604,0.050806760983506,-0.110512405121768,0.138048072471089,-0.0131785076379449,-0.000634972342418264,0,0,0,0,0,0,0,0
3,11,-1.52353524805751,-0.0374541478265215,-0.00171206740103474,-0.525314882767438,-0.0401398109592632,0.000878853426876409,0,0,0,0,0,0,0,0
1,12,-0.433311769924346,0.012833990043008,0.0379543389881563,1.2858492392361,0.00516350796310938,-0.00217760223748875,0,0,0,0,0,0,0,0
2,12,-2.22120374008873,-0.00202834340277483,-0.0735487844215047,0.911216933903707,0.0462093105086749,-0.00577312001893826,0,0,0,0,0,0,0,0
3,12,-2.03484762157609,0.191096080291858,0.0817938732452805,-0.291935359716091,0.00991768792545855,-0.00324917243012881,0,0,0,0,0,0,0,0
1,13,2.65668906154316,-0.0853332085020403,-0.005179757831762,-0.255457626158043,-0.0264486911332407,0.00571789858009171,0,0,0,0,0,0,0,0
2,13,1.62443643979001,0.0720541911072259,0.0580540248151856,-0.16347729984133,-0.000786202252767154,0.00490599909159691,0,0,0,0,0,0,0,0
3,13,2.14864195326044,-0.177233383801719,-0.0772623783678905,-0.0347934667133387,-0.0212507990701649,0.00364910235943097,0,0,0,0,0,0,0,0
1,14,-1.42106369326321,-0.126256655052735,-0.0163440706932582,0.23730550797552,-0.0250599087835139,-0.00617221010419504,0,0,0,0,0,0,0,0
2,14,-2.73459262712635,-0.134602238686767,-0.0268266897718923,-0.34074758466519,-0.0142042781244154,0.00705003410596388,0,0,0,0,0,0,0,0
3,14,-1.83785505593119,0.165345770430785,-0.0119160364813545,0.286585801250047,-0.0254465535190587,-0.00198296275205228,0,0,0,0,0,0,0,0
1,15,1.94483154604515,-0.0392868297574633,0.0142175942119497,0.0724057992114915,0.00197428083041729,-0.00419389654242063,0,0,0,0,0,0,0,0
2,15,1.72087952825976,-0.222456953393613,-0.130485417026035,-0.769606624348292,0.00167921099397361,0.00246463415837756,0,0,0,0,0,0,0,0
3,15,0.189404514847567,0.121365749929562,0.0750398054144537,0.396127752091356,-0.0134199984454515,0.00135012246596318,0,0,0,0,0,0,0,0
1,16,2.47330957726237,0.0943844389638106,-0.289489425701176,-0.222460291619068,0.0255668213223359,-0.00381989686659343,0,0,0,0,0,0,0,0
2,16,4.85282843180715,0.0573292876315867,0.191775667417758,-0.0232156047868703,0.0508169379408256,0.00123426965803817,0,0,0,0,0,0,0,0
3,16,1.69283625530083,-0.00590316391085341,0.174073867206314,0.0397005930387082,0.0474739013772334,-0.00606549540853282,0,0,0,0,0,0,0,0
1,17,1.06854068318726,-0.0180715303912012,-0.00125474429940733,0.378650130312089,0.0312916710611351,0.00170491119307345,0,0,0,0,0,0,0,0
2,17,-0.888245283107425,0.0743215116455656,-0.00792164156258013,1.04293787714889,0.0448805877135907,0.00330783529389555,0,0,0,0,0,0,0,0
3,17,0.553202965735425,0.0782290994196033,0.0100414253922124,0.311687389577951,0.0111041545381916,0.00173871494407264,0,0,0,0,0,0,0,0
1,18,0.816574653277591,0.116675675800419,0.0733313156623034,0.314492442194938,-0.0109210699204159,0.003177157070574,0,0,0,0,0,0,0,0
2,18,1.15968307596934,-0.106430268035887,-0.0714209436313975,0.866251122467399,0.0251427453803856,-0.00585165632890929,0,0,0,0,0,0,0,0
3,18,0.915256378347023,-0.0592975977148398,-0.109481129443724,0.414065516417098,-0.0241125838662217,0.00462370409856279,0,0,0,0,0,0,0,0
1,19,-0.0869936955846917,0.00400598702699972,0.131890328962268,0.591698499401411,0.0318494426044982,-0.00333104513685837,0,0,0,0,0,0,0,0
2,19,0.602599735045239,-0.0761966011875843,0.146211732729367,0.316546437818111,-0.037976634756685,-0.00313557115130813,0,0,0,0,0,0,0,0
3,19,0.650602661660027,-0.0039544811113032,0.127449213004971,0.848521813831328,0.00384505389560363,-0.0037775248046014,0,0,0,0,0,0,0,0
1,20,-2.47924168693706,-0.0384893458974413,-0.125489660857514,0.564022116570186,-0.033928005415202,-0.00370105126655458,0,0,0,0,0,0,0,0
2,20,-0.652488708568505,0.0713358935453054,0.0507649841648476,0.325398294720027,-0.0365608578243499,-0.0117346578208735,0,0,0,0,0,0,0,0
3,20,-0.0959224956359099,0.270493448791085,-0.0873363020252244,0.197228527074709,-0.0760910901794132,0.00535208638713414,0,0,0,0,0,0,0,0
1,21,0.453086005581367,0.0305526454764277,0.00246570515748551,0.59202268484474,-0.0318478058144969,0.0119059986393031,0,0,0,0,0,0,0,0
2,21,-2.36677305691318,0.119557432219591,-0.0239613151437684,0.292925221100809,-0.0379380829342377,0.00839011967391931,0,0,0,0,0,0,0,0
3,21,-0.74883934533031,0.066442202348657,0.0460617845721878,-0.285202611156899,0.0223439356008619,0.000597173802267307,0,0,0,0,0,0,0,0
1,22,1.73851271406974,-0.166000848276224,-0.00328535597365434,0.0517695047059756,-0.0080281753955278,0.00269202911483522,0,0,0,0,0,0,0,0
2,22,0.970285567910331,-0.0423501407927942,-0.162445639460974,-0.107771247102188,0.0133414178482516,9.86853240237118e-05,0,0,0,0,0,0,0,0
3,22,1.41187208768428,0.191404776226333,0.102039438843842,-0.257064432698253,-0.00373777182758417,0.00339731708746214,0,0,0,0,0,0,0,0
1,23,0.618093497332582,0.0154751108979136,0.0423511235171328,-0.221051968521829,-0.0213075956112956,-0.000731669207844547,0,0,0,0,0,0,0,0
2,23,1.09536413236572,-0.0445021389782655,-0.00237365322555372,-0.484398781849773,-0.0121952841312902,-0.000416133942032615,0,0,0,0,0,0,0,0
3,23,0.328913592427183,-0.0631800798796768,-0.0567558623839654,-0.0770676227299061,-0.0296979575410035,0.000328060078827042,0,0,0,0,0,0,0,0
1,24,2.23880781279199,0.108345986634159,-0.0853098029601885,0.226578160594723,0.0104935748489074,-0.00467223086814378,0,0,0,0,0,0,0,0
2,24,1.04126745199062,-0.0982733470642453,-0.140552957698468,-0.968524031252883,-0.011521148993431,0.00575493326849319,0,0,0,0,0,0,0,0
3,24,4.49466241146849,-0.159171272510902,0.0453960807136776,0.948850211376186,-4.93402905643592e-06,-0.00420890158613678,0,0,0,0,0,0,0,0
1,25,1.92174112417287,0.0441989579690238,0.139511331413642,-1.13925055666807,0.0231869743547595,0.00215823617038035,0,0,0,0,0,0,0,0
