rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b03,eta_b13,eta_b04,eta_b14,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha13,eta_alpha14,eta_alpha21,eta_alpha23,eta_alpha24
1,1,-1.78060439928957,-0.126675639514428,-0.0500038886976811,0.266319881365482,1.03240616616,0.0901095251689677,2.0374787310385,-0.0569960358914753,0,0,0,0,0,0,0,0,0,0
2,1,-2.95033528986279,0.0881538842538635,0.115104460491073,0.206303549336543,1.22972875168055,-0.031951982194886,2.04443261815424,-0.0766460888147535,0,0,0,0,0,0,0,0,0,0
3,1,-1.95424294389269,-0.0973832335677843,-0.0215181621378094,0.345960858307178,0.0227931947886262,0.119513821245565,2.0740821756141,-0.0838632637547034,0,0,0,0,0,0,0,0,0,0
1,2,-2.07482617318778,0.0637551298500691,0.0579656319502462,0.480153252967991,-0.391333030646405,-0.159245559252493,-2.28565878978028,0.0205104968492056,0,0,0,0,0,0,0,0,0,0
2,2,-2.07215505866148,-0.0221543134166556,0.0129019730829092,0.0362572062420385,-0.884182326771582,-0.160420909731548,-3.2438026547375,0.162534743177399,0,0,0,0,0,0,0,0,0,0
3,2,-1.40478976679423,-0.159803114556112,-0.018232946403406,-0.241052191915481,-0.935844903431339,-0.0723497238653346,-2.69453898966841,0.145782260904967,0,0,0,0,0,0,0,0,0,0
1,3,-3.6148729991348,0.00245916858807513,-0.0254493086114234,0.0709273081258366,-0.0244896725847434,0.0407495897382071,-1.45274505188939,-0.0145104550342686,0,0,0,0,0,0,0,0,0,0
2,3,-3.21014382755495,-0.0027997220126568,-0.0226593646293463,0.174857567168995,0.15655238393519,0.0920600401308538,-1.52265182297934,0.00237369392776391,0,0,0,0,0,0,0,0,0,0
3,3,-3.60658488050507,-0.0062692169908357,-0.0433713165816892,0.127680104394667,-0.178003646968765,0.0500137232839176,-0.852461013272968,-0.06541897302731,0,0,0,0,0,0,0,0,0,0
1,4,5.39379658741715,-0.197589942195304,-0.0621107773396082,0.175659529079169,-0.0899632691156791,0.0974701248440788,1.1215742366284,0.0547504673519648,0,0,0,0,0,0,0,0,0,0
2,4,4.06772231542784,0.045307595289446,0.050550055104807,0.149213359177628,-0.567252007597526,0.131823996159297,0.519713059740094,0.158135546952771,0,0,0,0,0,0,0,0,0,0
3,4,3.42051046325419,0.056535515274813,0.0812968261889281,0.120909935432759,-0.554577539344991,0.0815161501677394,0.943476091990082,0.123499320364678,0,0,0,0,0,0,0,0,0,0
1,5,-0.834148262167737,-0.172002137653344,0.0667443948106622,-0.325073372971088,-0.890206633157292,0.157953787886998,-0.234216391580414,0.0267727032467573,0,0,0,0,0,0,0,0,0,0
2,5,-0.543320541005677,-0.0256207652494846,0.0499862551214609,1.23781283108738,-1.00990501670067,0.162710772673039,0.63060808481637,-0.000617678754776967,0,0,0,0,0,0,0,0,0,0
3,5,-1.12006738947533,-0.0904528223850494,-0.0156219622054944,0.79764196487323,-0.502389916675598,0.164419313638416,-0.0389417139161328,-0.0214638802398399,0,0,0,0,0,0,0,0,0,0
1,6,0.973016175901956,0.0655278086682864,-0.0357185017280041,-0.0596037098575448,0.774913731239166,-0.164023947844876,-1.13182704021809,-0.0596083113099577,0,0,0,0,0,0,0,0,0,0
2,6,0.58552616241054,0.00479831969913615,-0.0838268063800852,-0.470951513620597,0.00647357543321192,-0.00972657426919285,-0.485973781709588,-0.0997875184277383,0,0,0,0,0,0,0,0,0,0
3,6,3.38220116560414,0.0105218278001355,-0.00881744657856481,-2.00779128359732,0.482815227582264,0.0400582396545053,-1.8879326117789,-0.0111839807659045,0,0,0,0,0,0,0,0,0,0
1,7,1.75188236446004,-0.0157379478512448,0.0286745690425129,-1.29127883636548,1.20534509760699,0.153606640471134,4.00279280270383,-0.12745056151823,0,0,0,0,0,0,0,0,0,0
2,7,0.197649417663202,0.0465753505051605,-0.0789967870647438,0.146312607111503,1.30549440654175,0.148722193901255,3.12879490137457,-0.0763058249256106,0,0,0,0,0,0,0,0,0,0
3,7,1.7202553530761,-0.0353828480209687,-0.0895167544715519,0.343112215262749,1.01589603208863,0.158249128139105,3.29181167850235,-0.108675851343654,0,0,0,0,0,0,0,0,0,0
1,8,2.29253073522497,-0.0965983702040186,-0.034431268812727,-0.0147837726409172,-0.655070848352005,-0.152881146306081,2.04200045597914,0.0356379775710244,0,0,0,0,0,0,0,0,0,0
2,8,0.236841359914298,0.130804988843545,0.0422648132827739,-0.912885151607086,-0.858094348593274,-0.155117539338421,2.31500608646984,0.0146163499925423,0,0,0,0,0,0,0,0,0,0
3,8,2.35761815587411,-0.0431718624735434,0.00977589873277049,1.28004222673512,-0.387144500841968,-0.176189311894352,1.89688278035992,0.0535930590559019,0,0,0,0,0,0,0,0,0,0
1,9,-2.92931727070908,0.157624252695878,-0.0226918356710269,-0.810740427317882,-0.0750330403695871,0.0134945018101312,-1.08893866652547,0.135334099030171,0,0,0,0,0,0,0,0,0,0
2,9,-1.47584382845904,0.137404131233007,0.0479116336418964,-0.635900275421389,-0.0458908023689242,-0.00315945941990647,-0.695990901573879,0.125329757852217,0,0,0,0,0,0,0,0,0,0
3,9,-2.47222825074488,0.139808547506452,-0.0331165711941052,-0.492799504819549,0.0418093023275414,-0.0142252736697205,-1.18693874684959,0.12703531359426,0,0,0,0,0,0,0,0,0,0
1,10,0.847018033953581,-0.0196685841648189,0.0816230168790407,-0.69483122160527,1.14166958757595,0.154853121819342,-4.48790753402731,-0.00980277799636866,0,0,0,0,0,0,0,0,0,0
2,10,0.423259271828526,0.00990953645698647,-0.0194762769066452,-0.31177379777048,0.185851723970398,0.0509170012489942,-4.09834439978323,-0.0713872477018996,0,0,0,0,0,0,0,0,0,0
3,10,0.168824070408396,-0.0448164049924531,0.0517040428127528,0.357279213731913,0.625448488909002,0.040345633709398,-3.7909617675882,-0.0087575588226999,0,0,0,0,0,0,0,0,0,0
1,11,-0.794920277668688,-0.121168122674829,0.0219363248838335,-0.280429602150878,0.941506846837795,0.00555391652525569,2.25503868298518,0.0216470677551214,0,0,0,0,0,0,0,0,0,0
