id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,b04_SAEM,b14_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha14_SAEM,alpha22_SAEM,alpha23_SAEM,alpha24_SAEM
1,7.39609,0.00178714,4.54068,-0.153485,4.42507,-0.0489392,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
2,7.33133,0.000370535,4.34844,-0.446552,3.19134,-0.0397229,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
3,7.4595,0.00533902,3.26197,-0.275404,8.00192,0.0251005,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
4,7.39256,0.00432256,4.00677,-0.107588,5.71481,0.0408464,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
5,7.35324,-0.00262237,4.1606,-0.216936,3.34733,-0.0137642,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
6,7.38026,-0.00145327,2.48075,-0.0940728,4.49005,-0.0430011,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
7,7.39652,-0.000227265,4.03833,-0.17402,5.16557,-0.0312585,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
8,7.44146,0.00620018,3.67023,-0.429847,6.88101,0.0499484,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
9,7.37315,0.00163396,2.97328,-0.308931,3.83762,0.00876796,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
10,7.39985,0.0035429,4.01223,-0.0260396,6.35094,-0.0100841,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
11,7.44664,0.00436928,3.06827,-0.174581,7.49083,0.0365251,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
12,7.3565,0.000874728,5.01911,-0.127114,2.99544,-0.00774674,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
13,7.4172,0.00547021,4.80509,-0.088078,5.35902,0.0207326,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
14,7.37684,0.00318801,4.21939,-0.122441,4.20312,0.00731182,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
15,7.3941,0.00217472,4.39664,-0.133214,7.17312,0.0228537,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
16,7.41324,0.00622549,3.74941,-0.320104,5.28845,-0.0693502,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
17,7.43103,0.000988406,4.2521,-0.342585,6.07684,-0.0158062,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
18,7.467,0.00198403,4.68551,-0.198836,7.99781,0.0909318,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
19,7.42508,0.00494559,4.05522,-0.128643,4.96597,0.0507858,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
20,7.37121,0.00101349,5.07868,-0.142431,4.57855,0.0140205,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
21,7.40404,0.00513034,4.82418,-0.314352,8.60387,-0.0579294,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
22,7.35407,-0.00123227,3.96739,-0.0868319,2.98847,-0.00831758,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
23,7.40997,0.00268643,4.17994,-0.22495,4.19292,0.0767114,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
24,7.404,0.00287639,3.3182,-0.173727,4.13776,0.0171564,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
25,7.39948,0.00236,3.41662,-0.202003,7.68844,0.0215316,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
26,7.38631,0.00277041,1.82934,-0.1008,4.35941,0.0232679,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
27,7.36433,0.00243337,2.99117,-0.201284,3.36861,0.0158103,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
28,7.41232,0.009141,4.12084,-0.0888411,4.96658,0.0597231,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
29,7.40389,0.00314138,3.03407,-0.162473,4.50613,0.0206678,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
30,7.39284,0.00275725,2.88913,-0.164662,5.69493,0.0268383,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
31,7.40894,0.00298087,4.77522,-0.120279,4.48387,0.0195067,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
32,7.43799,0.00403556,4.89482,-0.223365,8.66449,0.0283067,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
33,7.39239,0.00253415,3.91624,-0.0901822,7.32488,-0.0010935,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
34,7.4127,-0.00263561,4.62045,-0.118654,7.56654,-0.0938456,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
35,7.39687,0.00874654,5.77468,-0.181969,5.73361,0.0864028,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
36,7.48392,0.00417316,3.10239,-0.1272,10.1822,-0.0334681,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
37,7.38759,0.00295537,3.7484,-0.17682,3.22999,0.0224164,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
38,7.39051,0.0072325,5.98593,0.0254242,3.91579,0.0569876,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
39,7.43915,0.00376137,3.86535,-0.174622,8.67021,0.0620772,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
40,7.38234,0.00261214,3.84775,-0.124702,4.37703,0.015401,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
41,7.40917,0.00397197,4.09744,-0.181639,4.25407,0.0419813,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
42,7.34412,0.00332902,4.33297,-0.153779,2.88394,-0.057715,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
43,7.44519,0.0117911,5.07333,-0.112536,8.6115,0.0733159,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
