id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha15_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha25_SAEM
1,-0.0773816,-0.00144268,-0.0646562,-0.0535642,0.0640129,-0.0374821,0,0,0,0,0,0,0,0,0,0
2,0.0286746,0.00266963,1.64672,0.0652994,0.9993,0.0888044,0,0,0,0,0,0,0,0,0,0
3,0.00244627,0.00120197,0.106743,-0.00294215,-0.273401,0.000233306,0,0,0,0,0,0,0,0,0,0
4,0.0202129,-3.9194e-05,0.096432,-0.241381,-0.149048,-0.182169,0,0,0,0,0,0,0,0,0,0
5,-0.0475187,-0.00724575,1.31581,0.183686,0.712645,-0.0144327,0,0,0,0,0,0,0,0,0,0
6,0.0133941,-0.00425597,0.376866,0.0755049,-0.425378,0.0854263,0,0,0,0,0,0,0,0,0,0
7,0.0755264,0.00307721,-0.169909,-0.0642786,-0.183722,0.000398317,0,0,0,0,0,0,0,0,0,0
8,-0.00247846,0.00426862,0.470201,0.0589041,0.294171,0.0998252,0,0,0,0,0,0,0,0,0,0
9,0.0588914,0.00837907,-0.727089,0.192481,-0.675836,0.0429245,0,0,0,0,0,0,0,0,0,0
10,-0.0463709,-6.154e-05,1.4436,-0.0277243,1.54453,-0.00604966,0,0,0,0,0,0,0,0,0,0
11,-0.0297463,0.00122801,-0.587888,0.0457328,-0.0140585,-0.00589526,0,0,0,0,0,0,0,0,0,0
12,0.00180408,-0.0103332,0.219837,-0.221711,0.0890014,-0.118561,0,0,0,0,0,0,0,0,0,0
13,-0.0465734,-0.00230688,0.407317,0.0583868,0.466739,-0.0188383,0,0,0,0,0,0,0,0,0,0
14,0.00415559,0.00268326,0.285172,-0.110303,0.72356,0.0381003,0,0,0,0,0,0,0,0,0,0
