id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM
1,1.13058,0.0330853,-0.0088688,0.0627615,-0.0606606,-0.00124478,1.48106,0.0358483,0,0,0,0,0,0,0,0,0,0
2,0.0499731,-0.0976371,0.0321927,0.616162,-0.0491524,-0.00175084,-0.830736,0.00182188,0,0,0,0,0,0,0,0,0,0
3,-0.492921,-0.0203493,-0.00318267,-0.208043,0.0249488,-0.00172441,-0.106439,0.163574,0,0,0,0,0,0,0,0,0,0
4,-2.2886,-0.00585131,0.000315641,-0.334619,-0.00278539,-0.0139327,-0.473024,0.17987,0,0,0,0,0,0,0,0,0,0
5,-0.51179,-0.0131037,0.00477393,0.00599473,-0.00775871,0.00124356,-0.58951,-0.00753736,0,0,0,0,0,0,0,0,0,0
6,-2.18286,0.000329899,0.103231,0.104779,0.0554501,-0.00424465,-0.668693,0.0109051,0,0,0,0,0,0,0,0,0,0
7,0.498888,0.0607675,-0.008918,-0.0200673,0.0308756,0.00063498,0.33412,0.143123,0,0,0,0,0,0,0,0,0,0
8,-0.323104,-0.178638,-0.00436777,1.51844,0.0102475,0.00227013,0.149256,-0.149968,0,0,0,0,0,0,0,0,0,0
9,-0.921269,-0.0359736,0.00501896,-0.0909698,-0.0399126,-0.00156926,-0.227715,-0.0113817,0,0,0,0,0,0,0,0,0,0
10,0.141793,0.0491497,-0.0219193,0.0835,-0.00671095,-0.00480691,-0.5588,0.0972358,0,0,0,0,0,0,0,0,0,0
11,2.06192,-0.0383097,0.00977713,-0.189205,0.0284272,0.0023583,0.266338,-0.0353606,0,0,0,0,0,0,0,0,0,0
12,-0.579262,-0.0132378,-0.00368383,0.00471396,-0.00998633,0.000606648,0.126916,-0.00943854,0,0,0,0,0,0,0,0,0,0
13,0.462057,0.0307856,-0.00320242,-0.158651,0.0692488,0.0003588,0.789227,0.0576662,0,0,0,0,0,0,0,0,0,0
14,0.515948,-0.00973509,0.000766222,-0.0678496,-0.00575566,8.42187e-06,0.577668,-0.0294825,0,0,0,0,0,0,0,0,0,0
15,2.00641,-0.0303612,0.00335795,-0.30469,-0.0425128,-0.00667684,-0.579682,0.0357915,0,0,0,0,0,0,0,0,0,0
16,-0.890444,-0.0285153,0.000646464,-0.324516,0.00172226,0.00202318,0.25879,-0.0225349,0,0,0,0,0,0,0,0,0,0
17,1.20233,-0.0136239,-0.00738778,-0.218177,-0.0426279,-0.000527415,0.941685,0.065269,0,0,0,0,0,0,0,0,0,0
18,0.0320341,-0.0627092,0.0172184,-0.0959452,-0.0164445,-0.0021731,-0.32489,-0.110798,0,0,0,0,0,0,0,0,0,0
19,1.48387,0.0824622,-0.0105992,0.098185,0.0662804,0.00598696,-0.201505,-0.0543033,0,0,0,0,0,0,0,0,0,0
20,-0.571728,-0.0082225,-0.0234642,-0.174368,-0.0575489,-0.00165294,0.00427993,-0.0193852,0,0,0,0,0,0,0,0,0,0
21,1.28358,0.0460364,-0.00432391,0.144683,0.0365624,-0.00156575,0.569871,0.0729487,0,0,0,0,0,0,0,0,0,0
22,-0.00391317,0.161576,0.00760291,-0.180276,-0.0483345,0.0101852,-1.05663,-0.150176,0,0,0,0,0,0,0,0,0,0
23,-2.32012,-0.0232125,0.00875148,-0.0916705,0.00519648,0.000514047,-0.0213847,-0.00938989,0,0,0,0,0,0,0,0,0,0
24,-1.58905,-0.0180875,0.010946,-0.00630694,0.00975478,0.00134338,-0.255707,-0.0221461,0,0,0,0,0,0,0,0,0,0
25,1.10467,0.0815271,-0.00869875,0.0771975,0.0615659,0.00520632,-0.033871,-0.104374,0,0,0,0,0,0,0,0,0,0
26,1.44362,-0.0085124,0.00252105,-0.129747,0.0330874,0.00052319,-0.632776,-0.074851,0,0,0,0,0,0,0,0,0,0
27,-4.50853,-0.0118537,0.00652914,-0.000914669,-0.0871049,-0.00033986,0.0721059,-0.0145295,0,0,0,0,0,0,0,0,0,0
28,1.22624,0.0228587,-0.0039686,-0.0705333,0.0430447,-0.00171524,-1.21413,0.333518,0,0,0,0,0,0,0,0,0,0
29,2.76224,-0.0375521,-0.00211822,-0.319484,0.0554058,0.00470097,0.862274,-0.218195,0,0,0,0,0,0,0,0,0,0
30,-0.669222,-0.109474,0.0123464,0.20855,-0.0147009,-0.00137387,1.54898,0.0113218,0,0,0,0,0,0,0,0,0,0
31,1.18876,0.0299943,-0.00497376,0.0361308,0.0189029,-0.00149326,0.414578,0.0670964,0,0,0,0,0,0,0,0,0,0
32,2.29404,0.0329618,-0.0188147,-0.119645,-0.0434114,-0.00216114,-2.1327,-0.221313,0,0,0,0,0,0,0,0,0,0
33,-2.27885,0.0367268,-0.00738648,0.00234505,-0.0373513,0.000194881,0.99698,-0.0390114,0,0,0,0,0,0,0,0,0,0
34,-2.37148,-0.0268746,0.0073684,-0.335961,0.0124602,0.002819,-0.407374,0.0930567,0,0,0,0,0,0,0,0,0,0
35,2.46571,0.0236996,0.00164335,-0.0832025,0.0228658,-0.00204275,1.36057,0.0837822,0,0,0,0,0,0,0,0,0,0
36,2.54096,0.0270568,-0.00502137,0.0166154,-0.0102721,-0.00130697,0.76116,0.0504038,0,0,0,0,0,0,0,0,0,0
37,-0.833306,-0.00277175,0.00360969,-0.133166,0.0148953,0.0030842,0.716431,0.0653337,0,0,0,0,0,0,0,0,0,0
38,-2.38247,-0.0461871,0.00343445,-0.242042,0.0250477,0.00131439,-0.211464,-0.0886773,0,0,0,0,0,0,0,0,0,0
39,3.57429,0.0144935,-0.00849236,-0.185149,0.0179051,0.00222775,-0.0269428,-0.0442019,0,0,0,0,0,0,0,0,0,0
40,4.04148,0.0150004,-0.00652316,-0.141284,-0.047161,0.00972385,-1.07508,-0.127059,0,0,0,0,0,0,0,0,0,0
41,-0.225101,-0.0304146,0.00763722,-0.0214697,-0.0201436,-0.00242314,1.20953,0.0453515,0,0,0,0,0,0,0,0,0,0
42,2.19154,-0.0302027,-0.00187841,-0.233768,-0.00394578,0.00114868,-0.480994,-0.0539247,0,0,0,0,0,0,0,0,0,0
43,1.32893,0.0338177,-0.00668362,-0.0382888,0.0312261,0.000583369,0.723947,-0.090738,0,0,0,0,0,0,0,0,0,0
44,0.901053,0.0979822,-0.016269,0.411521,-0.0106903,-0.00188372,0.958794,-0.227168,0,0,0,0,0,0,0,0,0,0
45,1.42524,0.0269413,-0.00700523,0.0267271,-0.0272346,-0.000997867,-0.0273354,0.0475167,0,0,0,0,0,0,0,0,0,0
46,-1.91851,-0.0168094,0.00420531,0.00783758,0.0283376,-0.000146411,-0.602832,-0.018128,0,0,0,0,0,0,0,0,0,0
