rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24
1,1,1.05805131166864,0.109415344014441,0.0975842389416954,-0.456518785074779,0.0748533924392891,0.0119201223102894,2.45310297197903,0.214879320650544,3.2700266336636,0.181705707126544,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1.06311696368408,0.0895580542576546,-0.0732619045918818,-0.2537422244589,0.106649646671855,0.0123588999239142,2.37342921762972,0.216405374245747,3.44602101707866,0.171911042161248,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1.10156180877837,0.0721062107109663,-0.0419970258008661,-1.69055907128087,0.122609130256603,0.0100916645218123,2.22104354681105,0.232180481767312,3.63221884750035,0.154628507466918,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2.8011286323562,-0.139081400888102,-0.0095516787837947,-0.612265016828362,-0.0489288672016848,0.00705400447824548,-0.0907736723449055,0.0747173788370371,0.705524889979167,-0.00509560992152121,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3.01036040289977,0.0721496255869056,-0.0226295543964358,-0.872927922175866,0.00720614125681429,-0.00093226887348353,-0.0818182026586483,-0.00620681752477076,1.40081049913195,-0.0882868326528955,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2.10684295970312,0.078643964379996,-0.0386979759789153,-0.48507966396834,-0.0184413944825819,0.00337844657943793,-0.266123248111453,0.211777704522192,1.52769744408338,-0.0156767384967567,0,0,0,0,0,0,0,0,0,0,0,0
1,3,-3.23499447402727,0.040322672520737,0.145479824117004,-0.738491808754265,0.011948141597899,-0.00210463098710226,1.21216341420714,0.221954894131655,-1.00582929786626,-0.0673689157838433,0,0,0,0,0,0,0,0,0,0,0,0
2,3,-2.61313433975764,0.00777624331401522,0.0967839992635757,-0.511563030221749,0.0403734866230545,0.00102130537886097,1.98773709092832,0.273990276475439,-1.21193456936983,-0.0118954622559008,0,0,0,0,0,0,0,0,0,0,0,0
3,3,-2.33178754044229,-0.0162561894104366,0.0397241027986994,-0.117932441590502,0.0371495216528652,-0.00299778332749184,1.86256940477471,-0.0111343186226545,-0.992684140261887,0.00432233509654827,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-2.02817918834752,0.0240754606482984,-0.0629874874450074,1.29560968804868,0.0188075275551611,-0.0096221610986422,-1.16294021382309,-0.0732006394435731,-0.283916328665902,-0.12989080105248,0,0,0,0,0,0,0,0,0,0,0,0
2,4,-1.33168418370329,0.092387466259454,-0.0505952217353425,-0.348793977822965,0.00144947977124499,-0.00855935302167124,-1.47532582520429,-0.0129355831549298,-1.74761939799402,-0.0104075214306389,0,0,0,0,0,0,0,0,0,0,0,0
3,4,-2.03701806948486,0.0180125485513948,0.00817432837356433,-0.41117591629023,-0.0235396509506147,-0.00741663238714486,-1.56500876683913,-0.0478709612871763,-0.475492095525377,0.0236533077436859,0,0,0,0,0,0,0,0,0,0,0,0
1,5,-1.15532405830803,0.0410940009724085,0.107189970870462,-0.110579137756565,0.0292827911058229,0.00650043254960444,-1.12259971023258,0.00545005951441208,4.46251950005947,-0.11404728494281,0,0,0,0,0,0,0,0,0,0,0,0
2,5,-2.03672845272401,-0.0351290217812739,0.056819899046734,-2.01687401281324,0.0183732604536662,0.00300068838728693,-0.884891613512905,-0.0593061382445094,3.20426038597237,0.111699932828957,0,0,0,0,0,0,0,0,0,0,0,0
3,5,-0.369319805300441,-0.059476018786688,0.0385779388377534,1.44630467945046,0.0479542830898669,-0.00242535281168777,-0.70591971775645,-0.107123485991647,2.79298025196111,0.00201705726266803,0,0,0,0,0,0,0,0,0,0,0,0
1,6,-0.981477743741178,0.098289429557804,-0.0421278610915469,-2.00885404303307,0.0817501050657734,0.00357021562988299,0.371560487029363,0.0735533762207622,3.440631151668,0.132007885093316,0,0,0,0,0,0,0,0,0,0,0,0
2,6,-0.590665647306523,-0.0573934808615581,0.0532577633590741,0.0885341590872792,0.0974788926116812,0.00637831279411971,0.57325813188654,0.0489877534165728,4.58171985618222,-0.0619475075981512,0,0,0,0,0,0,0,0,0,0,0,0
3,6,-0.838303727834199,-0.155103331942288,-0.0830119282152975,-1.47586823938039,0.0745498891561853,0.00611743680057701,0.49047298101451,0.0146662007465843,4.11328541166187,-0.0153225408252275,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2.08701855774959,0.146809168243617,-0.0454259444204764,0.269694556633071,-0.073751167550383,0.00130982843081798,-1.22851475150172,0.15415697811604,-2.21125655238133,0.0133181949967811,0,0,0,0,0,0,0,0,0,0,0,0
2,7,6.11831788969386,-0.0170617009839671,0.00254888011980414,0.454519793918709,-0.0618054940128632,-0.000916859215451129,0.0339314491186657,0.101290029330542,-1.35300836663333,-0.0234641456896383,0,0,0,0,0,0,0,0,0,0,0,0
3,7,1.62623877561527,0.133005771693838,-0.0194328671434292,0.58628081666898,-0.0415439918000517,-0.000140917108327574,-1.06807983567831,0.138186200222715,-2.0763787077916,-0.0170186309057907,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2.46430241149882,0.147049269968525,-0.0510448892541081,-1.76792959148914,0.0503435400712346,-0.00208927373690611,1.33245592214041,-0.110225619553472,1.05083617797527,-0.0348297888951554,0,0,0,0,0,0,0,0,0,0,0,0
2,8,1.75262595451936,0.0595753033695864,-0.0135386263782453,1.02814881854193,0.0257785473031484,-0.00227015805910046,1.34876604020842,-0.111727464307002,1.0425172413141,-0.0199183605532731,0,0,0,0,0,0,0,0,0,0,0,0
3,8,2.8781847935537,-0.0732769370910308,-0.0219243218461184,-1.6042839435095,0.022435587110877,-0.00108580582849969,1.54721440397109,-0.15475679169259,0.848188522768766,-0.0010934953101331,0,0,0,0,0,0,0,0,0,0,0,0
1,9,3.90076201436263,0.191418417573819,-0.0791916935512038,1.42229405755667,0.013115873220098,0.000357345107149477,-0.37799275662578,0.064937077700422,-0.400148781469529,-0.0944840787993294,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2.62415357418147,0.256883273633719,-0.0601852697037095,1.41126782927802,0.0254259506555456,-0.00402667375691004,0.105230173535332,-0.0122870273014792,-0.272854835721487,-0.0675334253151014,0,0,0,0,0,0,0,0,0,0,0,0
3,9,2.09502967217513,0.277481099757886,-0.0360932804718446,1.09682393979839,0.0295411831603136,-0.000260475799840372,0.0788798543022464,0.0254446320612524,-0.158628071959972,0.0180644677854952,0,0,0,0,0,0,0,0,0,0,0,0
1,10,2.32675386108891,0.0733838868469836,0.167620823645079,-0.213434968492766,0.107773645153003,0.00849910329931634,-1.48131500647256,-0.0191331820385517,2.05849557805089,-0.145708341720117,0,0,0,0,0,0,0,0,0,0,0,0
2,10,0.184693700909632,-0.0366193708115115,0.0439394207746091,0.391230219543402,0.0966245823373182,-0.00375276615615667,-1.01698910622291,0.0980871249282412,1.61667201509078,0.00836852934602029,0,0,0,0,0,0,0,0,0,0,0,0
3,10,1.39787829694,-0.25756238916899,0.0397682105056705,0.850180236927557,0.0375467523934461,0.00281825606503559,-1.55603573558895,0.202438337482878,0.0951901821496488,-0.0389120147554608,0,0,0,0,0,0,0,0,0,0,0,0
1,11,-0.169726300417509,-0.263613637543291,0.129785704578348,-1.82294103691257,-0.0135576195561873,-0.00327762200027268,-1.17775378513398,-0.0663172093630857,-0.668628621894997,-0.132083267293553,0,0,0,0,0,0,0,0,0,0,0,0
2,11,-3.28697410201346,0.046618142988298,0.00517249115713775,0.9523361142956,-0.0510401911403191,-0.000396813397843031,-0.203770881994062,-0.110400860910502,-1.23945788855029,-0.0788261117452302,0,0,0,0,0,0,0,0,0,0,0,0
3,11,-2.55623899008622,0.0981200918756801,-0.0796372824815637,0.0825200416841743,-0.016901690370112,-0.00479193894304691,0.184817145598849,-0.228894986017739,-0.744746388056773,-0.0527342196334668,0,0,0,0,0,0,0,0,0,0,0,0
1,12,-2.47350254042766,-0.0920606619243806,-0.144495146698338,2.10824702018562,0.0652379998758539,0.00366972680578178,-0.921669839071173,-0.0959593906957619,1.35367044087702,0.124339015875828,0,0,0,0,0,0,0,0,0,0,0,0
2,12,-2.44076310596936,0.0771942644630806,-0.0962479226154245,0.705324328511635,0.0586523488445723,0.00263488014229698,-0.735489431168723,-0.0824960654971074,1.70826956632819,0.0799860324427825,0,0,0,0,0,0,0,0,0,0,0,0
3,12,0.528228505188007,-0.014371769516047,0.0837877347198271,-0.458858654702953,0.0533809206623745,0.00451992498778237,-0.587880557316137,-0.170902341749325,1.87795683578615,0.0446741484094186,0,0,0,0,0,0,0,0,0,0,0,0
