rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b06,eta_b16,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha16,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha26,eta_alpha27
1,1,0.391008908804102,-0.119481173644616,0.0692505580584034,-0.227862608417915,-0.0261604731414931,0.00961181681382623,2.18790072996518,0.183775467619714,0.988821242196583,-0.0406403576237423,0.108139840591786,0.055726217147741,21.6516021010557,-9.63435857980402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.843211432920515,-0.0727469805470592,0.0151449180211075,0.836050821526652,0.042331479015032,-0.000160660758626189,1.94142475928635,0.27034332627461,1.38722890227163,-0.0738278012715961,0.317854649803734,-0.0576842651051242,-15.6235990627176,4.01821132489732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1.77764597681619,-0.147772997845742,0.0932592259644793,0.184227160871558,0.0014714911116398,-0.00127766564348236,2.22015269439292,-0.00820508621233501,0.952894627208838,-0.0439949858433463,0.558042984049932,0.046871758027093,22.662594746115,2.96054512852471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,-2.51286832475338,0.0458060691335598,-0.0272460924299246,-0.304874338021275,0.035974274844917,0.0120735582719097,1.15548997413063,0.0711149112568649,1.74393312853083,-0.0679657234855754,-0.284535081110801,-0.0246764865046202,30.6688368679691,-5.71644707590426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,-3.12069788206697,0.068556153055104,0.0333004569320183,0.525493836090006,0.0764668363739736,0.00285480053243051,1.63046700056087,0.0366385087258987,2.66976286428344,0.0417712845391935,-1.0708809511636,0.0594513332860381,13.7666615130728,-3.27485460651393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,-2.4073608755659,-0.0217289803559887,-0.140753691446651,-0.047326108934411,0.0478440437503282,0.000472263161937975,1.00033548627248,0.135075007305821,2.87092854012957,-0.0589808847454893,-0.699871421376844,-0.0134961768383361,51.9467476340572,4.21271332518021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2.60218034835432,-0.0718318400080766,0.0666954027629247,-0.189182921938025,-0.0196504307090342,-0.0072053247803507,-0.860530522691398,0.10765318323305,1.50748379466285,0.244421104458212,-1.50308164732282,0.0429725861194653,-15.8352082761548,2.50457398111093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.41915085368822,-0.114501366951164,0.0249102169498762,-0.023619101780326,-0.0201613998491714,-0.00103665353152486,-0.497714679624003,0.116686380181576,2.09391385044248,0.0757057921766206,-1.02628840651301,-0.0371033280069362,41.1754113317116,-4.87055675836688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0.568563611208741,-0.123555527690898,0.0285375496158998,-0.358779060277968,-0.0436699141044894,-0.000380512951031203,-0.562901295912577,0.0023589117048429,1.69028480976101,-0.157890575418258,-1.43473288864819,0.206298873108621,101.394814324686,0.969574695352675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-0.124593115059556,-0.0430334414989037,0.149631063380122,-0.339277757734338,-0.0351883152355663,-0.00337762791279507,0.150398211222068,0.0806262681534223,-1.33328841923516,0.0529230651672729,1.45902361253913,0.0044686738365752,-126.181433672327,-3.545730001476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,-0.95455489333244,-0.0799017750917089,-0.0360447592806481,0.607415045069032,0.0368377581393373,-0.00291060693127683,-0.334126375894665,0.00386150464950086,0.105564892736791,-0.0304824665787899,2.1930388704126,-0.0331629976788573,-97.193132508135,-4.60476161007459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,-1.7220301506091,-0.0672584925302021,0.00188124634436096,-0.495783774847645,-0.00818701636016961,-0.00172114948942807,0.118057307030569,-0.338892493978442,1.10513964908971,-0.087387639494353,1.50570793611837,0.0655916818691772,-132.862512423945,-1.5242559037373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,-0.61010281651438,-0.0178626975313629,0.0867657255409949,-0.201981524382789,0.0474476609760348,0.000797964099390922,0.572549995981911,-0.0164926592472911,1.69478118798165,0.0222585431262942,0.254492706322885,-0.0295949351877831,-140.912398771753,-3.76198369799314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
