rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b06,eta_b16,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha16,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha26,eta_alpha27
1,1,0.488006953771585,-0.0518195643356303,0.0383007887743152,-0.709362083342054,-0.00470600496503515,0.00326499699187063,0.800265462494331,0.120345980227148,1.86487236002723,0.0623216929006545,0.733648698521185,-0.0103333137693287,-0.0535392782065136,-0.0753663503598613,-32.666568184777,-6.34528225046101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.0880083287169917,-0.05642039265878,0.05251114754127,-0.620357335585406,0.00156633983962262,0.00225611595959621,0.423532430110268,0.136381584734874,1.13326890629255,0.111242696642818,0.284170714134378,0.0363042204479813,0.179436501622434,-0.0844318631119722,-35.5416160591477,-6.17133501814782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,-0.3731589598397,0.05047187959289,0.0361351805844459,-0.284432944996154,0.0287646771982946,0.000662034105572713,0.174102762607927,0.155988355312167,1.24901553431662,0.0773857007645599,0.73704457197564,0.0280779660868541,0.0335551150570454,-0.0815291054923628,-50.9681525415804,-5.64124422462709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1.41397357637599,-0.313057831749516,0.0559405108050233,-0.346165101068543,0.0238298494234632,0.000525042708008324,0.224441199041153,0.193149693364808,0.953412703689035,0.0266321487370595,0.175576847448279,-0.00301638728609056,0.796240890195659,-0.0340269469962619,-169.454804892813,3.18721032487962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1.73860926474683,-0.227631952493149,-0.111756852799601,-0.0299553261177108,0.0120140886772502,-0.00517333894734133,0.69733494495169,-0.0224213040116525,0.266073533799046,-0.0321760288847987,0.557076934811567,0.0813845786339334,1.38427380716176,-0.07406327644042,-189.322642783656,7.07634997688087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1.35351643164078,0.00705907768475872,-0.166566313532141,-0.495749560868853,0.00886813703496081,0.000189769366357029,1.40114055446203,-0.11914131434768,-0.871402309826082,-0.0440101073452609,0.748622455126426,-0.0890924837513807,0.302866776491548,0.000214722456177638,-131.720327317351,0.495707956359407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,-2.74237467221092,0.0468290858111132,-0.0992405672838059,-0.531722383960339,-0.00977762069221288,-0.00673551888280848,-0.286168230608387,-0.0375869882932258,-0.682503239334407,-0.122429544940324,0.837363367923899,-0.0783205662051508,-0.355905241840574,0.181772743856987,-237.094100917201,-0.0213213229641029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,-4.02026826592093,0.0980300476386946,-0.0678040094140936,0.0969109271562858,0.0280675349965183,-0.0102016178932523,0.268037755804098,-0.027264633911874,-0.614616653915437,-0.119318936573075,0.554806437655392,-0.120871981843573,-0.0715356587504328,0.0707857943942744,-229.233999423978,-1.32967830994023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,-3.58595481627033,0.0784086175979021,-0.0420419406275879,0.236419543219428,-0.00657833186777079,-0.0118422363588373,-0.268187461485278,-0.00655117969759392,-0.805576893188976,-0.0543103772650526,0.60836596470431,-0.130312881658169,0.113340966246879,0.0832366090390737,-233.67952047423,-0.599404079366604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-0.793696217744229,0.042682662116952,-0.0351813238661763,-0.352875650097138,-0.0264839769098977,-0.0135931645887524,-0.656779336789398,0.119502752612591,-1.85416339636673,-0.00308119801603591,0.311946481291351,-0.121648710811829,-0.340772350247828,0.0712836307783822,120.383191790013,4.75370318450126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,-2.30022583678014,0.0764376649034757,-0.0356390997028008,-0.327519302071825,-0.036511327990806,-0.00143063594063028,0.0462552379845285,-0.0838486994668817,-1.77325569345297,0.0568681912268647,-0.0952231461207704,0.0161021523632689,-0.331653309297769,0.166798172504804,165.468131862291,-0.651576592499799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,-2.63518949941425,0.129168591103324,-0.0550128664832389,0.134885590021808,-0.0439141274095691,0.00100896023127311,0.183605943265428,0.0489611875721608,-2.41919425073892,0.00585149237643512,0.581598613912367,-0.113073256880568,-0.341986297779596,-0.00813523091036673,146.972097989398,3.12743923858512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,-0.921561394745667,0.159275068783931,-0.123577039582868,0.495489737106479,0.0537165326235334,0.00140744905708651,-0.0536194494796991,0.059544025980322,1.22669921524519,0.0427712537302915,1.79186091818152,0.0898493475226737,-0.0316628722801475,-0.068466128050515,-138.13046124855,-0.611647607939099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,-1.97390596051375,0.210069835466666,0.00191232775728131,-0.107443089409467,0.007749231674266,-0.0026209893467955,0.290818350975767,-0.166247452528727,0.246154338393193,-0.0516968386993413,0.768880471477698,-0.00674407922703643,-0.215220134702312,0.00923796038240174,-133.448598827883,-2.80318854070474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0.907904759206505,0.0572279880513687,-0.0358686679408103,-0.314636413557609,-0.024844768829122,0.00899102745852515,0.661306280623031,0.101059160461272,-0.36297189050658,-0.0140611955409185,0.622713614688511,0.138811316550572,-0.261695129254251,-0.0460948292282522,-139.856245724822,-5.53429659930087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,-2.92027838310664,0.279074984570011,-0.111491536485907,1.39749302726736,-0.0235725746748274,-0.000392483581224044,-0.792220741647941,-0.120575825024234,-0.254680383960272,0.023405163304129,0.410121549831061,-0.115031406299775,0.348730192776454,0.0307018648754954,-118.916200536613,-0.279479825166259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,0.792820557340653,0.221143452957551,-0.12368736748918,0.221702721087214,0.0422759548756755,0.00324256158476108,1.20045098570102,-0.288950077864915,-0.593625752195489,-0.0633679359103746,-0.52373375694351,0.269981105291433,0.887802722224454,0.0664177681565689,-94.9755656116734,-4.00323584197197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,-1.51348885457972,0.0986531291111522,-8.66361660092907e-06,0.202462147981151,-0.0452905116301183,0.000639019592593038,-0.429115877988499,0.109607386586632,-0.278924628980594,0.0776083524603829,-0.379381392251611,-0.0504750865632418,0.272486611593999,0.0296104938722432,-105.594343020347,-4.75096704879971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0.362221446966589,0.123904706464187,-0.0623723000746455,0.245979617632164,0.0452702328543575,-0.00663935255432078,0.590378680770083,0.182687250546835,0.680585612197859,0.00188731072158098,-0.778409044216701,0.0380740355566195,0.0332346738680931,-0.068618875656444,-5.58526752512921,1.72430233117571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,0.941949386702134,0.12923816362841,0.0214862974751053,-0.212387417143802,0.056488204591032,0.00218123838921082,0.36746503682927,0.206149413324383,0.178558038336592,-0.0321654868062306,-0.95470959101868,-0.0648738729337968,-0.437421917089856,-0.136280629734281,-0.548079625715445,1.71026327148239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,2.5904631629251,-0.0747817274526041,-0.0536074484305513,-0.558660524285621,0.00843613180913838,0.00494083964939268,-0.388890696647577,0.0347347153909103,1.17518602435165,-0.0244755496540049,-0.318137500649224,0.0111729204174234,-0.287559685547091,0.068516039143321,16.9631077265369,1.87230550919687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,1.71431705905309,-0.206582807021192,-0.008510701725989,0.193022521436578,0.0216863545284705,-0.00206092052911391,0.073641483622473,0.0273568488548754,1.03594874766279,0.00750003212533022,-0.262688713267228,-0.0368498102084296,0.353255298007036,0.0807994553155773,67.239638095196,-4.25689491932408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,-1.74023972539073,0.225798321654549,-0.0289922589849316,-0.613154179785722,-0.00562902574624147,0.00285253184342933,0.167803792391089,-0.0804665623487451,1.45369431638348,-0.111743738158536,-0.833634214186803,0.0700143413806863,0.517837575012273,0.0417456456122296,24.5575598452386,1.36422898566155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8,-2.17803198097238,0.156517603786714,-0.0560823684818397,0.021522591799269,0.0402302487382205,-0.00439588892285938,0.47878692620966,-0.0572367803908487,1.01776036418576,-0.029220938608537,-0.699986939392271,0.0314468767185316,0.793492142454752,0.0465334260401569,91.9453820127564,-6.21438484940567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,4.61410657553586,0.0360122549500102,0.00330200344200518,-0.103226979912026,-0.0414037522589084,0.00567235316817546,1.02069979283378,0.0981030174895193,-0.532809036295376,0.126852924569678,1.17662201968019,0.172316260514145,-0.0103579445266657,-0.0989019475968588,-96.4279324100929,0.424362264365838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9,2.70379903815975,0.041074205538951,-0.0224797647621349,1.14802036935081,-0.0245806531703572,-0.00535203997735151,0.858686979840864,-0.0242600809718591,-0.48960488735717,-0.0549589750559987,0.603035117519249,0.134898374228822,0.0904842727949866,0.00783892429203928,-77.930581621018,-0.29317412430714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,4.64565064490658,0.203103754911005,-0.0109969484465592,-0.0700110869034529,0.020128429431554,0.005631874603253,0.198873167475263,-0.0659624589847109,-0.400578897001444,0.123413143349934,0.892256630127656,0.225517522052426,0.532881522595749,-0.024868039331981,-87.0461029385714,-10.2218821485004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,1.17605570058152,0.12118813924663,0.153521939191801,1.05128215677983,-0.0184811140625545,-0.0108581884501521,-0.79920518369312,-0.255931633287614,0.127313054969798,-0.0335938614704452,-1.37614443829341,0.0638309989731398,-0.480408611426778,0.0279666600899042,-240.143407675979,-1.33445052057127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,-0.899993796817317,0.000633499440242935,-0.0578865619424685,-1.22710670700849,0.000684954965956663,0.00145674193348324,-1.10324632356138,-0.16719944301594,0.220121505974689,0.0301981780545151,-1.53491037279093,-0.134249947145793,-0.518769533276815,-0.142861275551384,-241.184931351471,-1.80440806010523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,10,1.86934268745498,-0.0353668931957815,0.0030929872426165,0.381052995321442,0.030975133318881,0.00872473017695161,-1.97173154676473,-0.137780680362232,0.692323220441645,0.0678698208215287,-1.54400478215686,-0.0603299154042363,-0.481494510802889,0.0910800568539548,-236.245900313923,-6.6821649035837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,1.18353685819459,-0.015436653428915,0.190530688501171,-0.0998915923784129,0.0299957191284781,-0.00581655164386575,-0.729832798828449,0.298896958156788,0.571487374068575,-0.0386795291309635,-0.096767947386315,0.129383341150842,-0.126096739598934,-0.0328146087791893,102.756257273397,-3.17862465858634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
