rep,id,b01,b11,b21,a1,p1,g1,p2,g2,alpha11,alpha21,eta_b01,eta_b11,eta_b21,eta_a1,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha21
1,1,5.52242597476638,-0.0321477829974372,-0.151071783630998,1.83007992680817,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,0.81317784568173,0.0885411991269734,0.0110159261428898,-0.606936763262309,0,0,0,0,0,0
2,1,5.83485254445428,-0.150080384305936,-0.140151862686986,0.656140791086043,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.12560441536963,-0.0293914021815249,0.0219358470869021,-1.63267629752109,0,0,0,0,0,0
3,1,6.30935132728526,-0.0645944723486574,-0.192206947408847,11.210482894228,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.6001031982006,0.0560945097757532,-0.0301192376349587,1.20555290823732,0,0,0,0,0,0
1,2,1.31077103472094,-0.0176112094862476,-0.221825203025243,3.15424191006222,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-3.39847709436371,0.103077772638163,-0.0597374932513544,-0.062548219964716,0,0,0,0,0,0
2,2,3.40600525561285,-0.207148458300525,-0.0210204150036393,0.568183325876274,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.3032428734718,-0.086459476176114,0.141067294770249,-1.77660756052467,0,0,0,0,0,0
3,2,2.2351489980847,-0.0491308655203556,-0.107935977099202,5.99811998067327,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-2.47409913099995,0.071558116604055,0.054151732674686,0.580149678560111,0,0,0,0,0,0
1,3,3.70427645063151,-0.262075554631437,-0.175746513234748,4.13488495437044,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.00497167845315,-0.141386572507026,-0.0136588034608597,0.208163100673927,0,0,0,0,0,0
2,3,4.11179980774587,-0.218168376749252,-0.0805039706025389,3.25713845231069,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-0.597448321338785,-0.0974793946248415,0.0815837391713493,-0.030447370469918,0,0,0,0,0,0
3,3,3.15059393911719,-0.2292575019285,-0.163494180710667,2.19356108131601,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.55865418996746,-0.108568519804089,-0.00140647093677893,-0.425770117268585,0,0,0,0,0,0
1,4,4.58380595051715,-0.1599804383537,-0.0281869811192332,2.21957266032517,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-0.1254421785675,-0.0392914562292893,0.133900728654655,-0.413981723007777,0,0,0,0,0,0
2,4,4.69471832666208,-0.187640734961445,-0.115691781993339,0.42165650281438,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-0.0145298024225715,-0.0669517528370345,0.0463959277805493,-2.07486067578998,0,0,0,0,0,0
3,4,4.50796870646124,-0.195578235270629,-0.159435089841967,3.16680474490127,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-0.201279422623414,-0.074889253146218,0.00265261993192156,-0.0585732923725284,0,0,0,0,0,0
1,5,7.97287234265444,0.0366450227493893,-0.128629867031304,0.799116434069935,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,3.26362421356979,0.1573340048738,0.0334578427425841,-1.43554502410267,0,0,0,0,0,0
2,5,6.88609108450151,-0.0278515966308706,-0.0782310467038534,3.87078820138828,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,2.17684295541685,0.09283738549354,0.0838566630700348,0.142161750899892,0,0,0,0,0,0
3,5,6.36028978683909,-0.0467808744343512,-0.289241910639765,2.49430406010303,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.65104165775444,0.0739081076900595,-0.127154200865877,-0.29728664854557,0,0,0,0,0,0
