id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha21_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha21_mean,b01_mode,b11_mode,b21_mode,a1_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha21_mode,b01_sd,b11_sd,b21_sd,a1_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha21_sd
1,5.75858,-0.125036,-0.149248,4.49145,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.71632,-0.138367,-0.171737,4.67878,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,5.37042,-0.136993,-0.149002,3.2757,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.943398,0.103132,0.0869772,6.18123,0,0,0,0,0,0
2,2.93747,-0.118184,-0.175077,3.12855,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,2.92039,-0.106246,-0.170075,3.22564,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.98877,-0.0605297,-0.1556,4.78956,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.678442,0.0842005,0.0737116,2.55336,0,0,0,0,0,0
3,3.35461,-0.174215,-0.14597,3.63598,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,3.42805,-0.163565,-0.140609,4.3038,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,3.63134,-0.17999,-0.117877,5.49375,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.69908,0.096643,0.072734,6.25641,0,0,0,0,0,0
4,4.43677,-0.16292,-0.138092,5.18305,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,4.43957,-0.170021,-0.139853,4.85991,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.45799,-0.182441,-0.0867445,8.68956,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.838188,0.0994097,0.0781973,5.59343,0,0,0,0,0,0
5,6.98388,-0.138575,-0.159325,7.42284,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,6.97211,-0.153602,-0.165455,6.15077,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,6.6182,-0.124192,-0.159572,3.30849,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.05541,0.089496,0.0863499,10.0883,0,0,0,0,0,0
6,5.87628,-0.131767,-0.169822,3.32047,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.7926,-0.132289,-0.170188,3.56825,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,5.89421,-0.129742,-0.146907,3.25441,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.676949,0.0918135,0.0682542,3.71802,0,0,0,0,0,0
7,5.29016,-0.130365,-0.156818,4.31957,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.40502,-0.137204,-0.146209,3.917,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,5.0661,-0.140989,-0.146786,3.30978,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.97815,0.0879314,0.0788212,4.71695,0,0,0,0,0,0
8,6.12369,-0.0744162,-0.176219,3.7438,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.89063,-0.0625767,-0.149027,6.77831,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.74146,-0.00539515,-0.159826,3.9295,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.32175,0.0781827,0.062796,8.2859,0,0,0,0,0,0
9,3.80157,-0.11669,-0.175907,4.0405,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,3.66903,-0.119949,-0.168515,5.95599,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,3.22985,-0.0995394,-0.177388,4.09377,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.894879,0.0830436,0.0893041,8.70147,0,0,0,0,0,0
10,5.62717,-0.124739,-0.167467,4.28145,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,5.54825,-0.120192,-0.175681,4.80457,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,5.22326,-0.117602,-0.164539,3.41979,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.06958,0.0862013,0.0852311,7.44024,0,0,0,0,0,0
11,6.77285,-0.123351,-0.170709,3.76421,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,6.84891,-0.144012,-0.174462,3.4534,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,6.54138,-0.119778,-0.16749,3.44166,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.830628,0.0811562,0.0738284,3.32822,0,0,0,0,0,0
12,3.78902,-0.126004,-0.155812,6.47134,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,3.66305,-0.133823,-0.158756,6.00653,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,3.09671,-0.125707,-0.158447,3.29221,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.0493,0.0992853,0.0875792,12.0966,0,0,0,0,0,0
13,6.50534,0.0374151,-0.193203,9.11949,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,6.84194,0.0364029,-0.183349,9.3706,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,6.01791,0.0290472,-0.166169,10.2264,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.993572,0.0137174,0.0849659,4.23963,0,0,0,0,0,0
14,3.94472,0.0244157,-0.166393,9.99883,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,3.75599,0.0360915,-0.181908,8.25632,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,3.05716,0.0125153,-0.17173,9.63008,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.2663,0.0432175,0.0760511,4.08504,0,0,0,0,0,0
15,4.74398,-0.091359,-0.188,13.2211,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,4.82019,-0.0834712,-0.16416,9.97629,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,4.27535,-0.106167,-0.169197,3.67335,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.22439,0.102058,0.0806309,21.4798,0,0,0,0,0,0
16,6.52446,-0.126776,-0.161031,5.58565,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,6.39581,-0.121932,-0.14963,5.47273,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,6.05911,-0.122376,-0.160955,3.33271,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.04753,0.0943755,0.0900933,6.73847,0,0,0,0,0,0
17,6.09721,-0.147729,-0.17335,3.73188,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,6.03202,-0.144102,-0.170587,4.30293,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,6.01955,-0.132838,-0.145805,3.26845,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.59174,0.0849725,0.0668139,5.74372,0,0,0,0,0,0
18,3.40234,-0.165761,-0.126191,5.45362,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,3.33747,-0.159594,-0.111256,4.92842,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,3.18306,-0.190971,-0.0919804,8.96212,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.903275,0.0867007,0.0875209,5.17543,0,0,0,0,0,0
19,7.67636,-0.0993192,-0.168121,5.63074,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,7.75529,-0.104536,-0.170962,4.84995,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,7.50447,-0.108643,-0.16786,3.60066,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.02613,0.0982542,0.0740204,4.73827,0,0,0,0,0,0
20,2.5353,-0.131681,-0.164689,4.79476,0.132297,0.14412,0.78309,0.0815214,0.0975698,-0.0971684,2.42616,-0.126822,-0.152841,4.5953,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,1.76138,-0.125419,-0.158646,3.29493,0.13204,0.144577,0.78326,0.0815014,0.098268,-0.0972145,0.986753,0.0895965,0.0821811,5.42191,0,0,0,0,0,0
