rep,id,b01,b11,b21,a1,b02,b12,b03,b13,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha21,alpha22,alpha23
1,1,5.80143630159546,-0.260424776630026,-0.141595665643303,18.5500656587914,7.36741094610036,0.00300406232040055,3.86928861598407,-0.124162324613675,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
2,1,6.76250229899824,-0.263798222587922,-0.0706395157956252,9.09741792184783,7.3175685596198,0.00486503601272198,3.40886895604091,-0.109288929544862,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
3,1,5.73399496799034,-0.200360408458297,-0.13867041030812,20.5927930729112,7.34625237472045,0.00339950741707699,3.63100561469229,-0.0931244478845512,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
4,1,5.26995585254027,-0.240987714980783,-0.109263710107964,6.94457339616006,7.32328597994399,0.00486919849815071,3.71170580584237,-0.106912799573602,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
5,1,6.7812900608853,-0.307745334025568,-0.095877629427712,11.7528352454157,7.31735020818885,0.00443081634909552,3.68410507070697,-0.115080126558644,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
1,2,3.66921461424472,-0.207448474146744,-0.11333491498298,3.29686631211747,7.43679936797174,-0.000377757324209319,3.09552041640556,-0.0774926798918826,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
2,2,3.91759633181393,-0.154051008080408,-0.0847735960209508,3.50299453587033,7.45197455444696,-0.000495840030006949,3.67302861237475,-0.117825506966794,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
3,2,4.11744389002626,-0.170325491304605,-0.11785805560853,8.7851376699641,7.42602966944706,0.000161507187634261,2.8099738240055,-0.0828539291832689,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
4,2,3.87583326688519,-0.204203550851374,-0.0683472454311655,3.60596831467116,7.46493754423655,-0.000982095654608223,3.04268925840988,-0.0999855791367172,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
5,2,4.03751404798559,-0.10639390780623,-0.0559592044334079,5.007828411854,7.45668615313691,-0.00106448104277665,3.02109531390507,-0.0884648503036789,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
1,3,3.34870516603571,-0.202942260663685,-0.0855226079231493,3.89034735737868,7.34342925394858,9.16447274021881e-05,4.36801653026945,-0.290690857879486,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
2,3,1.78082207134348,0.00261772696481695,-0.0464424094932482,3.44776399627043,7.3581001544055,0.00204798628169962,4.16378861296807,-0.0428031424191758,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
3,3,3.02376788706405,-0.0731397166545285,-0.0697783432374884,0.980351225753023,7.33947061198381,-0.00266892566803818,4.50528484472482,-0.159935200334128,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
4,3,2.80949242899206,-0.23262498775156,-0.178330904295531,2.94777107561502,7.3698132870454,0.000182762496393943,3.87856856624105,-0.0516750097092517,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
5,3,2.42065687017351,-0.0874607407535469,-0.139576678586875,8.33205387212536,7.39299430806844,0.00176101255540038,4.50692603992448,-0.384469882308243,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
1,4,5.54718469323394,-0.019760997234548,-0.191875722785566,8.82585367861796,7.36885737726283,0.0034518868497487,4.24523998769042,-0.259961178934936,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
2,4,4.9324053145108,-0.125621939794727,-0.103881642492344,3.41834160368792,7.38005885239762,-0.00103594894950954,4.91870540226389,-0.269074778862857,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
3,4,6.81693481459477,-0.0837885348991611,-0.0819386674677332,4.90064730472833,7.4202101908859,-0.00127443925166714,4.2566602782029,-0.285434624432661,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
4,4,3.46908035068521,-0.279870138593428,-0.109743422434094,7.82963066698176,7.4430883113862,-0.00138392858548179,3.70813767238155,-0.00227759211230796,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
5,4,3.46435115843207,-0.0577212401330323,-0.118447582643787,3.40732818329628,7.34572441328594,0.00331330274264408,3.54007149804002,0.0568283234539575,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
1,5,7.14072765481644,-0.191315504976354,-0.142602834444898,5.34585361213257,7.36814792710529,0.00577018695815982,4.53102108763518,-0.10810387858337,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
2,5,7.82856616616153,-0.141643968509354,-0.124945785778258,4.34259640638138,7.4226671238338,0.00682108289534326,4.28985971604336,0.085498007306026,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
3,5,6.50679100739046,-0.197080396423225,-0.159407027527412,5.02235439805172,7.398691768905,0.00615991463772779,4.08794556203163,0.0218415498510864,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
4,5,6.81463714339736,-0.0520202525236221,-0.142480879248348,5.60710306018032,7.43465943107497,0.00892216197999805,4.94033577332416,-0.174283595308296,0.00560186815621756,0.15939640288208,0.71405476222873,0.114439046769537,0.334096023098178,-0.00731693364531432,1.44125496462817,7.83462744421402e-10,5.26102608196989,2.8132356321619e-09
