id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha21_SAEM,alpha22_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha21_mean,alpha22_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha21_mode,alpha22_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha21_sd,alpha22_sd
1,5.64241,-0.142537,-0.162196,5.17418,7.37115,-0.00111081,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,5.65029,-0.161097,-0.158301,4.82213,7.36764,-0.000702781,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,5.3341,-0.157089,-0.152366,4.05058,7.36907,-0.000335921,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.9992,0.0997142,0.0842232,4.45987,0.0255306,0.00566663,0,0,0,0,0,0,0,0
2,3.00806,-0.126931,-0.182597,4.40889,7.44555,0.000203651,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,2.96256,-0.123796,-0.172142,3.62311,7.44232,0.000459265,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.98833,-0.0623488,-0.158234,4.87782,7.44174,0.000416147,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.689305,0.0938231,0.0724026,4.31333,0.0193086,0.00152921,0,0,0,0,0,0,0,0
3,3.43035,-0.182573,-0.140849,3.98383,7.36336,0.00807093,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,3.43683,-0.192454,-0.147456,4.44985,7.3576,0.00832536,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,3.61172,-0.188674,-0.123262,5.42556,7.36439,0.00788359,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.488336,0.0784009,0.0569018,4.2858,0.0205577,0.00152328,0,0,0,0,0,0,0,0
4,4.42005,-0.176669,-0.139105,5.88552,7.38844,0.000426741,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,4.45594,-0.151651,-0.134347,5.20442,7.39457,0.000576953,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,4.39281,-0.195285,-0.0900515,7.59182,7.39017,0.000180777,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.923467,0.100003,0.0921064,4.87487,0.0238971,0.00503445,0,0,0,0,0,0,0,0
5,6.89198,-0.151615,-0.165069,6.32818,7.35176,0.00482201,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,6.70765,-0.159903,-0.165129,6.18712,7.34621,0.00455843,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,6.5872,-0.137349,-0.167444,3.97523,7.34792,0.0040812,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.01906,0.104145,0.0848507,8.59269,0.031507,0.00519887,0,0,0,0,0,0,0,0
6,6.15433,-0.179013,-0.165855,4.10408,7.46746,0.00496251,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,5.94155,-0.166144,-0.186519,4.17519,7.46763,0.0049757,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,5.96859,-0.152958,-0.154726,4.00625,7.46674,0.00501653,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.692327,0.101722,0.0822927,5.02211,0.017444,0.00106736,0,0,0,0,0,0,0,0
7,5.46934,-0.151346,-0.159781,4.66044,7.38536,0.00218726,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,5.45971,-0.155714,-0.156073,4.57298,7.38564,0.00191576,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,5.09128,-0.154835,-0.153956,4.02262,7.38454,0.00223818,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.14196,0.0898073,0.0949078,3.53158,0.0209522,0.00404951,0,0,0,0,0,0,0,0
8,6.13145,-0.0772398,-0.175632,4.15605,7.40908,0.00679278,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,6.19291,-0.0680717,-0.167361,4.18452,7.41602,0.00625101,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,4.66704,-0.00656191,-0.166268,4.10164,7.40919,0.00674099,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.284,0.0856122,0.085084,2.48278,0.0190384,0.00136101,0,0,0,0,0,0,0,0
9,3.80067,-0.119894,-0.18138,3.90897,7.39996,0.0049791,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,3.72162,-0.117617,-0.170452,3.7953,7.39754,0.00564915,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,3.20068,-0.109131,-0.186809,4.54078,7.39779,0.00525612,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.766157,0.0815139,0.0821551,2.69395,0.0221729,0.00479193,0,0,0,0,0,0,0,0
10,5.56991,-0.127148,-0.176745,4.78216,7.42042,0.00293731,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,5.57896,-0.13522,-0.167066,5.1661,7.41797,0.00452464,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,5.21084,-0.12805,-0.173977,4.07154,7.41884,0.0035025,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.04207,0.0930983,0.0793704,4.72258,0.0244592,0.00582037,0,0,0,0,0,0,0,0
