id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_b01_mean,eta_b11_mean,eta_b21_mean,eta_a1_mean,eta_b02_mean,eta_b12_mean,eta_b03_mean,eta_b13_mean,eta_p1_mean,eta_g1_mean,eta_p2_mean,eta_g2_mean,eta_alpha11_mean,eta_alpha12_mean,eta_alpha13_mean,eta_alpha21_mean,eta_alpha22_mean,eta_alpha23_mean,eta_b01_mode,eta_b11_mode,eta_b21_mode,eta_a1_mode,eta_b02_mode,eta_b12_mode,eta_b03_mode,eta_b13_mode,eta_p1_mode,eta_g1_mode,eta_p2_mode,eta_g2_mode,eta_alpha11_mode,eta_alpha12_mode,eta_alpha13_mode,eta_alpha21_mode,eta_alpha22_mode,eta_alpha23_mode,eta_b01_sd,eta_b11_sd,eta_b21_sd,eta_a1_sd,eta_b02_sd,eta_b12_sd,eta_b03_sd,eta_b13_sd,eta_p1_sd,eta_g1_sd,eta_p2_sd,eta_g2_sd,eta_alpha11_sd,eta_alpha12_sd,eta_alpha13_sd,eta_alpha21_sd,eta_alpha22_sd,eta_alpha23_sd
1,0.828782,-0.12117,0.0179967,0.723682,-0.0703614,0.00211553,-0.351079,0.0460144,0,0,0,0,0,0,0,0,0,0,1.22948,-0.125568,0.0191104,0.9142,-0.0679356,0.00187124,-0.413001,0.0482365,0,0,0,0,0,0,0,0,0,0,1.24057,-0.115543,0.0103066,1.17779,-0.0661151,0.0018498,-0.392,0.0474845,0,0,0,0,0,0,0,0,0,0,0.781042,0.0570538,0.0394769,0.536808,0.014128,0.000835476,0.301374,0.0185102,0,0,0,0,0,0,0,0,0,0
2,-0.798153,-0.062473,0.0140508,-0.0373234,0.0607431,-0.00384085,-1.1012,0.0614599,0,0,0,0,0,0,0,0,0,0,-0.891108,-0.0512252,0.0183716,-0.309491,0.0536978,-0.00346765,-1.16993,0.0642793,0,0,0,0,0,0,0,0,0,0,-0.693321,-0.0148835,0.0448855,0.297318,0.060428,-0.00386085,-1.16791,0.0649521,0,0,0,0,0,0,0,0,0,0,0.377551,0.0686232,0.0492105,0.879479,0.0147282,0.000896357,0.320921,0.0181351,0,0,0,0,0,0,0,0,0,0
3,-1.82033,-0.0452717,0.0133419,-0.346022,-0.0363673,-0.00112029,0.187128,-0.10285,0,0,0,0,0,0,0,0,0,0,-1.89516,-0.039547,0.00593376,-0.250243,-0.0362978,-0.00115066,0.180882,-0.0970704,0,0,0,0,0,0,0,0,0,0,-2.06858,-0.0382363,0.0175477,0.203953,-0.0363199,-0.00107742,0.166892,-0.0977932,0,0,0,0,0,0,0,0,0,0,0.745633,0.0800574,0.0526171,0.886494,0.0218923,0.00521815,0.422834,0.125676,0,0,0,0,0,0,0,0,0,0
4,0.290922,-0.0131353,0.00380231,0.0496782,-0.021296,0.000687449,-0.0433216,-0.0319011,0,0,0,0,0,0,0,0,0,0,0.377008,-0.00188511,0.00625069,0.00752619,-0.0223575,3.10651e-05,-0.0599432,-0.0155642,0,0,0,0,0,0,0,0,0,0,-0.0962036,-0.00526182,0.00184042,-0.0011971,-0.0226964,7.4919e-05,-0.0366165,-0.0148297,0,0,0,0,0,0,0,0,0,0,1.09219,0.0908533,0.0599359,0.942798,0.0320642,0.00543639,0.581704,0.13604,0,0,0,0,0,0,0,0,0,0
5,1.73245,-0.0159215,-0.000411157,-0.292059,-0.00598881,0.000730383,0.325985,0.0943185,0,0,0,0,0,0,0,0,0,0,1.73311,-0.00123895,0.00205555,-0.201038,-0.00315067,-0.000539347,0.311564,0.087298,0,0,0,0,0,0,0,0,0,0,1.40653,0.000488803,-0.000183747,0.000509557,-0.00755758,0.000355763,0.313697,0.095394,0,0,0,0,0,0,0,0,0,0,0.95923,0.0842568,0.0578749,0.939071,0.0230807,0.00461541,0.431791,0.115704,0,0,0,0,0,0,0,0,0,0
6,1.57749,0.0312858,-0.00599159,-0.0745708,0.0332633,0.00106602,2.05423,0.133596,0,0,0,0,0,0,0,0,0,0,1.47754,0.0274714,-0.0162869,0.0299012,0.0300172,-4.46041e-05,2.1256,0.113355,0,0,0,0,0,0,0,0,0,0,1.22129,0.0365007,-0.0105161,0.186451,0.0305377,0.00070874,2.12771,0.110489,0,0,0,0,0,0,0,0,0,0,0.967706,0.0899915,0.057305,0.877693,0.0260418,0.00510152,0.421048,0.137934,0,0,0,0,0,0,0,0,0,0
7,-1.16995,-0.0266322,0.00690633,0.61961,-0.0130929,9.0289e-05,-0.884148,0.0251905,0,0,0,0,0,0,0,0,0,0,-1.59462,-0.00209333,-0.00647937,0.310865,-0.0136188,-0.00056221,-0.862796,0.0250363,0,0,0,0,0,0,0,0,0,0,0.151585,-0.0885362,0.0397747,1.19531,-0.0146925,-0.00037696,-0.891447,0.0320891,0,0,0,0,0,0,0,0,0,0,3.14741,0.109427,0.0578694,0.974885,0.0242839,0.005648,0.469298,0.142856,0,0,0,0,0,0,0,0,0,0
8,2.49199,-0.032069,0.0137466,-0.148839,0.0270144,0.0018575,-0.0759243,-0.0307169,0,0,0,0,0,0,0,0,0,0,2.56392,-0.0200338,0.0115589,-0.217792,0.0264628,0.0015185,-0.128458,-0.0107178,0,0,0,0,0,0,0,0,0,0,2.22774,-0.0303522,0.0112055,0.1003,0.0263792,0.00177584,-0.0843352,-0.0224702,0,0,0,0,0,0,0,0,0,0,0.87109,0.0825557,0.0549467,0.881254,0.0220608,0.00486003,0.380446,0.120163,0,0,0,0,0,0,0,0,0,0
9,-0.890646,-0.00634614,0.000809307,-0.402948,0.0194748,-0.00110311,0.16123,-0.0467983,0,0,0,0,0,0,0,0,0,0,-0.740628,-0.0208816,0.000705566,-0.36226,0.0249488,-0.000867716,0.140451,-0.057712,0,0,0,0,0,0,0,0,0,0,-1.09634,-0.00913306,0.00362551,0.00329187,0.0202313,-0.00109851,0.134666,-0.05376,0,0,0,0,0,0,0,0,0,0,0.781502,0.0898812,0.054756,0.739432,0.0220211,0.00442565,0.448431,0.107165,0,0,0,0,0,0,0,0,0,0
10,1.52764,-0.0866834,0.0455244,0.391979,0.00491972,-0.0020678,0.909273,-0.0622102,0,0,0,0,0,0,0,0,0,0,1.21844,-0.0923892,0.0331049,0.289279,0.00822866,-0.00239712,0.801957,-0.0497245,0,0,0,0,0,0,0,0,0,0,1.5784,-0.0643897,0.0401583,0.852796,0.00935383,-0.00251504,0.811924,-0.051152,0,0,0,0,0,0,0,0,0,0,0.80833,0.0650671,0.0498513,0.75425,0.0205136,0.00225011,0.36529,0.0405971,0,0,0,0,0,0,0,0,0,0
