id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,b03_mean,b13_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha13_mean,alpha21_mean,alpha22_mean,alpha23_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,b03_mode,b13_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha13_mode,alpha21_mode,alpha22_mode,alpha23_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,b03_sd,b13_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha13_sd,alpha21_sd,alpha22_sd,alpha23_sd
1,5.84122,-0.117957,-0.142118,5.14487,7.37004,-0.000126163,4.20639,-0.113611,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,5.73197,-0.115615,-0.151753,5.60525,7.37117,0.000268707,4.24072,-0.1023,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,5.39635,-0.132772,-0.142712,3.5164,7.37238,9.81895e-05,4.23623,-0.10262,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.933444,0.101011,0.0738869,6.34392,0.0254741,0.00542679,0.418527,0.13472,0,0,0,0,0,0,0,0,0,0
2,2.76236,-0.0877443,-0.162858,5.00311,7.44083,0.000576814,3.74487,-0.129014,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,2.96508,-0.111421,-0.16621,3.54544,7.44558,8.90873e-05,3.69574,-0.123249,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,1.99581,-0.0630897,-0.149258,5.19464,7.44218,0.000367078,3.71811,-0.124425,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.67055,0.0780487,0.0589036,3.44552,0.0222816,0.00148966,0.376908,0.0292113,0,0,0,0,0,0,0,0,0,0
3,3.3471,-0.160034,-0.136968,4.11423,7.3639,0.00787542,4.64893,-0.3531,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,3.33651,-0.186311,-0.14052,4.05169,7.36055,0.00815262,4.76285,-0.365187,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,3.6572,-0.176997,-0.118207,5.96943,7.36465,0.00781872,4.66423,-0.35591,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.396841,0.087142,0.0563858,4.10257,0.017888,0.00151181,0.302627,0.0252262,0,0,0,0,0,0,0,0,0,0
4,4.34545,-0.140458,-0.129946,5.12706,7.39067,0.00156037,4.13321,-0.0553638,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,4.31011,-0.162721,-0.124529,5.48697,7.39375,0.000856159,4.15682,-0.073814,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,4.45715,-0.179132,-0.0915992,9.41261,7.39237,0.000969432,4.13976,-0.0601555,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.678398,0.0842205,0.0655777,5.30137,0.0253155,0.0052455,0.38466,0.120163,0,0,0,0,0,0,0,0,0,0
5,6.89143,-0.125201,-0.136428,7.39412,7.34216,0.00300121,3.23947,-0.155799,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,6.79038,-0.126197,-0.161152,6.7565,7.34781,0.00207111,3.28805,-0.187966,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,6.58538,-0.122274,-0.149633,3.54001,7.34412,0.00344368,3.21008,-0.150986,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.953738,0.0894973,0.0722867,9.26394,0.0293242,0.00521986,0.470019,0.145692,0,0,0,0,0,0,0,0,0,0
6,5.91566,-0.129534,-0.154876,3.44983,7.46867,0.00486086,6.02572,-0.180429,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,5.86595,-0.140748,-0.154359,2.64467,7.46806,0.00490856,5.90857,-0.173834,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,5.86729,-0.122454,-0.140884,3.48595,7.46776,0.00497277,5.9937,-0.179538,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.584455,0.0975288,0.0562454,2.76518,0.0199543,0.00134881,0.313986,0.0194101,0,0,0,0,0,0,0,0,0,0
7,5.54353,-0.145583,-0.149509,4.49269,7.38694,0.00177242,3.81926,-0.182192,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,5.47015,-0.125643,-0.136144,4.15546,7.37933,0.00284105,3.7613,-0.173493,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,5.08507,-0.138759,-0.139004,3.58485,7.38469,0.00195777,3.80822,-0.177595,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,1.01379,0.0805358,0.0666772,4.44924,0.0242999,0.00413384,0.423186,0.107468,0,0,0,0,0,0,0,0,0,0
8,6.57551,-0.0837203,-0.173275,3.56876,7.41276,0.00663709,4.85098,-0.141698,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,6.26368,-0.0716131,-0.15358,4.21547,7.41068,0.00662337,4.66499,-0.126795,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,4.74873,-0.00863842,-0.148103,4.25146,7.40978,0.00670555,4.7816,-0.135742,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,1.3974,0.0870896,0.0611164,3.77546,0.0202632,0.00127715,0.286709,0.0200625,0,0,0,0,0,0,0,0,0,0
9,3.77515,-0.113265,-0.157674,4.38573,7.3975,0.00504988,5.20972,-0.175257,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,3.56552,-0.110604,-0.169542,5.05853,7.39755,0.00510783,5.27481,-0.184287,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,3.25579,-0.0973369,-0.164395,4.37134,7.39794,0.00508824,5.22829,-0.160242,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.762975,0.0823779,0.074233,7.71905,0.0211197,0.00514427,0.457964,0.128188,0,0,0,0,0,0,0,0,0,0
10,5.51337,-0.120485,-0.16115,4.94988,7.41886,0.00389578,5.27532,-0.128387,0.0221799,0.132566,0.760365,0.123776,0.175535,-12.5986,0.715406,-0.101386,3.84499,-0.2044,5.53783,-0.130273,-0.162557,4.84135,7.41806,0.00396252,5.26525,-0.105075,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,5.21594,-0.115588,-0.153799,3.65069,7.41877,0.00338696,5.29663,-0.108818,0.0221388,0.132517,0.760258,0.123917,0.172101,-12.5495,0.719551,-0.101889,3.87151,-0.204505,0.897539,0.0883614,0.0746098,4.98598,0.0254732,0.0054287,0.449587,0.134787,0,0,0,0,0,0,0,0,0,0
