rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha21,eta_alpha22,eta_alpha23
1,1,1.63106023705039,-0.0910635935335935,-0.0217609173131857,2.09319606969691,-0.0904030355556061,0.00323774937065637,-0.0105407455324486,-0.00962034944766736,0,0,0,0,0,0,0,0,0,0
2,1,1.115229390907,-0.0633222350816984,0.0118964549402017,1.05867938619039,-0.091497370572821,0.00331282840961577,-0.119230768857802,0.00798329899592427,0,0,0,0,0,0,0,0,0,0
1,2,-0.685672731318434,-0.125864005571207,-0.0469006172611097,0.717138968233435,0.0575852922271231,-0.00454070144082504,-1.60176699749264,0.0827361207048973,0,0,0,0,0,0,0,0,0,0
2,2,-0.0263281474258063,0.0308818967001208,0.1108828224502,0.0572751112861476,0.0403504195634401,-0.00280717570118466,-1.44881496971434,0.0697852506674222,0,0,0,0,0,0,0,0,0,0
1,3,-3.04392791847302,0.00431477873275935,0.00855933386669919,0.275298067095394,-0.0749093383555576,0.00379153506276813,-0.432656886200889,0.0786218786876122,0,0,0,0,0,0,0,0,0,0
2,3,-2.73918274348714,0.0739236465561825,-0.0344851644340214,-1.0728922208539,-0.0392171757032837,0.00240650969530664,0.551268947189998,-0.113035685376356,0,0,0,0,0,0,0,0,0,0
1,4,0.459614408469488,0.106242719057393,0.0385883980215175,-1.35145313486175,-0.00135967315221959,-0.00130867179927844,0.156236336337786,0.116946567068789,0,0,0,0,0,0,0,0,0,0
2,4,-0.950390181476943,0.0365372891393991,0.0286994263217477,-1.31834401759855,-0.048680098010693,-0.00425542754620973,-0.738150962106514,0.0617189935378735,0,0,0,0,0,0,0,0,0,0
1,5,1.41542786586487,-0.0720258977566798,-0.0726685111327021,0.513585213918496,-0.0279360851871451,0.00119212408122714,-0.198140248080696,0.203940852199041,0,0,0,0,0,0,0,0,0,0
2,5,0.502554000256886,-0.186610007970355,-0.0328555075427152,-0.483001777125301,-0.0226019726077657,0.00303422028394169,-0.162818139356226,0.201145384582597,0,0,0,0,0,0,0,0,0,0
1,6,0.963177719635322,-0.0349140299671926,-0.0379275171713769,1.35129433778885,-0.0294451967887495,0.0109379485398306,1.92814430167528,0.226156787155781,0,0,0,0,0,0,0,0,0,0
2,6,1.6874193726662,-0.103003872042133,-0.0945683019327588,-0.53162007331527,0.038492759505603,-0.00724883010605808,3.31719937775874,-0.134707717903038,0,0,0,0,0,0,0,0,0,0
1,7,-5.48890400565135,0.093681848413904,-0.01593311405546,0.829668615028313,0.0143951376178242,-0.00238316529754279,-0.910363883318309,-0.30659666325572,0,0,0,0,0,0,0,0,0,0
2,7,-5.60162180651462,0.191801176602732,-0.069625855319012,0.131057509588977,-0.0251202654464058,0.000188834952118343,-0.653190346449182,0.127416851750955,0,0,0,0,0,0,0,0,0,0
1,8,2.90688363289647,-0.0707457640872413,-0.0510451631668957,1.08691907155732,0.0624239663070054,-0.0035846987582314,0.166708170029734,0.00813892542553555,0,0,0,0,0,0,0,0,0,0
2,8,2.61551411131239,0.0230439105082767,-0.0373289283334409,-1.35784530132923,0.0337062668818332,0.000564410772480512,0.345144236302611,-0.0783163925935897,0,0,0,0,0,0,0,0,0,0
1,9,-1.24139946199787,0.0557678695848854,0.0864612756045093,-0.94286261012146,0.0141950956632255,0.00223022936749742,0.368837466868356,-0.101428109443315,0,0,0,0,0,0,0,0,0,0
2,9,-1.48565271248776,0.0578513752582578,-0.00158295710883067,-0.498733597314521,0.0356967475798021,-0.00119111810193858,0.892675865524943,-0.147145732327805,0,0,0,0,0,0,0,0,0,0
1,10,2.67860942453565,-0.0350120262834564,0.0635747296999506,1.12828078002618,0.03506247680027,-0.00507067790277726,0.946817837653803,-0.0715496981462038,0,0,0,0,0,0,0,0,0,0
2,10,1.61850463320299,-0.0444374857529838,0.0247103933282064,1.35984391825935,-0.0358883001533222,-0.00103776119805489,1.02859722242579,-0.0299112747041606,0,0,0,0,0,0,0,0,0,0
1,11,-3.89928354431601,-0.177086130962135,-0.0623378141287134,-0.0439856512702602,0.0133690326188201,0.00139603467144047,1.03143333935015,0.238435542642192,0,0,0,0,0,0,0,0,0,0
2,11,-0.689854777555101,-0.0049353920358474,0.0968921949433538,-0.753746226407256,0.0671745082649305,8.57825172204617e-06,0.34265615066704,0.0763295255782034,0,0,0,0,0,0,0,0,0,0
1,12,-2.62240203891346,-0.0085097996603073,0.0857001989469863,0.245446733691492,-0.0298168722256527,-0.000356371219059909,0.478619015399679,-0.0915601006547961,0,0,0,0,0,0,0,0,0,0
2,12,-2.31364027894571,-0.00234661350090739,0.144198881286081,-0.526908627854205,-0.0248318212737025,-0.00227467191949661,0.0269518022490101,-0.0983784578601001,0,0,0,0,0,0,0,0,0,0
1,13,0.655873504069342,0.1844182681943,-0.0322977346872575,0.535837148160396,-0.00224999310663878,0.000283253557357248,-1.01264835453283,0.00548432136467299,0,0,0,0,0,0,0,0,0,0
2,13,-0.193155787915244,0.18602684927734,0.0372195838799712,0.529727623132628,0.0044167497078218,-0.000641312600690461,-0.482837543449885,-0.000371798608264751,0,0,0,0,0,0,0,0,0,0
1,14,0.923820611700308,0.239145532163208,0.0412352104952276,0.14801751496654,0.045336952732721,-0.013220199534011,0.129649369645158,0.0397283407205195,0,0,0,0,0,0,0,0,0,0
2,14,0.20590160608246,0.211018725734773,0.00903579060105742,1.31805023633492,-0.0116054215467504,0.00204184487641551,0.394438932646601,-0.0496411344917867,0,0,0,0,0,0,0,0,0,0
1,15,-3.02532582176447,0.0294799789057394,-0.0388549228466025,1.14449722304398,-0.00985748613007029,-0.00437692894831056,0.304417311965117,-0.066717844939003,0,0,0,0,0,0,0,0,0,0
2,15,-1.57166075556238,-0.0378184858842565,-0.111644513908381,0.757873900486396,0.0417465256872516,-0.014993711680607,0.768755644710194,-0.0797325532901212,0,0,0,0,0,0,0,0,0,0
1,16,1.48358222039579,0.0317298419226248,0.0344300068303705,-1.04053474410422,0.0159477369618799,0.00979344372347914,-0.320520261417562,-0.131943302883663,0,0,0,0,0,0,0,0,0,0
2,16,1.837561675889,0.153248103484246,-0.0794122460336386,-0.635803704082863,0.0104683834598555,-0.00378380085713141,-0.641052969090063,0.186560955832611,0,0,0,0,0,0,0,0,0,0
1,17,0.461790193372064,0.0918480426922847,0.0888752033778439,0.485814198963239,-0.0283036768257575,0.00626110280357157,-0.0706422808874314,0.0774494096258006,0,0,0,0,0,0,0,0,0,0
2,17,-0.0727210108434194,0.0189145414902249,-0.122590686246605,0.147673666378654,-0.00687742189930859,0.00512801952931688,0.254208388490496,0.0479264850227319,0,0,0,0,0,0,0,0,0,0
1,18,-2.53056407667822,-0.0373974636819072,0.0973134036932829,0.11386914286924,-0.0242034982697631,-0.00332888444464777,-1.30849638397336,0.316067365022344,0,0,0,0,0,0,0,0,0,0
2,18,-1.38550412187183,-0.0644556963897642,0.109916886136949,0.271082309753832,-0.0708150351556015,-0.000491635452618012,-1.58824050614833,0.314846004160761,0,0,0,0,0,0,0,0,0,0
1,19,1.80687343742404,0.0520449702723054,0.0908601462123132,-0.477620090636456,-0.0325080192975375,0.00337803289762392,0.89376344178567,-0.11586875666384,0,0,0,0,0,0,0,0,0,0
2,19,1.61165334810276,0.00935462970515134,-0.0822614668963106,1.43467346871486,-0.0152293714213829,-0.00242168445099304,0.54887808241778,-0.0351421320782899,0,0,0,0,0,0,0,0,0,0
1,20,-1.31823271088335,0.0835446689754806,0.0775556919896057,0.563391653497455,0.0684538376447464,-0.000203371295163463,0.978552145491043,-0.0950465474016454,0,0,0,0,0,0,0,0,0,0
2,20,0.306014910541798,-0.0165507063294448,0.000202707914606417,-0.934532306218976,-0.0188196400489628,0.00578163419805492,0.162960528008689,-0.126185991711556,0,0,0,0,0,0,0,0,0,0
1,21,-1.46395988700965,0.098823013499654,-0.00619543332697959,-1.52343450707378,-0.0447868267737402,0.00154017104405378,-0.401784820025007,-0.00883599214729785,0,0,0,0,0,0,0,0,0,0
2,21,-1.75669304492261,9.47131383284214e-06,-0.0148757631650649,-0.935421020908155,-0.0240615689838924,0.000720386482245764,-0.129823186868899,-0.0187461965248642,0,0,0,0,0,0,0,0,0,0
1,22,-0.622912292975409,0.105170796164283,0.0484267105411098,1.37733006253567,-0.0543593217851535,-0.00263397925511591,0.952398609023479,-0.145218084502538,0,0,0,0,0,0,0,0,0,0
2,22,-0.166496424177595,0.158341982016043,0.00590053553373192,0.157905533200887,-0.0840106974327693,-0.00119412450419642,0.188659796114546,-0.0892856537382559,0,0,0,0,0,0,0,0,0,0
1,23,-0.0306113569999514,-0.0519992827157644,-0.00492873171570327,-0.767990845947528,0.00171107261456927,-0.00161422514078022,-0.3854177538972,0.163389709577497,0,0,0,0,0,0,0,0,0,0
2,23,0.395459668047392,0.0349609237688967,-0.0723970281662709,-2.11277657115952,0.0474767665059166,-0.00487527405580994,-0.375823584116292,0.0261830024400692,0,0,0,0,0,0,0,0,0,0
1,24,0.196410962006122,0.116963909346141,-0.01447774947603,0.811701587829858,-0.00440029292728691,0.0140527578761604,-1.38208936625337,0.103601372383235,0,0,0,0,0,0,0,0,0,0
2,24,-0.595100106941884,-0.0356573832861882,-0.0488687686659109,-0.859870338536799,0.0105553244866727,-0.00316038235032625,-1.2967842807462,0.117418682139268,0,0,0,0,0,0,0,0,0,0
1,25,1.82718661747048,-0.0364975008434871,-0.0298214823335076,0.00287576524882538,-0.0274830391831198,-0.00709321901693085,0.465256209262411,-0.0304510066302254,0,0,0,0,0,0,0,0,0,0
2,25,2.33181885925116,-0.18000919396847,-0.0442842547107702,0.307735734257094,-0.0348622641342655,-0.000602853209871429,0.412071367521769,0.0874121432982026,0,0,0,0,0,0,0,0,0,0
1,26,1.02472808000562,-0.0861831392049956,0.0358733516489429,0.326485052014338,0.0852699204406871,-2.93461646475122e-06,-0.258547418483418,-0.179105314173706,0,0,0,0,0,0,0,0,0,0
