parameter,value,se_sa,rse_sa
b01_pop,4.69257057585946,0.123750531494543,2.63715866376454
b11_pop,-0.136092799319934,0.010199615366041,7.49460325381599
b21_pop,-0.152856824640349,0.00875707433279407,5.72893906006374
a1_pop,5.00480484789836,0.663656824094529,13.2603936469814
b02_pop,7.40138168353784,0.00252529559527037,0.0341192456117638
b12_pop,0.00297735928760953,0.000410696181382939,13.7939745160108
b03_pop,4.19515672899542,0.0498513377514188,1.18830692085624
b13_pop,-0.145225437147148,0.0103460126255614,7.12410499758275
p1_pop,0.0274770179735489,0.00944453365899958,34.3724841905751
g1_pop,0.127716226005142,0.0211839914936888,16.5867659547315
p2_pop,0.719690104227432,0.0229419450503173,3.18775330042156
g2_pop,0.127692022595749,0.0115039659212302,9.00915005289703
alpha11_pop,0.19080166761922,0.0312793687637406,16.3936558595307
alpha12_pop,-12.0866767741865,2.12522240966313,17.5831822871441
alpha13_pop,0.821662533157753,0.121725908296579,14.8145866927595
alpha21_pop,-0.0870615330256712,0.0160779744067556,18.4673688229391
alpha22_pop,-0.000577098545750029,0.110810552544168,19201.3224362145
alpha23_pop,-0.202144098153573,0.0298648042665694,14.7740174159725
omega_b01,2.05173635439206,0.0916132492884484,4.46515699214161
omega_b11,0.106373138766053,0.00804736637456048,7.5652241420262
omega_b21,0.0620485561149764,0.0071784943755774,11.5691561980517
omega_a1,0.861262373373745,0.101826950011138,11.8229883435242
omega_b02,0.0401983435428268,0.00208007763838167,5.17453570236191
omega_b12,0.00532471381695003,0.000314838692608777,5.91278148332704
omega_b03,0.86636378618152,0.0398697227063808,4.60196090167916
omega_b13,0.154070648711828,0.00798052140629023,5.17978049227073
b_1,0.300863018188998,0.00590111092938078,1.96139457913494
a_2,0.0508510080004245,0.000681677061379181,1.34053795231255
a_3,0.695558664472023,0.0111348602499967,1.6008513470893
