id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,b04_SAEM,b14_SAEM,b05_SAEM,b15_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha14_SAEM,alpha15_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM,alpha24_SAEM,alpha25_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,b03_mean,b13_mean,b04_mean,b14_mean,b05_mean,b15_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha13_mean,alpha14_mean,alpha15_mean,alpha21_mean,alpha22_mean,alpha23_mean,alpha24_mean,alpha25_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,b03_mode,b13_mode,b04_mode,b14_mode,b05_mode,b15_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha13_mode,alpha14_mode,alpha15_mode,alpha21_mode,alpha22_mode,alpha23_mode,alpha24_mode,alpha25_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,b03_sd,b13_sd,b04_sd,b14_sd,b05_sd,b15_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha13_sd,alpha14_sd,alpha15_sd,alpha21_sd,alpha22_sd,alpha23_sd,alpha24_sd,alpha25_sd
1,5.8735,-0.121915,-0.144799,6.2794,7.37114,-0.000169831,4.23352,-0.144057,9.2484,0.0149081,7.63187,-0.0262921,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,5.7976,-0.121687,-0.132919,5.9257,7.36916,0.000277942,4.22081,-0.148119,9.20965,0.0111904,7.63406,-0.0302139,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,5.43431,-0.134954,-0.132343,4.30757,7.3716,-0.000460904,4.224,-0.139781,9.26425,0.0158027,7.56997,-0.0342101,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.961411,0.0950025,0.0730379,6.18448,0.027313,0.00579134,0.461621,0.147235,0.621079,0.0873871,0.429076,0.101466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.87103,-0.11253,-0.170327,4.15485,7.4451,0.000127724,3.72594,-0.12437,4.92326,-0.0370881,7.47546,0.0448371,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,2.9682,-0.112034,-0.152513,5.22005,7.44135,0.00038481,3.64296,-0.116891,4.94994,-0.0385427,7.49656,0.0391132,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,1.97756,-0.0654857,-0.142554,5.77444,7.44251,0.000355289,3.69421,-0.122448,4.85099,-0.0318818,7.56972,0.0317404,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.75749,0.073119,0.049415,4.78232,0.0190404,0.00141924,0.320978,0.0254338,0.409901,0.0320142,0.324292,0.0285817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.38875,-0.16247,-0.12738,4.68401,7.36607,0.00773812,4.62485,-0.354912,5.59149,0.0835474,6.44971,-0.220774,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,3.61038,-0.187006,-0.127267,5.05914,7.36748,0.00751521,4.62172,-0.353933,5.60671,0.0811949,6.36603,-0.216193,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,3.67835,-0.173176,-0.116085,6.22395,7.36428,0.00786669,4.64098,-0.354479,5.65031,0.0799602,6.42127,-0.220371,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.566492,0.066433,0.049998,4.12881,0.0191253,0.00139753,0.307786,0.0263177,0.370097,0.0284173,0.262573,0.014455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.52476,-0.166572,-0.122985,6.2694,7.39063,0.000478138,4.1347,-0.0889497,3.83429,-0.00853016,7.14091,0.0354964,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,4.47735,-0.161242,-0.12506,7.39643,7.39191,0.000210688,4.14383,-0.0881292,3.83585,-0.00732517,7.11691,0.0419701,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,4.44526,-0.177127,-0.0899053,9.27411,7.39233,0.000303175,4.15964,-0.094284,3.84215,-0.00835637,7.09352,0.0392642,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.864559,0.0875057,0.0606228,8.38864,0.0251267,0.00509515,0.409233,0.114658,0.505788,0.0876921,0.369678,0.0958686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6.83217,-0.132426,-0.129908,7.28079,7.34651,0.0035334,3.24812,-0.177844,4.70873,0.0116848,7.47422,-0.0399352,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,6.86285,-0.131876,-0.129342,7.48097,7.3463,0.003468,3.25099,-0.140389,4.72555,0.024151,7.46742,-0.0477176,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,6.67,-0.123214,-0.139185,4.25493,7.34465,0.00341176,3.2667,-0.146322,4.7171,0.0170567,7.43316,-0.0430843,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,1.07352,0.0944995,0.0701683,8.64752,0.0294316,0.00600348,0.510877,0.142615,0.681437,0.0907917,0.402864,0.105272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.93927,-0.137899,-0.149385,4.51934,7.46944,0.00476838,5.97204,-0.178466,5.24036,0.0540011,8.03458,-0.0534499,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,5.89957,-0.132486,-0.151381,4.16922,7.47731,0.00442663,5.97086,-0.179021,5.26306,0.0524576,7.89082,-0.044892,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,5.9174,-0.124859,-0.133873,4.24277,7.46767,0.00497136,5.97459,-0.178214,5.27549,0.0517394,7.95883,-0.0501813,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.613964,0.0830968,0.0582799,3.7909,0.0180118,0.00111359,0.310182,0.0202267,0.320914,0.0206537,0.271651,0.0170098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5.38344,-0.129646,-0.133112,4.2678,7.38367,0.00203873,3.86624,-0.183689,4.80073,-0.0222375,6.19732,-0.0963962,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,5.38831,-0.138866,-0.139772,5.00867,7.3868,0.00171994,3.78586,-0.171025,4.83752,-0.0240497,6.21707,-0.0905471,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,5.18923,-0.13985,-0.128156,4.41916,7.38498,0.00192659,3.79279,-0.167145,4.79751,-0.0208617,6.18902,-0.0997911,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.957749,0.0755903,0.0646569,5.28419,0.0213705,0.00393936,0.415874,0.0956842,0.45796,0.0739554,0.334021,0.0688767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6.42027,-0.0828276,-0.148441,4.53048,7.41594,0.00624964,4.72428,-0.131258,7.71527,0.082673,6.68598,0.0656065,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,6.83078,-0.105011,-0.154301,4.33358,7.40948,0.00667913,4.71871,-0.132177,7.7945,0.0774553,6.56783,0.0760759,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,4.77888,-0.0136112,-0.13402,4.80555,7.40978,0.00671127,4.76328,-0.134292,7.69657,0.0843189,6.60393,0.0698965,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,1.13013,0.0800975,0.0575024,3.7175,0.0201484,0.00131953,0.300745,0.0204449,0.385384,0.0261351,0.294781,0.0202721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3.69924,-0.11598,-0.155702,5.7174,7.39586,0.00532237,5.2363,-0.15404,7.75535,0.029045,5.76964,-0.176699,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,3.80761,-0.106106,-0.149629,5.67719,7.39908,0.00507526,5.18247,-0.148603,7.7172,0.0403721,5.73313,-0.173593,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,3.24026,-0.0955727,-0.154114,5.04031,7.39801,0.00510573,5.22984,-0.149726,7.73263,0.0263123,5.70598,-0.175221,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.938703,0.0739396,0.0712362,9.66562,0.0225205,0.00523065,0.411675,0.122118,0.501174,0.0941958,0.282964,0.088536,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5.47406,-0.11461,-0.157329,4.91098,7.41918,0.00368897,5.35822,-0.102291,7.29088,0.019312,7.31199,-0.0493608,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,5.62287,-0.120654,-0.144314,4.85711,7.4168,0.004313,5.26291,-0.111899,7.32747,0.0174495,7.30907,-0.0364222,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,5.25874,-0.11592,-0.143335,4.33519,7.41944,0.00333283,5.32325,-0.101801,7.33322,0.0172055,7.23973,-0.0441337,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.924058,0.081323,0.0657083,4.71211,0.0268952,0.00580041,0.459984,0.140084,0.61416,0.0970482,0.490954,0.0994638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
