rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b05,b15,b06,b16,b07,b17,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,alpha17,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,alpha27,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b06,eta_b16,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha16,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha26,eta_alpha27
1,1,7.33010645800419,-0.0810355419533656,-0.16584920572074,3.11405045630149,7.40385955843928,-0.00299793286802135,3.98222349617961,0.0415734553504426,9.37249347587768,0.0288132344608115,7.81844394745184,-0.20799076096563,5.41566536180857,-0.0929638607889598,393.41033443556,2.4708085865791,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,2.62077084432016,0.0405570041806053,-0.00761162997025766,-0.207918700893637,0.00433661257286033,-0.00603915612395885,-0.169962172283479,0.182646500374226,4.10122869077412,0.012135376330462,0.771102804570756,-0.167151133151769,0.251005318008149,-0.00991347428153659,60.1414421194932,6.51600424660843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6.30128189473541,-0.246085276283071,-0.266764561571077,4.65430810756995,7.36328988250864,0.00356681839367572,5.19327108721382,0.0573092695512623,9.3136025518168,0.107271642037944,7.86875729163494,-0.0773172636731517,5.67212176464262,-0.0305590923852855,452.374564085366,-2.1114535179648,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,1.59194628105138,-0.1244927301491,-0.108526985820595,0.193950288207269,-0.0362330633577823,0.000525595137738221,1.04108541875074,0.198382314575046,4.04233776671323,0.090593783907595,0.821416148753857,-0.0364776358592905,0.507461720842207,0.0524912941221377,119.105671769299,1.93374214206454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,4.56211125349983,-0.121745600838633,-0.0687096802260308,6.68691032505356,7.33319717512693,-0.00667952358359067,4.33110325831233,-0.141805232986252,7.89954259174239,0.132841117515953,7.32970879518138,0.232671341967232,5.15349245498645,-0.105679471187902,440.735623081517,1.27938874008261,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,-0.147224360184197,-0.000153054704661884,0.0895278955244519,0.556308955416103,-0.0663257707394882,-0.00972074683952817,0.178917589849247,-0.000732187962468295,2.62827780663882,0.116163259385603,0.2823676523003,0.273510969781094,-0.0111675888139704,-0.0226290846804792,107.466730765449,5.32458440011194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,3.53418597456143,-0.209438936693446,-0.208675670347191,2.71033818427847,7.43690026307101,0.000277328069010521,3.77346881886361,-0.13486527730539,5.69959410686989,-0.0897111592167941,7.74294137514513,0.0417567333585203,5.86185340671845,-0.128189698658756,279.386665061125,-4.74577124434438,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,-1.1751496391226,-0.0878463905594755,-0.0504380945967087,-0.346769558872895,0.0373773172045908,-0.00276389518692698,-0.378716849599475,0.00620776771839393,0.428329321766323,-0.106389017347144,0.695600232264051,0.0825963611723814,0.697193362918038,-0.0451393121513332,-53.8822272549424,-0.700575584315049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2.85932227775508,-0.00945170924591161,-0.0378548784337635,3.0335285477102,7.4700146049189,-0.00227727057273042,4.2159315410783,-0.154355091402634,5.09186201511685,-0.0382523099548221,7.11820239436218,0.0666470114903857,6.56613045135406,-0.156707432879454,341.380222314668,-6.30339701708921,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,-1.85001333592895,0.112140836888059,0.120382697316719,-0.234116498053503,0.0704916590524798,-0.00531849382866792,0.0637458726152129,-0.0132820463788497,-0.179402769986715,-0.0549301680851716,0.0708612514811016,0.107486639304247,1.40147040755365,-0.0736570463720312,8.11132999860041,-2.25820135705988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2.7736713440117,-0.101858198352896,-0.163750288472842,5.0701188126669,7.43878269288767,0.00017937829252438,3.95005987649802,-0.123662505732238,5.23276261015063,-0.0190691016790945,7.24233487853922,0.0601650091558986,5.68208089874841,-0.0892161921291187,319.303744840805,-5.32788099664178,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,-1.93566426967232,0.0197343477810749,-0.00551271272235887,0.279521274554183,0.0392597470212444,-0.00286184496341312,-0.20212579196506,0.0174105392915459,-0.0385021749529368,-0.035746959809444,0.194993735658139,0.10100463696976,0.517420854947998,-0.00616580562169547,-13.9651474752618,-1.28268533661245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3.98674842966886,-0.189459658610114,-0.0949019970106786,2.36814987001328,7.36567930256436,0.00887818946458099,4.4290214185983,-0.321572923717452,6.04538095387275,0.0514520138918932,5.94693301057276,-0.186545334943224,6.44131847078977,-0.180261084341829,460.66503755174,-4.7728391993145,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,-0.722587184015167,-0.0678671124761435,0.0633355787398042,-0.481733972504787,-0.0338436433020632,0.00583696620864349,0.276835750135218,-0.180499878693668,0.774116168769186,0.0347741557615437,-1.10040813230832,-0.145705707129363,1.27665842698936,-0.0972106978344062,127.396145235673,-0.727643539285173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.97950156566127,-0.122001287143823,-0.163392488774615,2.1016680809398,7.3780172776953,0.00738491547265727,4.28870436079511,-0.347862103555452,5.84808897687532,0.0466539369801567,6.21317638428975,-0.206994969048552,6.59600274793216,-0.175781063614485,488.679011108096,-0.992959167729356,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,-1.72983404802276,-0.000408741009851901,-0.00515491302413193,-0.601111623547516,-0.0215056681711161,0.00434369221671976,0.136518692332027,-0.206789058531668,0.576824191771758,0.0299760788498072,-0.834164758591329,-0.166155341234691,1.43134270413174,-0.0927306771070622,155.410118792028,3.05223649229998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3.0694292812239,-0.21249272596716,-0.140673063434319,1.31465847413263,7.34031504380167,0.00921258229698095,4.76837589211246,-0.367095094430116,5.88464812153517,0.0807096175942087,6.14068989394375,-0.198637593791019,6.15617174886942,-0.164853608243138,562.912932455697,-3.3918845931069,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,-1.63990633246012,-0.0909001798331893,0.0175645123161632,-1.07026606081607,-0.0592079020647551,0.00617135904104345,0.616190223649374,-0.226022049406332,0.613383336431607,0.0640317594638592,-0.906651248937332,-0.157797965977158,0.991511705069006,-0.0818032217357148,229.64404013963,0.653311066922428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3.70345176454672,0.0551588832067311,-0.102909787965895,0.187101642888771,7.39449065132684,0.0053389388748197,4.27155836659248,-0.144840076905183,3.95182096492723,-0.0761698406317262,7.64679021033365,-0.155083390314264,5.2963658220633,-0.113932362752745,311.825919105245,-14.2762617798187,0.0212670940927462,0.134471056519018,0.762789824573999,0.113138399631171,0.184279175688069,-11.2610631318243,0.700426124879936,-6.75887813920674e-06,0.159572844796596,2.09942505127013e-06,-2.63348677396855e-12,-0.10713774164457,-3.813863054861e-11,-0.218950290059168,0.0428854558822529,-1.98356690664987e-14,-5.65934622868414e-15,6.54339261569802e-11,-1.0058838491373,0.176751429340702,0.0553277877845877,-3.0199462421602,-0.00503229453957754,0.00229771561888219,0.119372698129394,-0.00376703188139954,-1.31944382017634,-0.0928476987620757,0.599449067452563,-0.114243762500403,0.131705778262888,-0.0308819762453218,-21.4429732108222,-10.2310661197894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
