id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,b04_SAEM,b14_SAEM,b05_SAEM,b15_SAEM,b06_SAEM,b16_SAEM,b07_SAEM,b17_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha14_SAEM,alpha15_SAEM,alpha16_SAEM,alpha17_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM,alpha24_SAEM,alpha25_SAEM,alpha26_SAEM,alpha27_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,b03_mean,b13_mean,b04_mean,b14_mean,b05_mean,b15_mean,b06_mean,b16_mean,b07_mean,b17_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha13_mean,alpha14_mean,alpha15_mean,alpha16_mean,alpha17_mean,alpha21_mean,alpha22_mean,alpha23_mean,alpha24_mean,alpha25_mean,alpha26_mean,alpha27_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,b03_mode,b13_mode,b04_mode,b14_mode,b05_mode,b15_mode,b06_mode,b16_mode,b07_mode,b17_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha13_mode,alpha14_mode,alpha15_mode,alpha16_mode,alpha17_mode,alpha21_mode,alpha22_mode,alpha23_mode,alpha24_mode,alpha25_mode,alpha26_mode,alpha27_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,b03_sd,b13_sd,b04_sd,b14_sd,b05_sd,b15_sd,b06_sd,b16_sd,b07_sd,b17_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha13_sd,alpha14_sd,alpha15_sd,alpha16_sd,alpha17_sd,alpha21_sd,alpha22_sd,alpha23_sd,alpha24_sd,alpha25_sd,alpha26_sd,alpha27_sd
1,5.83365,-0.121158,-0.147095,6.42793,7.37539,0.0011865,4.24414,-0.0819536,9.22265,0.0139262,7.58225,-0.0232529,4.93659,-0.0847059,408.53,-3.86035,0.0212317,0.134974,0.762511,0.113281,0.180656,-11.1408,0.704747,-6.42318e-06,0.166617,2.03448e-06,-2.72028e-12,-0.106257,-3.7567e-11,-0.219361,0.0419308,-1.92811e-14,-6.33987e-15,6.97378e-11,5.78211,-0.12277,-0.16018,5.00491,7.37156,0.00127762,4.17799,-0.0690438,9.20137,0.014194,7.62845,-0.0452009,5.10323,-0.0757622,415.328,-3.1615,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,5.45831,-0.134261,-0.149573,3.7531,7.37468,0.00143458,4.23133,-0.0808557,9.24987,0.0131155,7.5861,-0.0386027,4.94451,-0.0838719,392.837,-4.02774,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,0.974639,0.0971201,0.0797531,5.91438,0.026644,0.00500377,0.401235,0.136177,0.641785,0.0907683,0.449345,0.103333,0.415475,0.0850577,70.2232,4.79272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.79893,-0.107975,-0.180037,4.62051,7.4465,3.08493e-05,3.74481,-0.126809,4.86691,-0.0336686,7.56614,0.0362691,6.08976,-0.135898,285.866,-3.94038,0.0212317,0.134974,0.762511,0.113281,0.180656,-11.1408,0.704747,-6.42318e-06,0.166617,2.03448e-06,-2.72028e-12,-0.106257,-3.7567e-11,-0.219361,0.0419308,-1.92811e-14,-6.33987e-15,6.97378e-11,2.74553,-0.0980326,-0.17097,4.50064,7.44671,-2.32509e-05,3.7942,-0.128224,4.88125,-0.0358575,7.71423,0.0234007,6.04205,-0.132086,279.931,-3.38247,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,1.97844,-0.0633978,-0.152118,5.20886,7.4464,-3.47247e-06,3.71848,-0.124524,4.85102,-0.0319446,7.5552,0.033027,6.09482,-0.137678,287.587,-4.52848,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,0.557224,0.0561273,0.0603197,3.6265,0.0165821,0.00141775,0.325585,0.0239557,0.388927,0.0314518,0.392711,0.0333106,0.279373,0.0175942,27.9222,2.17859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.44496,-0.188561,-0.145363,4.33667,7.36421,0.00790644,4.63123,-0.352868,5.62314,0.0842,6.44396,-0.220779,6.40778,-0.176098,518.931,-4.57385,0.0212317,0.134974,0.762511,0.113281,0.180656,-11.1408,0.704747,-6.42318e-06,0.166617,2.03448e-06,-2.72028e-12,-0.106257,-3.7567e-11,-0.219361,0.0419308,-1.92811e-14,-6.33987e-15,6.97378e-11,3.76144,-0.197346,-0.13103,4.61072,7.36729,0.00778123,4.75979,-0.360418,5.74192,0.0723257,6.42035,-0.218777,6.32951,-0.171337,508.242,-3.52998,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,3.63724,-0.178974,-0.120435,5.91926,7.36528,0.00778509,4.67177,-0.356235,5.63979,0.0807839,6.41571,-0.220016,6.39034,-0.177417,508.107,-4.47183,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,0.719719,0.0638833,0.0601911,4.54776,0.0195688,0.00161208,0.32514,0.0242446,0.445258,0.0358745,0.151991,0.00967791,0.275201,0.0197964,33.5921,2.83566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.42553,-0.168572,-0.135789,6.14087,7.39394,0.00217585,4.15652,-0.0612252,3.86069,-0.0148396,7.21111,0.0297862,4.91933,-0.0403452,285.467,-5.07617,0.0212317,0.134974,0.762511,0.113281,0.180656,-11.1408,0.704747,-6.42318e-06,0.166617,2.03448e-06,-2.72028e-12,-0.106257,-3.7567e-11,-0.219361,0.0419308,-1.92811e-14,-6.33987e-15,6.97378e-11,4.41498,-0.157698,-0.12995,5.0963,7.39201,0.00261445,4.14183,-0.0456287,3.85575,-0.0204089,7.21307,0.0204046,4.86226,-0.0305261,289.627,-5.07245,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,4.42553,-0.183607,-0.0955826,9.08741,7.39449,0.00206842,4.1131,-0.0458068,3.84448,-0.0161427,7.10329,0.0379233,4.81247,-0.0275227,268.223,-5.01394,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,0.781145,0.0961974,0.0855619,5.08629,0.02372,0.00521825,0.43385,0.117227,0.498994,0.0894368,0.421828,0.0999141,0.320396,0.0753509,51.6994,5.58893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6.89836,-0.140899,-0.146317,6.18766,7.3383,0.00307946,3.2061,-0.15241,4.68304,0.0210326,7.47408,-0.0422313,6.17494,-0.0851585,331.426,-4.10344,0.0212317,0.134974,0.762511,0.113281,0.180656,-11.1408,0.704747,-6.42318e-06,0.166617,2.03448e-06,-2.72028e-12,-0.106257,-3.7567e-11,-0.219361,0.0419308,-1.92811e-14,-6.33987e-15,6.97378e-11,6.9582,-0.137761,-0.159098,6.57919,7.34154,0.00377822,3.15392,-0.170666,4.68707,0.0193923,7.51281,-0.0573981,6.16617,-0.0747875,336.435,-4.23867,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,6.61106,-0.125803,-0.156151,3.77824,7.33913,0.00316265,3.20887,-0.151923,4.72861,0.0173872,7.44304,-0.04131,6.12446,-0.0832729,311.388,-4.06176,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,1.04274,0.0953075,0.0876508,8.96289,0.0307862,0.00614161,0.552386,0.14023,0.610914,0.089404,0.500873,0.0963125,0.459629,0.0798808,62.816,4.92479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5.97702,-0.150447,-0.164457,3.88137,7.46878,0.00489132,5.96272,-0.177831,5.2469,0.0532148,7.93841,-0.0478453,5.26831,-0.109709,316.669,-0.796813,0.0212317,0.134974,0.762511,0.113281,0.180656,-11.1408,0.704747,-6.42318e-06,0.166617,2.03448e-06,-2.72028e-12,-0.106257,-3.7567e-11,-0.219361,0.0419308,-1.92811e-14,-6.33987e-15,6.97378e-11,5.96665,-0.149345,-0.164925,3.87263,7.47007,0.00479401,5.85882,-0.17202,5.34148,0.0472915,7.8996,-0.0444282,5.47592,-0.120889,355.492,-2.8755,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,5.905,-0.13339,-0.145496,3.74161,7.46969,0.00484898,5.98888,-0.179433,5.2714,0.0520886,7.94572,-0.0494696,5.28674,-0.111342,320.561,-1.47201,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,0.546448,0.0909252,0.069399,5.41686,0.0250807,0.00160683,0.309126,0.0176911,0.390851,0.0234231,0.284298,0.0181964,0.2743,0.0142392,61.0957,3.48805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5.40781,-0.144401,-0.151004,3.78881,7.38627,0.00119261,3.85495,-0.187487,4.81957,-0.0186334,6.23139,-0.100175,5.05417,-0.111065,339.73,-4.12598,0.0212317,0.134974,0.762511,0.113281,0.180656,-11.1408,0.704747,-6.42318e-06,0.166617,2.03448e-06,-2.72028e-12,-0.106257,-3.7567e-11,-0.219361,0.0419308,-1.92811e-14,-6.33987e-15,6.97378e-11,5.38051,-0.128487,-0.155048,3.96449,7.38235,0.00179735,3.79166,-0.167169,4.73188,-0.00948278,6.19112,-0.0917544,5.05211,-0.104618,345.115,-4.45309,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,5.08254,-0.141831,-0.14427,3.72718,7.38604,0.0012283,3.81081,-0.177667,4.79149,-0.0174357,6.18296,-0.0954424,5.01968,-0.106285,327.843,-4.24237,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,1.02694,0.0770927,0.0771135,5.39632,0.0221307,0.00423152,0.442382,0.0932612,0.455262,0.0840317,0.316368,0.0702108,0.326045,0.0630143,46.0794,4.37531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6.29778,-0.0723482,-0.171848,3.54961,7.41413,0.00639609,4.78755,-0.136779,7.75241,0.0820733,6.55222,0.0759832,5.6661,-0.0924453,297.582,-10.6373,0.0212317,0.134974,0.762511,0.113281,0.180656,-11.1408,0.704747,-6.42318e-06,0.166617,2.03448e-06,-2.72028e-12,-0.106257,-3.7567e-11,-0.219361,0.0419308,-1.92811e-14,-6.33987e-15,6.97378e-11,6.01799,-0.0648759,-0.148735,4.93856,7.40252,0.00720027,4.73993,-0.1328,7.66444,0.0873347,6.65164,0.0695917,5.54539,-0.0827649,299.577,-10.9775,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,4.71626,-0.00785912,-0.1529,4.21445,7.41108,0.00658876,4.78011,-0.13576,7.6922,0.0849264,6.6007,0.0701704,5.53593,-0.0854086,290.457,-10.615,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,1.32364,0.0818529,0.0694347,4.53003,0.0204239,0.00158476,0.242314,0.0171428,0.379653,0.0294154,0.256138,0.0213073,0.413099,0.0261699,19.9996,0.866801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3.70227,-0.10436,-0.166243,4.57222,7.39955,0.00426867,5.22621,-0.158394,7.77857,0.0175044,5.75726,-0.163058,5.34626,-0.0677285,372.656,-4.22436,0.0212317,0.134974,0.762511,0.113281,0.180656,-11.1408,0.704747,-6.42318e-06,0.166617,2.03448e-06,-2.72028e-12,-0.106257,-3.7567e-11,-0.219361,0.0419308,-1.92811e-14,-6.33987e-15,6.97378e-11,3.81672,-0.114708,-0.155177,5.72744,7.39725,0.00519208,5.2132,-0.152753,7.7934,0.0238282,5.77535,-0.191005,5.28491,-0.0513098,376.715,-4.31239,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,3.20263,-0.0997086,-0.171273,4.6464,7.39731,0.00458879,5.22575,-0.159578,7.73543,0.0263125,5.70697,-0.169205,5.28158,-0.058894,359.669,-4.25351,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,0.810384,0.078669,0.0704842,8.67752,0.0238583,0.00540479,0.424657,0.138166,0.505355,0.090323,0.354573,0.0995925,0.336046,0.0761785,49.9992,4.80557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5.57436,-0.122486,-0.166352,4.80259,7.41787,0.00320315,5.31349,-0.122196,7.35783,0.0148723,7.31446,-0.0450975,5.25864,-0.0841544,116.366,-4.08967,0.0212317,0.134974,0.762511,0.113281,0.180656,-11.1408,0.704747,-6.42318e-06,0.166617,2.03448e-06,-2.72028e-12,-0.106257,-3.7567e-11,-0.219361,0.0419308,-1.92811e-14,-6.33987e-15,6.97378e-11,5.52654,-0.113529,-0.156423,4.40407,7.41599,0.00230878,5.30887,-0.1388,7.34059,0.0132176,7.26865,-0.0358534,5.31478,-0.0793203,116.407,-4.63093,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,5.20615,-0.118654,-0.159634,3.86346,7.41686,0.00299258,5.28998,-0.109036,7.34316,0.0142012,7.24687,-0.040139,5.19519,-0.0822092,83.3435,-4.03819,0.0212671,0.134471,0.76279,0.113138,0.184279,-11.2611,0.700426,-6.75888e-06,0.159573,2.09943e-06,-2.63349e-12,-0.107138,-3.81386e-11,-0.21895,0.0428855,-1.98357e-14,-5.65935e-15,6.54339e-11,0.881768,0.0929476,0.0746015,3.88,0.0246814,0.00523995,0.398066,0.147894,0.627902,0.0993913,0.443948,0.0975715,0.42013,0.0926054,59.0916,5.04466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
