id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM,eta_alpha27_SAEM,eta_b01_mean,eta_b11_mean,eta_b21_mean,eta_a1_mean,eta_b02_mean,eta_b12_mean,eta_b03_mean,eta_b13_mean,eta_b04_mean,eta_b14_mean,eta_b05_mean,eta_b15_mean,eta_b06_mean,eta_b16_mean,eta_b07_mean,eta_b17_mean,eta_p1_mean,eta_g1_mean,eta_p2_mean,eta_g2_mean,eta_alpha11_mean,eta_alpha12_mean,eta_alpha13_mean,eta_alpha14_mean,eta_alpha15_mean,eta_alpha16_mean,eta_alpha17_mean,eta_alpha21_mean,eta_alpha22_mean,eta_alpha23_mean,eta_alpha24_mean,eta_alpha25_mean,eta_alpha26_mean,eta_alpha27_mean,eta_b01_mode,eta_b11_mode,eta_b21_mode,eta_a1_mode,eta_b02_mode,eta_b12_mode,eta_b03_mode,eta_b13_mode,eta_b04_mode,eta_b14_mode,eta_b05_mode,eta_b15_mode,eta_b06_mode,eta_b16_mode,eta_b07_mode,eta_b17_mode,eta_p1_mode,eta_g1_mode,eta_p2_mode,eta_g2_mode,eta_alpha11_mode,eta_alpha12_mode,eta_alpha13_mode,eta_alpha14_mode,eta_alpha15_mode,eta_alpha16_mode,eta_alpha17_mode,eta_alpha21_mode,eta_alpha22_mode,eta_alpha23_mode,eta_alpha24_mode,eta_alpha25_mode,eta_alpha26_mode,eta_alpha27_mode,eta_b01_sd,eta_b11_sd,eta_b21_sd,eta_a1_sd,eta_b02_sd,eta_b12_sd,eta_b03_sd,eta_b13_sd,eta_b04_sd,eta_b14_sd,eta_b05_sd,eta_b15_sd,eta_b06_sd,eta_b16_sd,eta_b07_sd,eta_b17_sd,eta_p1_sd,eta_g1_sd,eta_p2_sd,eta_g2_sd,eta_alpha11_sd,eta_alpha12_sd,eta_alpha13_sd,eta_alpha14_sd,eta_alpha15_sd,eta_alpha16_sd,eta_alpha17_sd,eta_alpha21_sd,eta_alpha22_sd,eta_alpha23_sd,eta_alpha24_sd,eta_alpha25_sd,eta_alpha26_sd,eta_alpha27_sd
1,1.12726,0.000936002,0.0120517,-0.0589623,-0.0240161,-0.00186477,0.0902553,0.0597623,3.94912,-0.00260006,0.534849,0.0180644,-0.227988,-0.00150082,75.1277,0.191821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07278,-0.00117743,-0.00194204,-0.235171,-0.0279643,-0.0017636,0.0258071,0.0720292,3.93011,-0.00248387,0.581111,-0.00436129,-0.0614277,0.0072882,82.0586,0.883695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748978,-0.0126681,0.00866432,-0.0212604,-0.0248403,-0.00160664,0.0791444,0.0602173,3.97861,-0.00356235,0.53876,0.0022369,-0.220151,-0.000821489,59.5677,0.0174565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974639,0.0971201,0.0797531,1.01527,0.026644,0.00500377,0.401235,0.136177,0.641785,0.0907683,0.449345,0.103333,0.415475,0.0850577,70.2232,4.79272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1.90746,0.0141182,-0.020891,-0.363506,0.0470883,-0.00302042,-0.409074,0.0149065,-0.406614,-0.0501948,0.518737,0.0775865,0.925182,-0.0526927,-47.5358,0.111791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9638,0.0235599,-0.0127328,-0.165317,0.0471864,-0.00306447,-0.357988,0.0128486,-0.390019,-0.0525354,0.666889,0.0642403,0.87739,-0.0490359,-53.3378,0.662728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.7309,0.0581948,0.00611926,0.306518,0.0468753,-0.0030447,-0.433709,0.0165488,-0.42024,-0.0486225,0.507855,0.0738666,0.930158,-0.0546276,-45.6814,-0.483287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557224,0.0561273,0.0603197,0.868154,0.0165821,0.00141775,0.325585,0.0239557,0.388927,0.0314518,0.392711,0.0333106,0.279373,0.0175942,27.9222,2.17859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-1.26143,-0.0664678,0.0137838,-0.243843,-0.0351954,0.00485518,0.47735,-0.211152,0.349615,0.0676738,-0.603441,-0.179461,1.2432,-0.0928931,185.529,-0.52168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.947899,-0.0757532,0.0272081,-0.263675,-0.0322334,0.00474001,0.607609,-0.219345,0.470658,0.0556478,-0.626987,-0.177938,1.16485,-0.0882871,174.973,0.515218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0721,-0.0573818,0.0378029,0.434369,-0.0342381,0.00474387,0.519581,-0.215162,0.368529,0.0641061,-0.631631,-0.179177,1.22568,-0.0943664,174.838,-0.426638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719719,0.0638833,0.0601911,1.03134,0.0195688,0.00161208,0.32514,0.0242446,0.445258,0.0358745,0.151991,0.00967791,0.275201,0.0197964,33.5921,2.83566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,-0.280859,-0.0464786,0.0233578,-0.0633364,-0.00547381,-0.000875422,0.002634,0.0804907,-1.41283,-0.0313659,0.163707,0.0711035,-0.245254,0.0428599,-47.9348,-1.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.294355,-0.0361057,0.0282873,-0.146541,-0.00751793,-0.000426772,-0.0103597,0.0954443,-1.41551,-0.0370868,0.165731,0.0612442,-0.302399,0.0525243,-43.6419,-1.02726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.283809,-0.0620141,0.062655,0.863047,-0.00503663,-0.000972802,-0.0390843,0.0952662,-1.42678,-0.0328205,0.0559485,0.078763,-0.352193,0.0555277,-65.0457,-0.968748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781145,0.0961974,0.0855619,0.972715,0.02372,0.00521825,0.43385,0.117227,0.498994,0.0894368,0.421828,0.0999141,0.320396,0.0753509,51.6994,5.58893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.19197,-0.018805,0.012829,-0.0529071,-0.0611107,2.81971e-05,-0.947785,-0.010694,-0.590484,0.00450639,0.426681,-0.000913952,1.01036,-0.00195336,-1.97604,-0.0512665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24887,-0.016168,-0.000860811,-0.0901033,-0.0579828,0.000737,-0.998262,-0.0295929,-0.584192,0.00271444,0.465473,-0.0165584,1.00151,0.00826284,3.1665,-0.193476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90173,-0.0042104,0.00208705,-0.0145842,-0.0603932,0.00012143,-0.943316,-0.0108497,-0.542659,0.000709386,0.395694,-0.000470345,0.959805,-0.000222499,-21.8808,-0.0165649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04274,0.0953075,0.0876508,1.14913,0.0307862,0.00614161,0.552386,0.14023,0.610914,0.089404,0.500873,0.0963125,0.459629,0.0798808,62.816,4.92479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.27064,-0.0283535,-0.00531039,-0.380841,0.0693655,0.00184005,1.80884,-0.0361147,-0.0266239,0.0366886,0.891011,-0.00652791,0.103726,-0.0265041,-16.7334,3.25536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25732,-0.0277528,-0.00668733,-0.485136,0.0705424,0.00175279,1.70663,-0.0309467,0.0702183,0.0306136,0.852258,-0.00358854,0.311256,-0.0378383,22.2229,1.1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19566,-0.0117975,0.0127413,-0.0243269,0.0701681,0.00180776,1.83669,-0.0383604,0.000137536,0.0354107,0.898377,-0.00862994,0.122084,-0.0282921,-12.7081,2.57318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546448,0.0909252,0.069399,0.94997,0.0250807,0.00160683,0.309126,0.0176911,0.390851,0.0234231,0.284298,0.0181964,0.2743,0.0142392,61.0957,3.48805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.701423,-0.0223077,0.0081425,-0.413944,-0.013141,-0.00185866,-0.298928,-0.0457712,-0.453955,-0.0351597,-0.816007,-0.0588581,-0.110414,-0.0278602,6.32825,-0.0738042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.671178,-0.00689401,0.00318996,-0.430773,-0.0171761,-0.00124387,-0.36053,-0.0260958,-0.539383,-0.0261606,-0.856218,-0.0509148,-0.112552,-0.021568,11.8458,-0.40789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373204,-0.0202388,0.0139678,-0.028191,-0.0134868,-0.00181293,-0.34138,-0.0365942,-0.479772,-0.0341136,-0.864383,-0.0546027,-0.144983,-0.0232342,-5.42612,-0.197175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02694,0.0770927,0.0771135,0.937254,0.0221307,0.00423152,0.442382,0.0932612,0.455262,0.0840317,0.316368,0.0702108,0.326045,0.0630143,46.0794,4.37531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.59139,0.0497453,-0.0127015,-0.423933,0.0147166,0.00334482,0.633673,0.00493698,2.47889,0.065547,-0.495185,0.117301,0.501515,-0.00924021,-35.8202,-6.58517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30865,0.0567167,0.00950265,-0.117458,0.00299385,0.00415904,0.587744,0.00827306,2.39318,0.0706568,-0.395698,0.110431,0.38073,0.000285451,-33.6917,-6.93232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00692782,0.113733,0.00533742,0.0946765,0.0115599,0.00354754,0.627924,0.00531268,2.42093,0.0682485,-0.446645,0.11101,0.371269,-0.00235826,-42.812,-6.56976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32364,0.0818529,0.0694347,0.909788,0.0204239,0.00158476,0.242314,0.0171428,0.379653,0.0294154,0.256138,0.0213073,0.413099,0.0261699,19.9996,0.866801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-1.00412,0.0177332,-0.00709669,-0.285934,0.000143172,0.0012174,1.07233,-0.0166782,2.50505,0.000978158,-1.29014,-0.121741,0.181679,0.0154766,39.2541,-0.17219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.892613,0.00688489,0.00306012,-0.176393,-0.00227138,0.00215085,1.06102,-0.0116798,2.52214,0.00715035,-1.27199,-0.150166,0.120247,0.0317406,43.4465,-0.267198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.50671,0.021884,-0.0130358,0.19225,-0.0022146,0.00154757,1.07357,-0.0185052,2.46416,0.00963466,-1.34037,-0.128365,0.116917,0.0241564,26.4004,-0.208313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.810384,0.078669,0.0704842,1.05789,0.0238583,0.00540479,0.424657,0.138166,0.505355,0.090323,0.354573,0.0995925,0.336046,0.0761785,49.9992,4.80557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.867967,-0.00039211,-0.00720558,-0.298445,0.0184555,0.000151878,1.15961,0.0195204,2.0843,-0.00165396,0.267055,-0.00378009,0.0940575,-0.000949282,-217.036,-0.0374964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.817208,0.00806345,0.00181454,-0.205928,0.0164702,-0.00073244,1.15669,0.0022729,2.06932,-0.00346028,0.221305,0.00498622,0.150125,0.00373011,-216.862,-0.585736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496817,0.00293864,-0.00139632,0.00772128,0.0173344,-4.86421e-05,1.1378,0.0320374,2.0719,-0.00247664,0.199528,0.000700615,0.0305259,0.000841235,-249.925,0.00701061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881768,0.0929476,0.0746015,0.870784,0.0246814,0.00523995,0.398066,0.147894,0.627902,0.0993913,0.443948,0.0975715,0.42013,0.0926054,59.0916,5.04466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
