parameter,value
b01_pop,4.38225327073257
b11_pop,-0.152077709037894
b21_pop,-0.176165913574147
a1_pop,5.4974691028562
b02_pop,7.40993965494927
b12_pop,0.00319667227519689
b03_pop,4.28406249385958
b13_pop,-0.162944776348289
p1_pop,0.0794220681849275
g1_pop,0.114006557026915
p2_pop,0.706424819080447
g2_pop,0.147042717603968
alpha11_pop,0.0145177375130886
alpha12_pop,-13.0877439254093
alpha13_pop,0.506289839070507
alpha21_pop,-0.0448895716554943
alpha22_pop,5.79944263755894
alpha23_pop,-0.126555338580411
omega_b01,1.80943820026475
omega_b11,0.108041394287316
omega_b21,0.0841172513746549
omega_a1,0.452154694930673
omega_b02,0.0388906492085054
omega_b12,0.00498763314242678
omega_b03,0.850712673361409
omega_b13,0.148172571239985
b_1,0.311547169252103
a_2,0.0506505925936831
a_3,0.700389816790804
